,DIOD,GRA
2008-02-01,1.0,1.0
2008-02-04,0.9974768713204373,0.97117903930131
2008-02-05,0.975609756097561,0.925764192139738
2008-02-06,0.9537426408746845,0.9131004366812228
2008-02-07,0.9781328847771237,0.9240174672489083
2008-02-08,0.992430613961312,0.9183406113537119
2008-02-11,0.988645920941968,1.0056768558951965
2008-02-12,0.9781328847771237,0.9982532751091704
2008-02-13,1.0340622371740957,1.0078602620087336
2008-02-14,1.005887300252313,0.9851528384279477
2008-02-15,0.996215306980656,0.9615720524017468
2008-02-19,0.9743481917577796,0.9759825327510918
2008-02-20,1.005887300252313,0.9847161572052403
2008-02-21,0.9709840201850294,0.9484716157205241
2008-02-22,0.9827586206896551,0.925764192139738
2008-02-25,0.9957947855340622,0.9681222707423582
2008-02-26,1.009671993271657,0.9816593886462883
2008-02-27,1.012615643397813,1.0240174672489084
2008-02-28,0.9890664423885618,0.9982532751091704
2008-02-29,0.9491169049621531,0.9270742358078603
2008-03-03,0.9348191757779647,0.8873362445414847
2008-03-04,0.92094196804037,0.8995633187772927
2008-03-05,0.9402859545836837,0.9174672489082971
2008-03-06,0.9087468460891505,0.8820960698689957
2008-03-07,0.9238856181665264,0.868995633187773
2008-03-10,0.9112699747687132,0.8327510917030568
2008-03-11,0.9297729184188392,0.9283842794759827
2008-03-12,0.9074852817493692,0.9179039301310044
2008-03-13,0.9276703111858704,0.9144104803493451
2008-03-14,0.8502943650126156,0.9
2008-03-17,0.8847771236333052,0.8733624454148472
2008-03-18,0.9259882253994953,0.9082969432314412
2008-03-19,0.8961312026913372,0.8720524017467249
2008-03-20,0.9428090832632464,0.946288209606987
2008-03-24,0.9831791421362489,0.997816593886463
2008-03-25,1.0050462573591252,1.025764192139738
2008-03-26,0.9987384356602186,1.0231441048034935
2008-03-27,0.9680403700588729,0.9995633187772927
2008-03-28,0.9327165685449957,0.9628820960698691
2008-03-31,0.9234650967199327,0.9965065502183407
2008-04-01,0.9482758620689655,1.023580786026201
2008-04-02,0.9705634987384355,1.0362445414847163
2008-04-03,0.997897392767031,1.0764192139737991
2008-04-04,1.0433137089991589,1.0851528384279476
2008-04-07,1.0534062237174096,1.1716157205240174
2008-04-08,1.0391084945332212,1.1589519650655022
2008-04-09,1.0340622371740957,1.1362445414847162
2008-04-10,1.0647603027754415,1.1585152838427948
2008-04-11,1.024390243902439,1.126637554585153
2008-04-14,0.9907485281749369,1.129694323144105
2008-04-15,0.9878048780487804,1.1013100436681222
2008-04-16,1.0782169890664424,1.126637554585153
2008-04-17,1.0618166526492852,1.1082969432314411
2008-04-18,1.0777964676198486,1.1087336244541486
2008-04-21,1.0883095037846928,1.1139737991266376
2008-04-22,1.056349873843566,1.100873362445415
2008-04-23,1.1080740117746004,1.0973799126637556
2008-04-24,1.1286795626576955,1.1043668122270742
2008-04-25,1.1303616484440706,1.1161572052401747
2008-04-28,1.1232127838519765,1.1065502183406115
2008-04-29,1.1505466778805717,1.0895196506550218
2008-04-30,1.137089991589571,1.1074235807860262
2008-05-01,1.1505466778805717,1.1310043668122272
2008-05-02,1.140874684608915,1.143231441048035
2008-05-05,1.1328847771236332,1.1423580786026202
2008-05-06,1.1358284272497898,1.1410480349344978
2008-05-07,1.1581160639192598,1.100873362445415
2008-05-08,1.1698906644238856,1.0991266375545854
2008-05-09,1.1568544995794785,1.0995633187772926
2008-05-12,1.1656854499579477,1.1209606986899565
2008-05-13,1.1597981497056349,1.1471615720524018
2008-05-14,1.1421362489486964,1.1624454148471617
2008-05-15,1.1606391925988226,1.1720524017467249
2008-05-16,1.1551724137931034,1.1524017467248908
2008-05-19,1.1732548359966357,1.132751091703057
2008-05-20,1.1345668629100083,1.1253275109170306
2008-05-21,1.1488645920941967,1.0943231441048036
2008-05-22,1.1459209419680403,1.117467248908297
2008-05-23,1.1143818334735072,1.1109170305676856
2008-05-27,1.1581160639192598,1.117467248908297
2008-05-28,1.169049621530698,1.1406113537117906
2008-05-29,1.1753574432296046,1.1681222707423582
2008-05-30,1.1871320437342303,1.182532751091703
2008-06-02,1.1488645920941967,1.1868995633187773
2008-06-03,1.1341463414634145,1.1646288209606988
2008-06-04,1.1669470142977292,1.165938864628821
2008-06-05,1.208578637510513,1.2034934497816594
2008-06-06,1.1921783010933558,1.1676855895196507
2008-06-09,1.1602186711522287,1.1668122270742358
2008-06-10,1.1564339781328847,1.1681222707423582
2008-06-11,1.2476871320437342,1.1572052401746726
2008-06-12,1.2506307821698905,1.18646288209607
2008-06-13,1.2590412111017661,1.2117903930131004
2008-06-16,1.2851135407905803,1.2135371179039303
2008-06-17,1.30067283431455,1.2135371179039303
2008-06-18,1.2636669470142976,1.2100436681222708
2008-06-19,1.2788057190916735,1.2065502183406114
2008-06-20,1.2657695542472667,1.182532751091703
2008-06-23,1.2304457527333894,1.1611353711790393
2008-06-24,1.1984861227922623,1.106986899563319
2008-06-25,1.2195121951219512,1.1161572052401747
2008-06-26,1.1968040370058872,1.0611353711790394
2008-06-27,1.1862910008410428,1.0611353711790394
2008-06-30,1.1623212783851977,1.025764192139738
2008-07-01,1.129520605550883,1.0275109170305678
2008-07-02,1.059714045416316,0.9707423580786027
2008-07-03,1.0340622371740957,0.9781659388646288
2008-07-07,1.0290159798149705,0.9554585152838428
2008-07-08,1.0513036164844407,1.041048034934498
2008-07-09,1.028174936921783,0.996943231441048
2008-07-10,1.0378469301934399,0.9908296943231443
2008-07-11,1.0357443229604708,0.9842794759825327
2008-07-14,1.0344827586206897,0.9598253275109171
2008-07-15,1.0319596299411269,0.972052401746725
