"","X1","CWT","TMP","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,0.987134757959006,0.959855334538879,NA,0.272727272727273,0.0779220779220779,0.555166093909106,0.0841951121865254
"3",2009-01-06,0.934365460095944,0.943037974683544,NA,0.0303030303030303,0.255411255411255,0.0274579760831478,0.660001136530814
"4",2009-01-07,0.918229393807239,0.948101265822785,NA,0.220779220779221,0.606060606060606,0.146536642611377,0.776660070630799
"5",2009-01-08,0.922808547754034,1.00976491862568,NA,0.567099567099567,0.948051948051948,0.176668993063437,0.981116527085171
"6",2009-01-09,0.901221107719145,0.983544303797468,NA,0.16017316017316,0.151515151515152,0.280864080596291,0.258351129783312
"7",2009-01-12,0.901221107719145,0.977576853526221,NA,0.463203463203463,0.411255411255411,0.516450959945431,0.42302735458942
"8",2009-01-13,0.92150021805495,0.94755877034358,NA,0.818181818181818,0.116883116883117,0.954053251859819,0.0328690334747784
"9",2009-01-14,0.888137810728303,0.922242314647378,NA,0.0735930735930736,0.142857142857143,0.133401372002642,0.35823023284153
"10",2009-01-15,0.927823811600523,0.94122965641953,NA,0.939393939393939,0.783549783549784,0.945254637435421,0.38979233190615
"11",2009-01-16,0.933275185346707,0.936708860759494,NA,0.588744588744589,0.428571428571429,0.660660203647448,0.376030989902704
"12",2009-01-20,0.904055822067161,0.882097649186257,NA,0.108225108225108,0.0346320346320346,0.399197118985138,0.0739287856043635
"13",2009-01-21,0.924116877453118,0.958408679927667,NA,0.818181818181818,0.982683982683983,0.216612819227602,0.990173758306253
"14",2009-01-22,0.921282163105102,0.894755877034358,NA,0.424242424242424,0.025974025974026,0.822461049614823,0.01216692657158
"15",2009-01-23,0.927605756650676,0.913200723327306,NA,0.614718614718615,0.783549783549784,0.455805671000864,0.810262113124136
"16",2009-01-26,0.955734845180986,0.916455696202532,NA,0.865800865800866,0.562770562770563,0.917411535876738,0.303137821002242
"17",2009-01-27,0.966419537723506,0.928209764918626,NA,0.670995670995671,0.696969696969697,0.609279525954133,0.663968335202504
"18",2009-01-28,0.964020933275185,0.969439421338156,NA,0.428571428571429,0.878787878787879,0.180905491519469,0.947537531837403
"19",2009-01-29,0.968818142171827,0.912658227848101,NA,0.567099567099567,0.0346320346320346,0.885099895217151,0.0120228236681328
"20",2009-01-30,0.948539031836023,0.906871609403255,NA,0.19047619047619,0.411255411255411,0.177885398723024,0.592722111837897
"21",2009-02-02,0.985826428259922,0.9249547920434,NA,0.922077922077922,0.779220779220779,0.92232845104999,0.439217279156924
"22",2009-02-03,0.986262538159616,0.890235081374322,NA,0.467532467532468,0.0952380952380952,0.740499644163891,0.0634112422536099
"23",2009-02-04,0.984518098560837,0.863291139240506,"TMP",0.437229437229437,0.121212121212121,0.683846292161957,0.0939658221035562
"24",2009-02-05,0.985172263410379,0.853164556962025,"TMP",0.476190476190476,0.346320346320346,0.56852861878902,0.336112393911615
"25",2009-02-06,0.999345835150458,0.899638336347197,"TMP",0.718614718614719,0.917748917748918,0.372024977101379,0.936528558056912
"26",2009-02-09,0.978848669864806,0.873417721518987,"TMP",0.19047619047619,0.134199134199134,0.349092197948971,0.206064551851097
"27",2009-02-10,0.955734845180986,0.826401446654611,"TMP",0.16017316017316,0.0346320346320346,0.504759987243529,0.0519851982762509
"28",2009-02-11,0.954862625381596,0.843580470162749,"TMP",0.441558441558442,0.783549783549784,0.268061579380037,0.866956288839475
"29",2009-02-12,0.96532926297427,0.848643761301989,"TMP",0.670995670995671,0.61038961038961,0.668195981212742,0.548321332495412
"30",2009-02-13,0.952682075883122,0.819168173598553,"TMP",0.272727272727273,0.103896103896104,0.512200094959398,0.119100363859975
"31",2009-02-17,0.937636284343655,0.781012658227848,"TMP",0.233766233766234,0.0606060606060606,0.538514799461335,0.0713895678058551
"32",2009-02-18,0.912559965111208,0.777576853526221,"TMP",0.12987012987013,0.432900432900433,0.103882828536897,0.670672338461189
"33",2009-02-19,0.896423898822503,0.766726943942134,"TMP",0.212121212121212,0.316017316017316,0.245979828955446,0.455561226793694
"34",2009-02-20,0.878761447884867,0.754068716094033,"TMP",0.19047619047619,0.277056277056277,0.237074303779,0.420895369813689
"35",2009-02-23,0.883558656781509,0.714466546112116,"TMP",0.58008658008658,0.0432900432900433,0.880122716331278,0.0159150885978318
"36",2009-02-24,0.888573920627998,0.741410488245931,"TMP",0.588744588744589,0.865800865800866,0.328328807699066,0.911941695842196
"37",2009-02-25,0.891408634976014,0.710669077757685,"TMP",0.519480519480519,0.0779220779220779,0.802169329387168,0.0424102562777533
"38",2009-02-26,0.828826864369821,0.717902350813743,"TMP",0.00432900432900433,0.662337662337662,0.000454411545860447,0.971604268557359
"39",2009-02-27,0.856083733100741,0.723327305605787,"TMP",0.887445887445887,0.627705627705628,0.925135698066245,0.335028905078999
"40",2009-03-02,0.871347579590057,0.675768535262206,"TMP",0.761904761904762,0.0303030303030303,0.962159449389702,0.00559873432091366
"41",2009-03-03,0.836894897514174,0.664556962025316,"TMP",0.0649350649350649,0.277056277056277,0.0662849652297296,0.58674995052803
"42",2009-03-04,0.867422590492804,0.659674502712477,"TMP",0.913419913419913,0.402597402597403,0.970860895223468,0.133466307661632
"43",2009-03-05,0.824901875272569,0.596745027124774,"TMP",0.038961038961039,0.00865800865800866,0.378485246045907,0.0414043154086103
"44",2009-03-06,0.851286524204099,0.587703435804702,"TMP",0.887445887445887,0.298701298701299,0.964447992558868,0.0979378273068124
