"","X1","HNT","CVO","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,1.05424321959755,1.04602510460251,NA,0.952380952380952,0.848484848484849,0.934587765331687,0.600667223539087
"3",2009-01-06,1.11111111111111,1.10878661087866,NA,0.948051948051948,0.887445887445887,0.906292972859309,0.684323712899679
"4",2009-01-07,1.17060367454068,1.06694560669456,NA,0.943722943722944,0.233766233766234,0.976833914702924,0.119686659952392
"5",2009-01-08,1.1994750656168,1.09832635983264,NA,0.831168831168831,0.779220779220779,0.782739562028935,0.667573611634493
"6",2009-01-09,1.22747156605424,1.02510460251046,"CVO",0.826839826839827,0.112554112554113,0.913382573772587,0.0529441969150425
"7",2009-01-12,1.18985126859143,0.912133891213389,"CVO",0.173160173160173,0.0303030303030303,0.48609518506254,0.0327398082643617
"8",2009-01-13,1.16272965879265,0.880753138075314,"CVO",0.229437229437229,0.255411255411255,0.281635899346943,0.334188107028743
"9",2009-01-14,1.12073490813648,0.809623430962343,"CVO",0.142857142857143,0.0735930735930736,0.326378313738463,0.115005266171454
"10",2009-01-15,1.16885389326334,0.849372384937238,"CVO",0.930735930735931,0.861471861471861,0.890067169401623,0.673145196944514
"11",2009-01-16,1.22134733158355,0.872384937238494,"CVO",0.930735930735931,0.761904761904762,0.930182058850535,0.521726189956315
"12",2009-01-20,1.13560804899388,0.805439330543933,"CVO",0.0432900432900433,0.0779220779220779,0.103435364420617,0.260819368244262
"13",2009-01-21,1.21084864391951,0.866108786610879,"CVO",0.96969696969697,0.922077922077922,0.930196895852962,0.692652074287638
"14",2009-01-22,1.25721784776903,0.817991631799163,"CVO",0.9004329004329,0.138528138528139,0.953239659485567,0.0687486995277763
"15",2009-01-23,1.2843394575678,0.736401673640167,"CVO",0.813852813852814,0.0476190476190476,0.902258764071792,0.0195573670349257
"16",2009-01-26,1.27471566054243,0.728033472803347,"CVO",0.437229437229437,0.45021645021645,0.446214548456161,0.468612726014745
"17",2009-01-27,1.30271216097988,0.740585774058577,"CVO",0.813852813852814,0.731601731601732,0.784990422299942,0.615423073488893
"18",2009-01-28,1.36307961504812,0.836820083682008,"CVO",0.935064935064935,0.978354978354978,0.685090597623025,0.943769096386728
"19",2009-01-29,1.32895888013998,0.799163179916318,"CVO",0.207792207792208,0.199134199134199,0.288811239139625,0.26993241960688
"20",2009-01-30,1.27996500437445,0.826359832635983,"CVO",0.138528138528139,0.800865800865801,0.0678042927647503,0.898366230376944
"21",2009-02-02,1.34558180227472,0.841004184100418,"CVO",0.939393939393939,0.731601731601732,0.947139601666406,0.470203477094165
"22",2009-02-03,1.46544181977253,0.799163179916318,"CVO",0.991341991341991,0.181818181818182,0.997237586379413,0.115243663052859
"23",2009-02-04,1.40507436570429,0.736401673640167,"CVO",0.121212121212121,0.0735930735930736,0.286079556697826,0.130396142510226
"24",2009-02-05,1.48906386701662,0.725941422594142,"CVO",0.961038961038961,0.41991341991342,0.984285400799138,0.210494812032947
"25",2009-02-06,1.5074365704287,0.776150627615063,"CVO",0.722943722943723,0.9004329004329,0.51688540063381,0.902665238146188
"26",2009-02-09,1.53543307086614,0.715481171548117,"CVO",0.796536796536797,0.0735930735930736,0.896346169409115,0.0320798095201125
"27",2009-02-10,1.48643919510061,0.686192468619247,"CVO",0.168831168831169,0.212121212121212,0.22268221994637,0.319770252058357
"28",2009-02-11,1.47681539807524,0.631799163179916,"CVO",0.454545454545455,0.0735930735930736,0.686337110384387,0.043080818711468
"29",2009-02-12,1.50831146106737,0.658995815899582,"CVO",0.813852813852814,0.83982683982684,0.711474178112143,0.772581256584448
"30",2009-02-13,1.52230971128609,0.686192468619247,"CVO",0.675324675324675,0.835497835497836,0.523882711544459,0.837683712558152
"31",2009-02-17,1.48643919510061,0.648535564853556,"CVO",0.225108225108225,0.142857142857143,0.363441771362802,0.177078658749237
"32",2009-02-18,1.47244094488189,0.623430962343096,"CVO",0.402597402597403,0.229437229437229,0.523069442349481,0.212559027628385
"33",2009-02-19,1.49868766404199,0.619246861924686,"CVO",0.792207792207792,0.497835497835498,0.841332022645664,0.354418059020477
"34",2009-02-20,1.46456692913386,0.592050209205021,"CVO",0.229437229437229,0.199134199134199,0.319922251390008,0.255415070498267
"35",2009-02-23,1.34820647419073,0.589958158995816,"CVO",0.038961038961039,0.528138528138528,0.0166232247495727,0.761590195093264
"36",2009-02-24,1.38582677165354,0.652719665271967,"CVO",0.848484848484849,0.961038961038961,0.575522589715988,0.948883732331582
"37",2009-02-25,1.29833770778653,0.577405857740586,"CVO",0.051948051948052,0.0303030303030303,0.230568293890447,0.0986779921011133
"38",2009-02-26,1.1758530183727,0.608786610878661,"CVO",0.0346320346320346,0.87012987012987,0.0150178063832173,0.925186422224948
"39",2009-02-27,1.15485564304462,0.596234309623431,"CVO",0.272727272727273,0.363636363636364,0.281865329598838,0.448169259160103
"40",2009-03-02,0.981627296587927,0.606694560669456,"CVO",0.00865800865800866,0.731601731601732,0.00239149879081336,0.854520284219224
"41",2009-03-03,0.984251968503937,0.510460251046025,"CVO",0.597402597402597,0.00432900432900433,0.811457100280069,0.000957758898205458
"42",2009-03-04,1.06211723534558,0.47489539748954,"CVO",0.987012987012987,0.112554112554113,0.994497036290114,0.0808200876492423
"43",2009-03-05,0.954505686789151,0.430962343096234,"CVO",0.0346320346320346,0.0606060606060606,0.100030901688045,0.241383586179903
"44",2009-03-06,0.956255468066492,0.382845188284519,"CVO",0.584415584415584,0.0303030303030303,0.795619863645402,0.0113353623966708
