"","X1","BDC","ARCC","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,0.992924528301887,1.01620029455081,NA,0.45021645021645,0.753246753246753,0.187563069303869,0.880827575081368
"3",2009-01-06,1.02169811320755,1.08836524300442,NA,0.761904761904762,0.922077922077922,0.309508270427811,0.932687026400757
"4",2009-01-07,0.983018867924528,1.01472754050074,NA,0.181818181818182,0.0735930735930736,0.607693009951133,0.0925994198886973
"5",2009-01-08,0.982075471698113,1.06627393225331,NA,0.541125541125541,0.883116883116883,0.158034783981809,0.955151733270407
"6",2009-01-09,0.956132075471698,1,NA,0.246753246753247,0.0779220779220779,0.702520774781692,0.0636204967956624
"7",2009-01-12,0.899528301886792,0.933726067746686,NA,0.0995670995670996,0.0735930735930736,0.382958845845225,0.204606964033033
"8",2009-01-13,0.849528301886793,0.924889543446245,NA,0.116883116883117,0.454545454545455,0.0455987406691589,0.839128079925884
"9",2009-01-14,0.809433962264151,0.891016200294551,NA,0.147186147186147,0.151515151515152,0.314726914890805,0.33490101555339
"10",2009-01-15,0.798584905660377,0.889543446244477,NA,0.372294372294372,0.532467532467532,0.271659636419292,0.686876080362669
"11",2009-01-16,0.668867924528302,0.90279823269514,"BDC",0.00865800865800866,0.744588744588745,0.000676038396908062,0.964990291589214
"12",2009-01-20,0.621698113207547,0.78939617083947,"BDC",0.0476190476190476,0.0173160173160173,0.525019755175816,0.0698401122259248
"13",2009-01-21,0.649056603773585,0.849779086892489,"BDC",0.861471861471861,0.935064935064935,0.460347781026653,0.887401477161154
"14",2009-01-22,0.633962264150943,0.820324005891016,"BDC",0.281385281385281,0.16017316017316,0.586684373423587,0.16984827126479
"15",2009-01-23,0.632547169811321,0.87039764359352,"BDC",0.506493506493506,0.909090909090909,0.11888903438679,0.973942362491834
"16",2009-01-26,0.632547169811321,0.883652430044183,"BDC",0.571428571428571,0.744588744588745,0.329898049476059,0.802741698892036
"17",2009-01-27,0.654716981132076,0.842415316642121,"BDC",0.800865800865801,0.112554112554113,0.969438575804539,0.016721526459041
"18",2009-01-28,0.693396226415094,0.857142857142857,"BDC",0.9004329004329,0.766233766233766,0.896525841462697,0.368981532047522
"19",2009-01-29,0.648584905660377,0.779086892488954,"BDC",0.0562770562770563,0.038961038961039,0.366867576097351,0.173741330887961
"20",2009-01-30,0.616037735849057,0.693667157584683,"BDC",0.134199134199134,0.0216450216450216,0.742136089507716,0.0204727967289496
"21",2009-02-02,0.619811320754717,0.702503681885125,"BDC",0.61038961038961,0.718614718614719,0.41896947251058,0.731714150558878
"22",2009-02-03,0.617924528301887,0.69219440353461,"BDC",0.497835497835498,0.393939393939394,0.614868105169156,0.335087165260567
"23",2009-02-04,0.647169811320755,0.630338733431517,NA,0.87012987012987,0.0476190476190476,0.981978995185351,0.00563879505236467
"24",2009-02-05,0.674528301886792,0.640648011782032,NA,0.852813852813853,0.761904761904762,0.812786172439727,0.46700168428512
"25",2009-02-06,0.733490566037736,0.678939617083947,NA,0.965367965367965,0.904761904761905,0.926506803834693,0.43196847622715
"26",2009-02-09,0.724056603773585,0.665684830633284,NA,0.376623376623377,0.329004329004329,0.498770836669291,0.359816678933603
"27",2009-02-10,0.675,0.59499263622975,NA,0.0562770562770563,0.0216450216450216,0.520218079951273,0.0767608073993262
"28",2009-02-11,0.672641509433962,0.599410898379971,NA,0.497835497835498,0.627705627705628,0.355559368764127,0.701032217668734
"29",2009-02-12,0.677358490566038,0.596465390279823,NA,0.614718614718615,0.502164502164502,0.677860382963738,0.375761987170276
"30",2009-02-13,0.668867924528302,0.597938144329897,NA,0.380952380952381,0.575757575757576,0.246722602486864,0.735280779823155
"31",2009-02-17,0.611320754716981,0.572901325478645,NA,0.038961038961039,0.125541125541126,0.0586686139696936,0.6264779660662
"32",2009-02-18,0.606132075471698,0.555228276877761,NA,0.432900432900433,0.207792207792208,0.729536770242991,0.135005366820683
"33",2009-02-19,0.586792452830189,0.537555228276878,NA,0.207792207792208,0.186147186147186,0.393049656220834,0.308691993549455
"34",2009-02-20,0.568396226415094,0.53019145802651,NA,0.207792207792208,0.402597402597403,0.152349699243809,0.692934276185565
"35",2009-02-23,0.533018867924528,0.516936671575847,NA,0.0692640692640693,0.272727272727273,0.0445268808577962,0.753437664218422
"36",2009-02-24,0.562264150943396,0.57879234167894,NA,0.891774891774892,0.974025974025974,0.336053889177377,0.961454980042428
"37",2009-02-25,0.534905660377359,0.555228276877761,NA,0.138528138528139,0.125541125541126,0.348642448754066,0.282855328928124
"38",2009-02-26,0.517452830188679,0.547864506627393,NA,0.199134199134199,0.406926406926407,0.139019408278956,0.708858215397991
"39",2009-02-27,0.503301886792453,0.53019145802651,NA,0.246753246753247,0.177489177489178,0.490746059226757,0.237201731177717
"40",2009-03-02,0.433962264150943,0.568483063328424,"BDC",0.012987012987013,0.922077922077922,0.0016438424522981,0.985124634472953
"41",2009-03-03,0.424528301886792,0.516936671575847,"BDC",0.294372294372294,0.038961038961039,0.834494853601234,0.0152528791310628
"42",2009-03-04,0.455660377358491,0.536082474226804,"BDC",0.948051948051948,0.865800865800866,0.916433610844743,0.416163995894736
"43",2009-03-05,0.407547169811321,0.472754050073638,"BDC",0.0303030303030303,0.0173160173160173,0.392277644790745,0.127947408834847
"44",2009-03-06,0.400471698113208,0.500736377025037,"BDC",0.329004329004329,0.904761904761905,0.0582496354507446,0.983018720828263
