"","X1","FELE","SIVB","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,1.02533842415828,0.983281493001555,NA,0.822510822510823,0.281385281385281,0.944073146876795,0.0879088983328281
"3",2009-01-06,1.04338771259979,1.01594090202177,NA,0.766233766233766,0.861471861471861,0.512147309316573,0.823745603263083
"4",2009-01-07,1.00624783061437,0.989113530326594,NA,0.103896103896104,0.173160173160173,0.165613956225725,0.440577241903066
"5",2009-01-08,1.01388406803193,1.01555209953344,NA,0.645021645021645,0.818181818181818,0.391132042945814,0.839786272635983
"6",2009-01-09,0.988892745574453,0.970062208398134,NA,0.220779220779221,0.0995670995670996,0.541436481538287,0.117927395710848
"7",2009-01-12,0.97709128774731,0.933125972006221,NA,0.337662337662338,0.112554112554113,0.679716685427808,0.0820505122517916
"8",2009-01-13,0.995487677889622,0.972395023328149,NA,0.774891774891775,0.896103896103896,0.460439361643036,0.877530213429385
"9",2009-01-14,0.988545643873655,0.895800933125972,NA,0.411255411255411,0.038961038961039,0.836167505239361,0.012509104905822
"10",2009-01-15,0.975702880944117,0.886080870917574,NA,0.324675324675325,0.372294372294372,0.355344880334993,0.474281960733007
"11",2009-01-16,0.967372440124957,0.877527216174184,NA,0.380952380952381,0.380952380952381,0.432590326973708,0.432590326973708
"12",2009-01-20,0.911141964595627,0.7900466562986,NA,0.025974025974026,0.0216450216450216,0.248047829959106,0.177004322498642
"13",2009-01-21,0.965636931620965,0.881804043545879,NA,0.961038961038961,0.987012987012987,0.547134656801815,0.939597954407348
"14",2009-01-22,0.926414439430753,0.851477449455676,NA,0.0865800865800866,0.134199134199134,0.171320198730109,0.394039427337316
"15",2009-01-23,0.917736896910795,0.92651632970451,NA,0.367965367965368,0.96969696969697,0.0835732751499304,0.994462867346879
"16",2009-01-26,0.93335647344672,0.910964230171073,NA,0.757575757575758,0.281385281385281,0.910118969939793,0.103275708026716
"17",2009-01-27,0.949670253384242,0.900466562986003,NA,0.766233766233766,0.363636363636364,0.895876556689101,0.153651070268216
"18",2009-01-28,0.974661575841722,0.916796267496112,NA,0.826839826839827,0.761904761904762,0.765692229588216,0.561426821625045
"19",2009-01-29,0.942034015966678,0.839035769828927,NA,0.116883116883117,0.0346320346320346,0.547125775052267,0.0576389809882618
"20",2009-01-30,0.90211732037487,0.807542768273717,NA,0.0779220779220779,0.112554112554113,0.179942392182828,0.360961475969212
"21",2009-02-02,0.895175286358903,0.793157076205288,NA,0.385281385281385,0.272727272727273,0.54755882732748,0.267113396022325
"22",2009-02-03,0.895522388059702,0.787713841368585,NA,0.536796536796537,0.428571428571429,0.61495495861177,0.366087298988138
"23",2009-02-04,0.904547032280458,0.794712286158632,NA,0.675324675324675,0.683982683982684,0.590653537230916,0.613028928662592
"24",2009-02-05,0.923984727525165,0.816874027993779,NA,0.783549783549784,0.822510822510823,0.608033978103204,0.734623698548692
"25",2009-02-06,0.979520999652898,0.896189735614308,NA,0.961038961038961,0.974025974025974,0.693055744718196,0.855282471701369
"26",2009-02-09,0.976744186046512,0.898522550544324,NA,0.476190476190476,0.619047619047619,0.362868893372199,0.68799694652158
"27",2009-02-10,0.921555015619577,0.795101088646967,NA,0.025974025974026,0.0173160173160173,0.293213803227273,0.138646685700283
"28",2009-02-11,0.911836167997223,0.819206842923795,NA,0.350649350649351,0.835497835497836,0.119092244189944,0.941842062286718
"29",2009-02-12,0.900728913571677,0.79393468118196,NA,0.337662337662338,0.151515151515152,0.62524035146917,0.129382971019688
"30",2009-02-13,0.899340506768483,0.76244167962675,"SIVB",0.493506493506494,0.0995670995670996,0.824256108796815,0.04005521007313
"31",2009-02-17,0.860118014578272,0.711119751166407,"SIVB",0.0779220779220779,0.038961038961039,0.406102209618936,0.111613629449397
"32",2009-02-18,0.830614370010413,0.681181959564541,"SIVB",0.108225108225108,0.0995670995670996,0.291776768159325,0.248977537572207
"33",2009-02-19,0.800416522040958,0.629860031104199,"SIVB",0.0952380952380952,0.038961038961039,0.464648745584593,0.0880569817878626
"34",2009-02-20,0.775425199583478,0.621695178849145,"SIVB",0.142857142857143,0.350649350649351,0.11258853030272,0.653118436844828
"35",2009-02-23,0.744533148212426,0.598367029548989,"SIVB",0.0865800865800866,0.112554112554113,0.204419348914882,0.336323710232578
"36",2009-02-24,0.755987504338771,0.643856920684292,"SIVB",0.735930735930736,0.961038961038961,0.258459575517501,0.977305003378327
"37",2009-02-25,0.734120097188476,0.626360808709176,"SIVB",0.173160173160173,0.168831168831169,0.319195650427786,0.303834560169517
"38",2009-02-26,0.747309961818813,0.643468118195957,"SIVB",0.766233766233766,0.818181818181818,0.582315903463499,0.745563618665201
"39",2009-02-27,0.763623741756335,0.635692068429238,"SIVB",0.792207792207792,0.359307359307359,0.914668938645267,0.140057168249345
"40",2009-03-02,0.719888927455745,0.596811819595645,"SIVB",0.025974025974026,0.0562770562770563,0.0963466669718307,0.40326788150464
"41",2009-03-03,0.657063519611246,0.55054432348367,"SIVB",0.012987012987013,0.038961038961039,0.0604020455926516,0.452865343198185
"42",2009-03-04,0.685178757375911,0.537325038880249,"SIVB",0.913419913419913,0.203463203463203,0.981276645075383,0.0480274589872494
"43",2009-03-05,0.601874349184311,0.468118195956454,"SIVB",0.00432900432900433,0.0173160173160173,0.038810333744544,0.48176455279305
"44",2009-03-06,0.624783061437001,0.468895800933126,"SIVB",0.883116883116883,0.601731601731602,0.930638528236448,0.264153287658279
