,VIAB,FOXA
2008-02-01,1.0,1.0
2008-02-04,0.9987392839132628,0.9969088098918084
2008-02-05,0.9679778113968736,1.0097887686759404
2008-02-06,0.9851235501765003,1.0139103554868625
2008-02-07,0.9863842662632375,1.0267903142709942
2008-02-08,0.9947049924357036,1.0118495620814014
2008-02-11,0.9931921331316188,1.0051519835136529
2008-02-12,1.0121028744326779,0.9979392065945389
2008-02-13,1.0269793242561776,0.9917568263781555
2008-02-14,1.0191628845184066,0.9881504379185987
2008-02-15,1.0244578920827032,1.0
2008-02-19,1.0252143217347454,0.9922720247295209
2008-02-20,1.0335350479072114,0.9871200412158682
2008-02-21,1.0196671709531013,0.9706336939721792
2008-02-22,1.0390821986888554,0.9819680577022153
2008-02-25,1.06732223903177,1.003606388459557
2008-02-26,1.0695915279878974,0.9984544049459041
2008-02-27,1.0564800806858297,1.0061823802163834
2008-02-28,1.0413514876449823,0.9891808346213292
2008-02-29,1.002269288956127,0.9484801648634724
2008-03-03,1.0100857286938982,0.9520865533230294
2008-03-04,1.0068078668683813,0.9592993302421433
2008-03-05,1.0148764498235,0.964451313755796
2008-03-06,0.9957135653050935,0.9536321483771253
2008-03-07,0.9909228441754917,0.9386913961875322
2008-03-10,0.9677256681795261,0.9206594538897476
2008-03-11,0.9669692385274837,0.9422977846470891
2008-03-12,0.9649520927887042,0.9567233384853169
2008-03-13,0.9737771053958648,0.9520865533230294
2008-03-14,0.9619263741805346,0.9258114374034002
2008-03-17,0.9578920827029754,0.9258114374034002
2008-03-18,0.9936964195663137,0.9520865533230294
2008-03-19,0.9909228441754917,0.9541473467284904
2008-03-20,0.9790721129601614,0.9469345698093765
2008-03-24,1.0,0.9768160741885626
2008-03-25,1.0075642965204237,0.9860896445131376
2008-03-26,0.9979828542612205,0.9721792890262752
2008-03-27,0.997730711043873,0.9603297269448738
2008-03-28,0.9831064044377208,0.9469345698093765
2008-03-31,0.9989914271306102,0.9659969088098918
2008-04-01,1.0315179021684318,1.009273570324575
2008-04-02,1.0269793242561776,1.009273570324575
2008-04-03,1.0209278870398388,1.011334363730036
2008-04-04,1.017145738779627,0.9912416280267903
2008-04-07,1.0282400403429148,1.0082431736218445
2008-04-08,1.0363086232980334,0.9917568263781555
2008-04-09,1.0284921835602623,0.9757856774858321
2008-04-10,1.0254664649520928,0.9732096857290057
2008-04-11,0.9962178517397883,0.9489953632148378
2008-04-14,0.9904185577407969,0.9052035033487893
2008-04-15,0.9846192637418053,0.8959299330242143
2008-04-16,0.9896621280887545,0.9082946934569809
2008-04-17,1.0090771558245084,0.9314786192684182
2008-04-18,1.0153807362581948,0.9541473467284904
2008-04-21,1.0025214321734746,0.9510561566202989
2008-04-22,0.9873928391326273,0.9252962390520351
2008-04-23,0.9899142713061019,0.9165378670788253
2008-04-24,1.0017650025214322,0.9155074703760948
2008-04-25,0.9757942511346447,0.9170530654301906
2008-04-28,0.9725163893091276,0.9077794951056157
2008-04-29,0.979324256177509,0.9119010819165378
2008-04-30,0.9692385274836107,0.9222050489438433
2008-05-01,1.0020171457387799,0.949510561566203
2008-05-02,0.9896621280887545,0.9582689335394128
2008-05-05,0.9639435199193142,0.9582689335394128
2008-05-06,0.9720121028744327,0.9685729005667182
2008-05-07,0.962682803832577,0.9489953632148378
2008-05-08,0.9712556732223905,0.9706336939721792
2008-05-09,0.9657085224407463,0.9526017516743945
2008-05-12,0.9808371154815936,0.9613601236476044
2008-05-13,0.9959657085224408,0.9850592478104071
2008-05-14,1.0073121533030762,0.9783616692426583
2008-05-15,1.0080685829551186,0.988665636269964
2008-05-16,1.000504286434695,0.990726429675425
2008-05-19,0.9873928391326273,0.9922720247295209
2008-05-20,0.9863842662632375,0.9835136527563112
2008-05-21,0.988905698436712,0.9726944873776403
2008-05-22,0.984367120524458,0.9814528593508501
2008-05-23,0.9662128088754414,0.9567233384853169
2008-05-27,0.9657085224407463,0.9726944873776403
2008-05-28,0.9200706001008574,0.9659969088098918
2008-05-29,0.8983862834089764,0.9453889747552808
2008-05-30,0.903177004538578,0.9247810407006697
2008-06-02,0.8988905698436712,0.9175682637815559
2008-06-03,0.894856278366112,0.9160226687274601
2008-06-04,0.8890569843671206,0.9242658423493045
2008-06-05,0.902672718103883,0.9402369912416281
2008-06-06,0.8656076651538074,0.893353941267388
2008-06-09,0.8552697932425619,0.8907779495105616
2008-06-10,0.8514876449823501,0.8918083462132921
2008-06-11,0.8378719112455875,0.88768675940237
2008-06-12,0.8287947554210792,0.8923235445646575
2008-06-13,0.8532526475037823,0.9263266357547656
2008-06-16,0.840393343419062,0.9170530654301906
2008-06-17,0.8282904689863844,0.8948995363214838
2008-06-18,0.8197175995965709,0.8856259659969089
2008-06-19,0.808623298033283,0.8778979907264296
2008-06-20,0.7942511346444782,0.8377125193199383
2008-06-23,0.756933938477055,0.8294693456980938
2008-06-24,0.7854261220373172,0.8289541473467285
2008-06-25,0.7950075642965205,0.8485316846986088
2008-06-26,0.7788703983862835,0.8155589902112313
2008-06-27,0.7705496722138174,0.7949510561566203
2008-06-30,0.7700453857791226,0.7748583204533745
2008-07-01,0.7657589510842159,0.764554353426069
2008-07-02,0.756933938477055,0.7424008243173622
2008-07-03,0.7481089258698942,0.7501287995878413
2008-07-07,0.7254160363086234,0.7424008243173622
2008-07-08,0.7281896116994453,0.762493560020608
2008-07-09,0.7034795763993948,0.7408552292632664
2008-07-10,0.7090267271810389,0.7501287995878413
2008-07-11,0.708018154311649,0.7367336424523442
2008-07-14,0.7100353000504287,0.731066460587326
