,SIRI,KEM
2008-02-01,1.0,1.0
2008-02-04,0.9879452551436599,1.0225988700564972
2008-02-05,0.942626665458171,0.9529190207156308
2008-02-06,0.9456479047705368,0.9529190207156308
2008-02-07,0.9456479047705368,0.9378531073446329
2008-02-08,0.9637753406447325,0.9322033898305085
2008-02-11,0.9486691440829029,0.92090395480226
2008-02-12,0.9365841868334391,0.9020715630885123
2008-02-13,0.9607541013323666,0.9491525423728814
2008-02-14,0.9637753406447325,0.9020715630885123
2008-02-15,0.9758602978941963,0.8907721280602638
2008-02-19,0.9365841868334391,0.8851224105461395
2008-02-20,0.9063717937097798,0.9171374764595105
2008-02-21,0.8822018792108524,0.8945386064030133
2008-02-22,0.8822018792108524,0.903954802259887
2008-02-25,0.9184567509592435,0.9416195856873824
2008-02-26,0.9214779902716094,0.9472693032015067
2008-02-27,0.8882443578355842,0.992467043314501
2008-02-28,0.8852231185232183,0.9303201506591339
2008-02-29,0.8580319647119248,0.9340866290018833
2008-03-03,0.8368832895253634,0.9227871939736347
2008-03-04,0.8459470074624611,0.9020715630885123
2008-03-05,0.8580319647119248,0.8851224105461395
2008-03-06,0.8278195715882656,0.8305084745762713
2008-03-07,0.8247983322758996,0.8342749529190208
2008-03-10,0.8036496570893381,0.7871939736346516
2008-03-11,0.8308408109006314,0.800376647834275
2008-03-12,0.8701169219613886,0.792843691148776
2008-03-13,0.8580319647119248,0.8041431261770244
2008-03-14,0.8247983322758996,0.7984934086629003
2008-03-17,0.8127133750264358,0.7457627118644068
2008-03-18,0.8247983322758996,0.792843691148776
2008-03-19,0.8429257681500952,0.7627118644067797
2008-03-20,0.8761594005861204,0.7551789077212806
2008-03-24,0.9516903833952688,0.7966101694915255
2008-03-25,0.9335629475210732,0.8210922787193975
2008-03-26,0.9124142723345117,0.7890772128060265
2008-03-27,0.8550107253995589,0.7871939736346516
2008-03-28,0.8459470074624611,0.7664783427495293
2008-03-31,0.8640744433366567,0.760828625235405
2008-04-01,0.8731381612737545,0.7984934086629003
2008-04-02,0.8580319647119248,0.824858757062147
2008-04-03,0.8429257681500952,0.8079096045197741
2008-04-04,0.8429257681500952,0.832391713747646
2008-04-07,0.8278195715882656,0.8229755178907722
2008-04-08,0.8127133750264358,0.8116760828625236
2008-04-09,0.7885434605275083,0.792843691148776
2008-04-10,0.7704160246533128,0.8135593220338985
2008-04-11,0.7492673494667513,0.7984934086629003
2008-04-14,0.7371823922172875,0.7909604519774012
2008-04-15,0.7281186742801898,0.7890772128060265
2008-04-16,0.7402036315296535,0.7984934086629003
2008-04-17,0.7311399135925557,0.800376647834275
2008-04-18,0.7492673494667513,0.824858757062147
2008-04-21,0.7402036315296535,0.8380414312617703
2008-04-22,0.7794797425904106,0.8210922787193975
2008-04-23,0.8006284177769721,0.8418079096045198
2008-04-24,0.8247983322758996,0.864406779661017
2008-04-25,0.8127133750264358,0.7815442561205275
2008-04-28,0.8127133750264358,0.7758945386064031
2008-04-29,0.8157346143388019,0.7627118644067797
2008-04-30,0.7764585032780447,0.7664783427495293
2008-05-01,0.8127133750264358,0.7890772128060265
2008-05-02,0.8157346143388019,0.7947269303201506
2008-05-05,0.806670896401704,0.7853107344632769
2008-05-06,0.8429257681500952,0.7966101694915255
2008-05-07,0.8459470074624611,0.7702448210922788
2008-05-08,0.8550107253995589,0.7664783427495293
2008-05-09,0.8247983322758996,0.7664783427495293
2008-05-12,0.8670956826490227,0.7815442561205275
2008-05-13,0.8550107253995589,0.7721280602636534
2008-05-14,0.8489682467748271,0.7438794726930321
2008-05-15,0.8459470074624611,0.7457627118644068
2008-05-16,0.8217770929635337,0.7363465160075331
2008-05-19,0.806670896401704,0.7325800376647835
2008-05-20,0.7915646998398744,0.7758945386064031
2008-05-21,0.7794797425904106,0.7645951035781544
2008-05-22,0.7945859391522403,0.7589453860640303
2008-05-23,0.7825009819027765,0.7457627118644068
2008-05-27,0.7855222212151425,0.7438794726930321
2008-05-28,0.7734372639656788,0.7532956685499059
2008-05-29,0.7825009819027765,0.7551789077212806
2008-05-30,0.761352306716215,0.7589453860640303
2008-06-02,0.7673947853409469,0.7532956685499059
2008-06-03,0.7764585032780447,0.7551789077212806
2008-06-04,0.8036496570893381,0.760828625235405
2008-06-05,0.8157346143388019,0.7815442561205275
2008-06-06,0.7764585032780447,0.7815442561205275
2008-06-09,0.7764585032780447,0.7551789077212806
2008-06-10,0.7704160246533128,0.7589453860640303
2008-06-11,0.7402036315296535,0.7514124293785311
2008-06-12,0.7250974349678239,0.7382297551789078
2008-06-13,0.7673947853409469,0.7532956685499059
2008-06-16,0.7915646998398744,0.7532956685499059
2008-06-17,0.7553098280914832,0.7363465160075331
2008-06-18,0.7341611529049217,0.7250470809792844
2008-06-19,0.6435239735339436,0.7363465160075331
2008-06-20,0.6012266231608205,0.7024482109227872
2008-06-23,0.583099187286625,0.6892655367231639
2008-06-24,0.5619505121000635,0.6685499058380414
2008-06-25,0.583099187286625,0.6685499058380414
2008-06-26,0.5528867941629657,0.6384180790960453
2008-06-27,0.6344602555968459,0.64030131826742
2008-06-30,0.580077947974259,0.6101694915254238
2008-07-01,0.5891416659113569,0.6101694915254238
2008-07-02,0.5770567086618931,0.5894538606403014
2008-07-03,0.580077947974259,0.568738229755179
2008-07-07,0.5982053838484547,0.568738229755179
2008-07-08,0.6042478624731865,0.576271186440678
2008-07-09,0.6042478624731865,0.5574387947269304
2008-07-10,0.6435239735339436,0.5593220338983051
2008-07-11,0.6435239735339436,0.5555555555555556
2008-07-14,0.6223752983473821,0.5216572504708098
