,AGII,GAS
2008-02-01,1.0,1.0
2008-02-04,0.9915356711003627,1.014820592823713
2008-02-05,0.9714631197097945,0.983879355174207
2008-02-06,0.966384522370012,0.9784191367654707
2008-02-07,0.9673518742442563,0.9557982319292772
2008-02-08,0.9629987908101572,0.9599583983359334
2008-02-11,0.9467956469165658,0.9589183567342694
2008-02-12,0.9487303506650543,0.9646385855434217
2008-02-13,0.9683192261185005,0.9474778991159646
2008-02-14,0.9322853688029019,0.9472178887155486
2008-02-15,0.9199516324062877,0.9459178367134686
2008-02-19,0.9204353083434099,0.9430577223088924
2008-02-20,0.9272067714631198,0.9490379615184608
2008-02-21,0.9081015719467955,0.9300572022880916
2008-02-22,0.9076178960096735,0.9269370774830993
2008-02-25,0.9085852478839177,0.9469578783151327
2008-02-26,0.9095525997581619,0.9474778991159646
2008-02-27,0.9177750906892382,0.9401976079043161
2008-02-28,0.909794437726723,0.9308372334893394
2008-02-29,0.9049576783555018,0.9017160686427457
2008-03-03,0.8938331318016929,0.9108164326573063
2008-03-04,0.9153567110036276,0.924076963078523
2008-03-05,0.8964933494558646,0.9186167446697867
2008-03-06,0.8865779927448608,0.8954758190327612
2008-03-07,0.8778718258766626,0.8983359334373374
2008-03-10,0.8679564691656589,0.8933957358294331
2008-03-11,0.8853688029020556,0.9043161726469059
2008-03-12,0.8573155985489722,0.8959958398335933
2008-03-13,0.8495767835550182,0.9030161206448257
2008-03-14,0.8282950423216444,0.8952158086323453
2008-03-17,0.8055622732769046,0.8793551742069683
2008-03-18,0.8166868198307135,0.8941757670306812
2008-03-19,0.8261185006045948,0.8835153406136245
2008-03-20,0.8437726723095526,0.8829953198127926
2008-03-24,0.8474002418379685,0.8889755590223608
2008-03-25,0.8519951632406286,0.8972958918356734
2008-03-26,0.8674727932285368,0.8788351534061362
2008-03-27,0.8331318016928658,0.8853354134165365
2008-03-28,0.8370012091898428,0.8801352054082163
2008-03-31,0.8590084643288997,0.8923556942277691
2008-04-01,0.8752116082224909,0.9170566822672908
2008-04-02,0.8817412333736396,0.907696307852314
2008-04-03,0.8848851269649336,0.8996359854394176
2008-04-04,0.8590084643288997,0.8853354134165365
2008-04-07,0.8532043530834341,0.8996359854394176
2008-04-08,0.8500604594921402,0.9001560062402495
2008-04-09,0.8428053204353083,0.8910556422256891
2008-04-10,0.8367593712212817,0.8848153926157046
2008-04-11,0.8234582829504231,0.8801352054082163
2008-04-14,0.8198307134220072,0.8819552782111285
2008-04-15,0.8391777509068924,0.8892355694227769
2008-04-16,0.8500604594921402,0.9170566822672908
2008-04-17,0.8340991535671101,0.9152366094643787
2008-04-18,0.837484885126965,0.9201768070722829
2008-04-21,0.8326481257557437,0.9118564742589703
2008-04-22,0.8292623941958887,0.9030161206448257
2008-04-23,0.8285368802902054,0.906396255850234
2008-04-24,0.8466747279322853,0.9121164846593863
2008-04-25,0.8503022974607012,0.9126365054602185
2008-04-28,0.8665054413542925,0.9123764950598025
2008-04-29,0.8638452237001208,0.9100364014560582
2008-04-30,0.8662636033857315,0.8840353614144566
2008-05-01,0.8749697702539299,0.9141965678627144
2008-05-02,0.8742442563482467,0.9092563702548101
2008-05-05,0.8573155985489722,0.9243369734789391
2008-05-06,0.9136638452237001,0.9313572542901716
2008-05-07,0.8972188633615478,0.9271970878835152
2008-05-08,0.9051995163240628,0.9284971398855955
2008-05-09,0.9151148730350666,0.9313572542901716
2008-05-12,0.9238210399032648,0.9425377015080603
2008-05-13,0.9252720677146311,0.9446177847113884
2008-05-14,0.9233373639661426,0.9474778991159646
2008-05-15,0.928415961305925,0.9422776911076444
2008-05-16,0.9095525997581619,0.9287571502860114
2008-05-19,0.9076178960096735,0.9331773270930838
2008-05-20,0.9139056831922612,0.9295371814872595
2008-05-21,0.9194679564691657,0.9256370254810192
2008-05-22,0.9216444981862152,0.9282371294851794
2008-05-23,0.9141475211608221,0.9152366094643787
2008-05-27,0.9165659008464329,0.921996879875195
2008-05-28,0.9143893591293834,0.9271970878835152
2008-05-29,0.9276904474002418,0.9373374934997399
2008-05-30,0.9332527206771464,0.9282371294851794
2008-06-02,0.9259975816203143,0.9290171606864274
2008-06-03,0.9310761789600968,0.9282371294851794
2008-06-04,0.9424425634824667,0.9347373894955798
2008-06-05,0.9567110036275696,0.9469578783151327
2008-06-06,0.9419588875453446,0.9331773270930838
2008-06-09,0.9257557436517533,0.9329173166926678
2008-06-10,0.9342200725513906,0.9193967758710349
2008-06-11,0.9168077388149939,0.906136245449818
2008-06-12,0.9214026602176542,0.891575663026521
2008-06-13,0.920918984280532,0.8900156006240248
2008-06-16,0.9187424425634825,0.8861154446177847
2008-06-17,0.9039903264812575,0.8879355174206968
2008-06-18,0.8996372430471584,0.9001560062402495
2008-06-19,0.9325272067714632,0.8985959438377535
2008-06-20,0.9199516324062877,0.891575663026521
2008-06-23,0.8943168077388148,0.8881955278211128
2008-06-24,0.8756952841596131,0.8718148725949038
2008-06-25,0.8781136638452237,0.8822152886115444
2008-06-26,0.8415961305925029,0.8824752990119604
2008-06-27,0.8108827085852479,0.8824752990119604
2008-06-30,0.8116082224909311,0.8991159646385855
2008-07-01,0.8246674727932285,0.889755590223609
2008-07-02,0.8357920193470375,0.8725949037961519
2008-07-03,0.8343409915356711,0.8507540301612064
2008-07-07,0.8345828295042321,0.857774310972439
2008-07-08,0.8510278113663844,0.874414976599064
2008-07-09,0.8203143893591294,0.8850754030161206
2008-07-10,0.8205562273276904,0.8772750910036402
2008-07-11,0.8091898428053205,0.8788351534061362
