"","X1","SJW","ACE","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,1.00068004080245,0.993022817273241,NA,0.502164502164502,0.38961038961039,0.572475795818613,0.362168321288705
"3",2009-01-06,0.989799387963278,0.968319818970394,NA,0.346320346320346,0.16017316017316,0.563295178212882,0.154884196013734
"4",2009-01-07,0.962937776266576,0.928719592683387,NA,0.19047619047619,0.0692640692640693,0.499924117951611,0.0953844864134873
"5",2009-01-08,0.955457327439646,0.933433905336602,NA,0.38961038961039,0.597402597402597,0.309858923458948,0.687101012006926
"6",2009-01-09,0.921795307718463,0.938148217989817,NA,0.138528138528139,0.597402597402597,0.0661580453165892,0.83113320636375
"7",2009-01-12,0.903434206052363,0.890062228927022,NA,0.246753246753247,0.0606060606060606,0.610211167409348,0.0609135185880106
"8",2009-01-13,0.929955797347841,0.926645295115972,NA,0.835497835497836,0.904761904761905,0.586032661912823,0.854209371806791
"9",2009-01-14,0.901054063243795,0.898925136715067,NA,0.155844155844156,0.125541125541126,0.320897360956583,0.225023334529975
"10",2009-01-15,0.923835430125808,0.918159532340185,NA,0.792207792207792,0.80952380952381,0.674622739740036,0.723387482615027
"11",2009-01-16,0.923835430125808,0.938525363002074,NA,0.497835497835498,0.813852813852814,0.284849745998765,0.879114052608287
"12",2009-01-20,0.851071064263856,0.872524985857062,NA,0.0346320346320346,0.038961038961039,0.184287125895445,0.223098977175914
"13",2009-01-21,0.901394083645019,0.900433716764096,NA,0.935064935064935,0.87012987012987,0.885858497568048,0.564516437425494
"14",2009-01-22,0.880992859571574,0.847633415048086,NA,0.220779220779221,0.0476190476190476,0.615786458936418,0.0500115015747362
"15",2009-01-23,0.873512410744645,0.83217046954554,NA,0.380952380952381,0.212121212121212,0.552112263634741,0.204730045698511
"16",2009-01-26,0.896633798027882,0.846690552517443,NA,0.818181818181818,0.770562770562771,0.758503538270499,0.627736894478995
"17",2009-01-27,0.924175450527032,0.855742032811616,NA,0.844155844155844,0.67965367965368,0.854395471684557,0.456651827569855
"18",2009-01-28,0.934716082964978,0.920610974919857,NA,0.662337662337662,0.965367965367965,0.18974291727497,0.98601827307467
"19",2009-01-29,0.912614756885413,0.850839147652272,NA,0.212121212121212,0.0346320346320346,0.656376139992922,0.0339772242656946
"20",2009-01-30,0.914314858891534,0.823307561757496,NA,0.519480519480519,0.112554112554113,0.794166922443436,0.0592083675801152
"21",2009-02-02,0.95239714382863,0.813690363944937,"ACE",0.878787878787879,0.307359307359307,0.959583421275639,0.097366380164519
"22",2009-02-03,0.965997959877593,0.80652460871205,"ACE",0.692640692640693,0.367965367965368,0.800254305973617,0.236249476938016
"23",2009-02-04,0.949676980618837,0.822930416745239,"ACE",0.277056277056277,0.787878787878788,0.117181630844087,0.908947847660308
"24",2009-02-05,0.9449166950017,0.837261927211013,"ACE",0.424242424242424,0.770562770562771,0.24632054292252,0.857289932652914
"25",2009-02-06,0.968038082284937,0.838581934753913,"ACE",0.783549783549784,0.541125541125541,0.833997222954383,0.357449689520384
"26",2009-02-09,0.95239714382863,0.85385630775033,"ACE",0.29004329004329,0.787878787878788,0.12619199289958,0.90594567663989
"27",2009-02-10,0.955117307038422,0.793324533283047,"ACE",0.532467532467532,0.038961038961039,0.892695360141956,0.011292288299864
"28",2009-02-11,0.966337980278817,0.826136149349425,"ACE",0.662337662337662,0.904761904761905,0.335675687059095,0.933083828798918
"29",2009-02-12,0.979258755525332,0.844239109937771,"ACE",0.675324675324675,0.813852813852814,0.491052220066287,0.815687074956568
"30",2009-02-13,0.9816388983339,0.798227418442391,"ACE",0.523809523809524,0.051948051948052,0.868792248041847,0.0180915563576319
"31",2009-02-17,0.957157429445767,0.766735809918914,"ACE",0.203463203463203,0.0692640692640693,0.521611677007657,0.0892211971162506
"32",2009-02-18,0.913974838490309,0.758061474636998,"ACE",0.0995670995670996,0.316017316017316,0.0904026587908002,0.612489485165145
"33",2009-02-19,0.893573614416865,0.768432962474071,"ACE",0.220779220779221,0.735930735930736,0.0950081916766985,0.888941048403632
"34",2009-02-20,0.863991839510371,0.742598529134452,"ACE",0.147186147186147,0.103896103896104,0.340206697336073,0.192298608233035
"35",2009-02-23,0.852771166269976,0.685649632283613,"ACE",0.329004329004329,0.0346320346320346,0.779364141625839,0.0192748977758835
"36",2009-02-24,0.865351921115267,0.731849896285122,"ACE",0.701298701298701,0.952380952380952,0.259315601073958,0.973424472422983
"37",2009-02-25,0.838830329819789,0.726569866113521,"ACE",0.16017316017316,0.38961038961039,0.138006215604031,0.615888153944973
"38",2009-02-26,0.78884733083985,0.726192721101263,"ACE",0.0649350649350649,0.510822510822511,0.0264646612320676,0.843154399589916
"39",2009-02-27,0.783747024821489,0.688478219875542,"ACE",0.406926406926407,0.0562770562770563,0.785532814936802,0.0295397589497707
"40",2009-03-02,0.747704862291737,0.675843861964926,"ACE",0.0952380952380952,0.212121212121212,0.127212816676555,0.474322012020771
"41",2009-03-03,0.695681740904454,0.640203658306619,"ACE",0.0432900432900433,0.0562770562770563,0.169954689979943,0.260273570192847
"42",2009-03-04,0.713362801768106,0.659438053931737,"ACE",0.800865800865801,0.865800865800866,0.605855261030459,0.812626042887477
"43",2009-03-05,0.669160149608977,0.600980577031869,"ACE",0.0649350649350649,0.025974025974026,0.387190429746301,0.0874720346880657
"44",2009-03-06,0.665759945596736,0.612860644917971,"ACE",0.424242424242424,0.787878787878788,0.23488383704028,0.873471533702645
