"","X1","ATO","ES","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,0.991307947019867,1.02222222222222,NA,0.294372294372294,0.883116883116883,0.0791379782389331,0.962514043575402
"3",2009-01-06,0.995033112582781,1.01893004115226,NA,0.623376623376623,0.432900432900433,0.688120723912145,0.325921832896101
"4",2009-01-07,0.985927152317881,1.01316872427984,NA,0.281385281385281,0.354978354978355,0.29852325694075,0.462412610245639
"5",2009-01-08,0.978890728476821,1.02510288065844,NA,0.337662337662338,0.796536796536797,0.141889724254473,0.900334629071008
"6",2009-01-09,0.991307947019867,1.02427983539095,NA,0.792207792207792,0.510822510822511,0.846003772990274,0.30306681478298
"7",2009-01-12,0.998344370860927,1.00534979423868,NA,0.705627705627706,0.186147186147186,0.890899758372465,0.0646680904221029
"8",2009-01-13,0.992549668874172,0.974897119341564,NA,0.367965367965368,0.0779220779220779,0.76019494992697,0.0430100244982717
"9",2009-01-14,0.98385761589404,0.962551440329218,NA,0.285714285714286,0.225108225108225,0.422412796170138,0.270980062815452
"10",2009-01-15,0.989652317880795,0.957201646090535,NA,0.670995670995671,0.354978354978355,0.782495269113741,0.213972817698604
"11",2009-01-16,1.01117549668874,0.979012345679012,NA,0.917748917748918,0.883116883116883,0.82692098401546,0.666057285194498
"12",2009-01-20,0.975579470198676,0.954732510288066,NA,0.0432900432900433,0.116883116883117,0.0840040467115236,0.517609882823999
"13",2009-01-21,0.998758278145695,0.962139917695473,NA,0.926406926406926,0.731601731601732,0.936942041885378,0.374764630648115
"14",2009-01-22,0.986341059602649,0.966666666666667,NA,0.212121212121212,0.67965367965368,0.0871922371170524,0.861115035639794
"15",2009-01-23,0.990066225165563,0.961728395061728,NA,0.623376623376623,0.367965367965368,0.725190596303292,0.251176692088891
"16",2009-01-26,1.00662251655629,0.995884773662551,NA,0.852813852813853,0.952380952380952,0.471649787012915,0.934006732678591
"17",2009-01-27,1.02193708609272,0.994238683127572,NA,0.831168831168831,0.463203463203463,0.898184431687466,0.225715121639996
"18",2009-01-28,1.02814569536424,0.98477366255144,NA,0.67965367965368,0.281385281385281,0.826619862362438,0.141556504551143
"19",2009-01-29,1.0260761589404,0.989711934156379,NA,0.489177489177489,0.67965367965368,0.358549655532598,0.725428312615569
"20",2009-01-30,1.01614238410596,0.979423868312757,NA,0.246753246753247,0.251082251082251,0.335223792843325,0.34624720343863
"21",2009-02-02,1.03683774834437,0.988888888888889,NA,0.917748917748918,0.770562770562771,0.912840342292268,0.449591719885833
"22",2009-02-03,1.03021523178808,0.996707818930041,NA,0.350649350649351,0.731601731601732,0.181649704002389,0.842356755989103
"23",2009-02-04,1.01945364238411,1.03086419753086,NA,0.238095238095238,0.952380952380952,0.0323151862403616,0.992218417096331
"24",2009-02-05,1.05132450331126,1.02510288065844,NA,0.961038961038961,0.354978354978355,0.991722039953883,0.0610975535981925
"25",2009-02-06,1.07408940397351,1.02674897119342,NA,0.917748917748918,0.571428571428571,0.954925585740409,0.230624365273922
"26",2009-02-09,1.07201986754967,1.01028806584362,"ES",0.489177489177489,0.203463203463203,0.703217541959969,0.133372172177471
"27",2009-02-10,1.0625,0.986008230452675,"ES",0.285714285714286,0.121212121212121,0.5775728173035,0.118392030327196
"28",2009-02-11,1.04470198675497,0.973662551440329,"ES",0.134199134199134,0.225108225108225,0.176801761548214,0.458978753595649
"29",2009-02-12,1.05132450331126,0.987242798353909,"ES",0.67965367965368,0.826839826839827,0.474866555021245,0.822666733799298
"30",2009-02-13,1.04263245033113,0.988477366255144,"ES",0.307359307359307,0.567099567099567,0.211963178072631,0.701489754485018
"31",2009-02-17,1.0078642384106,0.952674897119342,"ES",0.0476190476190476,0.051948051948052,0.224470196978538,0.263182597015898
"32",2009-02-18,0.990066225165563,0.920576131687243,"ES",0.125541125541126,0.0692640692640693,0.423209993060202,0.142304943485234
"33",2009-02-19,0.991721854304636,0.931275720164609,"ES",0.571428571428571,0.796536796536797,0.368154283353524,0.829385515556756
"34",2009-02-20,0.964817880794702,0.907818930041152,"ES",0.0606060606060606,0.112554112554113,0.135862392197169,0.422187104142463
"35",2009-02-23,0.936258278145695,0.895884773662551,"ES",0.051948051948052,0.225108225108225,0.0459756862378565,0.679092776805771
"36",2009-02-24,0.931705298013245,0.921810699588477,"ES",0.393939393939394,0.930735930735931,0.101677215651622,0.977813086678316
"37",2009-02-25,0.932119205298013,0.911522633744856,"ES",0.554112554112554,0.242424242424242,0.734989715551761,0.149638138649627
"38",2009-02-26,0.918460264900662,0.905761316872428,"ES",0.164502164502165,0.337662337662338,0.150950485093445,0.575116278129452
"39",2009-02-27,0.903559602649007,0.901646090534979,"ES",0.134199134199134,0.38961038961039,0.0937568724768234,0.682242391886349
"40",2009-03-02,0.873344370860927,0.866255144032922,"ES",0.0432900432900433,0.0476190476190476,0.220796858361594,0.262826179488714
"41",2009-03-03,0.837748344370861,0.825925925925926,"ES",0.0346320346320346,0.0346320346320346,0.236053901631865,0.236053901631865
"42",2009-03-04,0.868791390728477,0.834979423868313,"ES",0.965367965367965,0.779220779220779,0.974207211470727,0.303638595214734
"43",2009-03-05,0.836092715231788,0.809876543209876,"ES",0.0346320346320346,0.0779220779220779,0.102347166417293,0.450998123141339
"44",2009-03-06,0.858029801324503,0.823045267489712,"ES",0.926406926406926,0.852813852813853,0.880750221817026,0.570147333173699
"45",2009-03-09,0.837748344370861,0.800411522633745,"ES",0.0735930735930736,0.103896103896104,0.185893070939788,0.349632746187234
