"","X1","PWOD","UTL","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,1.00016396130513,0.973975903614458,NA,0.688311688311688,0.0735930735930736,0.688311688311688,0.0735930735930736
"3",2009-01-06,0.985817347106083,0.967710843373494,NA,0.186147186147186,0.294372294372294,0.186147186147186,0.294372294372294
"4",2009-01-07,0.983767830791933,0.958072289156626,NA,0.329004329004329,0.246753246753247,0.329004329004329,0.246753246753247
"5",2009-01-08,0.967371700278734,0.977349397590362,NA,0.155844155844156,0.909090909090909,0.155844155844156,0.909090909090909
"6",2009-01-09,0.970814887686506,0.952289156626506,NA,0.735930735930736,0.0735930735930736,0.735930735930736,0.0735930735930736
"7",2009-01-12,1.00426299393343,0.956626506024096,NA,0.948051948051948,0.666666666666667,0.948051948051948,0.666666666666667
"8",2009-01-13,0.999754058042302,0.969156626506024,NA,0.29004329004329,0.831168831168831,0.29004329004329,0.831168831168831
"9",2009-01-14,1.00426299393343,0.970120481927711,NA,0.744588744588745,0.567099567099567,0.744588744588745,0.567099567099567
"10",2009-01-15,1.00426299393343,0.987951807228916,NA,0.683982683982684,0.891774891774892,0.683982683982684,0.891774891774892
"11",2009-01-16,1.02885718970323,0.978313253012048,NA,0.917748917748918,0.246753246753247,0.917748917748918,0.246753246753247
"12",2009-01-20,1.02475815707493,0.96433734939759,NA,0.29004329004329,0.186147186147186,0.29004329004329,0.186147186147186
"13",2009-01-21,1.02475815707493,0.986506024096385,NA,0.683982683982684,0.922077922077922,0.683982683982684,0.922077922077922
"14",2009-01-22,1.00426299393343,0.965301204819277,NA,0.138528138528139,0.0909090909090909,0.138528138528139,0.0909090909090909
"15",2009-01-23,0.977209378586653,0.971084337349397,NA,0.116883116883117,0.70995670995671,0.116883116883117,0.70995670995671
"16",2009-01-26,1.00016396130513,0.987951807228916,NA,0.909090909090909,0.887445887445887,0.909090909090909,0.887445887445887
"17",2009-01-27,1.04976225610756,0.977349397590362,NA,0.978354978354978,0.238095238095238,0.978354978354978,0.238095238095238
"18",2009-01-28,1.00098376783079,0.964819277108434,NA,0.0432900432900433,0.194805194805195,0.0432900432900433,0.194805194805195
"19",2009-01-29,0.980898507952123,0.968674698795181,NA,0.138528138528139,0.653679653679654,0.138528138528139,0.653679653679654
"20",2009-01-30,0.980898507952123,0.973975903614458,NA,0.683982683982684,0.692640692640693,0.683982683982684,0.692640692640693
"21",2009-02-02,0.981718314477783,0.975421686746988,NA,0.696969696969697,0.571428571428571,0.696969696969697,0.571428571428571
"22",2009-02-03,1.0120511559272,0.979759036144578,NA,0.939393939393939,0.666666666666667,0.939393939393939,0.666666666666667
"23",2009-02-04,1.0120511559272,0.971084337349397,NA,0.683982683982684,0.268398268398268,0.683982683982684,0.268398268398268
"24",2009-02-05,1.00426299393343,0.971084337349397,NA,0.272727272727273,0.54978354978355,0.272727272727273,0.54978354978355
"25",2009-02-06,1.00426299393343,0.978313253012048,NA,0.683982683982684,0.722943722943723,0.683982683982684,0.722943722943723
"26",2009-02-09,0.994425315625512,0.983132530120482,NA,0.233766233766234,0.670995670995671,0.233766233766234,0.670995670995671
"27",2009-02-10,0.994425315625512,0.986987951807229,NA,0.683982683982684,0.645021645021645,0.683982683982684,0.645021645021645
"28",2009-02-11,1.02865223807182,0.99710843373494,NA,0.948051948051948,0.779220779220779,0.948051948051948,0.779220779220779
"29",2009-02-12,1.02885718970323,0.986506024096385,NA,0.688311688311688,0.238095238095238,0.688311688311688,0.238095238095238
"30",2009-02-13,0.973520249221184,1,NA,0.025974025974026,0.844155844155844,0.025974025974026,0.844155844155844
"31",2009-02-17,0.973520249221184,0.987469879518072,NA,0.683982683982684,0.199134199134199,0.683982683982684,0.199134199134199
"32",2009-02-18,0.963272667650435,0.96433734939759,NA,0.216450216450216,0.0822510822510823,0.216450216450216,0.0822510822510823
"33",2009-02-19,1.00221347761928,0.968674698795181,NA,0.956709956709957,0.666666666666667,0.956709956709957,0.666666666666667
"34",2009-02-20,0.984177734054763,0.951807228915663,NA,0.147186147186147,0.16017316017316,0.147186147186147,0.16017316017316
"35",2009-02-23,0.984177734054763,0.929638554216867,NA,0.683982683982684,0.0822510822510823,0.683982683982684,0.0822510822510823
"36",2009-02-24,0.994015412362682,0.941686746987952,NA,0.800865800865801,0.831168831168831,0.800865800865801,0.831168831168831
"37",2009-02-25,0.984587637317593,0.936867469879518,NA,0.242424242424242,0.329004329004329,0.242424242424242,0.329004329004329
"38",2009-02-26,0.991965896048532,0.932530120481928,NA,0.770562770562771,0.346320346320346,0.770562770562771,0.346320346320346
"39",2009-02-27,1.00426299393343,0.927710843373494,"UTL",0.826839826839827,0.324675324675325,0.826839826839827,0.324675324675325
"40",2009-03-02,1.00426299393343,0.92,"UTL",0.683982683982684,0.277056277056277,0.683982683982684,0.277056277056277
"41",2009-03-03,1.00426299393343,0.912289156626506,"UTL",0.683982683982684,0.277056277056277,0.683982683982684,0.277056277056277
"42",2009-03-04,1.00426299393343,0.949397590361446,"UTL",0.683982683982684,0.991341991341991,0.683982683982684,0.991341991341991
"43",2009-03-05,0.984177734054763,0.933012048192771,"UTL",0.138528138528139,0.16017316017316,0.138528138528139,0.16017316017316
"44",2009-03-06,0.945646827348746,0.931084337349398,"UTL",0.0606060606060606,0.432900432900433,0.0606060606060606,0.432900432900433
"45",2009-03-09,1.00426299393343,0.879518072289157,"UTL",0.987012987012987,0.00865800865800866,0.987012987012987,0.00865800865800866
