,WSBC,GHL
2008-02-01,1.0,1.0
2008-02-04,0.9977212305355109,0.9463879408418658
2008-02-05,0.9741739460691227,0.9058589306029581
2008-02-06,0.9810102544625902,0.8930602957906713
2008-02-07,1.0182301557159135,0.9627417519908988
2008-02-08,0.9924041017850361,0.9392775881683733
2008-02-11,0.980630459551842,0.931740614334471
2008-02-12,0.9886061526775543,0.9335893060295792
2008-02-13,0.9798708697303457,0.9877701934015928
2008-02-14,0.94948727687049,0.9745449374288966
2008-02-15,0.9399924041017851,0.9768202502844142
2008-02-19,0.9399924041017851,0.9860637087599546
2008-02-20,0.9586023547284467,0.9786689419795221
2008-02-21,0.9434105582985188,0.9552047781569967
2008-02-22,0.9369540448157996,0.9197952218430036
2008-02-25,0.9586023547284467,0.9480944254835041
2008-02-26,0.9540448157994684,0.9783845278725826
2008-02-27,0.9551842005317129,0.9901877133105802
2008-02-28,0.9232814280288644,0.9630261660978385
2008-02-29,0.8845423471325484,0.9244880546075087
2008-03-03,0.8796050132928219,0.897184300341297
2008-03-04,0.8815039878465629,0.8870875995449375
2008-03-05,0.8518799848082036,0.9136803185437998
2008-03-06,0.8271933156095709,0.9101251422070535
2008-03-07,0.8655526015951387,0.8914960182025029
2008-03-10,0.8841625522218003,0.8455631399317407
2008-03-11,0.9517660463349791,0.8899317406143346
2008-03-12,0.9183440941891379,0.8599260523321958
2008-03-13,0.9593619445499432,0.9257679180887373
2008-03-14,0.9278389669578428,0.9287542662116042
2008-03-17,0.9149259399924041,0.9480944254835041
2008-03-18,0.9844284086593241,0.9889078498293518
2008-03-19,0.9563235852639576,0.9796643913538112
2008-03-20,0.9973414356247627,1.055887372013652
2008-03-24,1.0045575389289785,1.09627417519909
2008-03-25,0.9935434865172807,1.113481228668942
2008-03-26,1.013292821876187,1.0688282138794085
2008-03-27,0.9760729206228637,1.0073947667804324
2008-03-28,0.9434105582985188,1.0177758816837315
2008-03-31,0.9384732244587923,0.9891922639362913
2008-04-01,0.9870869730345614,1.0506257110352675
2008-04-02,0.9992404101785036,1.0294368600682595
2008-04-03,0.9817698442840868,1.0238907849829353
2008-04-04,0.9783516900873529,0.9707053469852106
2008-04-07,0.9772123053551083,0.9781001137656429
2008-04-08,0.9745537409798709,0.9670079635949944
2008-04-09,0.9232814280288644,0.9193686006825941
2008-04-10,0.9483478921382453,0.9402730375426622
2008-04-11,0.8758070641853399,0.9092718998862344
2008-04-14,0.8792252183820737,0.8862343572241184
2008-04-15,0.9145461450816559,0.877986348122867
2008-04-16,0.968856817318648,0.916382252559727
2008-04-17,0.9582225598176985,0.9089874857792948
2008-04-18,0.978731484998101,0.9449658703071674
2008-04-21,0.9521458412457274,0.9243458475540388
2008-04-22,0.9445499430307635,0.8934869169510808
2008-04-23,0.8306114698063047,0.9045790671217293
2008-04-24,0.9016331181162173,0.945250284414107
2008-04-25,0.8518799848082036,0.938566552901024
2008-04-28,0.8625142423091532,0.9472411831626849
2008-04-29,0.8302316748955564,0.9579067121729239
2008-04-30,0.8169388530193696,0.925056882821388
2008-05-01,0.8826433725788074,0.9149601820250286
2008-05-02,0.8412457273072541,0.8917804323094426
2008-05-05,0.8241549563235853,0.8623435722411833
2008-05-06,0.8332700341815421,0.8748577929465303
2008-05-07,0.8169388530193696,0.8593572241183164
2008-05-08,0.8169388530193696,0.8612059158134244
2008-05-09,0.8127611090011394,0.8643344709897612
2008-05-12,0.8533991644511963,0.9013083048919228
2008-05-13,0.840865932396506,0.8641922639362913
2008-05-14,0.8374477781997722,0.8768486916951082
2008-05-15,0.8571971135586783,0.9098407281001138
2008-05-16,0.8401063425750096,0.9035836177474403
2008-05-19,0.8313710596278011,0.8833902161547214
2008-05-20,0.8249145461450816,0.8619169510807737
2008-05-21,0.8245347512343335,0.849118316268487
2008-05-22,0.8412457273072541,0.8129977246871446
2008-05-23,0.8302316748955564,0.8198236632536975
2008-05-27,0.8458032662362325,0.8393060295790673
2008-05-28,0.8283327003418154,0.8407281001137656
2008-05-29,0.8442840865932397,0.8412969283276451
2008-05-30,0.8355488036460312,0.8567974971558591
2008-06-02,0.8135206988226359,0.8102957906712174
2008-06-03,0.8127611090011394,0.8081626848691695
2008-06-04,0.8154196733763768,0.8172639362912401
2008-06-05,0.8385871629320167,0.8525312855517635
2008-06-06,0.7861754652487657,0.8141353811149034
2008-06-09,0.7740220281048235,0.7966439135381116
2008-06-10,0.7687048993543486,0.7774459613196816
2008-06-11,0.7311052031902773,0.764505119453925
2008-06-12,0.736422331940752,0.7874004550625712
2008-06-13,0.7603494113178884,0.8360352673492606
2008-06-16,0.75579187238891,0.8215301478953357
2008-06-17,0.7406000759589823,0.7959328782707623
2008-06-18,0.7178123813140904,0.7983503981797498
2008-06-19,0.7368021268515001,0.8158418657565416
2008-06-20,0.7379415115837448,0.8573663253697384
2008-06-23,0.6995822255981771,0.8375995449374289
2008-06-24,0.6999620205089252,0.8567974971558591
2008-06-25,0.7083175085453854,0.8046075085324232
2008-06-26,0.6954044815799468,0.7798634812286691
2008-06-27,0.6733763767565515,0.8105802047781571
2008-06-30,0.651348271933156,0.7659271899886235
2008-07-01,0.6448917584504368,0.7672070534698522
2008-07-02,0.6000759589821497,0.7613765642775883
2008-07-03,0.5750094948727688,0.7376279863481229
2008-07-07,0.5632358526395747,0.6838737201365189
2008-07-08,0.6342575009494873,0.6882821387940843
2008-07-09,0.5924800607671857,0.6473265073947669
2008-07-10,0.6126091910368401,0.6884243458475541
2008-07-11,0.6228636536270414,0.6803185437997726
