"","X1","GAS","EE","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,0.994307400379507,1.00489662676823,NA,0.350649350649351,0.658008658008658,0.169122139170641,0.834276942088154
"3",2009-01-06,0.981340923466161,0.992383025027203,NA,0.207792207792208,0.255411255411255,0.278996404152185,0.441649245530066
"4",2009-01-07,0.985135989879823,0.986942328618063,NA,0.636363636363636,0.406926406926407,0.779447756040307,0.239702446431473
"5",2009-01-08,1.00189753320683,1.00598476605005,NA,0.883116883116883,0.831168831168831,0.801359352896857,0.562932458245079
"6",2009-01-09,0.990828589500316,0.982589771490751,NA,0.225108225108225,0.121212121212121,0.547160061450706,0.144656241081946
"7",2009-01-12,0.98640101201771,0.992927094668118,NA,0.38961038961039,0.727272727272727,0.16669107115808,0.876535600866526
"8",2009-01-13,0.984503478810879,0.998911860718172,NA,0.458874458874459,0.675324675324675,0.269795193402149,0.79033605118588
"9",2009-01-14,0.969639468690702,0.983677910772579,NA,0.155844155844156,0.199134199134199,0.245839872635626,0.419144249350409
"10",2009-01-15,0.963946869070209,0.971164309031556,NA,0.346320346320346,0.255411255411255,0.532987555434232,0.265184439263497
"11",2009-01-16,0.990512333965844,0.986398258977149,NA,0.930735930735931,0.796536796536797,0.932063087007281,0.359134145804382
"12",2009-01-20,0.97438330170778,0.953754080522307,NA,0.147186147186147,0.0779220779220779,0.498463730329762,0.130370876349474
"13",2009-01-21,0.985452245414295,0.967899891186072,NA,0.792207792207792,0.787878787878788,0.661374477255809,0.645587265998028
"14",2009-01-22,0.980392156862745,0.902067464635473,NA,0.380952380952381,0.012987012987013,0.888360179293969,0.00196353229894743
"15",2009-01-23,0.971853257432005,0.904787812840044,NA,0.29004329004329,0.601731601731602,0.141567241170412,0.816538861416896
"16",2009-01-26,0.988931056293485,0.927638737758433,NA,0.887445887445887,0.896103896103896,0.683689283187195,0.733214752022644
"17",2009-01-27,1.00031625553447,0.916213275299238,"EE",0.792207792207792,0.255411255411255,0.944988135570975,0.0677855297547345
"18",2009-01-28,0.998734977862113,0.920021762785637,"EE",0.471861471861472,0.632034632034632,0.323889724060064,0.726194436233018
"19",2009-01-29,0.993674889310563,0.910228509249184,"EE",0.380952380952381,0.281385281385281,0.55527141950435,0.274184770325388
"20",2009-01-30,0.975015812776724,0.899891186071817,"EE",0.12987012987013,0.264069264069264,0.129185767120322,0.596926374579376
"21",2009-02-02,0.983238456672992,0.898803046789989,"EE",0.753246753246753,0.506493506493506,0.85075117970806,0.258100429371907
"22",2009-02-03,0.984819734345351,0.884657236126224,"EE",0.575757575757576,0.181818181818182,0.854372975337675,0.0677764482641215
"23",2009-02-04,0.993991144845035,0.914581066376496,"EE",0.757575757575758,0.935064935064935,0.293466737448332,0.953259121562321
"24",2009-02-05,1.03795066413662,0.901523394994559,"EE",0.965367965367965,0.212121212121212,0.99507156973361,0.044247045241828
"25",2009-02-06,1.05945604048071,0.894450489662677,"EE",0.904761904761905,0.350649350649351,0.979358706275682,0.0814864076635753
"26",2009-02-09,1.06989247311828,0.88411316648531,"EE",0.766233766233766,0.25974025974026,0.933282593011294,0.0740240255889324
"27",2009-02-10,1.02941176470588,0.85310119695321,"EE",0.0432900432900433,0.0735930735930736,0.137944618868549,0.416400968561566
"28",2009-02-11,1.00600885515497,0.852013057671382,"EE",0.112554112554113,0.506493506493506,0.0375406355662245,0.852046472312745
"29",2009-02-12,1.00600885515497,0.843852013057671,"EE",0.528138528138528,0.294372294372294,0.740014102990974,0.182830696759253
"30",2009-02-13,0.994623655913978,0.839499455930359,"EE",0.225108225108225,0.406926406926407,0.172051953773491,0.661114505256988
"31",2009-02-17,0.964263124604681,0.79107725788901,"EE",0.0735930735930736,0.0303030303030303,0.509132151893167,0.0818374758468425
"32",2009-02-18,0.937697659709045,0.787812840043526,"EE",0.0865800865800866,0.432900432900433,0.030974869432161,0.830278144333071
"33",2009-02-19,0.93010752688172,0.789989118607182,"EE",0.298701298701299,0.588744588744589,0.155383670270185,0.799473885458315
"34",2009-02-20,0.900695762175838,0.744287268770403,"EE",0.0606060606060606,0.0303030303030303,0.449549857324291,0.107266050483105
"35",2009-02-23,0.879190385831752,0.716539717083787,"EE",0.108225108225108,0.0692640692640693,0.418447406607585,0.163603127011305
"36",2009-02-24,0.886780518659076,0.762241566920566,"EE",0.753246753246753,0.978354978354978,0.177680895506827,0.992431683515938
"37",2009-02-25,0.888678051865908,0.758433079434168,"EE",0.593073593073593,0.415584415584416,0.720438881376247,0.283661925146201
"38",2009-02-26,0.882036685641999,0.754080522306855,"EE",0.311688311688312,0.402597402597403,0.301482166825593,0.552719459911153
"39",2009-02-27,0.877292852624921,0.768770402611534,"EE",0.372294372294372,0.831168831168831,0.111127355686412,0.947890888014143
"40",2009-03-02,0.841555977229602,0.723068552774755,"EE",0.0432900432900433,0.0303030303030303,0.345520912997107,0.164879947422317
"41",2009-03-03,0.819734345351044,0.689880304678999,"EE",0.0952380952380952,0.051948051948052,0.453154676758088,0.127858020937755
"42",2009-03-04,0.831752055660974,0.717083786724701,"EE",0.848484848484849,0.948051948051948,0.39359646639918,0.933771018411683
"43",2009-03-05,0.789057558507274,0.676822633297062,"EE",0.025974025974026,0.0303030303030303,0.204920512841601,0.282028591096096
"44",2009-03-06,0.781151170145478,0.676822633297062,"EE",0.242424242424242,0.554112554112554,0.118940258110667,0.803773469076663
