,MTSC,DLR
2008-02-01,1.0,1.0
2008-02-04,0.9717064544650751,1.0136986301369864
2008-02-05,0.9755378720895963,0.9846575342465753
2008-02-06,0.9773062186855289,0.9701369863013698
2008-02-07,0.9569702328323018,0.9887671232876714
2008-02-08,0.9572649572649572,0.9567123287671233
2008-02-11,0.9516651930445034,0.9416438356164383
2008-02-12,0.9549071618037135,0.9534246575342465
2008-02-13,0.9985263778367227,0.9663013698630137
2008-02-14,0.9714117300324198,0.9654794520547946
2008-02-15,0.9743589743589745,0.9671232876712328
2008-02-19,0.950781019746537,0.9690410958904109
2008-02-20,0.9457707043913941,0.9923287671232877
2008-02-21,0.9428234600648393,0.9849315068493152
2008-02-22,0.9336870026525199,0.9863013698630136
2008-02-25,0.95903330386089,1.0257534246575342
2008-02-26,0.954612437371058,1.0271232876712328
2008-02-27,0.9410551134689066,0.9904109589041096
2008-02-28,0.9313292071912762,1.0131506849315068
2008-02-29,0.919245505452402,0.9835616438356164
2008-03-03,0.9233716475095785,1.0032876712328767
2008-03-04,0.9186560565870912,0.9452054794520548
2008-03-05,0.9210138520483349,0.9441095890410959
2008-03-06,0.9221927497789567,0.9120547945205479
2008-03-07,0.919245505452402,0.9178082191780822
2008-03-10,0.8962569997052756,0.8786301369863013
2008-03-11,0.928087238432066,0.950958904109589
2008-03-12,0.9050987326849396,0.9342465753424658
2008-03-13,0.9442970822281167,0.9243835616438356
2008-03-14,0.9133510167992926,0.8928767123287672
2008-03-17,0.9142351900972591,0.8887671232876712
2008-03-18,0.9637488947833777,0.9391780821917809
2008-03-19,0.9289714117300324,0.9424657534246575
2008-03-20,0.9554966106690245,0.976986301369863
2008-03-24,0.9805481874447393,1.0205479452054795
2008-03-25,0.9926318891836133,1.0254794520547945
2008-03-26,0.9890951959917478,0.9936986301369863
2008-03-27,0.9664014146772767,0.9887671232876714
2008-03-28,0.9616858237547894,0.9673972602739727
2008-03-31,0.950781019746537,0.9726027397260274
2008-04-01,0.9613910993221337,1.0161643835616438
2008-04-02,0.97789566755084,1.0202739726027399
2008-04-03,0.9578544061302682,1.0326027397260273
2008-04-04,0.9581491305629236,1.0306849315068491
2008-04-07,0.9510757441791926,1.0178082191780822
2008-04-08,0.9440023577954613,1.010958904109589
2008-04-09,0.9260241674034778,0.9928767123287672
2008-04-10,0.9413498379015621,1.0131506849315068
2008-04-11,0.9098143236074271,1.0005479452054795
2008-04-14,0.8983200707338639,1.0002739726027396
2008-04-15,0.9033303860890067,1.0073972602739727
2008-04-16,0.9298555850279988,1.0627397260273972
2008-04-17,0.9248452696728559,1.065205479452055
2008-04-18,0.9525493663424698,1.0854794520547943
2008-04-21,0.9554966106690245,1.0865753424657534
2008-04-22,0.9330975537872089,1.0742465753424657
2008-04-23,0.93692897141173,1.1112328767123287
2008-04-24,0.9669908635425878,1.13013698630137
2008-04-25,1.0150309460654288,1.129041095890411
2008-04-28,1.0156203949307399,1.0865753424657534
2008-04-29,1.0103153551429414,1.082191780821918
2008-04-30,1.0132625994694962,1.0616438356164384
2008-05-01,1.0179781903919836,1.073972602739726
2008-05-02,0.9982316534040672,1.062191780821918
2008-05-05,1.0079575596816976,1.043013698630137
2008-05-06,1.0058944886531094,1.0523287671232875
2008-05-07,1.0047155909224876,1.0315068493150685
2008-05-08,1.0085470085470085,1.086027397260274
2008-05-09,1.00324196875921,1.0808219178082192
2008-05-12,1.031535514294135,1.1123287671232878
2008-05-13,1.028293545534925,1.121095890410959
2008-05-14,1.014441497200118,1.1435616438356164
2008-05-15,1.0450928381962865,1.152876712328767
2008-05-16,1.0592396109637487,1.156164383561644
2008-05-19,1.08193339227822,1.1635616438356164
2008-05-20,1.0595343353964044,1.1487671232876713
2008-05-21,1.0654288240495138,1.1263013698630138
2008-05-22,1.089596227527262,1.1065753424657534
2008-05-23,1.0730916592985558,1.1257534246575343
2008-05-27,1.102858826996758,1.1293150684931506
2008-05-28,1.0919540229885056,1.1616438356164382
2008-05-29,1.1055113468906572,1.1736986301369865
2008-05-30,1.1152372531682877,1.158904109589041
2008-06-02,1.1178897730621868,1.124931506849315
2008-06-03,1.1349837901562039,1.1391780821917807
2008-06-04,1.1523725316828766,1.1452054794520548
2008-06-05,1.1682876510462719,1.1745205479452054
2008-06-06,1.1290893015030947,1.13013698630137
2008-06-09,1.1143530798703214,1.1246575342465752
2008-06-10,1.1007957559681698,1.1495890410958904
2008-06-11,1.0825228411435308,1.112876712328767
2008-06-12,1.0969643383436487,1.1238356164383563
2008-06-13,1.1178897730621868,1.1435616438356164
2008-06-16,1.124373710580607,1.1742465753424658
2008-06-17,1.1137636310050103,1.1465753424657534
2008-06-18,1.116121426466254,1.1512328767123288
2008-06-19,1.114942528735632,1.1843835616438356
2008-06-20,1.1037430002947246,1.1312328767123287
2008-06-23,1.0881226053639848,1.121095890410959
2008-06-24,1.0733863837312114,1.0920547945205479
2008-06-25,1.086354258768052,1.098904109589041
2008-06-26,1.0713233127026232,1.072876712328767
2008-06-27,1.0633657530209253,1.1126027397260274
2008-06-30,1.0574712643678161,1.120821917808219
2008-07-01,1.0671971706454466,1.144109589041096
2008-07-02,1.0477453580901857,1.1254794520547944
2008-07-03,1.0450928381962865,1.120821917808219
2008-07-07,1.0418508694370763,1.0676712328767124
2008-07-08,1.076333628057766,1.1553424657534248
2008-07-09,1.0495137046861185,1.0610958904109589
2008-07-10,1.084585912172119,1.0605479452054796
2008-07-11,1.0966696139109933,1.0802739726027397
2008-07-14,1.0757441791924551,1.058904109589041
