,PLL,DHR
2008-02-01,1.0,1.0
2008-02-04,1.0147718280137168,0.9936775553213909
2008-02-05,0.980743867053548,0.9733930453108536
2008-02-06,0.9839092587707728,0.9631190727081138
2008-02-07,0.9936692165655501,0.9683877766069546
2008-02-08,1.0010551305724085,0.965094836670179
2008-02-11,1.0150356106568188,0.9681243414120126
2008-02-12,1.013189132155104,0.9674657534246576
2008-02-13,1.0379847006067002,1.000263435194942
2008-02-14,1.0224215246636772,0.9865648050579557
2008-02-15,1.0282247428119229,0.989199157007376
2008-02-19,1.0192561329464522,0.9872233930453108
2008-02-20,1.037193352677394,0.9944678609062171
2008-02-21,1.0303350039567398,0.9834035827186511
2008-02-22,1.0445792666842524,0.9831401475237092
2008-02-25,1.0670007913479296,0.9968387776606955
2008-02-26,1.0778158797151147,1.0089567966280295
2008-02-27,1.0778158797151147,0.9886722866174921
2008-02-28,1.074914270640992,0.9814278187565859
2008-02-29,1.0385122658929042,0.9766859852476292
2008-03-03,1.0242680031653917,0.9781348788198104
2008-03-04,1.012925349512002,0.9807692307692306
2008-03-05,1.0189923503033502,0.9757639620653319
2008-03-06,1.0071221313637564,0.9619336143308747
2008-03-07,1.0081772619361646,0.9492887249736564
2008-03-10,0.9649169084674228,0.9237355110642781
2008-03-11,0.9707201266156688,0.9479715489989462
2008-03-12,0.9641255605381166,0.9506059009483667
2008-03-13,0.9678185175415458,0.959167544783983
2008-03-14,0.9451332102347666,0.9541622760800842
2008-03-17,0.9477710366657874,0.9532402528977871
2008-03-18,0.9957794777103668,1.0010537407797682
2008-03-19,0.9675547348984438,0.9872233930453108
2008-03-20,0.977578475336323,1.006190727081138
2008-03-24,1.0065945660775522,1.0193624868282403
2008-03-25,1.0258506990240044,1.029373024236038
2008-03-26,1.0211026114481667,1.0171232876712328
2008-03-27,1.0076496966499606,1.0038198103266596
2008-03-28,1.0089686098654709,0.9894625922023182
2008-03-31,0.9250857293590082,1.0014488935721813
2008-04-01,0.9364283830123978,1.0405690200210749
2008-04-02,0.94302294908995,1.0318756585879874
2008-04-03,0.9372197309417042,1.0254214963119073
2008-04-04,0.9329992086520708,1.0384615384615385
2008-04-07,0.9509364283830124,1.0326659641728135
2008-04-08,0.9438142970192562,1.0368809272918862
2008-04-09,0.961751516750198,1.0247629083245522
2008-04-10,0.9733579530466896,1.024631190727081
2008-04-11,0.9630704299657082,0.9926238145416227
2008-04-14,0.9419678185175416,0.9728661749209694
2008-04-15,0.9422316011606436,0.9839304531085353
2008-04-16,0.9765233447639147,1.012644889357218
2008-04-17,0.9635979952519126,0.9768177028451
2008-04-18,0.9857557372724874,0.9901211801896733
2008-04-21,0.9847006067000792,0.9944678609062171
2008-04-22,0.9672909522553418,0.9945995785036882
2008-04-23,0.9699287786863626,0.999736564805058
2008-04-24,0.9744130836190978,1.0110642781875658
2008-04-25,0.9717752571880772,1.0216016859852477
2008-04-28,0.9628066473226062,1.0281875658587987
2008-04-29,0.942759166446848,1.0256849315068493
2008-04-30,0.9171722500659458,1.0276606954689145
2008-05-01,0.9295700342917438,1.0380663856691255
2008-05-02,0.9279873384331312,1.0273972602739725
2008-05-05,0.9142706409918228,1.0165964172813489
2008-05-06,0.9235030335003958,1.0167281348788197
2008-05-07,0.9300975995779478,1.0023709167544783
2008-05-08,0.9464521234502771,1.018572181243414
2008-05-09,0.9388024268003167,1.0151475237091674
2008-05-12,0.961751516750198,1.0327976817702844
2008-05-13,0.978106040622527,1.0326659641728135
2008-05-14,0.9825903455552626,1.040700737618546
2008-05-15,0.9873384331311,1.054662802950474
2008-05-16,0.9957794777103668,1.054662802950474
2008-05-19,1.015299393299921,1.035432033719705
2008-05-20,1.0113426536533898,1.030031612223393
2008-05-21,1.0105513057240836,1.0148840885142254
2008-05-22,1.0094961751516751,1.0106691253951527
2008-05-23,0.9976259562120814,0.9989462592202318
2008-05-27,1.0087048272223689,0.9993414120126449
2008-05-28,1.043787918754946,1.0080347734457324
2008-05-29,1.0522289633342128,1.0073761854583774
2008-05-30,1.0764969664996045,1.029768177028451
2008-06-02,1.0577683988393565,1.0219968387776608
2008-06-03,1.0524927459773148,1.047945205479452
2008-06-04,1.0585597467686627,1.0522918861959958
2008-06-05,1.0743867053547878,1.0873287671232876
2008-06-06,1.0393036138222105,1.0430716543730243
2008-06-09,1.050382484832498,1.0491306638566913
2008-06-10,1.100501187021894,1.0504478398314014
2008-06-11,1.0894223160116066,1.042149631190727
2008-06-12,1.0965444473753627,1.05281875658588
2008-06-13,1.1179108414666317,1.07731822971549
2008-06-16,1.128198364547613,1.070732349841939
2008-06-17,1.1223951463993669,1.0665173867228661
2008-06-18,1.1168557108942234,1.0579557428872497
2008-06-19,1.1210762331838566,1.0800842992623814
2008-06-20,1.1020838828805066,1.0547945205479452
2008-06-23,1.1057768398839358,1.0547945205479452
2008-06-24,1.081508836718544,1.0467597471022128
2008-06-25,1.0801899235030337,1.0508429926238145
2008-06-26,1.0432603534687417,1.0042149631190727
2008-06-27,1.0414138749670272,1.012513171759747
2008-06-30,1.0466895278290689,1.018177028451001
2008-07-01,1.0514376154049065,1.0204162276080084
2008-07-02,1.0263782643102084,0.9901211801896733
2008-07-03,1.0160907412292273,1.0047418335089568
2008-07-07,1.0266420469533106,1.0047418335089568
2008-07-08,1.0596148773410712,1.0118545837723918
2008-07-09,1.053547876549723,0.99354583772392
2008-07-10,1.0551305724083355,1.0031612223393045
2008-07-11,1.043787918754946,0.9888040042149631
2008-07-14,1.0464257451859669,0.9915700737618546
