"","X1","BSET","AIV","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,0.991176470588235,0.979381443298969,NA,0.411255411255411,0.303030303030303,0.482362094540747,0.29965188966393
"3",2009-01-06,1.03529411764706,1.09106529209622,NA,0.926406926406926,0.956709956709957,0.767248561653173,0.895903368517252
"4",2009-01-07,0.985294117647059,1.01975945017182,NA,0.116883116883117,0.121212121212121,0.204360373168184,0.215971876031591
"5",2009-01-08,1.05588235294118,1.02319587628866,NA,0.96969696969697,0.545454545454545,0.985421476402511,0.291157544010246
"6",2009-01-09,0.926470588235294,1.03780068728522,NA,0.012987012987013,0.653679653679654,0.00423242750996519,0.819023503318806
"7",2009-01-12,0.982352941176471,0.904639175257732,NA,0.956709956709957,0.0346320346320346,0.968749375863107,0.0237168771410081
"8",2009-01-13,0.970588235294118,0.888316151202749,NA,0.38961038961039,0.329004329004329,0.443069838733122,0.340198695188384
"9",2009-01-14,0.885294117647059,0.834192439862543,NA,0.0303030303030303,0.125541125541126,0.0452537819342224,0.383782328310544
"10",2009-01-15,0.85,0.856529209621993,NA,0.147186147186147,0.761904761904762,0.07956299218202,0.866188210327327
"11",2009-01-16,0.852941176470588,0.905498281786941,NA,0.627705627705628,0.883116883116883,0.444812219283408,0.902866537791306
"12",2009-01-20,0.808823529411765,0.743986254295533,NA,0.0995670995670996,0.0173160173160173,0.396819377567627,0.0287333989102993
"13",2009-01-21,0.879411764705882,0.856529209621993,NA,0.982683982683983,0.978354978354978,0.894181522688937,0.851452121762707
"14",2009-01-22,0.741176470588235,0.799828178694158,NA,0,0.121212121212121,1e-10,0.784372214671414
"15",2009-01-23,0.782352941176471,0.845360824742268,NA,0.948051948051948,0.883116883116883,0.910670018513458,0.695316786025193
"16",2009-01-26,0.838235294117647,0.842783505154639,NA,0.96969696969697,0.489177489177489,0.986542852121923,0.257811956175913
"17",2009-01-27,0.817647058823529,0.834192439862543,NA,0.246753246753247,0.415584415584416,0.23121653940046,0.517144353572898
"18",2009-01-28,0.817647058823529,0.897766323024055,NA,0.532467532467532,0.913419913419913,0.33114194683499,0.944524577561289
"19",2009-01-29,0.805882352941177,0.813573883161512,NA,0.341991341991342,0.0822510822510823,0.557084100600636,0.0662593140005705
"20",2009-01-30,0.967647058823529,0.763745704467354,"AIV",1,0.125541125541126,0.9999999999,0.211064518602759
"21",2009-02-02,0.929411764705882,0.768041237113402,"AIV",0.147186147186147,0.567099567099567,0.0959351735703316,0.720290990256259
"22",2009-02-03,0.735294117647059,0.766323024054983,NA,0,0.502164502164502,1e-10,0.786697793646115
"23",2009-02-04,0.602941176470588,0.743986254295533,"BSET",0,0.242424242424242,1e-10,0.785388351943623
"24",2009-02-05,0.585294117647059,0.664089347079038,"BSET",0.203463203463203,0.0649350649350649,0.417823626325763,0.0748278026991009
"25",2009-02-06,0.605882352941177,0.622852233676976,"BSET",0.883116883116883,0.125541125541126,0.940010138012356,0.0651184814887437
"26",2009-02-09,0.611764705882353,0.630584192439863,"BSET",0.692640692640693,0.632034632034632,0.677003710844097,0.572667526857979
"27",2009-02-10,0.585294117647059,0.547250859106529,NA,0.138528138528139,0.0346320346320346,0.39111474969924,0.0486323136936632
"28",2009-02-11,0.585294117647059,0.560137457044673,NA,0.532467532467532,0.735930735930736,0.432313409901038,0.765983887391058
"29",2009-02-12,0.585294117647059,0.555841924398625,NA,0.532467532467532,0.445887445887446,0.56212408356598,0.421183918802217
"30",2009-02-13,0.579411764705882,0.504295532646048,NA,0.398268398268398,0.0822510822510823,0.611847988921964,0.0587419353492648
"31",2009-02-17,0.426470588235294,0.457044673539519,NA,0,0.0822510822510823,1e-10,0.783817911781815
"32",2009-02-18,0.426470588235294,0.466494845360825,NA,0.532467532467532,0.722943722943723,0.438670055461611,0.751278258813996
"33",2009-02-19,0.411764705882353,0.439003436426117,NA,0.186147186147186,0.125541125541126,0.311351748920409,0.171093599116683
"34",2009-02-20,0.294117647058824,0.479381443298969,"BSET",0,0.943722943722944,1e-10,0.790068870250583
"35",2009-02-23,0.35,0.447594501718213,"BSET",0.995670995670996,0.121212121212121,0.998292180951767,0.104346439198013
"36",2009-02-24,0.308823529411765,0.486254295532646,"BSET",0.012987012987013,0.939393939393939,0.00806869604779808,0.945077963714302
"37",2009-02-25,0.317647058823529,0.469931271477663,"BSET",0.848484848484849,0.220779220779221,0.918412880433238,0.122815651907639
"38",2009-02-26,0.297058823529412,0.444158075601375,"BSET",0.0649350649350649,0.147186147186147,0.0962648365857482,0.331894139419408
"39",2009-02-27,0.282352941176471,0.448453608247423,"BSET",0.108225108225108,0.614718614718615,0.0610332164434404,0.771811671749941
"40",2009-03-02,0.270588235294118,0.428694158075601,"BSET",0.138528138528139,0.168831168831169,0.201648547277608,0.272463148501761
"41",2009-03-03,0.291176470588235,0.438144329896907,"BSET",0.974025974025974,0.735930735930736,0.981111755787825,0.425316188076362
"42",2009-03-04,0.294117647058824,0.464776632302406,"BSET",0.696969696969697,0.896103896103896,0.509400021869798,0.902280077020845
"43",2009-03-05,0.238235294117647,0.427835051546392,"BSET",0,0.103896103896104,1e-10,0.78415226638916
"44",2009-03-06,0.240588235294118,0.424398625429553,"BSET",0.692640692640693,0.437229437229437,0.747810369817419,0.34681473854991
"45",2009-03-09,0.232352941176471,0.439862542955326,"BSET",0.186147186147186,0.818181818181818,0.102216783660069,0.900365477144278
