"","X1","APC","STR","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,1.02018709995076,1.06787595084845,NA,0.74025974025974,0.948051948051948,0.0550483920615955,0.991982076485246
"3",2009-01-06,1.0396356474643,1.07811585722645,NA,0.727272727272727,0.614718614718615,0.777150730300328,0.35761191903511
"4",2009-01-07,0.988183161004431,1.0389116442364,NA,0.0995670995670996,0.138528138528139,0.186005086071223,0.599106874059726
"5",2009-01-08,1.03151157065485,1.03803393797542,NA,0.891774891774892,0.484848484848485,0.990270519743192,0.0343078050547846
"6",2009-01-09,0.998030526834072,1.0163838502048,NA,0.168831168831169,0.225108225108225,0.212159263147148,0.572699040000551
"7",2009-01-12,0.953471196454948,0.980983031012288,NA,0.116883116883117,0.147186147186147,0.23610179282286,0.532085314006202
"8",2009-01-13,0.974396848842935,0.980105324751317,NA,0.748917748917749,0.484848484848485,0.906353616863628,0.146521837140983
"9",2009-01-14,0.938946331856229,0.934757167934465,NA,0.138528138528139,0.116883116883117,0.490884160737761,0.26948206377269
"10",2009-01-15,0.933284096504185,0.945582211819778,NA,0.415584415584416,0.636363636363636,0.175130900945224,0.827171610955562
"11",2009-01-16,0.922698178237321,0.987712112346401,NA,0.350649350649351,0.913419913419913,0.00776299279267005,0.997652244122798
"12",2009-01-20,0.866322008862629,0.941193680514921,NA,0.0779220779220779,0.116883116883117,0.152650130828717,0.649266366158952
"13",2009-01-21,0.916543574593796,0.9959040374488,NA,0.926406926406926,0.935064935064935,0.57099697930541,0.710461550166203
"14",2009-01-22,0.888478581979321,0.969280280866004,NA,0.186147186147186,0.19047619047619,0.363890678361062,0.39400818151356
"15",2009-01-23,0.932545544066962,0.992978349912229,NA,0.9004329004329,0.80952380952381,0.90289608806094,0.282702601900947
"16",2009-01-26,0.942885278188085,1.02691632533645,NA,0.640692640692641,0.865800865800866,0.138729500500762,0.95514040769475
"17",2009-01-27,0.945347119645495,1.03861907548274,NA,0.545454545454545,0.636363636363636,0.3782611749353,0.691157614551212
"18",2009-01-28,0.965041851304776,1.05412521942657,NA,0.744588744588745,0.683982683982684,0.720864290023491,0.463093389098321
"19",2009-01-29,0.929345150172329,1.03013458162668,NA,0.134199134199134,0.216450216450216,0.130420722681125,0.687572843297361
"20",2009-01-30,0.904480551452487,0.994148624926858,NA,0.216450216450216,0.142857142857143,0.651420906920579,0.153941670820788
"21",2009-02-02,0.888478581979321,1.00087770626097,NA,0.298701298701299,0.558441558441558,0.099036700393933,0.849386473472578
"22",2009-02-03,0.923190546528804,1.01345816266823,NA,0.874458874458874,0.649350649350649,0.960043113296665,0.131230984366336
"23",2009-02-04,0.967257508616445,1.03423054417788,NA,0.896103896103896,0.757575757575758,0.939559356279601,0.200754991621104
"24",2009-02-05,1.0108321024126,1.04681100058514,NA,0.891774891774892,0.636363636363636,0.975423940861147,0.0940525607196094
"25",2009-02-06,1.02855736090596,1.05471035693388,NA,0.718614718614719,0.593073593073593,0.785215696624903,0.333985570143917
"26",2009-02-09,1.01969473165928,1.07577530719719,NA,0.38961038961039,0.757575757575758,0.0678911198889978,0.949604382905005
"27",2009-02-10,0.96602658788774,1.03510825043885,NA,0.0995670995670996,0.134199134199134,0.200847887694171,0.578537443193602
"28",2009-02-11,0.975381585425899,1.01082504388531,NA,0.632034632034632,0.212121212121212,0.958486498776469,0.0214345451819495
"29",2009-02-12,0.968734613490891,1.01345816266823,NA,0.411255411255411,0.528138528138528,0.28137916732993,0.670047215260046
"30",2009-02-13,0.982520925652388,1.02808660035108,NA,0.67965367965368,0.675324675324675,0.589705122522476,0.572404800240592
"31",2009-02-17,0.892171344165436,0.939438267992978,NA,0.0432900432900433,0.0562770562770563,0.217802867722779,0.565194967011029
"32",2009-02-18,0.868045297882816,0.923346986541837,NA,0.207792207792208,0.268398268398268,0.233330861914262,0.558978818113925
"33",2009-02-19,0.887247661250615,0.912229373902867,NA,0.748917748917749,0.333333333333333,0.961161586467615,0.0435598722985964
"34",2009-02-20,0.875677006400788,0.886190754827384,NA,0.341991341991342,0.181818181818182,0.779297648005692,0.0906072302133054
"35",2009-02-23,0.820531757754801,0.843183148039789,NA,0.0692640692640693,0.116883116883117,0.110475348046067,0.718106627935762
"36",2009-02-24,0.858690300344658,0.8785839672323,NA,0.891774891774892,0.909090909090909,0.540107921953994,0.733770350417322
"37",2009-02-25,0.874938453963565,0.871269748390872,NA,0.727272727272727,0.380952380952381,0.934031117111357,0.0782827966635202
"38",2009-02-26,0.876907927129493,0.866881217086015,NA,0.545454545454545,0.411255411255411,0.699470541910394,0.261167840333591
"39",2009-02-27,0.860413589364845,0.843475716793446,NA,0.285714285714286,0.181818181818182,0.680126969475131,0.144898752605471
"40",2009-03-02,0.76686361398326,0.771796372147455,NA,0.0303030303030303,0.0562770562770563,0.0814512650161731,0.777915716878097
"41",2009-03-03,0.785327424913836,0.766822703335284,NA,0.757575757575758,0.406926406926407,0.944232089345816,0.0781824310334704
"42",2009-03-04,0.838995568685377,0.81480397893505,NA,0.943722943722944,0.939393939393939,0.683978136809546,0.601076639068444
"43",2009-03-05,0.81068439192516,0.762726740784084,NA,0.142857142857143,0.0865800865800866,0.702603194892719,0.118798512174828
"44",2009-03-06,0.814130969965534,0.7510239906378,NA,0.558441558441558,0.281385281385281,0.866728101701476,0.0826020155302511
"45",2009-03-09,0.825947808961103,0.739321240491515,NA,0.67965367965368,0.277056277056277,0.949299740840372,0.0382666206958527
