,FOX,FOXA
2008-02-01,1.0,1.0
2008-02-04,0.9975012493753123,0.9969088098918084
2008-02-05,1.0034982508745625,1.0097887686759404
2008-02-06,1.0124937531234384,1.0139103554868625
2008-02-07,1.0274862568715641,1.0267903142709942
2008-02-08,1.0144927536231885,1.0118495620814014
2008-02-11,1.0074962518740629,1.0051519835136529
2008-02-12,1.000999500249875,0.9979392065945389
2008-02-13,0.9960019990004997,0.9917568263781555
2008-02-14,0.9970014992503747,0.9881504379185987
2008-02-15,1.00199900049975,1.0
2008-02-19,0.9980009995002498,0.9922720247295209
2008-02-20,0.9920039980009995,0.9871200412158682
2008-02-21,0.978510744627686,0.9706336939721792
2008-02-22,0.9870064967516241,0.9819680577022153
2008-02-25,1.0059970014992503,1.003606388459557
2008-02-26,1.0089955022488755,0.9984544049459041
2008-02-27,1.0109945027486256,1.0061823802163834
2008-02-28,0.9920039980009995,0.9891808346213292
2008-02-29,0.9550224887556221,0.9484801648634724
2008-03-03,0.9555222388805596,0.9520865533230294
2008-03-04,0.9600199900049975,0.9592993302421433
2008-03-05,0.9655172413793103,0.964451313755796
2008-03-06,0.9510244877561219,0.9536321483771253
2008-03-07,0.9340329835082458,0.9386913961875322
2008-03-10,0.913543228385807,0.9206594538897476
2008-03-11,0.9350324837581209,0.9422977846470891
2008-03-12,0.9455272363818091,0.9567233384853169
2008-03-13,0.9405297351324338,0.9520865533230294
2008-03-14,0.9190404797601199,0.9258114374034002
2008-03-17,0.9140429785107446,0.9258114374034002
2008-03-18,0.9350324837581209,0.9520865533230294
2008-03-19,0.9340329835082458,0.9541473467284904
2008-03-20,0.9315342328835582,0.9469345698093765
2008-03-24,0.9555222388805596,0.9768160741885626
2008-03-25,0.9690154922538731,0.9860896445131376
2008-03-26,0.9590204897551224,0.9721792890262752
2008-03-27,0.9490254872563717,0.9603297269448738
2008-03-28,0.9365317341329333,0.9469345698093765
2008-03-31,0.9515242378810593,0.9659969088098918
2008-04-01,0.9920039980009995,1.009273570324575
2008-04-02,0.9995002498750624,1.009273570324575
2008-04-03,1.0079960019990004,1.011334363730036
2008-04-04,0.9885057471264368,0.9912416280267903
2008-04-07,1.0044977511244377,1.0082431736218445
2008-04-08,0.9950024987506246,0.9917568263781555
2008-04-09,0.9760119940029984,0.9757856774858321
2008-04-10,0.9715142428785607,0.9732096857290057
2008-04-11,0.9495252373813092,0.9489953632148378
2008-04-14,0.9065467266366816,0.9052035033487893
2008-04-15,0.9030484757621189,0.8959299330242143
2008-04-16,0.9155422288855571,0.9082946934569809
2008-04-17,0.9275362318840579,0.9314786192684182
2008-04-18,0.9475262368815592,0.9541473467284904
2008-04-21,0.9465267366316842,0.9510561566202989
2008-04-22,0.9245377311344327,0.9252962390520351
2008-04-23,0.9155422288855571,0.9165378670788253
2008-04-24,0.920039980009995,0.9155074703760948
2008-04-25,0.9160419790104946,0.9170530654301906
2008-04-28,0.906046976511744,0.9077794951056157
2008-04-29,0.9110444777611194,0.9119010819165378
2008-04-30,0.9245377311344327,0.9222050489438433
2008-05-01,0.9565217391304347,0.949510561566203
2008-05-02,0.970014992503748,0.9582689335394128
2008-05-05,0.9660169915042477,0.9582689335394128
2008-05-06,0.9720139930034981,0.9685729005667182
2008-05-07,0.9595202398800599,0.9489953632148378
2008-05-08,0.9835082458770614,0.9706336939721792
2008-05-09,0.967016491754123,0.9526017516743945
2008-05-12,0.9780109945027485,0.9613601236476044
2008-05-13,0.9900049975012493,0.9850592478104071
2008-05-14,0.9835082458770614,0.9783616692426583
2008-05-15,0.9925037481259369,0.988665636269964
2008-05-16,0.9990004997501247,0.990726429675425
2008-05-19,0.9925037481259369,0.9922720247295209
2008-05-20,0.984007996001999,0.9835136527563112
2008-05-21,0.9755122438780609,0.9726944873776403
2008-05-22,0.9825087456271864,0.9814528593508501
2008-05-23,0.9550224887556221,0.9567233384853169
2008-05-27,0.9655172413793103,0.9726944873776403
2008-05-28,0.9590204897551224,0.9659969088098918
2008-05-29,0.9465267366316842,0.9453889747552808
2008-05-30,0.9295352323838081,0.9247810407006697
2008-06-02,0.9215392303848076,0.9175682637815559
2008-06-03,0.9130434782608695,0.9160226687274601
2008-06-04,0.9215392303848076,0.9242658423493045
2008-06-05,0.937031484257871,0.9402369912416281
2008-06-06,0.8980509745127435,0.893353941267388
2008-06-09,0.8940529735132433,0.8907779495105616
2008-06-10,0.8945527236381807,0.8918083462132921
2008-06-11,0.891054472763618,0.88768675940237
2008-06-12,0.891054472763618,0.8923235445646575
2008-06-13,0.9210394802598699,0.9263266357547656
2008-06-16,0.9085457271364317,0.9170530654301906
2008-06-17,0.8920539730134932,0.8948995363214838
2008-06-18,0.879560219890055,0.8856259659969089
2008-06-19,0.8680659670164917,0.8778979907264296
2008-06-20,0.832583708145927,0.8377125193199383
2008-06-23,0.8260869565217391,0.8294693456980938
2008-06-24,0.8255872063968015,0.8289541473467285
2008-06-25,0.8365817091454272,0.8485316846986088
2008-06-26,0.8085957021489255,0.8155589902112313
2008-06-27,0.7861069465267366,0.7949510561566203
2008-06-30,0.7671164417791103,0.7748583204533745
2008-07-01,0.752623688155922,0.764554353426069
2008-07-02,0.7316341829085456,0.7424008243173622
2008-07-03,0.7376311844077961,0.7501287995878413
2008-07-07,0.7311344327836081,0.7424008243173622
2008-07-08,0.7481259370314842,0.762493560020608
2008-07-09,0.7311344327836081,0.7408552292632664
2008-07-10,0.7346326836581708,0.7501287995878413
2008-07-11,0.7231384307846077,0.7367336424523442
2008-07-14,0.72063968015992,0.731066460587326
