,ITW,EFX
2008-02-01,1.0,1.0
2008-02-04,1.0015717092337917,0.9883783783783784
2008-02-05,0.9742632612966602,0.9299999999999999
2008-02-06,0.9699410609037328,0.9183783783783783
2008-02-07,0.9607072691552063,0.9254054054054055
2008-02-08,0.9530451866404716,0.9156756756756758
2008-02-11,0.9546168958742633,0.9394594594594594
2008-02-12,0.96286836935167,0.9527027027027027
2008-02-13,0.9825147347740668,0.9645945945945945
2008-02-14,0.9609037328094302,0.9494594594594595
2008-02-15,0.9599214145383105,0.9451351351351351
2008-02-19,0.9571709233791749,0.9408108108108109
2008-02-20,0.9677799607072691,0.9518918918918918
2008-02-21,0.9493123772102161,0.9524324324324325
2008-02-22,0.9508840864440079,0.9605405405405405
2008-02-25,0.9624754420432221,0.9656756756756756
2008-02-26,0.9677799607072691,0.975945945945946
2008-02-27,0.9726915520628684,0.9808108108108108
2008-02-28,0.9813359528487231,0.9632432432432433
2008-02-29,0.9640471512770138,0.9248648648648649
2008-03-03,0.9634577603143418,0.9302702702702703
2008-03-04,0.9526522593320237,0.922972972972973
2008-03-05,0.9481335952848723,0.9308108108108107
2008-03-06,0.9390962671905697,0.9159459459459459
2008-03-07,0.9259332023575639,0.917027027027027
2008-03-10,0.9090373280943026,0.8943243243243244
2008-03-11,0.9394891944990177,0.9283783783783784
2008-03-12,0.9343811394891945,0.934864864864865
2008-03-13,0.9383104125736739,0.9327027027027026
2008-03-14,0.918467583497053,0.91
2008-03-17,0.9355599214145383,0.8978378378378378
2008-03-18,0.9636542239685658,0.9199999999999999
2008-03-19,0.9402750491159135,0.9094594594594594
2008-03-20,0.9493123772102161,0.9378378378378379
2008-03-24,0.9709233791748527,0.9554054054054054
2008-03-25,0.980550098231827,0.9516216216216217
2008-03-26,0.9638506876227898,0.9467567567567567
2008-03-27,0.9495088408644401,0.934864864864865
2008-03-28,0.9408644400785855,0.9264864864864866
2008-03-31,0.9475442043222003,0.9318918918918918
2008-04-01,0.9913555992141454,0.9713513513513513
2008-04-02,0.9889980353634579,0.9762162162162161
2008-04-03,0.9827111984282908,0.9664864864864864
2008-04-04,0.9984282907662083,0.965945945945946
2008-04-07,0.9990176817288802,0.972972972972973
2008-04-08,0.9791748526522595,0.9602702702702703
2008-04-09,0.9722986247544205,0.9478378378378378
2008-04-10,0.9988212180746563,0.9459459459459459
2008-04-11,0.9774066797642437,0.9208108108108108
2008-04-14,0.9836935166994106,0.9218918918918919
2008-04-15,0.9931237721021611,0.9156756756756758
2008-04-16,1.032023575638507,0.9651351351351352
2008-04-17,1.0027504911591356,0.9594594594594594
2008-04-18,1.0282907662082517,0.9764864864864865
2008-04-21,1.0337917485265227,0.984054054054054
2008-04-22,1.02573673870334,1.0016216216216216
2008-04-23,1.012573673870334,1.0170270270270272
2008-04-24,1.0198428290766208,1.0362162162162163
2008-04-25,1.025540275049116,1.0497297297297299
2008-04-28,1.0296660117878191,1.0472972972972974
2008-04-29,1.0337917485265227,1.0386486486486486
2008-04-30,1.0273084479371317,1.0343243243243243
2008-05-01,1.0510805500982319,1.0724324324324324
2008-05-02,1.043614931237721,1.0572972972972972
2008-05-05,1.038506876227898,1.0486486486486486
2008-05-06,1.0526522593320236,1.0543243243243243
2008-05-07,1.0400785854616896,1.0283783783783782
2008-05-08,1.0390962671905697,1.027027027027027
2008-05-09,1.0432220039292732,1.021081081081081
2008-05-12,1.0559921414538311,1.0394594594594595
2008-05-13,1.074459724950884,1.037837837837838
2008-05-14,1.0850687622789783,1.0397297297297297
2008-05-15,1.0803536345776033,1.0440540540540542
2008-05-16,1.0734774066797643,1.0332432432432432
2008-05-19,1.0783889980353636,1.0397297297297297
2008-05-20,1.0660117878192534,1.0251351351351352
2008-05-21,1.0428290766208252,1.0032432432432432
2008-05-22,1.0465618860510806,1.0072972972972973
2008-05-23,1.030648330058939,1.0040540540540541
2008-05-27,1.0275049115913555,1.0235135135135134
2008-05-28,1.0345776031434184,1.0167567567567566
2008-05-29,1.0337917485265227,1.0216216216216216
2008-05-30,1.0550098231827112,1.0313513513513513
2008-06-02,1.025147347740668,1.0091891891891893
2008-06-03,1.012573673870334,1.0064864864864866
2008-06-04,1.0092337917485266,1.0118918918918918
2008-06-05,1.0117878192534382,1.0151351351351352
2008-06-06,0.9854616895874263,0.977027027027027
2008-06-09,0.9913555992141454,0.975945945945946
2008-06-10,0.9862475442043223,0.9764864864864865
2008-06-11,0.9575638506876228,0.9529729729729729
2008-06-12,0.9732809430255402,0.9664864864864864
2008-06-13,0.9766208251473478,0.984054054054054
2008-06-16,0.9724950884086444,0.9745945945945946
2008-06-17,0.9715127701375247,0.9624324324324324
2008-06-18,0.963261296660118,0.9475675675675677
2008-06-19,0.9721021611001964,0.9640540540540541
2008-06-20,0.9550098231827112,0.9356756756756756
2008-06-23,0.9493123772102161,0.9340540540540541
2008-06-24,0.9387033398821218,0.9232432432432431
2008-06-25,0.9557956777996071,0.9351351351351351
2008-06-26,0.9194499017681729,0.9121621621621622
2008-06-27,0.9108055009823183,0.9102702702702703
2008-06-30,0.9333988212180746,0.9086486486486486
2008-07-01,0.9318271119842829,0.9110810810810811
2008-07-02,0.9068762278978388,0.8943243243243244
2008-07-03,0.9273084479371317,0.9043243243243243
2008-07-07,0.9182711198428292,0.881891891891892
2008-07-08,0.9363457760314341,0.9075675675675675
2008-07-09,0.906679764243615,0.8918918918918919
2008-07-10,0.9104125736738704,0.9310810810810811
2008-07-11,0.8958742632612967,0.9164864864864863
2008-07-14,0.9017681728880157,0.9056756756756756
