,STX,FOR
2008-02-01,1.0,1.0
2008-02-04,0.9909221213569039,1.016359918200409
2008-02-05,1.0143334925943621,0.9570552147239263
2008-02-06,1.009077878643096,1.09079754601227
2008-02-07,1.0281892021022456,1.1591002044989775
2008-02-08,1.0487338748208312,1.1247443762781186
2008-02-11,1.0673674151935022,1.1480572597137015
2008-02-12,1.0874343048256092,1.1799591002044991
2008-02-13,1.1113234591495462,1.1447852760736197
2008-02-14,1.0745341614906831,1.123517382413088
2008-02-15,1.0836120401337792,1.1431492842535786
2008-02-19,1.1127568084089823,1.1194274028629858
2008-02-20,1.107978977544195,1.0940695296523517
2008-02-21,1.1213569039655995,1.05439672801636
2008-02-22,1.1356903965599618,1.0633946830265848
2008-02-25,1.1399904443382705,1.0666666666666667
2008-02-26,1.1328236980410895,1.0867075664621677
2008-02-27,1.1270903010033444,1.0441717791411043
2008-02-28,1.067845198279981,1.0040899795501024
2008-02-29,1.0305781175346393,0.9971370143149284
2008-03-03,1.0425226946966077,0.9885480572597138
2008-03-04,1.0946010511227904,0.9820040899795502
2008-03-05,1.0898232202580027,0.9836400817995911
2008-03-06,1.0406115623506929,0.9836400817995911
2008-03-07,1.0391782130912566,1.0040899795501024
2008-03-10,1.0152890587673196,0.9611451942740287
2008-03-11,1.0434782608695652,0.9836400817995911
2008-03-12,1.0396559961777354,1.027402862985685
2008-03-13,1.0573339703774487,0.9877300613496932
2008-03-14,1.0611562350692787,1.0413087934560328
2008-03-17,1.0167224080267558,1.0229038854805728
2008-03-18,1.0382226469182991,1.0858895705521474
2008-03-19,0.9866220735785952,1.0179959100204499
2008-03-20,1.0167224080267558,1.0020449897750512
2008-03-24,1.051122790253225,1.01840490797546
2008-03-25,1.0334448160535117,1.0122699386503067
2008-03-26,1.0425226946966077,0.9738241308793456
2008-03-27,0.978021978021978,0.9840490797546012
2008-03-28,0.9698996655518395,1.0053169734151328
2008-03-31,1.0004777830864788,1.0188139059304704
2008-04-01,1.0324892498805542,1.0531697341513293
2008-04-02,1.04538939321548,1.0212678936605317
2008-04-03,1.0554228380315336,0.9983640081799592
2008-04-04,1.032967032967033,0.9783231083844581
2008-04-07,1.0387004300047777,0.9938650306748467
2008-04-08,1.0167224080267558,0.9897750511247444
2008-04-09,1.0066889632107023,0.9824130879345604
2008-04-10,1.0334448160535117,1.0004089979550104
2008-04-11,0.9813664596273292,0.9897750511247444
2008-04-14,0.9541328236980411,1.0061349693251536
2008-04-15,0.963688485427616,1.0122699386503067
2008-04-16,0.9106545628284758,1.0224948875255624
2008-04-17,0.9445771619684663,1.016359918200409
2008-04-18,0.9307214524605829,1.025357873210634
2008-04-21,0.9536550406115624,1.0151329243353784
2008-04-22,0.9307214524605829,1.0245398773006136
2008-04-23,0.9182990922121357,1.0212678936605317
2008-04-24,0.9374104156712852,1.0912065439672802
2008-04-25,0.9264214046822743,1.1022494887525562
2008-04-28,0.9168657429526995,1.1022494887525562
2008-04-29,0.9173435260391782,1.016359918200409
2008-04-30,0.90157668418538,1.01840490797546
2008-05-01,0.9316770186335404,1.0265848670756648
2008-05-02,0.9292881032011466,1.0633946830265848
2008-05-05,0.9412326803631151,1.0421267893660533
2008-05-06,0.9493549928332538,1.0368098159509203
2008-05-07,0.9479216435738175,1.0212678936605317
2008-05-08,0.9698996655518395,1.0085889570552147
2008-05-09,0.9665551839464883,0.9877300613496932
2008-05-12,0.9617773530817009,1.030674846625767
2008-05-13,0.9579550883898711,1.0478527607361965
2008-05-14,1.0148112756808407,1.0666666666666667
2008-05-15,1.0191113234591496,1.0633946830265848
2008-05-16,1.0468227424749164,1.0372188139059304
2008-05-19,0.9956999522216914,1.0216768916155419
2008-05-20,0.9804108934543717,1.0032719836400819
2008-05-21,0.9775441949354994,0.9938650306748467
2008-05-22,0.9980888676540851,0.9905930470347648
2008-05-23,0.9875776397515529,0.9946830265848671
2008-05-27,0.9866220735785952,1.0404907975460123
2008-05-28,0.9823220258002866,1.0167689161554192
2008-05-29,0.9894887720974678,1.0179959100204499
2008-05-30,1.0234113712374582,1.0224948875255624
2008-06-02,1.0181557572861921,1.0
2008-06-03,1.0358337314859054,1.0175869120654397
2008-06-04,1.0425226946966077,0.9836400817995911
2008-06-05,1.0559006211180124,1.0094069529652352
2008-06-06,1.064022933588151,0.9918200408997956
2008-06-09,1.0363115145723842,0.9856850715746422
2008-06-10,1.0028666985188723,1.0081799591002045
2008-06-11,0.9799331103678931,0.9734151329243355
2008-06-12,0.9675107501194458,0.9820040899795502
2008-06-13,0.9684663162924032,0.9836400817995911
2008-06-16,1.0043000477783086,0.9815950920245399
2008-06-17,0.9942666029622551,0.9644171779141104
2008-06-18,0.9890109890109889,0.9447852760736197
2008-06-19,1.0009555661729574,0.9611451942740287
2008-06-20,0.9641662685140946,0.9603271983640083
2008-06-23,0.94696607740086,0.9406952965235174
2008-06-24,0.9393215480172002,0.9137014314928426
2008-06-25,0.9574773053033923,0.9141104294478528
2008-06-26,0.9316770186335404,0.8179959100204499
2008-06-27,0.9307214524605829,0.801635991820041
2008-06-30,0.913999044433827,0.7791411042944786
2008-07-01,0.9283325370281892,0.7406952965235174
2008-07-02,0.8987099856665074,0.7165644171779141
2008-07-03,0.8571428571428572,0.6993865030674847
2008-07-07,0.8394648829431438,0.6887525562372189
2008-07-08,0.8461538461538463,0.729243353783231
2008-07-09,0.8141423793597706,0.725562372188139
2008-07-10,0.813664596273292,0.758282208588957
2008-07-11,0.8122312470138557,0.779959100204499
2008-07-14,0.8155757286192069,0.7701431492842535
