,LNDC,NWBI
2008-02-01,1.0,1.0
2008-02-04,0.9968387776606955,0.9628730048577376
2008-02-05,0.952581664910432,0.9430950728660652
2008-02-06,0.9652265542676501,0.9424011103400416
2008-02-07,0.9799789251844047,0.9618320610687022
2008-02-08,0.9620653319283456,0.9659958362248439
2008-02-11,0.9652265542676501,0.9701596113809855
2008-02-12,0.9715489989462592,0.9632199861207495
2008-02-13,0.9799789251844047,0.9715475364330326
2008-02-14,0.9673340358271865,0.9646079111727967
2008-02-15,0.9852476290832455,0.9604441360166551
2008-02-19,0.9957850368809272,0.9500346981263011
2008-02-20,0.9957850368809272,0.9642609299097848
2008-02-21,0.982086406743941,0.9465648854961832
2008-02-22,0.9894625922023182,0.9524635669673838
2008-02-25,1.0326659641728135,0.9628730048577376
2008-02-26,1.0368809272918862,0.9562803608605135
2008-02-27,1.042149631190727,0.9583622484385843
2008-02-28,1.0073761854583774,0.9337265787647467
2008-02-29,0.9884088514225501,0.9163775156141568
2008-03-03,1.0042149631190727,0.9403192227619709
2008-03-04,0.9799789251844047,0.9552394170714782
2008-03-05,0.9926238145416227,0.9243580846634282
2008-03-06,0.9715489989462592,0.895558639833449
2008-03-07,0.9430979978925184,0.9118667591950035
2008-03-10,0.9062170706006322,0.9139486467730742
2008-03-11,0.9357218124341412,0.9802220680083276
2008-03-12,0.9041095890410958,0.9576682859125608
2008-03-13,0.9220231822971549,0.9920194309507286
2008-03-14,0.8609062170706006,0.9444829979181124
2008-03-17,0.8482613277133826,0.9358084663428174
2008-03-18,0.8682824025289779,0.9698126301179736
2008-03-19,0.8451001053740779,0.9434420541290771
2008-03-20,0.8514225500526871,0.9784871616932685
2008-03-24,0.8630136986301369,0.9764052741151978
2008-03-25,0.8914646996838779,0.9826509368494102
2008-03-26,0.9030558482613277,0.9840388619014573
2008-03-27,0.9020021074815596,0.9646079111727967
2008-03-28,0.8798735511064277,0.9489937543372658
2008-03-31,0.8883034773445732,0.9482997918112421
2008-04-01,0.892518440463646,0.9684247050659265
2008-04-02,0.8598524762908325,0.9646079111727967
2008-04-03,0.8187565858798734,0.952116585704372
2008-04-04,0.8177028451001054,0.9392782789729355
2008-04-07,0.8187565858798734,0.9340735600277585
2008-04-08,0.8387776606954689,0.9306037473976405
2008-04-09,0.8261327713382508,0.9149895905621097
2008-04-10,0.9220231822971549,0.9247050659264399
2008-04-11,0.8998946259220231,0.9011103400416377
2008-04-14,0.8893572181243413,0.8924358084663427
2008-04-15,0.8577449947312962,0.8983344899375434
2008-04-16,0.8946259220231823,0.9462179042331714
2008-04-17,0.856691253951528,0.9337265787647467
2008-04-18,0.869336143308746,0.9489937543372658
2008-04-21,0.864067439409905,0.9288688410825815
2008-04-22,0.8429926238145417,0.9146426092990978
2008-04-23,0.8419388830347735,0.8938237335183901
2008-04-24,0.846153846153846,0.8965995836224844
2008-04-25,0.8672286617492098,0.8941707147814018
2008-04-28,0.8609062170706006,0.8858431644691187
2008-04-29,0.8609062170706006,0.866412213740458
2008-04-30,0.8545837723919915,0.8952116585704372
2008-05-01,0.869336143308746,0.90735600277585
2008-05-02,0.8904109589041095,0.8726578764746703
2008-05-05,0.8935721812434142,0.8678001387925053
2008-05-06,0.8819810326659641,0.8671061762664816
2008-05-07,0.8672286617492098,0.8497571131158916
2008-05-08,0.8619599578503687,0.8535739070090216
2008-05-09,0.8609062170706006,0.8542678695350452
2008-05-12,0.8977871443624867,0.8723108952116586
2008-05-13,0.8914646996838779,0.8736988202637057
2008-05-14,0.8967334035827186,0.8702290076335877
2008-05-15,0.8851422550052688,0.8754337265787647
2008-05-16,0.8830347734457324,0.8587786259541985
2008-05-19,0.8714436248682823,0.851145038167939
2008-05-20,0.8682824025289779,0.8455933379597502
2008-05-21,0.8387776606954689,0.8438584316446912
2008-05-22,0.8451001053740779,0.84941013185288
2008-05-23,0.8472075869336142,0.8501040943789036
2008-05-27,0.8535300316122233,0.8667591950034699
2008-05-28,0.8703898840885141,0.8480222068008328
2008-05-29,0.8630136986301369,0.8601665510062456
2008-05-30,0.8440463645943097,0.851145038167939
2008-06-02,0.8451001053740779,0.8379597501734906
2008-06-03,0.8429926238145417,0.8233865371269952
2008-06-04,0.8440463645943097,0.8244274809160306
2008-06-05,0.864067439409905,0.8393476752255379
2008-06-06,0.8451001053740779,0.8095072866065232
2008-06-09,0.8440463645943097,0.8070784177654408
2008-06-10,0.846153846153846,0.8313671061762665
2008-06-11,0.8387776606954689,0.8049965301873698
2008-06-12,0.839831401475237,0.8114156835530881
2008-06-13,0.8482613277133826,0.8088133240804996
2008-06-16,0.8577449947312962,0.8244274809160306
2008-06-17,0.8271865121180189,0.7994448299791811
2008-06-18,0.8314014752370916,0.7914642609299097
2008-06-19,0.8356164383561643,0.7904233171408744
2008-06-20,0.7934668071654373,0.7845246356696738
2008-06-23,0.7660695468914647,0.7702984038861901
2008-06-24,0.7471022128556375,0.7741151977793199
2008-06-25,0.7376185458377239,0.78764746703678
2008-06-26,0.7165437302423604,0.7668285912560722
2008-06-27,0.6912539515279241,0.7657876474670368
2008-06-30,0.6817702845100105,0.7571131158917418
2008-07-01,0.6975763962065332,0.763705759888966
2008-07-02,0.678609062170706,0.738029146426093
2008-07-03,0.6691253951527923,0.7373351839000694
2008-07-07,0.6775553213909378,0.7196391394864676
2008-07-08,0.7112750263435195,0.7612768910478834
2008-07-09,0.6933614330874605,0.7356002775850103
2008-07-10,0.7133825079030558,0.7411519777931992
2008-07-11,0.7523709167544783,0.7512144344205413
