,SRCL,ABT
2008-02-01,1.0,1.0
2008-02-04,0.9972835314091681,1.0086880973066898
2008-02-05,0.9555178268251274,0.9963509991311904
2008-02-06,0.9319185059422751,1.0031277150304083
2008-02-07,0.9533106960950763,1.009556907037359
2008-02-08,0.9480475382003396,0.9869678540399652
2008-02-11,0.9263157894736843,0.9789748045178107
2008-02-12,0.936672325976231,0.9721980886185926
2008-02-13,0.9485568760611205,0.982102519548219
2008-02-14,0.9222410865874363,0.9622936576889662
2008-02-15,0.902376910016978,0.9652476107732406
2008-02-19,0.9173174872665535,0.9655951346655083
2008-02-20,0.9278438030560272,0.9662901824500435
2008-02-21,0.9179966044142615,0.9532580364900087
2008-02-22,0.9239388794567064,0.9476976542137272
2008-02-25,0.9414261460101868,0.9638575152041703
2008-02-26,0.9589134125636672,0.9655951346655083
2008-02-27,0.9607809847198643,0.9476976542137272
2008-02-28,0.9487266553480476,0.9421372719374457
2008-02-29,0.9149405772495756,0.9304952215464813
2008-03-03,0.9273344651952462,0.9249348392701998
2008-03-04,0.9324278438030561,0.9251086012163336
2008-03-05,0.9497453310696095,0.9205907906168549
2008-03-06,0.9183361629881155,0.9051259774109471
2008-03-07,0.9168081494057725,0.8868809730668984
2008-03-10,0.8938879456706281,0.8792354474370113
2008-03-11,0.9129032258064517,0.8837532580364901
2008-03-12,0.9166383701188455,0.8920938314509124
2008-03-13,0.9066213921901528,0.9131190269331017
2008-03-14,0.8730050933786079,0.8927888792354475
2008-03-17,0.8640067911714772,0.9132927888792355
2008-03-18,0.8750424448217318,0.9351867940920939
2008-03-19,0.86893039049236,0.9450912250217203
2008-03-20,0.8657045840407471,0.9671589921807124
2008-03-24,0.8553480475382004,0.9631624674196352
2008-03-25,0.8585738539898132,0.9475238922675935
2008-03-26,0.8723259762308999,0.9388357949609036
2008-03-27,0.8578947368421053,0.9304952215464813
2008-03-28,0.8740237691001698,0.9221546481320592
2008-03-31,0.8743633276740238,0.9582971329278888
2008-04-01,0.8745331069609508,0.9596872284969592
2008-04-02,0.8847198641765704,0.9435273675065161
2008-04-03,0.8971137521222412,0.9475238922675935
2008-04-04,0.9166383701188455,0.9529105125977412
2008-04-07,0.8962648556876062,0.9534317984361425
2008-04-08,0.903225806451613,0.9383145091225022
2008-04-09,0.9144312393887946,0.9360556038227629
2008-04-10,0.9212224108658743,0.936750651607298
2008-04-11,0.9139219015280136,0.9174630755864466
2008-04-14,0.9135823429541596,0.9117289313640313
2008-04-15,0.8998302207130731,0.9019982623805386
2008-04-16,0.9120543293718166,0.8922675933970461
2008-04-17,0.9088285229202038,0.8849695916594267
2008-04-18,0.9601018675721562,0.8813205907906169
2008-04-21,0.9427843803056027,0.8780191138140748
2008-04-22,0.9193548387096774,0.877845351867941
2008-04-23,0.9305602716468592,0.8785403996524762
2008-04-24,0.9507640067911715,0.8764552562988706
2008-04-25,0.9451612903225807,0.8910512597741095
2008-04-28,0.9183361629881155,0.8967854039965248
2008-04-29,0.9071307300509338,0.9292788879235447
2008-04-30,0.9062818336162989,0.9165942658557776
2008-05-01,0.9188455008488964,0.930842745438749
2008-05-02,0.9078098471986418,0.9238922675933972
2008-05-05,0.8926994906621392,0.9209383145091226
2008-05-06,0.8991511035653651,0.913640312771503
2008-05-07,0.8765704584040748,0.8912250217202433
2008-05-08,0.8884550084889643,0.8910512597741095
2008-05-09,0.8796264855687607,0.8997393570807993
2008-05-12,0.8930390492359933,0.917115551694179
2008-05-13,0.8855687606112054,0.9452649869678541
2008-05-14,0.8899830220713073,0.9527367506516073
2008-05-15,0.8943972835314092,0.9534317984361425
2008-05-16,0.9623089983022072,0.9506516072980018
2008-05-19,0.9612903225806452,0.9565595134665508
2008-05-20,0.9611205432937182,0.9501303214596004
2008-05-21,0.9806451612903225,0.9445699391833189
2008-05-22,0.9910016977928693,0.953084274543875
2008-05-23,0.9757215619694397,0.9428323197219809
2008-05-27,0.9966044142614602,0.9485664639443963
2008-05-28,0.9959252971137521,0.9400521285838402
2008-05-29,0.9986417657045841,0.9723718505647264
2008-05-30,0.9898132427843803,0.9791485664639444
2008-06-02,0.9789473684210526,0.9675065160729801
2008-06-03,0.9658743633276741,0.968375325803649
2008-06-04,0.9828522920203735,0.9730668983492615
2008-06-05,1.0001697792869269,0.968375325803649
2008-06-06,0.968760611205433,0.9515204170286707
2008-06-09,0.9816638370118845,0.9518679409209384
2008-06-10,0.9653650254668931,0.9423110338835795
2008-06-11,0.9421052631578948,0.9296264118158124
2008-06-12,0.9382003395585738,0.9370981754995656
2008-06-13,0.9628183361629882,0.940225890529974
2008-06-16,0.9606112054329372,0.9440486533449175
2008-06-17,0.9572156196943974,0.930842745438749
2008-06-18,0.9268251273344653,0.9228496959165943
2008-06-19,0.9203735144312394,0.9407471763683753
2008-06-20,0.9117147707979627,0.9270199826238055
2008-06-23,0.9125636672325976,0.9433536055603823
2008-06-24,0.8758913412563668,0.9339704604691573
2008-06-25,0.866553480475382,0.9301476976542138
2008-06-26,0.8726655348047538,0.9164205039096439
2008-06-27,0.8628183361629881,0.9209383145091226
2008-06-30,0.8777589134125637,0.9204170286707212
2008-07-01,0.868760611205433,0.941963509991312
2008-07-02,0.8492359932088286,0.9424847958297133
2008-07-03,0.8494057724957556,0.951346655082537
2008-07-07,0.8441426146010187,0.9416159860990443
2008-07-08,0.8663837011884551,0.9968722849695917
2008-07-09,0.8560271646859083,0.988879235447437
2008-07-10,0.8932088285229202,0.9965247610773241
2008-07-11,0.9108658743633277,0.9805386620330148
