"","X1","OMG","BGCP","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,1.00272603362108,1.11032028469751,NA,0.54978354978355,0.96969696969697,0.158784099127748,0.988987264562537
"3",2009-01-06,1.07632894139028,1.15302491103203,NA,0.922077922077922,0.865800865800866,0.854501793784487,0.653276878151162
"4",2009-01-07,1.03407542026352,1.13167259786477,NA,0.19047619047619,0.329004329004329,0.21042162303409,0.462250226470276
"5",2009-01-08,1.03816447069514,1.14946619217082,NA,0.575757575757576,0.770562770562771,0.448714637855296,0.797733981473352
"6",2009-01-09,0.987278509768287,1.12099644128114,"OMG",0.16017316017316,0.272727272727273,0.190332051622568,0.410925775870126
"7",2009-01-12,0.925942753293957,1.12099644128114,"OMG",0.12987012987013,0.627705627705628,0.0823663564028951,0.811127593315897
"8",2009-01-13,0.954111767378464,1.0711743772242,"OMG",0.770562770562771,0.181818181818182,0.90034984528087,0.0939629197464266
"9",2009-01-14,0.864152657882781,0.946619217081851,"OMG",0.0735930735930736,0.012987012987013,0.418788511824245,0.0269506716763681
"10",2009-01-15,0.864152657882781,0.935943060498221,"OMG",0.528138528138528,0.411255411255411,0.590268536270223,0.400586159881585
"11",2009-01-16,0.88323489323035,0.98220640569395,"OMG",0.696969696969697,0.887445887445887,0.461503302394123,0.890469395769361
"12",2009-01-20,0.78691503861881,0.99644128113879,"OMG",0.0432900432900433,0.766233766233766,0.0150732273519404,0.935422665580429
"13",2009-01-21,0.865061335756474,1.00711743772242,"OMG",0.956709956709957,0.74025974025974,0.963209116519138,0.353406906767131
"14",2009-01-22,0.836892321671967,0.918149466192171,"OMG",0.225108225108225,0.0562770562770563,0.479413446645905,0.0625563250971055
"15",2009-01-23,0.892321671967288,0.889679715302491,NA,0.904761904761905,0.251082251082251,0.970211216534533,0.0874662736104668
"16",2009-01-26,0.88323489323035,0.928825622775801,NA,0.415584415584416,0.874458874458874,0.208835466373822,0.936068030817962
"17",2009-01-27,0.905043162199,0.946619217081851,NA,0.74025974025974,0.779220779220779,0.644166745489316,0.726274213640926
"18",2009-01-28,0.949568378009995,0.96085409252669,NA,0.861471861471861,0.766233766233766,0.824290528650034,0.592863966694988
"19",2009-01-29,0.920490686051795,0.889679715302491,NA,0.255411255411255,0.0692640692640693,0.493558544269162,0.0739072393614761
"20",2009-01-30,0.880508859609268,0.857651245551601,NA,0.168831168831169,0.229437229437229,0.220306524402894,0.344145031118012
"21",2009-02-02,0.902771467514766,0.854092526690391,NA,0.744588744588745,0.545454545454545,0.780079981973813,0.434391704594332
"22",2009-02-03,0.923216719672876,0.879003558718861,NA,0.705627705627706,0.835497835497836,0.54246674411599,0.820926551836466
"23",2009-02-04,0.950022716946842,0.822064056939502,NA,0.770562770562771,0.0952380952380952,0.920607489582306,0.0407606517300271
"24",2009-02-05,0.986369831894593,0.786476868327402,"BGCP",0.826839826839827,0.181818181818182,0.93562417779457,0.0796793362701604
"25",2009-02-06,1.01090413448433,0.850533807829182,"BGCP",0.744588744588745,0.939393939393939,0.413132561837118,0.941350266154053
"26",2009-02-09,1.00999545661063,0.893238434163701,"BGCP",0.510822510822511,0.887445887445887,0.271368598911038,0.932812692472975
"27",2009-02-10,0.937301226715129,0.875444839857651,"BGCP",0.103896103896104,0.316017316017316,0.10530901586174,0.52071101294293
"28",2009-02-11,0.943661971830986,0.868327402135231,"BGCP",0.593073593073593,0.471861471861472,0.638898306060248,0.440157111321115
"29",2009-02-12,0.942753293957292,0.882562277580071,"BGCP",0.506493506493506,0.774891774891775,0.370270622036327,0.826143176001741
"30",2009-02-13,0.910495229441163,0.875444839857651,"BGCP",0.212121212121212,0.471861471861472,0.193954633274795,0.618841973831998
"31",2009-02-17,0.841435711040436,0.807829181494662,"BGCP",0.0952380952380952,0.0692640692640693,0.234477823787011,0.142957183644473
"32",2009-02-18,0.856428895956383,0.800711743772242,"BGCP",0.675324675324675,0.454545454545455,0.738075404115473,0.377974217225117
"33",2009-02-19,0.855065879145843,0.807829181494662,"BGCP",0.506493506493506,0.727272727272727,0.403366783282656,0.775411646032291
"34",2009-02-20,0.816901408450704,0.747330960854093,"BGCP",0.16017316017316,0.0692640692640693,0.355303810244427,0.100563416659252
"35",2009-02-23,0.742389822807815,0.722419928825623,"BGCP",0.0822510822510823,0.238095238095238,0.09494785049433,0.449105579158847
"36",2009-02-24,0.824170831440254,0.754448398576512,"BGCP",0.961038961038961,0.874458874458874,0.929438603208563,0.543894300234653
"37",2009-02-25,0.785097682871422,0.697508896797153,"BGCP",0.16017316017316,0.0692640692640693,0.355303810244427,0.100563416659252
"38",2009-02-26,0.694684234438891,0.697508896797153,NA,0.0303030303030303,0.627705627705628,0.0130301629290905,0.875973321449586
"39",2009-02-27,0.704225352112676,0.608540925266904,NA,0.645021645021645,0.012987012987013,0.908834853959745,0.00430807075971851
"40",2009-03-02,0.671058609722853,0.498220640569395,"BGCP",0.16017316017316,0,0.997013962882884,1e-10
"41",2009-03-03,0.64970467969105,0.508896797153025,"BGCP",0.229437229437229,0.787878787878788,0.121831051183898,0.902609878176326
"42",2009-03-04,0.69195820081781,0.608540925266904,"BGCP",0.904761904761905,0.995670995670996,0.256700887852957,0.994576855069615
"43",2009-03-05,0.639709223080418,0.516014234875445,"BGCP",0.0995670995670996,0.00865800865800866,0.526416382187241,0.0122502215383101
"44",2009-03-06,0.651976374375284,0.590747330960854,"BGCP",0.688311688311688,0.978354978354978,0.213887737939946,0.988961196757143
