,RTN,MMM
2008-02-01,1.0,1.0
2008-02-04,1.0048418822817369,0.992119197143209
2008-02-05,0.9833560296565288,0.9738948405368798
2008-02-06,0.9736722650930548,0.9750030784386161
2008-02-07,0.9986382206082615,0.9742642531707919
2008-02-08,0.9918293236495687,0.9673685506710997
2008-02-11,1.014525646845211,0.9762344538849896
2008-02-12,1.0028748676047814,0.974017978081517
2008-02-13,1.0154334997730368,1.002093338258835
2008-02-14,1.0031774852473898,0.988671345893363
2008-02-15,0.9933424118626116,0.9844846693756928
2008-02-19,0.9966712059313058,0.983253293929319
2008-02-20,0.9948555000756544,0.9843615318310553
2008-02-21,0.9851717355121803,0.9722940524565941
2008-02-22,0.9992434558934786,0.9810368181258466
2008-02-25,1.0019670146769557,0.9974141115626155
2008-02-26,1.006506279316084,1.000985100357099
2008-02-27,1.0049931911030412,0.9910109592414729
2008-02-28,1.0030261764260857,0.9826376062061323
2008-02-29,0.9810863973369648,0.965398349956902
2008-03-03,0.9910727795430473,0.9665065878586381
2008-03-04,0.9785141473747919,0.9655214875015392
2008-03-05,0.9892570736873959,0.9719246398226821
2008-03-06,0.9765471326978363,0.9598571604482208
2008-03-07,0.9617188682100166,0.942125354020441
2008-03-10,0.9481010742926311,0.9294421869227929
2008-03-11,0.9530942653956725,0.9598571604482208
2008-03-12,0.9592979270691481,0.9656446250461767
2008-03-13,0.974277500378272,0.9737717029922424
2008-03-14,0.9609623241034951,0.9546853835734517
2008-03-17,0.9630806476017552,0.966752862947913
2008-03-18,0.9765471326978363,0.9967984238394287
2008-03-19,0.9562717506430625,0.9785740672330995
2008-03-20,0.9641398093508851,0.9602265730821329
2008-03-24,0.9638371917082765,0.9683536510281986
2008-03-25,0.9833560296565288,0.9725403275458688
2008-03-26,0.9812377061582689,0.9685999261174733
2008-03-27,0.9706460886669693,0.9587489225464845
2008-03-28,0.975941897412619,0.9598571604482208
2008-03-31,0.9776062944469662,0.974633665804704
2008-04-01,0.9934937206839157,1.0013545129910109
2008-04-02,0.9963685882886971,0.9963058736608792
2008-04-03,0.9844151914056589,0.9871936953577146
2008-04-04,0.9916780148282646,0.9915035094200222
2008-04-07,0.9950068088969587,0.9874399704469894
2008-04-08,1.0063549704947798,0.9836227065632311
2008-04-09,1.008170676350431,0.9800517177687478
2008-04-10,1.0052958087456498,0.989410171161187
2008-04-11,0.9897110001513088,0.9662603127693634
2008-04-14,0.9847178090482674,0.9636744243319789
2008-04-15,0.9718565592374036,0.9708164019209458
2008-04-16,0.9933424118626116,0.9935968476788574
2008-04-17,0.9875926766530487,0.993104297500308
2008-04-18,1.0007565441065214,1.020810245043714
2008-04-21,0.9995460735360872,1.0139145425440217
2008-04-22,0.9880466031169616,0.9996305873660881
2008-04-23,1.00211832349826,0.9928580224110332
2008-04-24,1.0,0.9743873907154291
2008-04-25,0.9785141473747919,0.9582563723679349
2008-04-28,0.9878952942956575,0.9497598817879571
2008-04-29,0.9747314268421848,0.9464351680827485
2008-04-30,0.9679225298834921,0.9469277182612981
2008-05-01,0.9771523679830534,0.9585026474572098
2008-05-02,0.979119382660009,0.9672454131264623
2008-05-05,0.9706460886669693,0.9549316586627263
2008-05-06,0.974277500378272,0.9575175471001109
2008-05-07,0.9596005447117567,0.9442186922792761
2008-05-08,0.9670146769556665,0.9475434059844848
2008-05-09,0.9691330004539264,0.939785740672331
2008-05-12,0.9695869269178392,0.9564093091983746
2008-05-13,0.975941897412619,0.9503755695111441
2008-05-14,0.9839612649417461,0.9571481344661988
2008-05-15,0.9960659706460886,0.9587489225464845
2008-05-16,0.9853230443334846,0.9685999261174733
2008-05-19,0.9851717355121803,0.9734022903583303
2008-05-20,0.9723104857013164,0.9546853835734517
2008-05-21,0.9431078831895898,0.937322989779584
2008-05-22,0.9477984566500226,0.9437261421007266
2008-05-23,0.9455288243304585,0.9335057258958257
2008-05-27,0.9497654713269784,0.9379386775027707
2008-05-28,0.9515811771826297,0.9469277182612981
2008-05-29,0.9602057799969738,0.9575175471001109
2008-05-30,0.9662581328491451,0.9550547962073638
2008-06-02,0.9540021183234981,0.9389237778598696
2008-06-03,0.9414434861552428,0.9386775027705949
2008-06-04,0.9364502950522015,0.9402782908508805
2008-06-05,0.9361476774095929,0.9543159709395396
2008-06-06,0.907701619004388,0.9218076591552765
2008-06-09,0.87774247238614,0.933628863440463
2008-06-10,0.8943864427296111,0.9358453392439355
2008-06-11,0.8709335754274474,0.9268562984854082
2008-06-12,0.8679073990013617,0.9303041497352543
2008-06-13,0.8781963988500529,0.937322989779584
2008-06-16,0.8744136783174459,0.9259943356729468
2008-06-17,0.8853079134513542,0.9231621721462875
2008-06-18,0.8698744136783174,0.9149119566555843
2008-06-19,0.8833408987743986,0.9126954808521119
2008-06-20,0.8759267665304887,0.8991503509420022
2008-06-23,0.868058707822666,0.898411525674178
2008-06-24,0.896504766227871,0.8918852358083982
2008-06-25,0.8783477076713572,0.893609161433321
2008-06-26,0.8482372522318051,0.865164388622091
2008-06-27,0.8473293993039793,0.855929072774289
2008-06-30,0.8515660463004993,0.8569141731313878
2008-07-01,0.8710848842487516,0.8592537864794977
2008-07-02,0.8524738992283251,0.8432459056766409
2008-07-03,0.8722953548191859,0.8553133850511021
2008-07-07,0.8645786049326676,0.8601157492919591
2008-07-08,0.8691178695717959,0.8746459795591677
2008-07-09,0.8576183991526706,0.8452161063908387
2008-07-10,0.8797094870630957,0.8486639576406847
2008-07-11,0.8630655167196247,0.8462012067479375
2008-07-14,0.8574670903313663,0.8498953330870582
