,WBS,STI
2008-02-01,1.0,1.0
2008-02-04,0.9565217391304348,0.975998829211181
2008-02-05,0.9460869565217391,0.9410215132445485
2008-02-06,0.9469565217391305,0.9457046685204157
2008-02-07,0.975072463768116,0.9648763354309967
2008-02-08,0.9623188405797102,0.9399970730279527
2008-02-11,0.9257971014492754,0.92916727645251
2008-02-12,0.9350724637681159,0.9451192741109322
2008-02-13,0.9428985507246377,0.943363090882482
2008-02-14,0.896231884057971,0.9259476072003513
2008-02-15,0.9023188405797101,0.9253622127908678
2008-02-19,0.8771014492753624,0.9231669837553051
2008-02-20,0.8947826086956522,0.9363383579686814
2008-02-21,0.8608695652173913,0.8896531538123811
2008-02-22,0.881159420289855,0.908971169325333
2008-02-25,0.8953623188405797,0.9173130396604713
2008-02-26,0.898840579710145,0.9209717547197425
2008-02-27,0.8846376811594203,0.9177520854675838
2008-02-28,0.8585507246376812,0.8813112834772427
2008-02-29,0.8107246376811594,0.8507244255817358
2008-03-03,0.7976811594202898,0.836967656958876
2008-03-04,0.792463768115942,0.8254061173715791
2008-03-05,0.7901449275362319,0.8258451631786916
2008-03-06,0.7623188405797101,0.7936484706571052
2008-03-07,0.7707246376811594,0.8059417532562564
2008-03-10,0.7655072463768116,0.7984779745353432
2008-03-11,0.8176811594202898,0.8615542221571784
2008-03-12,0.7997101449275362,0.8463339675106103
2008-03-13,0.8034782608695652,0.8483828479438021
2008-03-14,0.7773913043478261,0.8170642470364408
2008-03-17,0.7869565217391304,0.798624323137714
2008-03-18,0.8257971014492753,0.8464803161129812
2008-03-19,0.8063768115942029,0.8458949217034977
2008-03-20,0.8602898550724638,0.910873701156154
2008-03-24,0.8675362318840579,0.8933118688716523
2008-03-25,0.8672463768115942,0.8675545148543832
2008-03-26,0.8466666666666667,0.8243816771549831
2008-03-27,0.828695652173913,0.8044782672325479
2008-03-28,0.8063768115942029,0.8040392214254354
2008-03-31,0.8078260869565218,0.8069661934728524
2008-04-01,0.8489855072463768,0.8583345529050198
2008-04-02,0.8544927536231884,0.8682862578662374
2008-04-03,0.8608695652173913,0.8647738914093371
2008-04-04,0.8315942028985508,0.8267232547929168
2008-04-07,0.8402898550724637,0.8331625932972341
2008-04-08,0.8388405797101449,0.812088394555832
2008-04-09,0.8144927536231884,0.7933557734523635
2008-04-10,0.787536231884058,0.7987706717400849
2008-04-11,0.7756521739130435,0.7894043611883507
2008-04-14,0.7805797101449276,0.7370115615395874
2008-04-15,0.7889855072463767,0.7522318161861554
2008-04-16,0.8136231884057971,0.7693546026635446
2008-04-17,0.8295652173913044,0.7798917020342456
2008-04-18,0.8295652173913044,0.7961363968974097
2008-04-21,0.8031884057971015,0.7654031903995316
2008-04-22,0.7727536231884058,0.7697936484706571
2008-04-23,0.7289855072463768,0.7504756329577053
2008-04-24,0.7527536231884058,0.7923313332357677
2008-04-25,0.764927536231884,0.8088687253036734
2008-04-28,0.7736231884057971,0.8401873262110346
2008-04-29,0.7771014492753623,0.8229181911312746
2008-04-30,0.755072463768116,0.815893458217474
2008-05-01,0.7918840579710145,0.8590662959168741
2008-05-02,0.7759420289855072,0.858188204302649
2008-05-05,0.793623188405797,0.847651104931948
2008-05-06,0.7988405797101449,0.8584809015073905
2008-05-07,0.796231884057971,0.8147226693985072
2008-05-08,0.7794202898550725,0.8085760280989317
2008-05-09,0.772463768115942,0.8094541197131568
2008-05-12,0.7979710144927536,0.8308210156593006
2008-05-13,0.7973913043478261,0.8156007610127323
2008-05-14,0.7889855072463767,0.8274549978047709
2008-05-15,0.7907246376811594,0.8378457485731011
2008-05-16,0.7750724637681159,0.8196985218791161
2008-05-19,0.7733333333333333,0.8305283184545588
2008-05-20,0.756231884057971,0.8096004683155276
2008-05-21,0.7452173913043478,0.7905751500073175
2008-05-22,0.7643478260869565,0.8027220840040978
2008-05-23,0.7582608695652174,0.787209132152788
2008-05-27,0.7652173913043477,0.790136104200205
2008-05-28,0.7472463768115942,0.7582321088833602
2008-05-29,0.7571014492753624,0.7750621981560076
2008-05-30,0.7527536231884058,0.7640860529781941
2008-06-02,0.7426086956521739,0.7528172105956388
2008-06-03,0.743768115942029,0.7394994877798917
2008-06-04,0.7426086956521739,0.719157032050344
2008-06-05,0.6428985507246376,0.7193033806527148
2008-06-06,0.5991304347826087,0.6778867261817649
2008-06-09,0.6127536231884058,0.6619347285233426
2008-06-10,0.6057971014492753,0.6729108737011561
2008-06-11,0.5843478260869566,0.6369091175179278
2008-06-12,0.5942028985507246,0.6434948046246158
2008-06-13,0.5756521739130435,0.6462754280696619
2008-06-16,0.5773913043478262,0.651983023562125
2008-06-17,0.5550724637681159,0.5943216742280111
2008-06-18,0.5533333333333333,0.5407580857602811
2008-06-19,0.5530434782608695,0.5170496121762037
2008-06-20,0.56,0.5454412410361482
2008-06-23,0.5446376811594202,0.5259768769208254
2008-06-24,0.571304347826087,0.5473437728669691
2008-06-25,0.5730434782608695,0.5419288745792478
2008-06-26,0.5591304347826087,0.5407580857602811
2008-06-27,0.5568115942028986,0.5420752231816186
2008-06-30,0.5391304347826087,0.5300746377872091
2008-07-01,0.5565217391304348,0.5275867115469047
2008-07-02,0.5423188405797101,0.5293428947753549
2008-07-03,0.5281159420289855,0.511049319478999
2008-07-07,0.5202898550724637,0.4645104639250695
2008-07-08,0.5440579710144927,0.5152934289477535
2008-07-09,0.5234782608695652,0.4686082247914533
2008-07-10,0.5173913043478261,0.4608517488657983
2008-07-11,0.4469565217391304,0.4528025757354018
2008-07-14,0.4072463768115942,0.41387384750475636
