"","X1","FOX","FOXA","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,0.997050147492625,0.980392156862745,NA,0.528138528138528,0.242424242424242,0.999133895491883,0.000550986223730739
"3",2009-01-06,1.03244837758112,1.01651186790506,NA,0.891774891774892,0.887445887445887,0.606150077219238,0.496943952281215
"4",2009-01-07,0.964601769911504,0.933952528379773,"FOXA",0.051948051948052,0.0346320346320346,0.923916162407754,0.0443032327199838
"5",2009-01-08,0.954768928220256,0.920536635706914,"FOXA",0.359307359307359,0.32034632034632,0.714291508653801,0.247034582120347
"6",2009-01-09,0.931170108161259,0.90092879256966,"FOXA",0.164502164502165,0.220779220779221,0.0801217035274408,0.885351278537205
"7",2009-01-12,0.901671583087512,0.87203302373581,"FOXA",0.134199134199134,0.147186147186147,0.300078400403691,0.622107634673689
"8",2009-01-13,0.903638151425762,0.896800825593395,"FOXA",0.597402597402597,0.874458874458874,0.00052403636987005,0.999758726973722
"9",2009-01-14,0.860373647984267,0.836945304437564,"FOXA",0.0952380952380952,0.0562770562770563,0.96652252931772,0.0177022291602535
"10",2009-01-15,0.846607669616519,0.828689370485036,"FOXA",0.272727272727273,0.38961038961039,0.0362745523806367,0.951504805794488
"11",2009-01-16,0.848574237954769,0.82765737874097,"FOXA",0.597402597402597,0.541125541125541,0.781178598341683,0.225326676566414
"12",2009-01-20,0.773844641101278,0.737874097007224,"FOXA",0.025974025974026,0.0173160173160173,0.921408966521604,0.0453425807947959
"13",2009-01-21,0.829891838741396,0.793601651186791,"FOXA",0.965367965367965,0.961038961038961,0.704918394219331,0.416411686029284
"14",2009-01-22,0.777777777777778,0.742002063983488,"FOXA",0.0606060606060606,0.0562770562770563,0.57753428629141,0.330185253913055
"15",2009-01-23,0.746312684365782,0.717234262125903,"FOXA",0.121212121212121,0.142857142857143,0.201368315399492,0.731374753316661
"16",2009-01-26,0.750245821042281,0.714138286893705,"FOXA",0.636363636363636,0.497835497835498,0.957868265867289,0.0441378237808336
"17",2009-01-27,0.734513274336283,0.69453044375645,"FOXA",0.194805194805195,0.173160173160173,0.67402970351566,0.259007696242035
"18",2009-01-28,0.809242871189774,0.7781217750258,"FOXA",0.982683982683983,0.982683982683983,0.568097915931266,0.568097915931266
"19",2009-01-29,0.749262536873156,0.701754385964912,"FOXA",0.0432900432900433,0.0216450216450216,0.987178334100866,0.00562193263057955
"20",2009-01-30,0.711897738446411,0.659442724458204,"FOXA",0.0735930735930736,0.0606060606060606,0.756024397657064,0.173689829947177
"21",2009-02-02,0.72369714847591,0.687306501547988,"FOXA",0.796536796536797,0.904761904761905,0.0168388401845943,0.991901719923904
"22",2009-02-03,0.740412979351032,0.700722394220846,"FOXA",0.848484848484849,0.787878787878788,0.908744987454599,0.131973235133557
"23",2009-02-04,0.712881022615536,0.682146542827657,"FOXA",0.125541125541126,0.177489177489178,0.0582268973599012,0.910726476822896
"24",2009-02-05,0.732546705998034,0.716202270381837,"FOXA",0.883116883116883,0.930735930735931,0.073930934681146,0.960319663743885
"25",2009-02-06,0.755162241887906,0.720330237358101,"FOXA",0.883116883116883,0.658008658008658,0.999366855484369,0.00141334080708365
"26",2009-02-09,0.738446411012783,0.69969040247678,"FOXA",0.186147186147186,0.155844155844156,0.759495569884305,0.181774500332209
"27",2009-02-10,0.689282202556539,0.656346749226006,"FOXA",0.051948051948052,0.0606060606060606,0.219321657287032,0.700874185579027
"28",2009-02-11,0.706981317600787,0.667698658410733,"FOXA",0.874458874458874,0.779220779220779,0.976298790052886,0.0408286442436364
"29",2009-02-12,0.711897738446411,0.674922600619195,"FOXA",0.670995670995671,0.718614718614719,0.2514296657036,0.782554678854645
"30",2009-02-13,0.710914454277286,0.670794633642931,"FOXA",0.541125541125541,0.458874458874459,0.859700059079823,0.134926328525299
"31",2009-02-17,0.670599803343166,0.631578947368421,"FOXA",0.0692640692640693,0.0735930735930736,0.351348253041177,0.556711614907364
"32",2009-02-18,0.666666666666667,0.631578947368421,"FOXA",0.454545454545455,0.58008658008658,0.056566300737277,0.941823209462524
"33",2009-02-19,0.656833824975418,0.621259029927761,"FOXA",0.285714285714286,0.294372294372294,0.410156155744831,0.53384971596136
"34",2009-02-20,0.656833824975418,0.623323013415893,"FOXA",0.562770562770563,0.623376623376623,0.209225310164486,0.801598718903667
"35",2009-02-23,0.628318584070796,0.596491228070176,"FOXA",0.103896103896104,0.116883116883117,0.263822456895871,0.657377514183366
"36",2009-02-24,0.667649950835792,0.631578947368421,"FOXA",0.961038961038961,0.948051948051948,0.855547559291509,0.232250024726006
"37",2009-02-25,0.661750245821042,0.625386996904025,"FOXA",0.38961038961039,0.398268398268398,0.431182430334207,0.534794056391565
"38",2009-02-26,0.634218289085546,0.595459236326109,"FOXA",0.108225108225108,0.103896103896104,0.527107595574655,0.384419840303301
"39",2009-02-27,0.615535889872173,0.573787409700722,"FOXA",0.138528138528139,0.138528138528139,0.457675951194256,0.457675951194256
"40",2009-03-02,0.589970501474926,0.544891640866873,"FOXA",0.112554112554113,0.0909090909090909,0.786776077616327,0.151512790800818
"41",2009-03-03,0.59882005899705,0.551083591331269,"FOXA",0.783549783549784,0.722943722943723,0.863205711116413,0.174599547448084
"42",2009-03-04,0.631268436578171,0.584107327141383,"FOXA",0.948051948051948,0.948051948051948,0.561980444257578,0.561980444257578
"43",2009-03-05,0.59882005899705,0.552115583075335,"FOXA",0.0692640692640693,0.0865800865800866,0.144832383535232,0.792380561038969
"44",2009-03-06,0.589970501474926,0.547987616099071,"FOXA",0.285714285714286,0.437229437229437,0.0176077677128376,0.976306511991565
"45",2009-03-09,0.555555555555556,0.514963880288958,"FOXA",0.0606060606060606,0.0606060606060606,0.45181844978736,0.45181844978736
"46",2009-03-10,0.609636184857424,0.568627450980392,"FOXA",0.982683982683983,0.978354978354978,0.804418458405339,0.305264497873153
"47",2009-03-11,0.625368731563422,0.589267285861713,"FOXA",0.878787878787879,0.887445887445887,0.44631141984517,0.652363542941956
"48",2009-03-12,0.644051130776794,0.603715170278638,"FOXA",0.883116883116883,0.826839826839827,0.928351001007116,0.112605827337329
"49",2009-03-13,0.665683382497542,0.619195046439629,"FOXA",0.883116883116883,0.835497835497836,0.903769138462961,0.146211040976427
"50",2009-03-16,0.668633235004916,0.620227038183695,"FOXA",0.61038961038961,0.588744588744589,0.627583817212246,0.388359275492659
"51",2009-03-17,0.701081612586037,0.656346749226006,"FOXA",0.935064935064935,0.948051948051948,0.287644553533642,0.808811184250077
"52",2009-03-18,0.720747295968535,0.673890608875129,"FOXA",0.883116883116883,0.83982683982684,0.888366782680151,0.166645281206421
"53",2009-03-19,0.691248770894789,0.641898864809082,"FOXA",0.116883116883117,0.108225108225108,0.590740627690698,0.325077743316701
"54",2009-03-20,0.67748279252704,0.627450980392157,"FOXA",0.203463203463203,0.207792207792208,0.423533930751826,0.503843732503277
"55",2009-03-23,0.755162241887906,0.696594427244582,"FOXA",0.987012987012987,0.982683982683983,0.851423299790866,0.246333868656089
"56",2009-03-24,0.753195673549656,0.688338493292054,"FOXA",0.532467532467532,0.350649350649351,0.984407061769088,0.0130095687944915
"57",2009-03-25,0.763028515240905,0.69969040247678,"FOXA",0.748917748917749,0.766233766233766,0.410062977530282,0.649244289872306
"58",2009-03-26,0.79646017699115,0.725490196078431,"FOXA",0.922077922077922,0.887445887445887,0.908932744134043,0.148522815384414
"59",2009-03-27,0.781710914454277,0.716202270381837,"FOXA",0.229437229437229,0.337662337662338,0.0322663959601382,0.953919649490936
"60",2009-03-30,0.739429695181907,0.668730650154799,"FOXA",0.0692640692640693,0.0562770562770563,0.771480095148439,0.160559382814891
"61",2009-03-31,0.757128810226155,0.683178534571724,"FOXA",0.861471861471861,0.796536796536797,0.929272717885324,0.107117598036277
"62",2009-04-01,0.786627335299902,0.718266253869969,"FOXA",0.896103896103896,0.930735930735931,0.129159009624627,0.924005459348915
"63",2009-04-02,0.839724680432645,0.777089783281734,"FOXA",0.961038961038961,0.965367965367965,0.416411686029284,0.704918394219331
"64",2009-04-03,0.864306784660767,0.804953560371517,"FOXA",0.883116883116883,0.887445887445887,0.497975548072076,0.603740557179983
"65",2009-04-06,0.84070796460177,0.780185758513932,"FOXA",0.155844155844156,0.151515151515152,0.510517863968059,0.407988976360723
"66",2009-04-07,0.806293018682399,0.745098039215686,"FOXA",0.116883116883117,0.116883116883117,0.455934946714949,0.455934946714949
"67",2009-04-08,0.809242871189774,0.74922600619195,"FOXA",0.606060606060606,0.658008658008658,0.24170322372344,0.778188193601123
"68",2009-04-09,0.858407079646018,0.807017543859649,"FOXA",0.956709956709957,0.961038961038961,0.430143393712515,0.691198428711332
"69",2009-04-13,0.848574237954769,0.797729618163055,"FOXA",0.337662337662338,0.359307359307359,0.343892019614977,0.614114801894866
"70",2009-04-14,0.824975417895772,0.763673890608875,"FOXA",0.155844155844156,0.116883116883117,0.867256226173212,0.0901719667579836
"71",2009-04-15,0.833824975417896,0.777089783281734,"FOXA",0.718614718614719,0.779220779220779,0.176670456950634,0.860650821985965
"72",2009-04-16,0.883972468043265,0.821465428276574,"FOXA",0.956709956709957,0.948051948051948,0.771215998062169,0.336416375239888
"73",2009-04-17,0.92133726647001,0.858617131062952,"FOXA",0.909090909090909,0.913419913419913,0.489196962530483,0.620694713103842
"74",2009-04-20,0.83874139626352,0.78328173374613,"FOXA",0.0216450216450216,0.0303030303030303,0.0722361618598705,0.882900731627103
"75",2009-04-21,0.855457227138643,0.800825593395253,"FOXA",0.813852813852814,0.80952380952381,0.575172798322347,0.503185604711808
"76",2009-04-22,0.859390363815143,0.802889576883385,"FOXA",0.61038961038961,0.619047619047619,0.461216243986799,0.559388257972393
"77",2009-04-23,0.850540806293019,0.791537667698658,"FOXA",0.359307359307359,0.32034632034632,0.714291508653801,0.247034582120347
"78",2009-04-24,0.87708947885939,0.819401444788442,"FOXA",0.883116883116883,0.887445887445887,0.497975548072076,0.603740557179983
"79",2009-04-27,0.835791543756146,0.782249742002064,"FOXA",0.0952380952380952,0.116883116883117,0.159597058320888,0.777464973486228
"80",2009-04-28,0.825958702064897,0.777089783281734,"FOXA",0.337662337662338,0.454545454545455,0.050788449117801,0.938567494777207
"81",2009-04-29,0.883972468043265,0.841073271413829,"FOXA",0.961038961038961,0.965367965367965,0.416411686029284,0.704918394219331
"82",2009-04-30,0.896755162241888,0.852425180598555,"FOXA",0.774891774891775,0.753246753246753,0.680053736103299,0.379585301404339
"83",2009-05-01,0.910521140609636,0.864809081527348,"FOXA",0.787878787878788,0.757575757575758,0.737612616212948,0.320284024542847
"84",2009-05-04,0.968534906588004,0.927760577915377,"FOXA",0.961038961038961,0.961038961038961,0.564256669513487,0.564256669513487
"85",2009-05-05,0.985250737463127,0.931888544891641,"FOXA",0.805194805194805,0.640692640692641,0.989785470049566,0.0153545885526239
"86",2009-05-06,1.04719764011799,0.975232198142415,"FOXA",0.961038961038961,0.917748917748918,0.986997972831838,0.0309824355591629
"87",2009-05-07,1.05899705014749,0.975232198142415,"FOXA",0.727272727272727,0.58008658008658,0.973408334644448,0.032691274052351
"88",2009-05-08,1.09144542772861,0.996904024767802,"FOXA",0.883116883116883,0.80952380952381,0.959730132676506,0.0673156271317417
"89",2009-05-11,1.05408062930187,0.949432404540764,"FOXA",0.125541125541126,0.103896103896104,0.760346015113417,0.174755017083155
"90",2009-05-12,1.04818092428712,0.924664602683179,"FOXA",0.458874458874459,0.177489177489178,0.99959675733719,0.000200114891217408
"91",2009-05-13,0.974434611602753,0.860681114551084,"FOXA",0.0476190476190476,0.0562770562770563,0.204338376045672,0.717884447041236
