,WST,MKC
2008-02-01,1.0,1.0
2008-02-04,0.9833795013850415,0.991874637260592
2008-02-05,0.9665071770334929,0.9735925710969239
2008-02-06,0.9581969277260135,0.98984329657574
2008-02-07,0.9390581717451523,0.9805571677307022
2008-02-08,0.9561823218332913,0.9735925710969239
2008-02-11,0.9665071770334929,0.997968659315148
2008-02-12,0.9647443968773609,1.0177016831108532
2008-02-13,0.9571896247796524,1.0191526407428901
2008-02-14,0.9393099974817425,1.0008705745792223
2008-02-15,0.950390329891715,1.0220545560069645
2008-02-19,0.9592042306723748,1.0226349390597795
2008-02-20,0.9745656006043818,1.0336622170632617
2008-02-21,1.052127927474188,1.0211839814277421
2008-02-22,1.0239234449760763,1.0333720255368544
2008-02-25,1.0536388818937297,1.0400464306442252
2008-02-26,1.0501133215814658,1.0342426001160765
2008-02-27,1.1085368924704104,1.0301799187463725
2008-02-28,1.0987156887433895,1.0211839814277421
2008-02-29,1.0400402921178544,0.9997098084735926
2008-03-03,1.022664316293125,1.0171213000580381
2008-03-04,1.0224124905565348,1.0133488102147417
2008-03-05,1.016368672878368,1.0130586186883341
2008-03-06,0.9904306220095693,1.0043528728961113
2008-03-07,0.9997481742634098,1.0034822983168892
2008-03-10,0.9808612440191388,1.0130586186883341
2008-03-11,0.9977335683706874,1.043238537434707
2008-03-12,0.9833795013850415,1.0327916424840395
2008-03-13,1.023419793502896,1.0327916424840395
2008-03-14,1.0083102493074791,1.0089959373186304
2008-03-17,1.0022664316293124,1.002031340684852
2008-03-18,1.0677411231427851,1.0351131746952988
2008-03-19,1.0813397129186602,1.0397562391178177
2008-03-20,1.1004784688995215,1.0502031340684852
2008-03-24,1.127927474187862,1.0525246662797447
2008-03-25,1.1095441954167715,1.0525246662797447
2008-03-26,1.1055149836313272,1.0478816018572257
2008-03-27,1.091916393855452,1.098084735925711
2008-03-28,1.0813397129186602,1.0699361578641902
2008-03-31,1.1138252329388063,1.0728380731282645
2008-04-01,1.136993200705112,1.0977945443993036
2008-04-02,1.1447997985394107,1.0908299477655252
2008-04-03,1.1286829513976329,1.0951828206616367
2008-04-04,1.1271719969780911,1.0966337782936737
2008-04-07,1.151347267690758,1.0977945443993036
2008-04-08,1.1430370183832788,1.0957632037144514
2008-04-09,1.1281792999244522,1.0966337782936737
2008-04-10,1.1312012087635357,1.079222286709228
2008-04-11,1.1052631578947367,1.0725478816018572
2008-04-14,1.126920171241501,1.0766105629715612
2008-04-15,1.1218836565096952,1.0777713290771909
2008-04-16,1.152354570637119,1.0882182240278584
2008-04-17,1.1304457315537648,1.0876378409750433
2008-04-18,1.182070007554772,1.1027278003482297
2008-04-21,1.1636867287836816,1.097504352872896
2008-04-22,1.1561319566859731,1.0876378409750433
2008-04-23,1.1548728280030218,1.1001160766105629
2008-04-24,1.1777889700327373,1.0969239698200812
2008-04-25,1.1725006295643414,1.1027278003482297
2008-04-28,1.184588264920675,1.1050493325594892
2008-04-29,1.182825484764543,1.0966337782936737
2008-04-30,1.1813145303450012,1.0966337782936737
2008-05-01,1.220851170989675,1.1027278003482297
2008-05-02,1.181062704608411,1.0795124782356356
2008-05-05,1.1609166456811886,1.0638421358096342
2008-05-06,1.1510954419541677,1.0655832849680789
2008-05-07,1.1626794258373205,1.062971561230412
2008-05-08,1.138755980861244,1.0754497968659316
2008-05-09,1.146058927222362,1.0708067324434125
2008-05-12,1.1599093427348275,1.0850261172373767
2008-05-13,1.1629312515739108,1.0829947765525247
2008-05-14,1.1767816670863762,1.0838653511317469
2008-05-15,1.1553764794762025,1.0769007544979685
2008-05-16,1.1669604633593553,1.0798026697620429
2008-05-19,1.16242760010073,1.0856065002901913
2008-05-20,1.17124150088139,1.0760301799187464
2008-05-21,1.1697305464618484,1.0574579222286709
2008-05-22,1.1893729539158902,1.068195008705746
2008-05-23,1.1682195920423066,1.0536854323853744
2008-05-27,1.196424074540418,1.066163668020894
2008-05-28,1.1780407957693275,1.0705165409170052
2008-05-29,1.2007051120624528,1.089378990133488
2008-05-30,1.1944094686476958,1.0905397562391177
2008-06-02,1.1848400906572651,1.0908299477655252
2008-06-03,1.1833291362377236,1.089959373186303
2008-06-04,1.1903802568622515,1.089959373186303
2008-06-05,1.2042306723747167,1.1065002901915264
2008-06-06,1.1785444472425082,1.0957632037144514
2008-06-09,1.170486023671619,1.1012768427161927
2008-06-10,1.1752707126668345,1.1027278003482297
2008-06-11,1.1528582221102996,1.089378990133488
2008-06-12,1.188365650969529,1.085316308763784
2008-06-13,1.2075044069503904,1.1024376088218224
2008-06-16,1.205489801057668,1.0928612884503772
2008-06-17,1.2007051120624528,1.0867672663958212
2008-06-18,1.1863510450768069,1.0798026697620429
2008-06-19,1.1440443213296398,1.0856065002901913
2008-06-20,1.1102996726265424,1.077190946024376
2008-06-23,1.1286829513976329,1.0760301799187464
2008-06-24,1.09921934021657,1.0774811375507836
2008-06-25,1.116091664568119,1.0748694138131165
2008-06-26,1.0989675144799798,1.0597794544399304
2008-06-27,1.104507680684966,1.0412071967498548
2008-06-30,1.0899017879627297,1.0348229831688913
2008-07-01,1.104507680684966,1.034532791642484
2008-07-02,1.097456560060438,1.0301799187463725
2008-07-03,1.0778141526063962,1.0298897272199652
2008-07-07,1.0752958952404936,1.0362739408009287
2008-07-08,1.1105514983631328,1.0554265815438189
2008-07-09,1.098463863006799,1.0591990713871156
2008-07-10,1.0904054394359102,1.0522344747533372
2008-07-11,1.0977083857970285,1.0600696459663377
2008-07-14,1.0833543188113826,1.07109692396982
2008-07-15,1.0818433643918408,1.1012768427161927
