,WST,MKC
2008-08-07,1.2017124150088139,1.1834010446894951
2008-08-08,1.2465373961218835,1.205745792222867
2008-08-11,1.2455300931755224,1.2034242600116076
2008-08-12,1.2452782674389322,1.2089378990133486
2008-08-13,1.246033744648703,1.2008125362739408
2008-08-14,1.2606396373709394,1.1892048752176436
2008-08-15,1.2825484764542936,1.2051654091700523
2008-08-18,1.2415008813900779,1.195008705745792
2008-08-19,1.2329388063460085,1.1819500870574577
2008-08-20,1.2105263157894737,1.1770168311085316
2008-08-21,1.2120372702090154,1.17382472431805
2008-08-22,1.2364643666582724,1.1784677887405688
2008-08-25,1.2102744900528835,1.1613464886825304
2008-08-26,1.2324351548728278,1.1584445734184563
2008-08-27,1.2359607151850918,1.177887405687754
2008-08-28,1.2616469403173005,1.1894950667440511
2008-08-29,1.2291614202971544,1.17382472431805
2008-09-02,1.2525812138000505,1.177887405687754
2008-09-03,1.2425081843364392,1.1752756819500871
2008-09-04,1.21631830773105,1.1622170632617526
2008-09-05,1.2218584739360363,1.1622170632617526
2008-09-08,1.2616469403173005,1.184852002321532
2008-09-09,1.2520775623268698,1.1999419616947185
2008-09-10,1.2578695542684464,1.1825304701102728
2008-09-11,1.2462855703852933,1.1799187463726057
2008-09-12,1.21631830773105,1.206326175275682
2008-09-15,1.1984386804331404,1.1874637260591991
2008-09-16,1.249559304960967,1.1854323853743471
2008-09-17,1.2115336187358348,1.155542658154382
2008-09-18,1.246789221858474,1.1471271038885664
2008-09-19,1.3009317552253838,1.1601857225769006
2008-09-22,1.2699571896247797,1.1343586767266396
2008-09-23,1.2407454041803072,1.1247823563551944
2008-09-24,1.2500629564341477,1.1172373766686012
2008-09-25,1.2601359858977588,1.12304120719675
2008-09-26,1.271216318307731,1.127974463145676
2008-09-29,1.2430118358096196,1.0969239698200812
2008-09-30,1.2294132460337446,1.1157864190365643
2008-10-01,1.2409972299168974,1.13203714451538
2008-10-02,1.1667086376227649,1.1221706326175276
2008-10-03,1.1213800050365148,1.1172373766686012
2008-10-06,1.1102996726265424,1.095473012188044
2008-10-07,1.0972047343238478,1.0737086477074869
2008-10-08,1.0652228657768823,1.0600696459663377
2008-10-09,0.9697809116091664,0.9997098084735926
2008-10-10,0.9806094182825484,0.9941961694718513
2008-10-13,1.0614454797280282,1.075159605339524
2008-10-14,1.0251825736590279,1.036564132327336
2008-10-15,0.9803575925459582,0.9834590829947766
2008-10-16,1.0410475950642157,1.0037724898432967
2008-10-17,1.017124150088139,1.0
2008-10-20,1.082095190128431,1.0023215322112593
2008-10-21,1.0435658524301183,0.9912942542077771
2008-10-22,1.0022664316293124,0.965467208357516
2008-10-23,0.9934525308486528,0.9805571677307022
2008-10-24,0.9536640644673885,0.9146836912362158
2008-10-27,0.9156383782422564,0.8905977945443994
2008-10-28,0.9317552253840342,0.9335461404526988
2008-10-29,0.9526567615210274,0.9254207777132908
2008-10-30,0.9680181314530344,0.9413813116656993
2008-10-31,1.0052883404683959,0.9767846778874055
2008-11-03,1.0113321581465624,0.9677887405687754
2008-11-04,0.9317552253840342,0.9721416134648868
2008-11-05,0.9078317804079576,0.9361578641903655
2008-11-06,0.900025182573659,0.9068485200232153
2008-11-07,0.9012843112566103,0.903946604759141
2008-11-10,0.8912112817929992,0.8993035403366221
2008-11-11,0.8808864265927977,0.8731863029599536
2008-11-12,0.8572148073533115,0.8737666860127684
2008-11-13,0.9111055149836313,0.9257109692396981
2008-11-14,0.8854192898514227,0.8934997098084736
2008-11-17,0.883656509695291,0.8845037724898432
2008-11-18,0.8897003273734575,0.8943702843876958
2008-11-19,0.8486527323092421,0.8668020893789902
2008-11-20,0.7839335180055401,0.8354614045269878
2008-11-21,0.7972802820448249,0.8784097504352872
2008-11-24,0.8758499118609923,0.8871154962275102
2008-11-25,0.8589775875094434,0.8792803250145096
2008-11-26,0.8846638126416521,0.8624492164828786
2008-11-28,0.8939813648954923,0.8639001741149158
2008-12-01,0.8320322336942835,0.83633197910621
2008-12-02,0.8614958448753463,0.8461984910040626
2008-12-03,0.8788718207000755,0.8415554265815438
2008-12-04,0.8740871317048602,0.8372025536854324
2008-12-05,0.9201712415008814,0.8627394080092862
2008-12-08,0.9476202467892219,0.8676726639582124
2008-12-09,0.9277260135985899,0.850551363900174
2008-12-10,0.9380508687987912,0.8479396401625072
2008-12-11,0.9174011583983883,0.8377829367382472
2008-12-12,0.9065726517250062,0.8540336622170632
2008-12-15,0.888189372953916,0.845037724898433
2008-12-16,0.9428355577940065,0.8934997098084736
2008-12-17,0.9516494585746663,0.885664538595473
2008-12-18,0.961218836565097,0.9091700522344747
2008-12-19,0.9476202467892219,0.914103308183401
2008-12-22,0.917904809871569,0.9071387115496228
2008-12-23,0.9043062200956937,0.8949506674405107
2008-12-24,0.9038025686225132,0.9077190946024376
2008-12-26,0.9234449760765551,0.9138131166569935
2008-12-29,0.9040543943591034,0.9022054556006964
2008-12-30,0.9476202467892219,0.9233894370284388
2008-12-31,0.9511458071014859,0.9245502031340684
