,GLT,BEN
2008-02-01,1.0,1.0
2008-02-04,0.9445544554455446,0.9835911861228317
2008-02-05,0.9003300330033004,0.9313642756680731
2008-02-06,0.8990099009900989,0.9128926394749179
2008-02-07,0.9036303630363036,0.9332395686826066
2008-02-08,0.897029702970297,0.9158931082981716
2008-02-11,0.877887788778878,0.913173933427098
2008-02-12,0.8745874587458745,0.9112048757618378
2008-02-13,0.9023102310231023,0.9295827473042663
2008-02-14,0.8745874587458745,0.913455227379278
2008-02-15,0.8679867986798679,0.9087669948429442
2008-02-19,0.926072607260726,0.9074542897327708
2008-02-20,0.9438943894389439,0.9154242850445381
2008-02-21,0.887128712871287,0.90042194092827
2008-02-22,0.8884488448844885,0.9108298171589311
2008-02-25,0.8996699669966997,0.9320206282231599
2008-02-26,0.9326732673267327,0.9449601500234411
2008-02-27,0.9293729372937294,0.9604313173933428
2008-02-28,0.900990099009901,0.9286451007969996
2008-02-29,0.8693069306930693,0.8848570089076419
2008-03-03,0.8739273927392739,0.8823253633380215
2008-03-04,0.8805280528052805,0.8811064228785748
2008-03-05,0.887128712871287,0.8850445382090951
2008-03-06,0.8877887788778878,0.8457571495546179
2008-03-07,0.8910891089108911,0.8413502109704641
2008-03-10,0.8607260726072606,0.8178152836380684
2008-03-11,0.8917491749174917,0.8857008907641818
2008-03-12,0.8805280528052805,0.874355368026254
2008-03-13,0.9214521452145215,0.8751054852320674
2008-03-14,0.9313531353135313,0.8481012658227848
2008-03-17,0.9201320132013201,0.8387248007501172
2008-03-18,0.9531353135313531,0.8976090014064697
2008-03-19,0.9227722772277228,0.8730426629160806
2008-03-20,0.9168316831683169,0.9295827473042663
2008-03-24,0.9617161716171617,0.9629629629629629
2008-03-25,0.9861386138613861,0.9744022503516174
2008-03-26,0.9861386138613861,0.9416783872480076
2008-03-27,0.9795379537953796,0.9325832161275198
2008-03-28,0.9854785478547854,0.8872011251758087
2008-03-31,0.9973597359735973,0.9094233473980309
2008-04-01,1.0244224422442243,0.980590717299578
2008-04-02,1.023102310231023,0.9639943741209563
2008-04-03,1.0165016501650166,0.9693389592123769
2008-04-04,1.0145214521452144,0.9489920300046881
2008-04-07,0.9933993399339934,0.9517112048757618
2008-04-08,0.9716171617161716,0.9752461322081575
2008-04-09,0.9498349834983498,0.9336146272855133
2008-04-10,0.965016501650165,0.9458040318799812
2008-04-11,0.9597359735973596,0.9170182841068917
2008-04-14,0.9683168316831683,0.9023909985935301
2008-04-15,0.9471947194719471,0.9197374589779653
2008-04-16,0.965016501650165,0.9692451945616503
2008-04-17,0.9485148514851485,0.9588373183309892
2008-04-18,0.9603960396039605,0.9372714486638536
2008-04-21,0.9537953795379537,0.920675105485232
2008-04-22,0.9346534653465346,0.8890764181903421
2008-04-23,0.933993399339934,0.8978902953586498
2008-04-24,0.9438943894389439,0.8802625410220346
2008-04-25,0.9874587458745875,0.8780121894045945
2008-04-28,0.9828382838283829,0.8997655883731832
2008-04-29,0.9683168316831683,0.9030473511486169
2008-04-30,0.963036303630363,0.8921706516643225
2008-05-01,0.9564356435643564,0.9421472105016409
2008-05-02,0.9491749174917492,0.9548992030004688
2008-05-05,0.9419141914191419,0.9423347398030942
2008-05-06,0.9471947194719471,0.9563994374120955
2008-05-07,0.9524752475247524,0.9189873417721519
2008-05-08,0.933993399339934,0.914017815283638
2008-05-09,0.928052805280528,0.9369901547116737
2008-05-12,0.9438943894389439,0.960900140646976
2008-05-13,0.9432343234323431,0.9594936708860758
2008-05-14,0.966996699669967,0.9586497890295358
2008-05-15,0.957095709570957,0.9723394280356306
2008-05-16,0.9821782178217822,0.9673699015471167
2008-05-19,0.9861386138613861,0.973089545241444
2008-05-20,0.9834983498349835,0.9529301453352085
2008-05-21,0.9900990099009901,0.9336146272855133
2008-05-22,1.0026402640264025,0.9319268635724332
2008-05-23,0.9986798679867988,0.9167369901547116
2008-05-27,0.9953795379537954,0.9233942803563057
2008-05-28,1.00990099009901,0.9250820440693858
2008-05-29,1.0132013201320131,0.927051101734646
2008-05-30,1.0283828382838283,0.9490857946554149
2008-06-02,0.9815181518151814,0.9398968588842006
2008-06-03,0.9986798679867988,0.950210970464135
2008-06-04,1.023102310231023,0.9575246132208157
2008-06-05,1.0402640264026402,0.9894045944678855
2008-06-06,1.0198019801980198,0.9341772151898733
2008-06-09,1.0092409240924092,0.93455227379278
2008-06-10,1.0072607260726072,0.9573370839193623
2008-06-11,0.9834983498349835,0.9187060478199719
2008-06-12,0.9874587458745875,0.9657759024847632
2008-06-13,0.9867986798679867,1.0012189404594467
2008-06-16,0.9848184818481848,1.0045944678856071
2008-06-17,0.963036303630363,0.9657759024847632
2008-06-18,0.9564356435643564,0.9636193155180496
2008-06-19,0.9537953795379537,0.9755274261603376
2008-06-20,0.933993399339934,0.9415846225972808
2008-06-23,0.9174917491749175,0.9335208626347866
2008-06-24,0.9089108910891088,0.9279887482419127
2008-06-25,0.904950495049505,0.9123300515705578
2008-06-26,0.9042904290429042,0.8904828879512423
2008-06-27,0.8990099009900989,0.8979840600093764
2008-06-30,0.8917491749174917,0.8593530239099859
2008-07-01,0.8996699669966997,0.8844819503047351
2008-07-02,0.8429042904290428,0.8518518518518517
2008-07-03,0.8330033003300329,0.8545710267229254
2008-07-07,0.8402640264026403,0.8347866854195968
2008-07-08,0.8693069306930693,0.8701359587435537
2008-07-09,0.8409240924092409,0.8204406938584153
2008-07-10,0.8448844884488449,0.8410689170182841
2008-07-11,0.8481848184818481,0.8288795124238162
2008-07-14,0.8495049504950495,0.7908110642287858
