,DVA,ABT
2008-02-01,1.0,1.0
2008-02-04,0.9988944168048646,1.0086880973066898
2008-02-05,0.9697807259996315,0.9963509991311904
2008-02-06,0.9765984890363,1.0031277150304083
2008-02-07,0.9692279344020637,1.009556907037359
2008-02-08,0.9692279344020637,0.9869678540399652
2008-02-11,0.9692279344020637,0.9789748045178107
2008-02-12,0.9950248756218905,0.9721980886185926
2008-02-13,0.9985258890731527,0.982102519548219
2008-02-14,0.9305325225723236,0.9622936576889662
2008-02-15,0.9395614519992629,0.9652476107732406
2008-02-19,0.9364289662797125,0.9655951346655083
2008-02-20,0.9290584116454763,0.9662901824500435
2008-02-21,0.9367974940114243,0.9532580364900087
2008-02-22,0.9399299797309747,0.9476976542137272
2008-02-25,0.9386401326699834,0.9638575152041703
2008-02-26,0.9417726183895337,0.9655951346655083
2008-02-27,0.9237147595356551,0.9476976542137272
2008-02-28,0.9281370923161967,0.9421372719374457
2008-02-29,0.9145015662428597,0.9304952215464813
2008-03-03,0.8931269578035747,0.9249348392701998
2008-03-04,0.9001289847060991,0.9251086012163336
2008-03-05,0.8761746821448313,0.9205907906168549
2008-03-06,0.8715680854984337,0.9051259774109471
2008-03-07,0.8481665745347338,0.8868809730668984
2008-03-10,0.8407960199004975,0.8792354474370113
2008-03-11,0.8052330937903077,0.8837532580364901
2008-03-12,0.8430071862907683,0.8920938314509124
2008-03-13,0.8297401879491432,0.9131190269331017
2008-03-14,0.808365579509858,0.8927888792354475
2008-03-17,0.7827529021558871,0.9132927888792355
2008-03-18,0.8107610097659849,0.9351867940920939
2008-03-19,0.7960199004975125,0.9450912250217203
2008-03-20,0.8339782568638289,0.9671589921807124
2008-03-24,0.814262023217247,0.9631624674196352
2008-03-25,0.8540630182421227,0.9475238922675935
2008-03-26,0.868988391376451,0.9388357949609036
2008-03-27,0.8765432098765432,0.9304952215464813
2008-03-28,0.8840980283766352,0.9221546481320592
2008-03-31,0.8800442233278053,0.9582971329278888
2008-04-01,0.8947853325962779,0.9596872284969592
2008-04-02,0.8809655426570849,0.9435273675065161
2008-04-03,0.8805970149253731,0.9475238922675935
2008-04-04,0.8863091947669062,0.9529105125977412
2008-04-07,0.8872305140961857,0.9534317984361425
2008-04-08,0.8922056384742951,0.9383145091225022
2008-04-09,0.9003132485719549,0.9360556038227629
2008-04-10,0.9108162889257416,0.936750651607298
2008-04-11,0.9148700939745715,0.9174630755864466
2008-04-14,0.9049198452183527,0.9117289313640313
2008-04-15,0.9132117191818684,0.9019982623805386
2008-04-16,0.9292426755113322,0.8922675933970461
2008-04-17,0.9209508015478164,0.8849695916594267
2008-04-18,0.9384558688041275,0.8813205907906169
2008-04-21,0.9213193292795282,0.8780191138140748
2008-04-22,0.9163442049014188,0.877845351867941
2008-04-23,0.9137645107794362,0.8785403996524762
2008-04-24,0.9229777040722315,0.8764552562988706
2008-04-25,0.9194766906209692,0.8910512597741095
2008-04-28,0.9261101897917817,0.8967854039965248
2008-04-29,0.9353233830845771,0.9292788879235447
2008-04-30,0.9657269209508015,0.9165942658557776
2008-05-01,0.9664639764142252,0.930842745438749
2008-05-02,0.9624101713653951,0.9238922675933972
2008-05-05,0.9812050856826976,0.9209383145091226
2008-05-06,0.9622259074995393,0.913640312771503
2008-05-07,0.9504330200847613,0.8912250217202433
2008-05-08,0.9546710889994472,0.8910512597741095
2008-05-09,0.9557766721945825,0.8997393570807993
2008-05-12,0.948958909157914,0.917115551694179
2008-05-13,0.9275843007186291,0.9452649869678541
2008-05-14,0.931638105767459,0.9527367506516073
2008-05-15,0.941404090657822,0.9534317984361425
2008-05-16,0.9550396167311589,0.9506516072980018
2008-05-19,0.9579878385848535,0.9565595134665508
2008-05-20,0.9506172839506173,0.9501303214596004
2008-05-21,0.9576193108531417,0.9445699391833189
2008-05-22,0.9592776856458448,0.953084274543875
2008-05-23,0.9469320066334991,0.9428323197219809
2008-05-27,0.9605675327068361,0.9485664639443963
2008-05-28,0.9559609360604385,0.9400521285838402
2008-05-29,0.9531969780725998,0.9723718505647264
2008-05-30,0.9559609360604385,0.9791485664639444
2008-06-02,0.9601990049751243,0.9675065160729801
2008-06-03,0.9596462133775566,0.968375325803649
2008-06-04,0.9554081444628708,0.9730668983492615
2008-06-05,0.9543025612677353,0.968375325803649
2008-06-06,0.9290584116454763,0.9515204170286707
2008-06-09,0.9172655242306983,0.9518679409209384
2008-06-10,0.9156071494379951,0.9423110338835795
2008-06-11,0.9137645107794362,0.9296264118158124
2008-06-12,0.9091579141330385,0.9370981754995656
2008-06-13,0.9299797309747557,0.940225890529974
2008-06-16,0.9261101897917817,0.9440486533449175
2008-06-17,0.9224249124746637,0.930842745438749
2008-06-18,0.9115533443891652,0.9228496959165943
2008-06-19,0.9404827713285424,0.9407471763683753
2008-06-20,0.9535655058043118,0.9270199826238055
2008-06-23,0.9548553528653031,0.9433536055603823
2008-06-24,0.9633314906946747,0.9339704604691573
2008-06-25,0.9747558503777408,0.9301476976542138
2008-06-26,0.9907868067072048,0.9164205039096439
2008-06-27,0.9924451814999078,0.9209383145091226
2008-06-30,0.9789939192924267,0.9204170286707212
2008-07-01,0.9789939192924267,0.941963509991312
2008-07-02,0.9834162520729683,0.9424847958297133
2008-07-03,0.9719918923899022,0.951346655082537
2008-07-07,0.9699649898654873,0.9416159860990443
2008-07-08,0.9764142251704441,0.9968722849695917
2008-07-09,0.9760456974387322,0.988879235447437
2008-07-10,1.0442233278054174,0.9965247610773241
2008-07-11,0.9858116823290952,0.9805386620330148
