,SSS,LSI
2008-02-01,1.0,1.0
2008-02-04,0.9862451737451737,0.9862451737451737
2008-02-05,0.9387065637065637,0.9387065637065637
2008-02-06,0.9244691119691121,0.9244691119691121
2008-02-07,0.9500482625482626,0.9500482625482626
2008-02-08,0.9425675675675677,0.9425675675675677
2008-02-11,0.9266409266409267,0.9266409266409267
2008-02-12,0.9476351351351353,0.9476351351351353
2008-02-13,0.9628378378378378,0.9628378378378378
2008-02-14,0.8930984555984556,0.8930984555984556
2008-02-15,0.8882722007722009,0.8882722007722009
2008-02-19,0.8819980694980695,0.8819980694980695
2008-02-20,0.9107142857142858,0.9107142857142858
2008-02-21,0.882480694980695,0.882480694980695
2008-02-22,0.8930984555984556,0.8930984555984556
2008-02-25,0.921573359073359,0.921573359073359
2008-02-26,0.9314671814671815,0.9314671814671815
2008-02-27,0.9326737451737452,0.9326737451737452
2008-02-28,0.9321911196911198,0.9321911196911198
2008-02-29,0.9302606177606177,0.9302606177606177
2008-03-03,0.9505308880308881,0.9505308880308881
2008-03-04,0.9285714285714285,0.9285714285714285
2008-03-05,0.9198841698841699,0.9198841698841699
2008-03-06,0.8868243243243243,0.8868243243243243
2008-03-07,0.9010617760617762,0.9010617760617762
2008-03-10,0.9068532818532818,0.9068532818532818
2008-03-11,0.9630791505791505,0.9630791505791505
2008-03-12,0.9575289575289576,0.9575289575289576
2008-03-13,0.995415057915058,0.995415057915058
2008-03-14,0.9708011583011583,0.9708011583011583
2008-03-17,0.9666988416988418,0.9666988416988418
2008-03-18,1.0072393822393824,1.0072393822393824
2008-03-19,1.0062741312741315,1.0062741312741315
2008-03-20,1.0376447876447876,1.0376447876447876
2008-03-24,1.0726351351351353,1.0726351351351353
2008-03-25,1.0470559845559846,1.0470559845559846
2008-03-26,1.0427123552123554,1.0427123552123554
2008-03-27,1.019546332046332,1.019546332046332
2008-03-28,1.0139961389961392,1.0139961389961392
2008-03-31,1.0306467181467183,1.0306467181467183
2008-04-01,1.0796332046332047,1.0796332046332047
2008-04-02,1.0941119691119692,1.0941119691119692
2008-04-03,1.1047297297297298,1.1047297297297298
