"","X1","IVZ","BBY","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,0.940666666666667,1.03376981392143,NA,0.0995670995670996,0.865800865800866,0.0044049730114225,0.993866015357076
"3",2009-01-06,0.98,1.07684355616816,"IVZ",0.848484848484849,0.904761904761905,0.506368399811564,0.836758937371011
"4",2009-01-07,0.920666666666667,1.01826326671261,"IVZ",0.0952380952380952,0.0606060606060606,0.441978937456593,0.16943882610315
"5",2009-01-08,0.906666666666667,1.02170916609235,"IVZ",0.38961038961039,0.575757575757576,0.277445887688237,0.706564237312688
"6",2009-01-09,0.904,0.967608545830462,"IVZ",0.502164502164502,0.0649350649350649,0.932481186572189,0.0110954554025837
"7",2009-01-12,0.873333333333333,0.949689869055824,"IVZ",0.177489177489178,0.29004329004329,0.191194336582583,0.548959064166572
"8",2009-01-13,0.881333333333333,0.931426602343212,"IVZ",0.627705627705628,0.285714285714286,0.836637726512485,0.130923868406136
"9",2009-01-14,0.820666666666667,0.900068917987595,"IVZ",0.0779220779220779,0.134199134199134,0.154047648740521,0.488405851704526
"10",2009-01-15,0.826666666666667,0.935217091660923,"IVZ",0.606060606060606,0.883116883116883,0.198995270842852,0.94835130881209
"11",2009-01-16,0.824,1.01102687801516,"IVZ",0.502164502164502,0.982683982683983,0.0179773922854259,0.999254867180103
"12",2009-01-20,0.740666666666667,0.938318401102688,"IVZ",0.0432900432900433,0.0216450216450216,0.501617221603444,0.115289309802379
"13",2009-01-21,0.769333333333333,0.941075120606478,"IVZ",0.83982683982684,0.575757575757576,0.915965083092183,0.236708276573447
"14",2009-01-22,0.744666666666667,0.938662991040662,"IVZ",0.181818181818182,0.497835497835498,0.0868909130465134,0.802704550571231
"15",2009-01-23,0.793333333333333,0.952791178497588,"IVZ",0.909090909090909,0.735930735930736,0.938302423588678,0.277166677915003
"16",2009-01-26,0.765333333333333,0.972432804962095,"IVZ",0.164502164502165,0.800865800865801,0.0196805005377142,0.975759063172812
"17",2009-01-27,0.766666666666667,0.97381116471399,"IVZ",0.558441558441558,0.558441558441558,0.536858410333245,0.536858410333245
"18",2009-01-28,0.869333333333333,1.04272915230875,"IVZ",0.978354978354978,0.978354978354978,0.704291091600752,0.704291091600752
"19",2009-01-29,0.768666666666667,1.00482425913163,"IVZ",0.025974025974026,0.121212121212121,0.0290652801825082,0.763157595539223
"20",2009-01-30,0.786,0.965541006202619,"IVZ",0.779220779220779,0.103896103896104,0.981993187983949,0.00845122160782813
"21",2009-02-02,0.832666666666667,0.940385940730531,"IVZ",0.9004329004329,0.203463203463203,0.992499844437407,0.0145950755886668
"22",2009-02-03,0.822,0.984148862853205,"IVZ",0.41991341991342,0.922077922077922,0.054753752630534,0.988541453743938
"23",2009-02-04,0.836,0.965196416264645,"IVZ",0.722943722943723,0.285714285714286,0.910663172102128,0.0912127277120303
"24",2009-02-05,0.913333333333333,1.01137146795314,"IVZ",0.956709956709957,0.930735930735931,0.845743766715054,0.52072894318374
"25",2009-02-06,0.947333333333333,1.02825637491385,"IVZ",0.831168831168831,0.753246753246753,0.7957326545881,0.503745210790098
"26",2009-02-09,0.93,1.03859407305307,"IVZ",0.341991341991342,0.658008658008658,0.168025428554561,0.832333031673831
"27",2009-02-10,0.852666666666667,0.988973121984838,"IVZ",0.0692640692640693,0.0735930735930736,0.271433419465867,0.308679991381029
"28",2009-02-11,0.897333333333333,1.00585802894555,"IVZ",0.887445887445887,0.753246753246753,0.897759096048417,0.363616686495206
"29",2009-02-12,0.893333333333333,1.04169538249483,"IVZ",0.484848484848485,0.874458874458874,0.123713730839143,0.962485451637375
"30",2009-02-13,0.887333333333333,1.04583046175052,"IVZ",0.467532467532468,0.58008658008658,0.380392266806928,0.649771685725185
"31",2009-02-17,0.839333333333333,0.970709855272226,"IVZ",0.103896103896104,0.0216450216450216,0.764474344620666,0.0274326483989253
"32",2009-02-18,0.854,0.955203308063404,"IVZ",0.727272727272727,0.333333333333333,0.896395338447671,0.123058600054648
"33",2009-02-19,0.819333333333333,0.961061337008959,"IVZ",0.147186147186147,0.606060606060606,0.0378823841941006,0.908314304218529
"34",2009-02-20,0.83,0.961405926946933,"IVZ",0.67965367965368,0.545454545454545,0.731068037575141,0.395237548898352
"35",2009-02-23,0.739333333333333,0.950379048931771,"IVZ",0.0303030303030303,0.385281385281385,0.00413370828723639,0.945602566492552
"36",2009-02-24,0.844,0.960716747070986,"IVZ",0.978354978354978,0.688311688311688,0.997309866932356,0.0532819259092928
"37",2009-02-25,0.81,0.971743625086147,"IVZ",0.151515151515152,0.692640692640693,0.0281458131351473,0.944991412120993
"38",2009-02-26,0.816666666666667,0.991040661612681,"IVZ",0.623376623376623,0.779220779220779,0.383143598909789,0.818929741369725
"39",2009-02-27,0.762,0.993108201240524,"IVZ",0.0779220779220779,0.567099567099567,0.012162692681759,0.941983911112958
"40",2009-03-02,0.7,0.924190213645762,"IVZ",0.0692640692640693,0.0216450216450216,0.653944505600488,0.0554662609703167
"41",2009-03-03,0.660666666666667,0.928325292901447,"IVZ",0.0995670995670996,0.584415584415584,0.0186907568704998,0.931539514739451
"42",2009-03-04,0.698666666666667,0.952446588559614,"IVZ",0.896103896103896,0.83982683982684,0.827170145178936,0.515758642794178
"43",2009-03-05,0.643333333333333,0.896623018607857,"IVZ",0.0735930735930736,0.051948051948052,0.399593191092179,0.190891003183432
"44",2009-03-06,0.655333333333333,0.851481736733287,"IVZ",0.753246753246753,0.0735930735930736,0.984462632474524,0.00468938870831179
