"","X1","STX","FOR","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,1.01181102362205,0.966101694915254,NA,0.701298701298701,0.225108225108225,0.845908740287121,0.120382941147994
"3",2009-01-06,1.13779527559055,1.01468926553672,NA,0.991341991341991,0.865800865800866,0.988537182563441,0.414265756069272
"4",2009-01-07,1.05708661417323,0.950282485875706,NA,0.051948051948052,0.134199134199134,0.0943278272270895,0.38366728287951
"5",2009-01-08,1.10236220472441,0.994350282485876,NA,0.922077922077922,0.857142857142857,0.860193696321241,0.654619479813779
"6",2009-01-09,1.11023622047244,0.937853107344633,"FOR",0.645021645021645,0.151515151515152,0.833048408617043,0.0784688219380813
"7",2009-01-12,0.937007874015748,0.909604519774011,"FOR",0,0.251082251082251,1e-10,0.909986191980696
"8",2009-01-13,0.901574803149606,0.957062146892655,NA,0.155844155844156,0.865800865800866,0.0516880503335574,0.955336164583185
"9",2009-01-14,0.844488188976378,0.88135593220339,NA,0.0692640692640693,0.103896103896104,0.154079368166236,0.280848731249234
"10",2009-01-15,0.852362204724409,0.959322033898305,NA,0.683982683982684,0.909090909090909,0.415642181546061,0.912749826081713
"11",2009-01-16,0.864173228346457,1.04858757062147,"STX",0.753246753246753,0.913419913419913,0.499040246809423,0.897357790549581
"12",2009-01-20,0.763779527559055,0.969491525423729,"STX",0.0173160173160173,0.116883116883117,0.0303498124754337,0.483448284815939
"13",2009-01-21,0.836614173228346,1.12994350282486,"STX",0.982683982683983,0.956709956709957,0.927854349381091,0.729360806003497
"14",2009-01-22,0.635826771653543,1.04406779661017,"STX",0,0.116883116883117,1e-10,0.9056583506094
"15",2009-01-23,0.612204724409449,1.36610169491525,"STX",0.164502164502165,0.995670995670996,0.0423103112932087,0.999158178197358
"16",2009-01-26,0.673228346456693,1.36723163841808,"STX",0.982683982683983,0.554112554112554,0.992692659617119,0.184030253023335
"17",2009-01-27,0.71259842519685,1.30395480225989,"STX",0.952380952380952,0.164502164502165,0.98725130368445,0.0452808240870736
"18",2009-01-28,0.77755905511811,1.41129943502825,"STX",0.982683982683983,0.909090909090909,0.961558922849411,0.575737986688643
"19",2009-01-29,0.795275590551181,1.29039548022599,"STX",0.826839826839827,0.0995670995670996,0.945342457071876,0.0316562832372047
"20",2009-01-30,0.746062992125984,1.25988700564972,"STX",0.0692640692640693,0.307359307359307,0.0638598416194691,0.606536330073698
"21",2009-02-02,0.781496062992126,1.4271186440678,"STX",0.935064935064935,0.935064935064935,0.806443674140029,0.806443674140029
"22",2009-02-03,0.753937007874016,1.40225988700565,"STX",0.173160173160173,0.385281385281385,0.162663910634449,0.577977752819599
"23",2009-02-04,0.84251968503937,1.22598870056497,"STX",0.987012987012987,0.0562770562770563,0.996830842190903,0.0157926816042772
"24",2009-02-05,0.864173228346457,1.17966101694915,"STX",0.83982683982684,0.207792207792208,0.937384878687484,0.0800219260579713
"25",2009-02-06,0.887795275590551,1.1864406779661,"STX",0.861471861471861,0.597402597402597,0.882164772938105,0.371098289339013
"26",2009-02-09,0.858267716535433,1.16949152542373,"STX",0.181818181818182,0.411255411255411,0.163246101741177,0.600667320574328
"27",2009-02-10,0.807086614173228,1.04971751412429,"STX",0.0779220779220779,0.0822510822510823,0.199539525658433,0.216141818981053
"28",2009-02-11,0.826771653543307,1.0045197740113,"STX",0.835497835497836,0.177489177489178,0.939137420048367,0.0654353806008478
"29",2009-02-12,0.881889763779528,1.10282485875706,"STX",0.961038961038961,0.913419913419913,0.902747211366724,0.68701406998208
"30",2009-02-13,0.860236220472441,1.01694915254237,"STX",0.25974025974026,0.108225108225108,0.487801573242634,0.128132599528816
"31",2009-02-17,0.844488188976378,0.986440677966102,"STX",0.32034632034632,0.251082251082251,0.432070705623308,0.292402529079126
"32",2009-02-18,0.875984251968504,0.979661016949153,"STX",0.913419913419913,0.454545454545455,0.954072822481064,0.200463399981757
"33",2009-02-19,0.838582677165354,1.00790960451977,"STX",0.142857142857143,0.800865800865801,0.0528746389695291,0.927404923967284
"34",2009-02-20,0.824803149606299,1.01581920903955,"STX",0.346320346320346,0.606060606060606,0.26361425498205,0.708861395126758
"35",2009-02-23,0.789370078740157,0.820338983050848,"STX",0.142857142857143,0.00865800865800866,0.5993291411625,0.0107246325502793
"36",2009-02-24,0.779527559055118,0.929943502824859,"STX",0.385281385281385,0.935064935064935,0.143351879429459,0.97275061683885
"37",2009-02-25,0.848425196850394,0.908474576271186,"STX",0.982683982683983,0.307359307359307,0.995451891381442,0.0830398852371176
"38",2009-02-26,0.807086614173228,0.936723163841808,"STX",0.121212121212121,0.80952380952381,0.0419808424799764,0.9349576284492
"39",2009-02-27,0.846456692913386,0.849717514124294,"STX",0.939393939393939,0.0865800865800866,0.984474594005406,0.0225358465486433
