"","X1","THO","AEO","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,1.02437223042836,1.05146316851665,NA,0.83982683982684,0.922077922077922,0.524750717873067,0.882301031122563
"3",2009-01-06,1.07754800590842,1.09182643794147,NA,0.939393939393939,0.848484848484849,0.912082379447654,0.488534797464765
"4",2009-01-07,1.03028064992614,1.07164480322906,NA,0.116883116883117,0.341991341991342,0.0827587182969335,0.669724651605063
"5",2009-01-08,1.02289512555391,1.06760847628658,NA,0.428571428571429,0.506493506493506,0.390900311614592,0.571182061373844
"6",2009-01-09,1.00664697193501,1.02219979818365,NA,0.337662337662338,0.125541125541126,0.652872718596748,0.09407507622536
"7",2009-01-12,0.97341211225997,0.984863773965691,NA,0.186147186147186,0.173160173160173,0.333562127573202,0.288876142950706
"8",2009-01-13,0.969719350073855,0.978809283551968,NA,0.484848484848485,0.493506493506494,0.48347177840496,0.503680835880642
"9",2009-01-14,0.936484490398818,0.935418768920283,NA,0.177489177489178,0.112554112554113,0.42528869942471,0.174130612603801
"10",2009-01-15,0.893648449039882,1.03531786074672,"THO",0.103896103896104,0.991341991341991,0.0473933109197369,0.998126581566076
"11",2009-01-16,0.887001477104875,1.01513622603431,"THO",0.41991341991342,0.333333333333333,0.532434781521685,0.324590262970902
"12",2009-01-20,0.881831610044313,0.922300706357215,"THO",0.45021645021645,0.0303030303030303,0.847504435104136,0.0075149762932504
"13",2009-01-21,0.887740029542098,0.9656912209889,"THO",0.688311688311688,0.913419913419913,0.317581640974583,0.941351893410955
"14",2009-01-22,0.864844903988183,0.936427850655903,"THO",0.233766233766234,0.238095238095238,0.337693220471035,0.350475261798482
"15",2009-01-23,0.866322008862629,0.929364278506559,"THO",0.558441558441558,0.493506493506494,0.590547999911532,0.439940181296502
"16",2009-01-26,0.850073855243722,0.942482341069627,"THO",0.311688311688312,0.653679653679654,0.162804675259475,0.821475383610593
"17",2009-01-27,0.850812407680945,0.944500504540868,"THO",0.545454545454545,0.554112554112554,0.519370582427683,0.539712493274054
"18",2009-01-28,0.84711964549483,1.00201816347124,"THO",0.471861471861472,0.939393939393939,0.144652855901597,0.982587604977331
"19",2009-01-29,0.819054652880355,0.957618567103935,"THO",0.186147186147186,0.112554112554113,0.443086772916324,0.165250290917053
"20",2009-01-30,0.781388478581979,0.909182643794147,"THO",0.103896103896104,0.0909090909090909,0.29631165738909,0.228494746110964
"21",2009-02-02,0.764401772525849,0.901109989909183,"THO",0.281385281385281,0.476190476190476,0.215553505374691,0.655664864785894
"22",2009-02-03,0.778434268833087,0.876892028254289,"THO",0.792207792207792,0.272727272727273,0.92682670727927,0.096424463383761
"23",2009-02-04,0.742983751846381,0.851664984863774,"THO",0.103896103896104,0.246753246753247,0.10529271874121,0.56803091209354
"24",2009-02-05,0.776218611521418,0.880928355196771,"THO",0.922077922077922,0.818181818181818,0.899203725780084,0.481284779733318
"25",2009-02-06,0.816838995568685,0.972754793138244,"THO",0.943722943722944,0.982683982683983,0.508607631838791,0.947125262512786
"26",2009-02-09,0.826440177252585,0.955600403632694,"THO",0.731601731601732,0.363636363636364,0.867268254025562,0.174285593545191
"27",2009-02-10,0.802806499261448,0.908173562058527,"THO",0.233766233766234,0.0909090909090909,0.575035093508092,0.0922529979015946
"28",2009-02-11,0.875923190546529,0.915237134207871,"THO",0.978354978354978,0.606060606060606,0.994682006689887,0.162092744525167
"29",2009-02-12,0.877400295420975,0.915237134207871,"THO",0.558441558441558,0.554112554112554,0.538493409212739,0.528301728572399
"30",2009-02-13,0.865583456425406,0.91422805247225,"THO",0.350649350649351,0.528138528138528,0.269640091641534,0.664214989050724
"31",2009-02-17,0.872230428360414,0.934409687184662,"THO",0.696969696969697,0.718614718614719,0.593811186120971,0.651508338124525
"32",2009-02-18,0.835302806499262,0.958627648839556,"THO",0.12987012987013,0.770562770562771,0.0356669342501789,0.933028787490537
"33",2009-02-19,0.865583456425406,0.973763874873865,"THO",0.896103896103896,0.662337662337662,0.929970594022248,0.316739783423204
"34",2009-02-20,0.875923190546529,0.966700302724521,"THO",0.731601731601732,0.493506493506494,0.815776039531949,0.298330747679393
"35",2009-02-23,0.832348596750369,0.933400605449041,"THO",0.0952380952380952,0.194805194805195,0.123900991592886,0.499170416928349
"36",2009-02-24,0.819793205317578,0.993945509586276,"THO",0.337662337662338,0.943722943722944,0.0950127298176738,0.987167315017654
"37",2009-02-25,0.812407680945347,0.98284561049445,"THO",0.402597402597403,0.458874458874459,0.39312076180454,0.525405981577934
"38",2009-02-26,0.802067946824225,0.935418768920283,"THO",0.376623376623377,0.0995670995670996,0.726727417753196,0.0566263338788598
"39",2009-02-27,0.790989660265879,0.984863773965691,"THO",0.346320346320346,0.926406926406926,0.101393530594093,0.981282489401676
"40",2009-03-02,0.717134416543575,0.939455095862765,"THO",0.025974025974026,0.112554112554113,0.0372231739300782,0.58676601152078
"41",2009-03-03,0.806499261447563,0.974772956609485,"THO",0.987012987012987,0.835497835497836,0.992431181163867,0.257298497279635
"42",2009-03-04,0.811669128508124,1.00302724520686,"THO",0.683982683982684,0.787878787878788,0.4919327019892,0.773969443526346
"43",2009-03-05,0.801329394387001,0.921291624621594,"THO",0.376623376623377,0.038961038961039,0.805233924556886,0.0133921165464305
"44",2009-03-06,0.773264401772526,0.899091826437941,"THO",0.173160173160173,0.29004329004329,0.18501739225954,0.519822068710708
