"","X1","EMR","OKE","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,0.983135704874835,1.0062091503268,NA,0.251082251082251,0.653679653679654,0.112655531003838,0.841939198858292
"3",2009-01-06,1.03030303030303,1.0156862745098,NA,0.943722943722944,0.722943722943723,0.965923294939394,0.258460226206643
"4",2009-01-07,0.968642951251647,0.983006535947712,NA,0.0346320346320346,0.116883116883117,0.0586589034897627,0.612876292191574
"5",2009-01-08,0.974703557312253,0.990196078431372,NA,0.640692640692641,0.683982683982684,0.548128525763611,0.648307368088787
"6",2009-01-09,0.940711462450593,0.961764705882353,NA,0.12987012987013,0.125541125541126,0.301412136433529,0.282273356246156
"7",2009-01-12,0.914624505928854,0.952287581699346,NA,0.164502164502165,0.329004329004329,0.15132738099928,0.589004137124154
"8",2009-01-13,0.904874835309618,0.960457516339869,NA,0.32034632034632,0.701298701298701,0.152464458746868,0.847615111112358
"9",2009-01-14,0.872990777338603,0.917647058823529,NA,0.12987012987013,0.0735930735930736,0.446240605083895,0.148956331300303
"10",2009-01-15,0.885902503293807,0.921895424836601,NA,0.779220779220779,0.614718614718615,0.80126650817256,0.415565594224139
"11",2009-01-16,0.8866930171278,0.933660130718954,NA,0.536796536796537,0.770562770562771,0.326513327762207,0.827451396855565
"12",2009-01-20,0.849802371541502,0.901307189542484,NA,0.0909090909090909,0.103896103896104,0.243651735904082,0.31533865508439
"13",2009-01-21,0.89064558629776,0.947385620915033,NA,0.943722943722944,0.961038961038961,0.642765939525304,0.834133284233522
"14",2009-01-22,0.868247694334651,0.946078431372549,NA,0.186147186147186,0.510822510822511,0.101208750071982,0.767017845961467
"15",2009-01-23,0.86403162055336,0.961437908496732,"EMR",0.441558441558442,0.822510822510823,0.186699601469727,0.910825788359158
"16",2009-01-26,0.864558629776021,0.998039215686274,"EMR",0.532467532467532,0.943722943722944,0.124118767293358,0.982984926319658
"17",2009-01-27,0.888537549407114,1.0156862745098,"EMR",0.857142857142857,0.835497835497836,0.74739536254544,0.664523407284421
"18",2009-01-28,0.925164690382082,1.00522875816993,"EMR",0.926406926406926,0.324675324675325,0.98561114943236,0.0542708389020572
"19",2009-01-29,0.887747035573122,0.980392156862745,"EMR",0.0952380952380952,0.142857142857143,0.186131516153537,0.407712322343399
"20",2009-01-30,0.861660079051383,0.954901960784314,"EMR",0.155844155844156,0.138528138528139,0.335542534216777,0.267063969576329
"21",2009-02-02,0.835309617918313,0.962418300653595,"EMR",0.151515151515152,0.688311688311688,0.0400617950478823,0.916330573233674
"22",2009-02-03,0.885375494071146,0.96797385620915,"EMR",0.961038961038961,0.640692640692641,0.986879303341503,0.147538064538428
"23",2009-02-04,0.85296442687747,0.941830065359477,"EMR",0.121212121212121,0.12987012987013,0.271684389395657,0.310482684809822
"24",2009-02-05,0.876679841897233,0.946732026143791,"EMR",0.857142857142857,0.623376623376623,0.895745342556488,0.327537012250729
"25",2009-02-06,0.880895915678524,0.916666666666667,"EMR",0.597402597402597,0.116883116883117,0.891976210236702,0.0335940528508341
"26",2009-02-09,0.921475625823452,0.916666666666667,NA,0.939393939393939,0.532467532467532,0.980733916786092,0.130591422705036
"27",2009-02-10,0.86403162055336,0.887254901960784,NA,0.025974025974026,0.116883116883117,0.0374209850800753,0.680523939243447
"28",2009-02-11,0.86034255599473,0.902941176470588,NA,0.445887445887446,0.835497835497836,0.180319520213941,0.920436267482668
"29",2009-02-12,0.855862977602108,0.913071895424837,NA,0.424242424242424,0.744588744588745,0.225447567315826,0.844940350598333
"30",2009-02-13,0.843741765480896,0.912418300653595,NA,0.29004329004329,0.519480519480519,0.206935328022372,0.682508176679295
"31",2009-02-17,0.787088274044796,0.861764705882353,NA,0.0216450216450216,0.051948051948052,0.0911215635767916,0.492238125987176
"32",2009-02-18,0.787878787878788,0.834967320261438,NA,0.545454545454545,0.125541125541126,0.853886437488909,0.0454462825393971
"33",2009-02-19,0.774176548089591,0.825490196078431,NA,0.251082251082251,0.298701298701299,0.302451552406741,0.425913077037173
"34",2009-02-20,0.769433465085639,0.795424836601307,NA,0.398268398268398,0.0909090909090909,0.792378652517289,0.0439645362335395
"35",2009-02-23,0.73965744400527,0.755228758169935,NA,0.116883116883117,0.0649350649350649,0.445168642770714,0.143114360148869
"36",2009-02-24,0.763899868247694,0.724509803921569,NA,0.878787878787879,0.0735930735930736,0.991880338794899,0.0044297026727559
"37",2009-02-25,0.738339920948617,0.749346405228758,NA,0.134199134199134,0.935064935064935,0.00889519282292778,0.995109582937398
"38",2009-02-26,0.722529644268775,0.741503267973856,NA,0.220779220779221,0.316017316017316,0.241597990603101,0.489442718469627
"39",2009-02-27,0.704874835309618,0.730065359477124,NA,0.194805194805195,0.229437229437229,0.27984567094879,0.385110507882398
"40",2009-03-02,0.664558629776021,0.668627450980392,NA,0.038961038961039,0.0173160173160173,0.468039558839275,0.0981448849817948
"41",2009-03-03,0.665349143610013,0.651960784313725,NA,0.545454545454545,0.142857142857143,0.837276684669542,0.0572278442949887
"42",2009-03-04,0.697496706192358,0.662418300653595,NA,0.943722943722944,0.813852813852814,0.942066428299401,0.373147031900719
"43",2009-03-05,0.664822134387352,0.629411764705882,NA,0.0735930735930736,0.0692640692640693,0.283200618323501,0.251944180582542
"44",2009-03-06,0.663241106719368,0.618627450980392,NA,0.480519480519481,0.216450216450216,0.706200176945282,0.142546280915603
"45",2009-03-09,0.655335968379447,0.594444444444444,NA,0.298701298701299,0.0822510822510823,0.713217389743262,0.0581018646084016
