,WEN,NTGR
2008-02-01,1.0,1.0
2008-02-04,0.9725050916496946,0.9960159362549801
2008-02-05,0.9541751527494907,0.9771821803694314
2008-02-06,0.929735234215886,0.9547265483520464
2008-02-07,0.9674134419551934,0.95508873596523
2008-02-08,0.9144602851323829,0.9416877942774358
2008-02-11,0.9124236252545825,0.9594349873234335
2008-02-12,0.9266802443991853,0.9380659181455994
2008-02-13,0.9613034623217922,0.9731981166244115
2008-02-14,0.9215885947046843,0.7819630568634552
2008-02-15,0.9154786150712831,0.7870336834480262
2008-02-19,0.9114052953156822,0.7902933719666788
2008-02-20,0.9307535641547862,0.791017747193046
2008-02-21,0.8788187372708758,0.7671133647229265
2008-02-22,0.8778004073319755,0.7768924302788844
2008-02-25,0.8930753564154785,0.7946396233248824
2008-02-26,0.9073319755600815,0.7906555595798623
2008-02-27,0.9429735234215886,0.8149221296631656
2008-02-28,0.8879837067209776,0.799710249909453
2008-02-29,0.8839103869653767,0.7902933719666788
2008-03-03,0.785132382892057,0.7631293009779065
2008-03-04,0.740325865580448,0.7595074248460703
2008-03-05,0.7382892057026477,0.7591452372328866
2008-03-06,0.709775967413442,0.7609561752988049
2008-03-07,0.7006109979633401,0.7645780514306411
2008-03-10,0.6629327902240325,0.7620427381383557
2008-03-11,0.7128309572301426,0.7660268018833756
2008-03-12,0.7321792260692465,0.7624049257515393
2008-03-13,0.7372708757637475,0.7232886635277074
2008-03-14,0.7230142566191445,0.7084389713871785
2008-03-17,0.7087576374745417,0.6798261499456718
2008-03-18,0.7474541751527495,0.7377761680550525
2008-03-19,0.7107942973523422,0.704092720028975
2008-03-20,0.7556008146639511,0.7135095979717494
2008-03-24,0.745417515274949,0.7439333574791742
2008-03-25,0.7566191446028513,0.7428467946396234
2008-03-26,0.7128309572301426,0.7482796088373778
2008-03-27,0.7077393075356415,0.7203911626222383
2008-03-28,0.675152749490835,0.7185802245563202
2008-03-31,0.6415478615071283,0.7225642883013401
2008-04-01,0.6904276985743381,0.7366896052155016
2008-04-02,0.7006109979633401,0.7222021006881565
2008-04-03,0.7230142566191445,0.7240130387540745
2008-04-04,0.7138492871690427,0.7243752263672583
2008-04-07,0.6965376782077393,0.7120608475190149
2008-04-08,0.7057026476578411,0.7323433538572981
2008-04-09,0.6710794297352342,0.7200289750090547
2008-04-10,0.7077393075356415,0.7124230351321985
2008-04-11,0.645621181262729,0.6805505251720391
2008-04-14,0.6588594704684317,0.6801883375588555
2008-04-15,0.6588594704684317,0.6635277073524086
2008-04-16,0.6934826883910387,0.6935892792466497
2008-04-17,0.6761710794297352,0.698297718218037
2008-04-18,0.6904276985743381,0.7182180369431365
2008-04-21,0.6832993890020367,0.7200289750090547
2008-04-22,0.6527494908350305,0.7098877218399131
2008-04-23,0.6415478615071283,0.7062658457080768
2008-04-24,0.6588594704684317,0.7290836653386454
2008-04-25,0.6945010183299389,0.6070264396957624
2008-04-28,0.6985743380855397,0.5968851865266208
2008-04-29,0.7036659877800407,0.5881926838102136
2008-04-30,0.7026476578411406,0.5871061209706628
2008-05-01,0.6914460285132382,0.6193408185440059
2008-05-02,0.7016293279022403,0.6283955088735966
2008-05-05,0.6934826883910387,0.6468670771459616
2008-05-06,0.6883910386965376,0.6457805143064107
2008-05-07,0.680244399185336,0.6599058312205722
2008-05-08,0.6527494908350305,0.6436073886273089
2008-05-09,0.6405295315682281,0.630930822165882
2008-05-12,0.6496945010183299,0.6392611372691054
2008-05-13,0.6639511201629327,0.6537486417964506
2008-05-14,0.664969450101833,0.6667873958710613
2008-05-15,0.6731160896130346,0.6848967765302427
2008-05-16,0.6812627291242362,0.6805505251720391
2008-05-19,0.6955193482688391,0.6867077145961609
2008-05-20,0.6924643584521385,0.6801883375588555
2008-05-21,0.670061099796334,0.6682361463237957
2008-05-22,0.7179226069246435,0.6765664614270192
2008-05-23,0.7006109979633401,0.6664252082578775
2008-05-27,0.709775967413442,0.6805505251720391
2008-05-28,0.725050916496945,0.6718580224556321
2008-05-29,0.7158859470468432,0.6928649040202824
2008-05-30,0.7484725050916496,0.6877942774357116
2008-06-02,0.6924643584521385,0.6696848967765302
2008-06-03,0.6771894093686355,0.6733067729083665
2008-06-04,0.675152749490835,0.6780152118797537
2008-06-05,0.680244399185336,0.6812749003984063
2008-06-06,0.6527494908350305,0.656283955088736
2008-06-09,0.6527494908350305,0.6537486417964506
2008-06-10,0.6558044806517311,0.6443317638536762
2008-06-11,0.6344195519348269,0.6095617529880477
2008-06-12,0.6466395112016293,0.6055776892430279
2008-06-13,0.6690427698574338,0.5929011227816009
2008-06-16,0.6863543788187373,0.5740673668960522
2008-06-17,0.680244399185336,0.579137993480623
2008-06-18,0.6894093686354378,0.5660992394060124
2008-06-19,0.7260692464358451,0.5689967403114814
2008-06-20,0.7219959266802444,0.565374864179645
2008-06-23,0.6985743380855397,0.5353132922854038
2008-06-24,0.6924643584521385,0.5298804780876495
2008-06-25,0.7036659877800407,0.5440057950018109
2008-06-26,0.6771894093686355,0.5092357841361825
2008-06-27,0.6568228105906314,0.510684534588917
2008-06-30,0.6517311608961304,0.50199203187251
2008-07-01,0.6547861507128309,0.4961970300615719
2008-07-02,0.6384928716904277,0.4759145237232887
2008-07-03,0.6374745417515274,0.47410358565737054
2008-07-07,0.6364562118126272,0.47555233611010506
2008-07-08,0.6415478615071283,0.4864179645056139
2008-07-09,0.6089613034623218,0.4737413980441869
2008-07-10,0.5763747454175153,0.4780876494023904
2008-07-11,0.5672097759674135,0.472654835204636
2008-07-14,0.5509164969450102,0.47410358565737054
