,ADVS,ARW
2008-02-01,1.0,1.0
2008-02-04,1.012079378774806,0.9947674418604652
2008-02-05,0.9710957722174289,0.9558139534883722
2008-02-06,0.9918032786885246,0.9418604651162791
2008-02-07,1.0517687661777395,0.9651162790697676
2008-02-08,1.058239861949957,0.9337209302325581
2008-02-11,1.051337359792925,0.9697674418604652
2008-02-12,1.0567299396031062,0.9656976744186047
2008-02-13,1.073986194995686,0.9991279069767441
2008-02-14,1.0433563416738567,0.9639534883720929
2008-02-15,1.0364538395168248,0.9639534883720929
2008-02-19,1.0459447799827437,0.9668604651162791
2008-02-20,1.0481018119068164,0.981686046511628
2008-02-21,1.0256686798964625,0.9799418604651163
2008-02-22,1.013157894736842,0.9764534883720931
2008-02-25,1.0269628990509059,0.9921511627906978
2008-02-26,1.0427092320966351,1.0034883720930234
2008-02-27,1.0433563416738567,1.0061046511627907
2008-02-28,1.0153149266609145,0.9784883720930232
2008-02-29,0.9693701466781708,0.9479651162790698
2008-03-03,0.9706643658326143,0.9470930232558139
2008-03-04,0.9855478861087144,0.9558139534883722
2008-03-05,0.9885677308024159,0.9529069767441861
2008-03-06,0.9570750647109577,0.9316860465116279
2008-03-07,0.9376617773943055,0.9354651162790698
2008-03-10,0.919758412424504,0.9299418604651163
2008-03-11,0.959879206212252,0.9421511627906977
2008-03-12,0.9866264020707507,0.9529069767441861
2008-03-13,0.9989214840379638,0.9523255813953488
2008-03-14,0.9695858498705782,0.9191860465116279
2008-03-17,0.8986194995685935,0.905232558139535
2008-03-18,0.9501725625539258,0.9258720930232559
2008-03-19,0.9180327868852459,0.9276162790697675
2008-03-20,0.928602243313201,0.9287790697674418
2008-03-24,0.9853321829163072,0.9848837209302327
2008-03-25,0.9672131147540984,0.991860465116279
2008-03-26,0.977351164797239,0.9726744186046512
2008-03-27,0.9348576358930113,0.954360465116279
2008-03-28,0.9339948231233822,0.9593023255813954
2008-03-31,0.9193270060396893,0.9781976744186046
2008-04-01,0.9467213114754098,0.9956395348837209
2008-04-02,0.9393874029335634,0.9976744186046512
2008-04-03,0.9322691975841242,0.999418604651163
2008-04-04,0.9452113891285591,0.9915697674418605
2008-04-07,0.9327006039689388,1.0061046511627907
2008-04-08,0.9249352890422778,0.9936046511627907
2008-04-09,0.8981880931837791,0.9691860465116281
2008-04-10,0.9225625539257982,0.9950581395348836
2008-04-11,0.8789905090595341,0.9735465116279071
2008-04-14,0.8796376186367558,0.9520348837209303
2008-04-15,0.8507333908541846,0.8973837209302327
2008-04-16,0.8608714408973253,0.9223837209302326
2008-04-17,0.8537532355478861,0.8962209302325581
2008-04-18,0.8636755823986195,0.906686046511628
2008-04-21,0.8641069887834341,0.9200581395348837
2008-04-22,0.8384383088869715,0.9101744186046512
2008-04-23,0.892795513373598,0.8
2008-04-24,0.9160914581535806,0.7906976744186046
2008-04-25,0.9348576358930113,0.7793604651162791
2008-04-28,0.9294650560828301,0.8037790697674418
2008-04-29,0.9393874029335634,0.8095930232558141
2008-04-30,0.859792924935289,0.7909883720930233
2008-05-01,0.8623813632441759,0.8255813953488372
2008-05-02,0.8270060396893875,0.8194767441860465
2008-05-05,0.8009059534081105,0.798546511627907
2008-05-06,0.8759706643658326,0.8194767441860465
2008-05-07,0.8781276962899052,0.8052325581395349
2008-05-08,0.8921484037963762,0.7979651162790697
2008-05-09,0.892795513373598,0.7982558139534884
2008-05-12,0.9037963761863675,0.8136627906976744
2008-05-13,0.9031492666091457,0.8281976744186046
2008-05-14,0.900776531492666,0.8354651162790697
2008-05-15,0.9025021570319242,0.852906976744186
2008-05-16,0.9083261432269197,0.8523255813953489
2008-05-19,0.8984037963761864,0.8723837209302326
2008-05-20,0.8841673856773081,0.8755813953488373
2008-05-21,0.8686367558239863,0.8697674418604652
2008-05-22,0.8764020707506471,0.8726744186046512
2008-05-23,0.8634598792062123,0.8752906976744186
2008-05-27,0.8964624676445212,0.8875000000000001
2008-05-28,0.9081104400345126,0.8793604651162791
2008-05-29,0.9363675582398618,0.884593023255814
2008-05-30,0.926876617773943,0.8912790697674419
2008-06-02,0.8994823123382226,0.8738372093023256
2008-06-03,0.9027178602243313,0.9037790697674419
2008-06-04,0.9117773943054358,0.9241279069767442
2008-06-05,0.9480155306298534,0.9697674418604652
2008-06-06,0.9262295081967212,0.945639534883721
2008-06-09,0.8984037963761864,0.9497093023255815
2008-06-10,0.8990509059534081,0.9404069767441862
2008-06-11,0.8820103537532356,0.9026162790697675
2008-06-12,0.8673425366695428,0.9087209302325582
2008-06-13,0.8904227782571182,0.9343023255813954
2008-06-16,0.8828731665228645,0.9424418604651164
2008-06-17,0.8699309749784296,0.9409883720930232
2008-06-18,0.8755392579810182,0.9392441860465117
2008-06-19,0.897109577221743,0.9325581395348838
2008-06-20,0.8766177739430544,0.923546511627907
2008-06-23,0.8654012079378774,0.9270348837209302
2008-06-24,0.8334771354616048,0.9095930232558139
2008-06-25,0.8207506471095771,0.9104651162790698
2008-06-26,0.7920621225194133,0.9005813953488373
2008-06-27,0.78839516824849,0.8811046511627907
2008-06-30,0.7782571182053494,0.8930232558139535
2008-07-01,0.7698446937014667,0.8848837209302326
2008-07-02,0.7545297670405522,0.8622093023255815
2008-07-03,0.7441760138050043,0.8531976744186047
2008-07-07,0.7612165660051768,0.8569767441860465
2008-07-08,0.7696289905090595,0.8697674418604652
2008-07-09,0.7655306298533219,0.8476744186046512
2008-07-10,0.7549611734253667,0.8316860465116279
2008-07-11,0.7502157031924073,0.825
2008-07-14,0.7241156169111302,0.808139534883721
