"","X1","ADVS","ARW","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,1.02943925233645,1.03204476093591,NA,0.826839826839827,0.887445887445887,0.564442296536414,0.806678434306755
"3",2009-01-06,1.05654205607477,1.07171922685656,NA,0.805194805194805,0.904761904761905,0.47910785484793,0.864118874496807
"4",2009-01-07,1.02990654205607,1.02136317395727,NA,0.238095238095238,0.0649350649350649,0.669326289483302,0.0604461857561549
"5",2009-01-08,1.03130841121495,0.967446592065107,NA,0.554112554112554,0.0562770562770563,0.907675249536495,0.0135990488497396
"6",2009-01-09,1.01121495327103,0.966937945066124,NA,0.281385281385281,0.497835497835498,0.202929822993052,0.699837154259042
"7",2009-01-12,1.00700934579439,0.95676500508647,NA,0.484848484848485,0.354978354978355,0.615763758766571,0.306179933780915
"8",2009-01-13,1.00794392523364,0.976093591047813,NA,0.54978354978355,0.805194805194805,0.273305284180932,0.869575325251193
"9",2009-01-14,0.97196261682243,0.940488301119023,NA,0.125541125541126,0.0995670995670996,0.35066506637065,0.227848054850114
"10",2009-01-15,0.987383177570094,0.958290946083418,NA,0.731601731601732,0.792207792207792,0.544252813790386,0.726060905536795
"11",2009-01-16,1.00467289719626,0.98118006103764,NA,0.744588744588745,0.835497835497836,0.502060217266963,0.789072493614479
"12",2009-01-20,0.925233644859813,0.901322482197355,NA,0.038961038961039,0.0216450216450216,0.347568941794508,0.122690153307818
"13",2009-01-21,0.971028037383178,0.930824008138352,NA,0.917748917748918,0.891774891774892,0.790536562008504,0.652683736814987
"14",2009-01-22,0.969626168224299,0.918107833163784,NA,0.510822510822511,0.324675324675325,0.677407638631046,0.24693250560788
"15",2009-01-23,0.980373831775701,0.955239064089522,NA,0.662337662337662,0.913419913419913,0.257788681298482,0.943414938989061
"16",2009-01-26,1.00233644859813,0.966937945066124,NA,0.783549783549784,0.727272727272727,0.715507884659662,0.548662080506228
"17",2009-01-27,0.984579439252336,1.01322482197355,NA,0.311688311688312,0.943722943722944,0.0533417332519081,0.990203089280307
"18",2009-01-28,1.04626168224299,1.01932858596134,NA,0.952380952380952,0.623376623376623,0.980746537344291,0.16578182791362
"19",2009-01-29,1.04672897196262,1.00254323499491,NA,0.523809523809524,0.29004329004329,0.722408260674015,0.197361769303453
"20",2009-01-30,1.02009345794393,0.96998982706002,NA,0.238095238095238,0.134199134199134,0.519685398226973,0.172569598532519
"21",2009-02-02,1.09345794392523,0.911495422177009,"ARW",0.974025974025974,0.0432900432900433,0.996237590776353,0.00677969353714745
"22",2009-02-03,1.09485981308411,0.904883011190234,"ARW",0.54978354978355,0.411255411255411,0.652403802309257,0.32873674027678
"23",2009-02-04,1.25747663551402,0.921668362156663,"ARW",1,0.792207792207792,0.9999999999,0.0480773813152232
"24",2009-02-05,1.2714953271028,0.954221770091557,"ARW",0.662337662337662,0.904761904761905,0.271548444841485,0.93449973542556
"25",2009-02-06,1.37990654205607,0.991353001017294,"ARW",0.978354978354978,0.913419913419913,0.951903317634016,0.437570211677049
"26",2009-02-09,1.38271028037383,0.997965412004069,"ARW",0.567099567099567,0.640692640692641,0.461963655052017,0.643304885285327
"27",2009-02-10,1.34859813084112,0.927772126144456,"ARW",0.242424242424242,0.0303030303030303,0.772668305295739,0.0188345277838559
"28",2009-02-11,1.32990654205607,0.919633774160732,"ARW",0.354978354978355,0.385281385281385,0.394720592698501,0.471381710176993
"29",2009-02-12,1.37289719626168,0.957273652085453,"ARW",0.848484848484849,0.913419913419913,0.550131642886275,0.841078858669575
"30",2009-02-13,1.35747663551402,0.96998982706002,"ARW",0.398268398268398,0.735930735930736,0.181780126955373,0.867099953914766
"31",2009-02-17,1.3196261682243,0.912004069175992,"ARW",0.229437229437229,0.0432900432900433,0.718136410624588,0.0347928613781073
"32",2009-02-18,1.32289719626168,0.91353001017294,"ARW",0.58008658008658,0.536796536796537,0.582498347623786,0.477333221095068
"33",2009-02-19,1.27476635514019,0.874364191251272,"ARW",0.125541125541126,0.0735930735930736,0.422359274652606,0.157927399683582
"34",2009-02-20,1.22009345794393,0.860122075279756,"ARW",0.112554112554113,0.29004329004329,0.10459940684028,0.641447123576099
"35",2009-02-23,1.20233644859813,0.845371312309257,"ARW",0.354978354978355,0.281385281385281,0.504507728117654,0.310587466443446
"36",2009-02-24,1.30140186915888,0.906917599186165,"ARW",0.978354978354978,0.978354978354978,0.788097196499828,0.788097196499828
"37",2009-02-25,1.26355140186916,0.899796541200407,"ARW",0.220779220779221,0.402597402597403,0.186498949466712,0.642579298842793
"38",2009-02-26,1.24485981308411,0.855544252288912,"ARW",0.346320346320346,0.0606060606060606,0.792363550295712,0.0315449985001151
"39",2009-02-27,1.27289719626168,0.84587995930824,"ARW",0.783549783549784,0.341991341991342,0.920121378008791,0.117005159892792
"40",2009-03-02,1.26214953271028,0.801119023397762,"ARW",0.41991341991342,0.0562770562770563,0.847826122593452,0.0209562986988816
"41",2009-03-03,1.25747663551402,0.804170905391658,"ARW",0.493506493506494,0.575757575757576,0.419012862069125,0.615866111553023
"42",2009-03-04,1.25233644859813,0.852492370295015,"ARW",0.484848484848485,0.974025974025974,0.0829687754064557,0.994985892757199
"43",2009-03-05,1.19626168224299,0.814852492370295,"ARW",0.103896103896104,0.0649350649350649,0.388896714632452,0.164629218961267
"44",2009-03-06,1.21822429906542,0.792980671414039,"ARW",0.748917748917749,0.16017316017316,0.942489563288569,0.0378526911740535
