,DW,REX
2008-02-01,1.0,1.0
2008-02-04,0.9873840445269016,0.9780278670953912
2008-02-05,0.9220779220779222,0.9490889603429796
2008-02-06,0.9298701298701298,0.9324758842443729
2008-02-07,0.927643784786642,0.954983922829582
2008-02-08,0.9142857142857144,0.954983922829582
2008-02-11,0.9257884972170687,0.9378349410503751
2008-02-12,0.911317254174397,0.9694533762057878
2008-02-13,0.9688311688311688,1.0209003215434085
2008-02-14,0.9283858998144713,0.9914255091103965
2008-02-15,0.9050092764378479,0.9903536977491961
2008-02-19,0.8931354359925788,0.9571275455519828
2008-02-20,0.9250463821892393,1.0080385852090032
2008-02-21,0.9035250463821893,1.0155412647374062
2008-02-22,0.9120593692022263,0.9935691318327974
2008-02-25,0.9417439703153989,0.9860664523043944
2008-02-26,1.003339517625232,1.015005359056806
2008-02-27,1.0645640074211504,0.9882100750267954
2008-02-28,1.0326530612244897,0.9914255091103965
2008-02-29,1.0003710575139146,0.9951768488745981
2008-03-03,0.9725417439703155,0.9378349410503751
2008-03-04,1.0170686456400742,0.929796355841372
2008-03-05,1.0241187384044528,0.935155412647374
2008-03-06,1.0055658627087198,0.9142550911039656
2008-03-07,0.9877551020408164,0.9206859592711683
2008-03-10,0.9688311688311688,0.9137191854233655
2008-03-11,1.0207792207792208,0.9753483386923901
2008-03-12,1.037847866419295,1.0069667738478028
2008-03-13,1.051948051948052,0.9978563772775992
2008-03-14,0.9970315398886828,1.007502679528403
2008-03-17,0.976252319109462,0.9812433011789924
2008-03-18,1.038961038961039,1.0058949624866023
2008-03-19,0.9844155844155845,1.0359056806002143
2008-03-20,0.9825602968460112,0.9908896034297963
2008-03-24,1.0040816326530613,1.0921757770632368
2008-03-25,0.9532467532467533,1.07502679528403
2008-03-26,0.9576994434137291,1.0921757770632368
2008-03-27,0.9402597402597402,1.067524115755627
2008-03-28,0.9142857142857144,1.0455519828510182
2008-03-31,0.9076066790352505,1.0541264737406217
2008-04-01,0.9398886827458256,1.0739549839228295
2008-04-02,0.9369202226345084,0.9689174705251875
2008-04-03,0.9217068645640074,1.015005359056806
2008-04-04,0.9877551020408164,0.9967845659163987
2008-04-07,0.9948051948051948,0.9742765273311896
2008-04-08,0.9940630797773655,0.9887459807073955
2008-04-09,0.9725417439703155,0.9378349410503751
2008-04-10,0.9922077922077922,0.9705251875669881
2008-04-11,0.9688311688311688,0.922293676312969
2008-04-14,0.9706864564007421,0.9239013933547695
2008-04-15,0.9191094619666048,0.9265809217577706
2008-04-16,0.9551020408163265,0.8912111468381564
2008-04-17,0.9703153988868274,0.9169346195069668
2008-04-18,0.9907235621521335,0.8933547695605574
2008-04-21,0.9480519480519481,0.9110396570203644
2008-04-22,0.9161410018552877,0.8890675241157556
2008-04-23,0.87569573283859,0.8740621650589495
2008-04-24,0.8927643784786642,0.8799571275455521
2008-04-25,0.899443413729128,0.9094319399785638
2008-04-28,0.9261595547309833,0.9035369774919614
2008-04-29,0.9135435992578851,0.8713826366559486
2008-04-30,0.9050092764378479,0.8676312968917471
2008-05-01,0.9194805194805196,0.857449088960343
2008-05-02,0.8441558441558442,0.8654876741693461
2008-05-05,0.8753246753246754,0.8569131832797428
2008-05-06,0.8504638218923934,0.8644158628081458
2008-05-07,0.8452690166975881,0.8515541264737406
2008-05-08,0.8178107606679035,0.8461950696677384
2008-05-09,0.8315398886827459,0.8536977491961415
2008-05-12,0.8500927643784787,0.8799571275455521
2008-05-13,0.8834879406307977,0.8644158628081458
2008-05-14,0.8693877551020408,0.8837084673097534
2008-05-15,0.8734693877551021,0.870310825294748
2008-05-16,0.8630797773654917,0.884780278670954
2008-05-19,0.8727272727272727,0.8762057877813505
2008-05-20,0.8530612244897959,0.8794212218649518
2008-05-21,0.8500927643784787,0.8595927116827438
2008-05-22,0.8445269016697589,0.8654876741693461
2008-05-23,0.8530612244897959,0.8638799571275456
2008-05-27,0.8723562152133582,0.8622722400857449
2008-05-28,0.8664192949907237,0.8638799571275456
2008-05-29,0.8423005565862709,0.890139335476956
2008-05-30,0.8155844155844156,0.9003215434083601
2008-06-02,0.8181818181818182,0.882636655948553
2008-06-03,0.8230055658627087,0.870310825294748
2008-06-04,0.7866419294990723,0.8601286173633441
2008-06-05,0.7999999999999999,0.8595927116827438
2008-06-06,0.7588126159554731,0.8290460878885316
2008-06-09,0.7439703153988869,0.8461950696677384
2008-06-10,0.7317254174397031,0.8167202572347267
2008-06-11,0.7306122448979593,0.7883172561629154
2008-06-12,0.7317254174397031,0.7427652733118971
2008-06-13,0.7328385899814471,0.7540192926045016
2008-06-16,0.7346938775510204,0.7566988210075026
2008-06-17,0.7024118738404452,0.7481243301178992
2008-06-18,0.7042671614100185,0.7390139335476955
2008-06-19,0.69721706864564,0.72508038585209
2008-06-20,0.6860853432282004,0.6982851018220793
2008-06-23,0.6742115027829314,0.687566988210075
2008-06-24,0.6430426716141001,0.6811361200428725
2008-06-25,0.653061224489796,0.6672025723472669
2008-06-26,0.6152133580705009,0.6596998928188639
2008-06-27,0.6207792207792208,0.6205787781350482
2008-06-30,0.5918367346938775,0.6189710610932476
2008-07-01,0.5888682745825603,0.5948553054662379
2008-07-02,0.5769944341372913,0.6270096463022508
2008-07-03,0.5717996289424861,0.6152197213290461
2008-07-07,0.5714285714285715,0.6055734190782422
2008-07-08,0.6103896103896104,0.6457663451232584
2008-07-09,0.5814471243042671,0.6162915326902465
2008-07-10,0.5714285714285715,0.609860664523044
2008-07-11,0.5651205936920223,0.6286173633440515
2008-07-14,0.5602968460111317,0.5959271168274384
