,CSS,WTW
2008-02-01,1.0,1.0
2008-02-04,0.9934080421885301,0.9963578420213978
2008-02-05,0.9911008569545156,0.9640336899613021
2008-02-06,0.9963744232036915,0.9742772592761211
2008-02-07,1.034937376400791,0.9899840655588437
2008-02-08,1.0098879367172051,0.9808786706123379
2008-02-11,1.0735003295978907,0.9970407466423855
2008-02-12,1.0863546473302572,1.0029592533576144
2008-02-13,1.1348055372445616,1.0573639881629866
2008-02-14,1.1407382992748847,1.0452993398588664
2008-02-15,1.150296638101516,1.0965171864329615
2008-02-19,1.1275543836519446,1.1163214204416116
2008-02-20,1.2000659195781147,1.1108581834737081
2008-02-21,1.1506262359920896,1.0883223309811063
2008-02-22,1.1882003955174687,1.0869565217391304
2008-02-25,1.2633487145682267,1.0981106305486001
2008-02-26,1.211931443638761,1.1245162758934668
2008-02-27,1.2148978246539222,1.111541088094696
2008-02-28,1.1855636123928806,1.1110858183473709
2008-02-29,1.1506262359920896,1.069883906214432
2008-03-03,1.1618325642715888,1.0742089688140222
2008-03-04,1.157547791694133,1.0835419986341908
2008-03-05,1.178642056690837,1.1022080582745277
2008-03-06,1.129202373104812,1.0739813339403597
2008-03-07,1.1433750823994726,1.0905986797177327
2008-03-10,1.1400791034937379,1.0414295470066015
2008-03-11,1.219182597231378,1.0710220805827453
2008-03-12,1.1542518127883983,1.0780787616662872
2008-03-13,1.1450230718523402,1.104029137263829
2008-03-14,1.1084377059986816,1.0671522877304804
2008-03-17,1.0939353988134475,1.061689050762577
2008-03-18,1.1249176005273567,1.0921921238333712
2008-03-19,1.084377059986816,1.0682904620987936
2008-03-20,1.1354647330257088,1.0997040746642386
2008-03-24,1.1849044166117337,1.1213293876621897
2008-03-25,1.1855636123928806,1.0983382654222626
2008-03-26,1.169413315754779,1.0655588436148418
2008-03-27,1.1532630191166777,1.046209879353517
2008-03-28,1.1348055372445616,1.0239016617345778
2008-03-31,1.1522742254449572,1.0546323696790347
2008-04-01,1.162162162162162,1.0946961074436605
2008-04-02,1.1868820039551746,1.0744366036876851
2008-04-03,1.1736980883322348,1.0803551104029137
2008-04-04,1.1723796967699407,1.0767129524243113
2008-04-07,1.1789716545814108,1.0999317095379013
2008-04-08,1.1684245220830587,1.0764853175506488
2008-04-09,1.141067897165458,1.0682904620987936
2008-04-10,1.1420566908371785,1.0789893011609377
2008-04-11,1.0833882663150955,1.0746642385613476
2008-04-14,1.0702043506921555,1.0819485545185523
2008-04-15,1.0754779169413318,1.0671522877304804
2008-04-16,1.1008569545154911,1.050079672205782
2008-04-17,1.095583388266315,1.0478033234691555
2008-04-18,1.1038233355306526,1.0452993398588664
2008-04-21,1.114040870138431,1.0450717049852036
2008-04-22,1.0721819380355966,1.0198042340086502
2008-04-23,1.067897165458141,1.0147962667880719
2008-04-24,1.0580092287409362,1.0332346915547461
2008-04-25,1.060646011865524,1.0336899613020714
2008-04-28,1.0945945945945947,1.0528112906897338
2008-04-29,1.0817402768622282,1.0332346915547461
2008-04-30,1.0306526038233355,1.0439335306168904
2008-05-01,1.0102175346077784,1.0710220805827453
2008-05-02,0.9874752801582071,1.0662417482358297
2008-05-05,1.0095583388266314,1.0646483041201913
2008-05-06,1.0141727092946604,1.0216253129979513
2008-05-07,0.9907712590639419,0.9938538584111085
2008-05-08,0.992089650626236,0.999317095379012
2008-05-09,1.0,0.9920327794218073
2008-05-12,1.043506921555702,0.9981789210106988
2008-05-13,1.0553724456163482,1.0059185067152288
2008-05-14,1.030982201713909,1.0152515365353973
2008-05-15,1.0359261700725115,0.9965854768950604
2008-05-16,1.009228740936058,0.9886182563168677
2008-05-19,1.015820698747528,0.9877077168222171
2008-05-20,1.003955174686882,0.9790575916230366
2008-05-21,0.9943968358602505,0.9685863874345549
2008-05-22,1.019116677653263,0.9628955155929888
2008-05-23,1.004614370468029,0.9440018210789893
2008-05-27,1.023731048121292,0.93717277486911
2008-05-28,1.0306526038233355,0.937855679490098
2008-05-29,1.0346077785102175,0.958342818119736
2008-05-30,0.971654581410679,0.9517414067835193
2008-06-02,0.9087013843111404,0.9216936034600501
2008-06-03,0.8945286750164799,0.9321648076485318
2008-06-04,0.905075807514832,0.947416344183929
2008-06-05,0.926829268292683,0.959025722740724
2008-06-06,0.9024390243902439,0.9562941042567721
2008-06-09,0.9034278180619644,0.9542453903938084
2008-06-10,0.9116677653263019,0.949920327794218
2008-06-11,0.8998022412656559,0.9446847256999772
2008-06-12,0.9093605800922874,0.9449123605736398
2008-06-13,0.9073829927488465,0.9624402458456636
2008-06-16,0.8971654581410679,0.9706351012975188
2008-06-17,0.8826631509558339,0.9526519462781698
2008-06-18,0.8899143045484509,0.8977919417254723
2008-06-19,0.8869479235332894,0.8902799908946051
2008-06-20,0.8612392880685563,0.8547689506032323
2008-06-23,0.8628872775214239,0.8538584111085818
2008-06-24,0.8675016479894528,0.8579558388345094
2008-06-25,0.8707976268951879,0.862736171181425
2008-06-26,0.8206987475280157,0.8577282039608468
2008-06-27,0.7913645352669744,0.8411108581834738
2008-06-30,0.7982860909690178,0.8106077851126793
2008-07-01,0.7956493078444298,0.8015023901661735
2008-07-02,0.7821357943309163,0.7876166628727521
2008-07-03,0.7943309162821358,0.7962667880719325
2008-07-07,0.7956493078444298,0.7976325973139085
2008-07-08,0.8335530652603823,0.8181197359435465
2008-07-09,0.8160843770599868,0.7951286137036194
2008-07-10,0.8286090969017799,0.7673571591167767
2008-07-11,0.8157547791694133,0.7746414750739814
2008-07-14,0.8157547791694133,0.7655360801274755
