"","X1","PEP","CL","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,0.993389315704842,0.981390652048471,NA,0.316017316017316,0.125541125541126,0.710256566084184,0.082127920255312
"3",2009-01-06,0.995175987135966,0.95931909982689,NA,0.597402597402597,0.116883116883117,0.926960839898147,0.0230477248464638
"4",2009-01-07,0.962837234232625,0.950952106174264,NA,0.038961038961039,0.268398268398268,0.010703032834101,0.88863760764435
"5",2009-01-08,0.951402537073432,0.945470282746682,NA,0.173160173160173,0.354978354978355,0.124972980441843,0.667309178577762
"6",2009-01-09,0.93925317134179,0.936237738026544,NA,0.16017316017316,0.242424242424242,0.190720963016827,0.512235905730604
"7",2009-01-12,0.918170448454529,0.946191575302943,NA,0.0995670995670996,0.766233766233766,0.00833012638916297,0.980960763442005
"8",2009-01-13,0.933178488475969,0.929746105020196,NA,0.891774891774892,0.12987012987013,0.994957495468556,0.00608998889733803
"9",2009-01-14,0.91298910130427,0.906231967686094,NA,0.103896103896104,0.103896103896104,0.309970059349522,0.309970059349522
"10",2009-01-15,0.902805074146864,0.909694171956146,NA,0.199134199134199,0.614718614718615,0.0641506643604297,0.882701905386065
"11",2009-01-16,0.917813114168304,0.916618580496249,NA,0.9004329004329,0.714285714285714,0.924064194487479,0.293738748317437
"12",2009-01-20,0.901018402715741,0.902481246393537,NA,0.116883116883117,0.151515151515152,0.224274992826728,0.421136727684017
"13",2009-01-21,0.901197069858853,0.915031736872476,NA,0.562770562770563,0.835497835497836,0.235378229438205,0.907750236818502
"14",2009-01-22,0.899589065570842,0.902625504904789,NA,0.489177489177489,0.164502164502165,0.820697364138224,0.0674605778344315
"15",2009-01-23,0.904413078434876,0.889786497403347,NA,0.696969696969697,0.164502164502165,0.94296234282564,0.0319552802278144
"16",2009-01-26,0.918706449883866,0.891229082515869,NA,0.891774891774892,0.554112554112554,0.959511850466715,0.1524007129411
"17",2009-01-27,0.922637127032339,0.897576457010964,NA,0.670995670995671,0.705627705627706,0.555150507797398,0.650565015535114
"18",2009-01-28,0.929783812756834,0.921090594345066,NA,0.735930735930736,0.930735930735931,0.237689746219613,0.954689043072857
"19",2009-01-29,0.923351795604788,0.940854010386613,NA,0.303030303030303,0.917748917748918,0.0273672616556967,0.992053714052285
"20",2009-01-30,0.897445059853493,0.938257357184074,NA,0.0692640692640693,0.445887445887446,0.0138831022541951,0.91082708115988
"21",2009-02-02,0.895658388422369,0.928159261396423,NA,0.471861471861472,0.220779220779221,0.740002131346162,0.127199983890367
"22",2009-02-03,0.92049312131499,0.94864396999423,NA,0.952380952380952,0.922077922077922,0.842127139742176,0.55619561855177
"23",2009-02-04,0.919957119885653,0.924120023081362,NA,0.528138528138528,0.0952380952380952,0.915636204669993,0.019451703074053
"24",2009-02-05,0.935322494193318,0.92931332948644,NA,0.9004329004329,0.666666666666667,0.941250670423409,0.236633025344889
"25",2009-02-06,0.956405217080579,0.947201384881708,NA,0.935064935064935,0.9004329004329,0.823956828255126,0.568128149528858
"26",2009-02-09,0.918885117026979,0.925418349682631,NA,0.0173160173160173,0.103896103896104,0.0128734392031586,0.854570253464506
"27",2009-02-10,0.884938359835626,0.903635314483555,NA,0.025974025974026,0.103896103896104,0.0289778887383667,0.78016800668065
"28",2009-02-11,0.904234411291763,0.907386035776111,NA,0.935064935064935,0.623376623376623,0.979116867568677,0.128635995618698
"29",2009-02-12,0.929069144184384,0.91330063473745,NA,0.952380952380952,0.696969696969697,0.982624906304068,0.136934735394881
"30",2009-02-13,0.93925317134179,0.910703981534911,NA,0.805194805194805,0.437229437229437,0.920921956466123,0.153776959388286
"31",2009-02-17,0.925853135608362,0.881419503750721,NA,0.142857142857143,0.0606060606060606,0.640871058271799,0.0813470865393526
"32",2009-02-18,0.920671788458103,0.878390075014426,NA,0.341991341991342,0.41991341991342,0.32631379273098,0.529080458858278
"33",2009-02-19,0.932642487046632,0.875937680323139,NA,0.835497835497836,0.445887445887446,0.941181579942657,0.135706758016744
"34",2009-02-20,0.919242451313204,0.858049624927871,NA,0.142857142857143,0.125541125541126,0.367961979817048,0.268763578885498
"35",2009-02-23,0.896194389851706,0.842469705712637,NA,0.0779220779220779,0.125541125541126,0.156664106023601,0.500169861531694
"36",2009-02-24,0.923351795604788,0.858626658972879,NA,0.952380952380952,0.9004329004329,0.887061986160905,0.468798324351854
"37",2009-02-25,0.906199749866,0.849105597230237,NA,0.112554112554113,0.207792207792208,0.131956225722286,0.573028618146358
"38",2009-02-26,0.88297302126139,0.856030005770341,NA,0.0779220779220779,0.727272727272727,0.00603232920241037,0.979677574615474
"39",2009-02-27,0.860103626943005,0.868147720715522,NA,0.0779220779220779,0.83982683982684,0.00326598393309252,0.993416436993275
"40",2009-03-02,0.837055565481508,0.838718984420081,NA,0.0735930735930736,0.0562770562770563,0.408754715194931,0.211439327906583
"41",2009-03-03,0.865999642665714,0.826889786497403,NA,0.965367965367965,0.164502164502165,0.999393732754711,0.00286355295219942
"42",2009-03-04,0.850455601214937,0.84535487593768,NA,0.121212121212121,0.922077922077922,0.00367683504094718,0.997652790832404
"43",2009-03-05,0.821332856887618,0.808280438545874,NA,0.0346320346320346,0.0303030303030303,0.351713167725695,0.25297099374285
"44",2009-03-06,0.841522244059318,0.808568955568379,NA,0.948051948051948,0.515151515151515,0.992098764152131,0.0595423563474076
"45",2009-03-09,0.81847418259782,0.794143104443162,NA,0.0692640692640693,0.12987012987013,0.121594582093558,0.558576978469853
