"","X1","JNJ","MDLZ","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,0.990107172300082,1.01024140453548,NA,0.19047619047619,0.779220779220779,0.0285881189676399,0.956603585962413
"3",2009-01-06,0.984171475680132,1.01609363569861,NA,0.285714285714286,0.688311688311688,0.0956744107061864,0.868099957089284
"4",2009-01-07,0.974938169826876,1.01536210680322,NA,0.199134199134199,0.476190476190476,0.0873195074983949,0.772600045036887
"5",2009-01-08,0.973124484748557,1.02377468910022,NA,0.445887445887446,0.748917748917749,0.210838881827864,0.835319643882124
"6",2009-01-09,0.973619126133553,1.01609363569861,NA,0.545454545454545,0.298701298701299,0.727800663028598,0.160840784448198
"7",2009-01-12,0.961912613355318,1.04352596927579,"JNJ",0.16017316017316,0.926406926406926,0.00873483467915648,0.994493031402954
"8",2009-01-13,0.970156636438582,1.05413313825896,"JNJ",0.787878787878788,0.779220779220779,0.664041547584683,0.639850236030122
"9",2009-01-14,0.955482275350371,1.02377468910022,"JNJ",0.116883116883117,0.0606060606060606,0.61275675748239,0.109258549519759
"10",2009-01-15,0.950041220115416,1.02670080468178,"JNJ",0.294372294372294,0.601731601731602,0.132040688097781,0.78939688407873
"11",2009-01-16,0.947073371805441,1.04754937820044,"JNJ",0.38961038961039,0.887445887445887,0.0894080656078767,0.962475700116846
"12",2009-01-20,0.935696619950536,1.03218727139722,"JNJ",0.16017316017316,0.151515151515152,0.35656623899167,0.307986725273752
"13",2009-01-21,0.929266281945589,1.03621068032187,"JNJ",0.25974025974026,0.636363636363636,0.0910160370041242,0.846161577293801
"14",2009-01-22,0.937675185490519,1.05742501828822,"JNJ",0.805194805194805,0.896103896103896,0.531648360291433,0.83833985614691
"15",2009-01-23,0.922835943940643,1.04864667154353,"JNJ",0.108225108225108,0.281385281385281,0.064171091625936,0.74062677633458
"16",2009-01-26,0.93239901071723,1.05523043160205,"JNJ",0.818181818181818,0.701298701298701,0.78036165409944,0.474781836902829
"17",2009-01-27,0.948722176422094,1.06620336503292,"JNJ",0.896103896103896,0.779220779220779,0.856626580467653,0.484116962427233
"18",2009-01-28,0.965539983511954,1.08156547183614,"JNJ",0.904761904761905,0.835497835497836,0.830165138728837,0.574008798231174
"19",2009-01-29,0.960923330585326,1.07095830285296,"JNJ",0.329004329004329,0.272727272727273,0.462753908873186,0.285917712565281
"20",2009-01-30,0.951195383347073,1.02596927578639,"JNJ",0.186147186147186,0.025974025974026,0.918847609922385,0.00671142917070133
"21",2009-02-02,0.951195383347073,1.03291880029261,"JNJ",0.541125541125541,0.70995670995671,0.352102219872665,0.732227161961696
"22",2009-02-03,0.965869744435284,1.0512070226774,"JNJ",0.887445887445887,0.87012987012987,0.752173363602567,0.684852788626551
"23",2009-02-04,0.955647155812036,0.955010972933431,NA,0.173160173160173,0,0.9999999999,1e-10
"24",2009-02-05,0.958120362737016,0.950987564008778,NA,0.627705627705628,0.385281385281385,0.742546215494982,0.215100667659036
"25",2009-02-06,0.964715581203627,0.963423555230432,NA,0.748917748917749,0.831168831168831,0.53560089838916,0.766474921489557
"26",2009-02-09,0.964550700741962,0.94659839063643,NA,0.506493506493506,0.125541125541126,0.884678093917165,0.0286312174031332
"27",2009-02-10,0.935366859027205,0.913679590343819,NA,0.051948051948052,0.051948051948052,0.320905434497792,0.320905434497792
"28",2009-02-11,0.945259686727123,0.918434528163863,NA,0.818181818181818,0.662337662337662,0.805220542671835,0.416224062969751
"29",2009-02-12,0.952679307502061,0.931602048280907,NA,0.787878787878788,0.835497835497836,0.598207843906568,0.740346234585735
"30",2009-02-13,0.941467436108821,0.921726408193124,NA,0.164502164502165,0.246753246753247,0.184599913565092,0.530143254747046
"31",2009-02-17,0.923000824402308,0.904169714703731,NA,0.0865800865800866,0.116883116883117,0.207709994876517,0.459505777148937
"32",2009-02-18,0.920527617477329,0.889539136795903,NA,0.406926406926407,0.134199134199134,0.808951729811396,0.0501429692473534
"33",2009-02-19,0.922176422093982,0.889904901243599,NA,0.601731601731602,0.523809523809524,0.594945556206363,0.415198027172449
"34",2009-02-20,0.901071723000824,0.859912216532553,NA,0.0735930735930736,0.051948051948052,0.477552750103237,0.189677622115431
"35",2009-02-23,0.884583676834295,0.83979517190929,NA,0.0865800865800866,0.0865800865800866,0.323117182286226,0.323117182286226
"36",2009-02-24,0.899258037922506,0.867593269934162,NA,0.887445887445887,0.943722943722944,0.588201939214517,0.8699335757627
"37",2009-02-25,0.889694971145919,0.871982443306511,NA,0.173160173160173,0.649350649350649,0.0357970894287196,0.912720306073716
"38",2009-02-26,0.864633140972795,0.836503291880029,NA,0.0562770562770563,0.0432900432900433,0.437746021202279,0.218041604687195
"39",2009-02-27,0.824402308326463,0.833211411850768,NA,0.012987012987013,0.393939393939394,0.00029043089078451,0.98877760017092
"40",2009-03-02,0.790107172300083,0.809070958302853,NA,0.0216450216450216,0.0606060606060606,0.05094781923553,0.739465960977452
"41",2009-03-03,0.785490519373454,0.802487198244331,NA,0.29004329004329,0.285714285714286,0.373683533687889,0.359486386430686
"42",2009-03-04,0.809563066776587,0.802852962692026,NA,0.961038961038961,0.523809523809524,0.988341325801837,0.0949683880107659
"43",2009-03-05,0.78598516075845,0.768105340160936,NA,0.0562770562770563,0.0216450216450216,0.716540795382605,0.0594271486137851
"44",2009-03-06,0.790931574608409,0.790782735918069,NA,0.735930735930736,0.935064935064935,0.328714738986786,0.937696607265761
