,MDCA,HOG
2008-02-01,1.0,1.0
2008-02-04,1.042892156862745,0.9787545787545786
2008-02-05,0.9987745098039216,0.9274725274725273
2008-02-06,0.9877450980392157,0.9194139194139194
2008-02-07,1.0171568627450982,0.9286935286935286
2008-02-08,0.9975490196078431,0.9025641025641026
2008-02-11,0.9901960784313726,0.9118437118437118
2008-02-12,1.0024509803921569,0.9514041514041514
2008-02-13,0.9987745098039216,0.9533577533577533
2008-02-14,0.9828431372549019,0.9221001221001219
2008-02-15,0.9803921568627451,0.9201465201465201
2008-02-19,0.954656862745098,0.9291819291819291
2008-02-20,0.946078431372549,0.9301587301587302
2008-02-21,0.9583333333333334,0.9164835164835164
2008-02-22,0.9767156862745098,0.9382173382173382
2008-02-25,1.0012254901960784,0.95995115995116
2008-02-26,1.0453431372549018,0.9663003663003662
2008-02-27,1.025735294117647,0.9743589743589742
2008-02-28,1.0416666666666667,0.9609279609279608
2008-02-29,0.9889705882352942,0.9074481074481073
2008-03-03,1.0012254901960784,0.9052503052503051
2008-03-04,1.0049019607843137,0.8935286935286936
2008-03-05,1.0012254901960784,0.8866227106227106
2008-03-06,0.9926470588235293,0.8744810744810745
2008-03-07,0.9926470588235293,0.8559218559218558
2008-03-10,0.9656862745098039,0.8468864468864469
2008-03-11,0.9656862745098039,0.8954822954822954
2008-03-12,0.9252450980392156,0.8862026862026862
2008-03-13,0.9154411764705882,0.8986568986568986
2008-03-14,0.8725490196078431,0.8647130647130645
2008-03-17,0.8578431372549019,0.8522588522588521
2008-03-18,0.8602941176470588,0.8993894993894993
2008-03-19,0.8382352941176471,0.8732600732600732
2008-03-20,0.8651960784313725,0.9335775335775335
2008-03-24,0.8578431372549019,0.9926739926739926
2008-03-25,0.8578431372549019,0.9692307692307691
2008-03-26,0.8553921568627452,0.9516483516483516
2008-03-27,0.8700980392156862,0.9489621489621489
2008-03-28,0.8602941176470588,0.9262515262515262
2008-03-31,0.8909313725490196,0.9157509157509157
2008-04-01,0.8529411764705882,0.955067155067155
2008-04-02,0.9325980392156863,0.9614163614163613
2008-04-03,0.9227941176470589,0.9619047619047618
2008-04-04,0.9718137254901961,0.9577533577533577
2008-04-07,0.9399509803921569,0.9626373626373627
2008-04-08,0.9779411764705883,0.9606837606837607
2008-04-09,0.9791666666666666,0.9201465201465201
2008-04-10,0.9852941176470587,0.9260073260073259
2008-04-11,0.9681372549019608,0.905006105006105
2008-04-14,0.9362745098039215,0.8652014652014651
2008-04-15,0.9191176470588235,0.8761904761904762
2008-04-16,0.9497549019607843,0.8984126984126983
2008-04-17,0.9681372549019608,0.8813186813186813
2008-04-18,0.9840686274509803,0.9221001221001219
2008-04-21,0.9803921568627451,0.9157509157509157
2008-04-22,0.9436274509803921,0.9108669108669107
2008-04-23,0.9852941176470587,0.9177045177045176
2008-04-24,0.9779411764705883,0.94017094017094
2008-04-25,0.9656862745098039,0.9609279609279608
2008-04-28,0.9705882352941176,0.9658119658119657
2008-04-29,0.9803921568627451,0.963125763125763
2008-04-30,1.0061274509803921,0.934065934065934
2008-05-01,1.0465686274509802,0.9653235653235653
2008-05-02,1.090686274509804,0.9533577533577533
2008-05-05,1.0784313725490198,0.9448107448107447
2008-05-06,1.0612745098039216,0.9577533577533577
2008-05-07,1.0894607843137256,0.9294261294261295
2008-05-08,1.0649509803921569,0.9326007326007325
2008-05-09,1.0747549019607843,0.9291819291819291
2008-05-12,1.0686274509803921,0.9531135531135531
2008-05-13,1.025735294117647,0.9526251526251525
2008-05-14,1.0355392156862744,0.9606837606837607
2008-05-15,1.0159313725490196,0.9746031746031745
2008-05-16,0.9754901960784313,0.9755799755799756
2008-05-19,0.9730392156862745,0.996092796092796
2008-05-20,0.9607843137254901,0.9775335775335775
2008-05-21,0.9730392156862745,0.9487179487179487
2008-05-22,0.9534313725490197,0.9536019536019534
2008-05-23,0.9313725490196078,0.9264957264957264
2008-05-27,0.9240196078431372,0.9511599511599511
2008-05-28,0.9325980392156863,0.9672771672771672
2008-05-29,0.928921568627451,0.9894993894993895
2008-05-30,0.9473039215686275,1.015140415140415
2008-06-02,0.9987745098039216,0.9892551892551892
2008-06-03,0.9779411764705883,0.9765567765567765
2008-06-04,1.0232843137254901,0.9877899877899878
2008-06-05,1.025735294117647,1.000976800976801
2008-06-06,0.9987745098039216,0.9716727716727716
2008-06-09,1.0465686274509802,0.9521367521367521
2008-06-10,1.0110294117647058,0.9523809523809523
2008-06-11,0.9705882352941176,0.9201465201465201
2008-06-12,0.9644607843137255,0.9301587301587302
2008-06-13,0.9681372549019608,0.9506715506715506
2008-06-16,0.9644607843137255,0.9567765567765567
2008-06-17,0.9571078431372548,0.9506715506715506
2008-06-18,0.928921568627451,0.9113553113553113
2008-06-19,0.9203431372549019,0.9362637362637363
2008-06-20,0.9191176470588235,0.9094017094017094
2008-06-23,0.9080882352941176,0.9081807081807081
2008-06-24,0.9080882352941176,0.9108669108669107
2008-06-25,0.900735294117647,0.9081807081807081
2008-06-26,0.8566176470588236,0.8854700854700853
2008-06-27,0.8492647058823529,0.8945054945054945
2008-06-30,0.8799019607843137,0.8854700854700853
2008-07-01,0.8553921568627452,0.8991452991452991
2008-07-02,0.8308823529411765,0.8661782661782661
2008-07-03,0.829656862745098,0.8678876678876678
2008-07-07,0.8272058823529411,0.8737484737484738
2008-07-08,0.8149509803921569,0.8935286935286936
2008-07-09,0.8075980392156863,0.8490842490842491
2008-07-10,0.8247549019607844,0.8229548229548229
2008-07-11,0.863970588235294,0.8139194139194138
