,RGS,PKY
2008-02-01,1.0,1.0
2008-02-04,0.9976940814757879,1.0055478502080444
2008-02-05,0.9738662567255957,0.9844660194174759
2008-02-06,0.9723289777094543,1.0019417475728156
2008-02-07,0.9807840122982321,1.0205270457697642
2008-02-08,0.961183704842429,0.9894590846047158
2008-02-11,0.9619523443504997,0.9766990291262136
2008-02-12,0.9700230591852421,0.9944521497919557
2008-02-13,0.9976940814757879,1.0216366158113732
2008-02-14,0.9715603382013837,0.9944521497919557
2008-02-15,0.9711760184473482,0.9963938973647712
2008-02-19,0.9684857801691007,0.9961165048543689
2008-02-20,0.9846272098385858,0.9972260748959779
2008-02-21,0.9654112221368178,0.9889042995839112
2008-02-22,0.9792467332820908,0.9747572815533981
2008-02-25,0.9869331283627979,1.0080443828016645
2008-02-26,0.9965411222136817,1.0094313453536756
2008-02-27,0.994619523443505,0.9855755894590847
2008-02-28,0.9830899308224442,0.9944521497919557
2008-02-29,0.9627209838585704,0.9916782246879335
2008-03-03,0.9650269023827824,1.0091539528432734
2008-03-04,0.9669485011529593,1.0122052704576978
2008-03-05,0.9607993850883936,1.0030513176144245
2008-03-06,0.9312067640276711,0.974479889042996
2008-03-07,0.9604150653343582,0.9680998613037448
2008-03-10,0.9346656418139893,0.9425797503467406
2008-03-11,0.9800153727901614,0.9908460471567269
2008-03-12,0.9634896233666411,0.9728155339805826
2008-03-13,0.9754035357417371,1.0024965325936201
2008-03-14,0.9723289777094543,0.993619972260749
2008-03-17,0.9684857801691007,0.9778085991678226
2008-03-18,1.0188316679477325,1.0263522884882108
2008-03-19,1.0126825518831668,1.0194174757281553
2008-03-20,1.0395849346656418,1.0349514563106799
2008-03-24,1.0830130668716371,1.050485436893204
2008-03-25,1.0845503458877785,1.0701803051317615
2008-03-26,1.0691775557263643,1.0751733703190014
2008-03-27,1.056879323597233,1.0363384188626907
2008-03-28,1.047271329746349,1.0263522884882108
2008-03-31,1.0564950038431975,1.025242718446602
2008-04-01,1.110684089162183,1.0970873786407767
2008-04-02,1.1091468101460416,1.1095700416088767
2008-04-03,1.0868562644119908,1.1184466019417476
2008-04-04,1.0887778631821676,1.1203883495145632
2008-04-07,1.090315142198309,1.1056865464632455
2008-04-08,1.0833973866256725,1.0920943134535368
2008-04-09,1.0684089162182937,1.0687933425797504
2008-04-10,1.0737893927747888,1.0818307905686548
2008-04-11,1.0392006149116064,1.0638002773925106
2008-04-14,1.0242121445042274,1.071844660194175
2008-04-15,1.0476556495003844,1.1006934812760056
2008-04-16,1.0457340507302075,1.114008321775312
2008-04-17,1.0511145272867026,1.1192787794729544
2008-04-18,1.0841660261337434,1.1170596393897367
2008-04-21,1.0780169100691777,1.1192787794729544
2008-04-22,1.0438124519600307,1.1070735090152566
2008-04-23,1.0676402767102229,1.112621359223301
2008-04-24,1.0980015372790162,1.1209431345353675
2008-04-25,1.105303612605688,1.117614424410541
2008-04-28,1.1152959262106072,1.0981969486823857
2008-04-29,1.1122213681783244,1.093481276005548
2008-04-30,1.1222136817832435,1.100138696255201
2008-05-01,1.146041506533436,1.1051317614424412
2008-05-02,1.1395080707148346,1.1262135922330099
2008-05-05,1.1137586471944658,1.1262135922330099
2008-05-06,1.1245196003074558,1.10624133148405
2008-05-07,1.0872405841660262,1.085991678224688
2008-05-08,1.090315142198309,1.0760055478502082
2008-05-09,1.090315142198309,1.0676837725381416
2008-05-12,1.1345119139123752,1.084604715672677
2008-05-13,1.174096848578017,1.0901525658807212
2008-05-14,1.1717909300538047,1.0843273231622748
2008-05-15,1.1871637202152192,1.085991678224688
2008-05-16,1.1829362029208301,1.084882108183079
2008-05-19,1.1733282090699462,1.0873786407766992
2008-05-20,1.175249807840123,1.0818307905686548
2008-05-21,1.1479631053036126,1.0790568654646324
2008-05-22,1.1598770176787088,1.074618585298197
2008-05-23,1.1414296694850115,1.0679611650485439
2008-05-27,1.1606456571867794,1.0693481276005548
2008-05-28,1.1664104534973099,1.0626907073509018
2008-05-29,1.1879323597232898,1.0662968099861303
2008-05-30,1.1660261337432745,1.0546463245492372
2008-06-02,1.1583397386625673,1.050485436893204
2008-06-03,1.1529592621060722,1.0640776699029126
2008-06-04,1.166794773251345,1.0804438280166437
2008-06-05,1.191391237509608,1.102357836338419
2008-06-06,1.1429669485011529,1.0407766990291263
2008-06-09,1.133358954650269,1.00998613037448
2008-06-10,1.1602613374327442,1.001109570041609
2008-06-11,1.121445042275173,0.9902912621359224
2008-06-12,1.1299000768639507,0.9925104022191402
2008-06-13,1.1533435818601077,1.0130374479889044
2008-06-16,1.164488854727133,1.0402219140083218
2008-06-17,1.1587240584166025,0.9969486823855757
2008-06-18,1.1479631053036126,1.0
2008-06-19,1.159108378170638,1.0083217753120668
2008-06-20,1.1137586471944658,1.003883495145631
2008-06-23,1.0760953112990008,0.9730929264909848
2008-06-24,1.0530361260568792,0.9536754507628296
2008-06-25,1.0664873174481169,0.9653259361997226
2008-06-26,1.0415065334358187,0.9381414701803052
2008-06-27,1.0338201383551113,0.935367545076283
2008-06-30,1.0126825518831668,0.9356449375866851
2008-07-01,1.0295926210607225,0.9539528432732317
2008-07-02,1.0226748654880862,0.9226074895977808
2008-07-03,1.0188316679477325,0.9248266296809988
2008-07-07,1.018447348193697,0.9337031900138696
2008-07-08,1.049577248270561,0.9761442441054091
2008-07-09,1.0303612605687933,0.9045769764216367
2008-07-10,1.0230591852421216,0.9084604715672677
2008-07-11,0.9907763259031515,0.9237170596393898
2008-07-14,0.9661798616448886,0.8923717059639391
