"","X1","OSUR","ICON","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,0.997267759562841,1.00732217573222,NA,0.523809523809524,0.636363636363636,0.449997680274951,0.658668263330326
"3",2009-01-06,1.01912568306011,1.02301255230126,NA,0.748917748917749,0.696969696969697,0.707495684092892,0.598456436640469
"4",2009-01-07,0.96448087431694,0.997907949790795,NA,0.125541125541126,0.268398268398268,0.136667844078909,0.474884073287983
"5",2009-01-08,1.01092896174863,1.01673640167364,NA,0.883116883116883,0.731601731601732,0.875202882142472,0.514008915978903
"6",2009-01-09,0.87431693989071,0.945606694560669,NA,0.0173160173160173,0.0649350649350649,0.0463187679582149,0.382963570993744
"7",2009-01-12,0.860655737704918,0.927824267782427,NA,0.367965367965368,0.32034632034632,0.439340039194896,0.346124567238545
"8",2009-01-13,0.877049180327869,0.957112970711297,NA,0.744588744588745,0.80952380952381,0.614459370072853,0.763139991032997
"9",2009-01-14,0.844262295081967,0.860878661087866,NA,0.203463203463203,0.0216450216450216,0.607507148196222,0.0179518970219694
"10",2009-01-15,0.909836065573771,0.872384937238494,NA,0.935064935064935,0.683982683982684,0.950801067632168,0.381524509508861
"11",2009-01-16,0.931693989071038,0.911087866108787,NA,0.761904761904762,0.865800865800866,0.579439225466427,0.835966214515313
"12",2009-01-20,0.729508196721311,0.842050209205021,NA,0,0.051948051948052,1e-10,0.845273361981113
"13",2009-01-21,0.852459016393443,0.917364016736402,NA,0.982683982683983,0.961038961038961,0.923504151138187,0.718978674038989
"14",2009-01-22,0.770491803278688,0.900627615062761,"OSUR",0.0476190476190476,0.333333333333333,0.0306474690856908,0.663747483652665
"15",2009-01-23,0.734972677595628,0.893305439330544,"OSUR",0.151515151515152,0.441558441558442,0.11159165611928,0.651622890225773
"16",2009-01-26,0.814207650273224,0.913179916317992,"OSUR",0.961038961038961,0.744588744588745,0.969124424082643,0.392592158594771
"17",2009-01-27,0.871584699453552,0.923640167364017,"OSUR",0.922077922077922,0.662337662337662,0.941158885861938,0.37870449563514
"18",2009-01-28,0.948087431693989,0.962343096234309,"OSUR",0.939393939393939,0.861471861471861,0.900272261334767,0.620733720868051
"19",2009-01-29,0.885245901639344,0.913179916317992,"OSUR",0.0735930735930736,0.116883116883117,0.143879198433662,0.304603567860852
"20",2009-01-30,0.786885245901639,0.865062761506276,"OSUR",0.0303030303030303,0.112554112554113,0.052316431877968,0.42742903641063
"21",2009-02-02,0.765027322404372,0.821129707112971,"OSUR",0.25974025974026,0.116883116883117,0.474067330274767,0.12842670929309
"22",2009-02-03,0.789617486338798,0.832635983263598,"OSUR",0.818181818181818,0.683982683982684,0.809196292232983,0.521493275877377
"23",2009-02-04,0.699453551912568,0.824267782426778,"OSUR",0.025974025974026,0.424242424242424,0.0106328624497197,0.762960472466949
"24",2009-02-05,0.680327868852459,0.876569037656904,"OSUR",0.25974025974026,0.922077922077922,0.107455484949496,0.970984543688165
"25",2009-02-06,0.759562841530055,0.899581589958159,"OSUR",0.961038961038961,0.787878787878788,0.962466380263541,0.442876922946747
"26",2009-02-09,0.726775956284153,0.911087866108787,"OSUR",0.177489177489178,0.67965367965368,0.0905491440802113,0.83758258140894
"27",2009-02-10,0.69672131147541,0.890167364016736,"OSUR",0.181818181818182,0.277056277056277,0.211213687805869,0.425051102326883
"28",2009-02-11,0.691256830601093,0.927824267782427,"OSUR",0.467532467532468,0.865800865800866,0.254604913856248,0.921290145908431
"29",2009-02-12,0.926229508196721,0.975941422594142,"OSUR",1,0.891774891774892,0.9999999999,0.154009842888479
"30",2009-02-13,0.83879781420765,0.967573221757322,"OSUR",0.0476190476190476,0.432900432900433,0.0235440255767234,0.739481657591617
"31",2009-02-17,0.789617486338798,0.904811715481172,"OSUR",0.108225108225108,0.0692640692640693,0.294782805805953,0.143055885139373
"32",2009-02-18,0.792349726775956,0.918410041841004,"OSUR",0.584415584415584,0.692640692640693,0.490376725645258,0.697323527603323
"33",2009-02-19,0.792349726775956,0.892259414225941,"OSUR",0.562770562770563,0.255411255411255,0.708784789041521,0.181857258920553
"34",2009-02-20,0.765027322404372,0.884937238493724,"OSUR",0.203463203463203,0.432900432900433,0.169638023596866,0.603145184838196
"35",2009-02-23,0.73224043715847,0.904811715481172,"OSUR",0.177489177489178,0.744588744588745,0.0827139733474171,0.879955734531145
"36",2009-02-24,0.765027322404372,0.893305439330544,"OSUR",0.857142857142857,0.393939393939394,0.92450574109015,0.202768186935952
"37",2009-02-25,0.726775956284153,0.804393305439331,"OSUR",0.138528138528139,0.0216450216450216,0.520039401062134,0.027375450837789
"38",2009-02-26,0.707650273224044,0.806485355648536,"OSUR",0.272727272727273,0.584415584415584,0.192124103206079,0.721917301438907
"39",2009-02-27,0.699453551912568,0.847280334728033,"OSUR",0.411255411255411,0.887445887445887,0.201950913190363,0.943840271815334
"40",2009-03-02,0.672131147540984,0.832635983263598,"OSUR",0.19047619047619,0.337662337662338,0.191974362391726,0.498901667020785
"41",2009-03-03,0.633879781420765,0.768828451882845,"OSUR",0.125541125541126,0.051948051948052,0.376447073621484,0.0907086099199628
"42",2009-03-04,0.663934426229508,0.780334728033473,"OSUR",0.883116883116883,0.692640692640693,0.889486360720208,0.463394664381989
"43",2009-03-05,0.617486338797814,0.711297071129707,"OSUR",0.0735930735930736,0.0303030303030303,0.329117365348961,0.0790821180647904
"44",2009-03-06,0.633879781420765,0.748953974895398,"OSUR",0.774891774891775,0.891774891774892,0.563975550341074,0.868079486191864
