,PAG,HOT
2008-02-01,1.0,1.0
2008-02-04,0.9455231930960087,0.9888674801969599
2008-02-05,0.9341963322545848,0.9965746092913722
2008-02-06,0.9142394822006472,0.9826589595375722
2008-02-07,0.9433656957928802,0.9815885249411261
2008-02-08,0.9444444444444445,0.9736673089274245
2008-02-11,0.9757281553398058,0.9899379147934061
2008-02-12,0.9692556634304207,1.0248340826375508
2008-02-13,1.011866235167206,1.0280453864268895
2008-02-14,0.970873786407767,1.0134874759152217
2008-02-15,0.9703344120819849,1.028687647184757
2008-02-19,0.9978425026968717,1.0282594733461785
2008-02-20,1.035598705501618,1.0473132091629203
2008-02-21,1.0329018338727076,1.0438878184542923
2008-02-22,1.0129449838187703,1.0648683365446372
2008-02-25,1.0453074433656957,1.0631556411903231
2008-02-26,1.0625674217907228,1.0682937272532649
2008-02-27,1.034519956850054,1.0674373795761078
2008-02-28,1.0151024811218987,1.0235495611218155
2008-02-29,0.9730312837108953,1.0132733889959322
2008-03-03,0.9773462783171522,1.0160565189466924
2008-03-04,0.9660194174757282,1.0903446799400556
2008-03-05,0.982740021574973,1.0843502461999572
2008-03-06,0.9724919093851134,1.0363947762791692
2008-03-07,0.9741100323624595,1.0485977306786554
2008-03-10,0.9546925566343042,1.0308285163776494
2008-03-11,0.9935275080906151,1.0644401627060587
2008-03-12,0.988133764832794,1.0644401627060587
2008-03-13,1.0140237324703345,1.0843502461999572
2008-03-14,0.9908306364617046,1.0854206807964033
2008-03-17,0.9735706580366775,1.0490259045172339
2008-03-18,1.0026968716289104,1.0682937272532649
2008-03-19,1.005933117583603,1.0605865981588525
2008-03-20,1.0480043149946063,1.1113251980304002
2008-03-24,1.0922330097087378,1.1903232712481266
2008-03-25,1.0604099244875944,1.1530721472918004
2008-03-26,1.09277238403452,1.1280239777349603
2008-03-27,1.0604099244875944,1.0937700706486835
2008-03-28,1.0312837108953614,1.1023335474202527
2008-03-31,1.0496224379719525,1.1078998073217725
2008-04-01,1.0652642934196332,1.158210233354742
2008-04-02,1.0949298813376485,1.1597088417897667
2008-04-03,1.1181229773462784,1.1256690216227787
2008-04-04,1.116504854368932,1.1179618925283665
2008-04-07,1.104099244875944,1.098051809034468
2008-04-08,1.0857605177993528,1.0929137229715264
2008-04-09,1.0512405609492987,1.056518946692357
2008-04-10,1.0787486515641855,1.0781417255405694
2008-04-11,1.0388349514563109,1.051809034467994
2008-04-14,1.0156418554476807,1.0413187754228217
2008-04-15,1.0323624595469256,1.0278312995076
2008-04-16,1.1073354908306365,1.0500963391136802
2008-04-17,1.098705501618123,1.0507385998715477
2008-04-18,1.1192017259978426,1.078569899379148
2008-04-21,1.1046386192017261,1.0586598158852494
2008-04-22,1.0900755124056096,1.0423892100192678
2008-04-23,1.080906148867314,1.0622992935131663
2008-04-24,1.1181229773462784,1.1344465853136374
2008-04-25,1.1434735706580368,1.1380860629415541
2008-04-28,1.1477885652642936,1.1263112823806465
2008-04-29,1.1833872707659117,1.1089702419182188
2008-04-30,1.1289104638619203,1.1177478056090773
2008-05-01,1.1407766990291262,1.1663455362877326
2008-05-02,1.1558791801510249,1.1624919717405267
2008-05-05,1.1272923408845739,1.1430100620852066
2008-05-06,1.127831715210356,1.1616356240633696
2008-05-07,1.1046386192017261,1.1224577178334403
2008-05-08,1.0852211434735708,1.1224577178334403
2008-05-09,1.0830636461704422,1.1160351102547634
2008-05-12,1.1078748651564185,1.1380860629415541
2008-05-13,1.1024811218985977,1.123099978591308
2008-05-14,1.121898597626753,1.1432241490044959
2008-05-15,1.145631067961165,1.1500749304217512
2008-05-16,1.134843581445523,1.1348747591522157
2008-05-19,1.1434735706580368,1.1158210233354742
2008-05-20,1.1332254584681771,1.097195461357311
2008-05-21,1.1019417475728155,1.0706486833654463
2008-05-22,1.1030204962243797,1.0738599871547847
2008-05-23,1.110032362459547,1.0449582530507386
2008-05-27,1.1262135922330097,1.0483836437593663
2008-05-28,1.1375404530744337,1.0721472918004709
2008-05-29,1.1272923408845739,1.0524512952258616
2008-05-30,1.1267529665587919,1.0361806893598802
2008-06-02,1.0733549083063645,0.9925069578248769
2008-06-03,1.0620280474649408,0.9897238278741168
2008-06-04,1.04638619201726,1.0244059087989723
2008-06-05,1.0550161812297734,1.0500963391136802
2008-06-06,0.994066882416397,0.9845857418111753
2008-06-09,0.9714131607335492,0.9636052237208306
2008-06-10,0.9600862998921252,0.9910083493898523
2008-06-11,0.9266450916936354,0.9578248769000214
2008-06-12,0.9444444444444445,0.9833012202954399
2008-06-13,0.9325782092772384,1.001926782273603
2008-06-16,0.9406688241639699,1.0329693855705415
2008-06-17,0.9002157497303129,1.0068507814172554
2008-06-18,0.8511326860841424,0.9800899165061014
2008-06-19,0.8700107874865156,0.9811603511025476
2008-06-20,0.860302049622438,0.9514022693213444
2008-06-23,0.8387270765911543,0.915863840719332
2008-06-24,0.8155339805825242,0.899165061014772
2008-06-25,0.8505933117583603,0.9214301006208521
2008-06-26,0.819848975188781,0.8743309783772212
2008-06-27,0.8090614886731392,0.8619139370584457
2008-06-30,0.7950377562028048,0.8578462855919503
2008-07-01,0.7955771305285869,0.827874116891458
2008-07-02,0.7648327939590076,0.7987582958681225
2008-07-03,0.7653721682847896,0.8026118604153286
2008-07-07,0.7464940668824164,0.8083922072361378
2008-07-08,0.7610571736785329,0.8484264611432242
2008-07-09,0.7578209277238405,0.8006850781417255
2008-07-10,0.7313915857605179,0.7610789980732177
2008-07-11,0.7055016181229774,0.7313209162920145
2008-07-14,0.6796116504854369,0.6771569257118389
