"","X1","TJX","DHR","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,0.992575406032483,0.984602076124568,NA,0.415584415584416,0.220779220779221,0.691758938275844,0.16278783041501
"3",2009-01-06,1.00742459396752,0.999134948096886,NA,0.753246753246753,0.800865800865801,0.549177832988765,0.718397516811945
"4",2009-01-07,1.00742459396752,0.972318339100346,NA,0.515151515151515,0.12987012987013,0.865921925004687,0.0444745843849104
"5",2009-01-08,0.997215777262181,0.960899653979239,NA,0.372294372294372,0.281385281385281,0.55202337559915,0.286964363110266
"6",2009-01-09,0.965197215777262,0.944982698961938,NA,0.112554112554113,0.212121212121212,0.146704481407495,0.556357573907482
"7",2009-01-12,0.957772621809745,0.944290657439446,NA,0.406926406926407,0.480519480519481,0.373986849726326,0.572959483285346
"8",2009-01-13,0.94338747099768,0.917128027681661,NA,0.277056277056277,0.108225108225108,0.67572919659395,0.0932913665437982
"9",2009-01-14,0.908584686774942,0.915397923875433,NA,0.0909090909090909,0.463203463203463,0.029682691219174,0.865798493064463
"10",2009-01-15,0.937354988399072,0.936505190311419,NA,0.896103896103896,0.883116883116883,0.733769264320684,0.660335084420998
"11",2009-01-16,0.958236658932714,0.933044982698962,NA,0.822510822510823,0.424242424242424,0.938593544811542,0.126720515301834
"12",2009-01-20,0.906264501160093,0.892214532871972,NA,0.0432900432900433,0.0476190476190476,0.235262283898098,0.284614780150944
"13",2009-01-21,0.926218097447796,0.903460207612457,NA,0.818181818181818,0.761904761904762,0.74207045628168,0.536088639468234
"14",2009-01-22,0.937819025522042,0.895155709342561,NA,0.696969696969697,0.32034632034632,0.887541809931167,0.117571162241272
"15",2009-01-23,0.924361948955917,0.88840830449827,NA,0.29004329004329,0.346320346320346,0.329051554534016,0.497303530795632
"16",2009-01-26,0.938747099767981,0.970934256055363,NA,0.757575757575758,0.995670995670996,0.0932446183380415,0.999263679067446
"17",2009-01-27,0.940139211136891,0.99083044982699,NA,0.528138528138528,0.87012987012987,0.161225009706777,0.947885496259
"18",2009-01-28,0.968445475638051,0.99878892733564,NA,0.887445887445887,0.683982683982684,0.919125285995812,0.281442169509513
"19",2009-01-29,0.930394431554524,0.980795847750865,NA,0.0779220779220779,0.212121212121212,0.0823106126302608,0.646457499042127
"20",2009-01-30,0.901160092807425,0.967647058823529,NA,0.116883116883117,0.255411255411255,0.119551197728931,0.624916849640174
"21",2009-02-02,0.903480278422274,0.96159169550173,NA,0.554112554112554,0.367965367965368,0.71761013642804,0.249693807337251
"22",2009-02-03,0.919257540603248,0.971626297577855,NA,0.766233766233766,0.722943722943723,0.689892218219952,0.546412782981869
"23",2009-02-04,0.924361948955917,0.97681660899654,NA,0.601731601731602,0.636363636363636,0.508308625419977,0.606170459471282
"24",2009-02-05,1.02366589327146,1.00294117647059,NA,1,0.909090909090909,0.9999999999,0.0465935161404578
"25",2009-02-06,1.05893271461717,1.01280276816609,NA,0.904761904761905,0.70995670995671,0.929715400575449,0.281786123530372
"26",2009-02-09,1.04408352668213,1.00207612456747,NA,0.294372294372294,0.303030303030303,0.388661398922795,0.415486981600055
"27",2009-02-10,1.00835266821346,0.966955017301038,NA,0.103896103896104,0.0865800865800866,0.349376337629545,0.240366443824032
"28",2009-02-11,1.01299303944316,0.975432525951557,NA,0.593073593073593,0.696969696969697,0.420493692333741,0.712851536222256
"29",2009-02-12,1.01809744779582,0.975086505190311,NA,0.597402597402597,0.489177489177489,0.663429199863669,0.376334347955068
"30",2009-02-13,1.00417633410673,0.975432525951557,NA,0.298701298701299,0.523809523809524,0.187719653383119,0.742704143850319
"31",2009-02-17,0.994431554524362,0.934602076124568,NA,0.372294372294372,0.051948051948052,0.857581658575859,0.0172268046822583
"32",2009-02-18,0.991647331786543,0.932352941176471,NA,0.484848484848485,0.458874458874459,0.521753567167919,0.451195893043768
"33",2009-02-19,0.990719257540603,0.920415224913495,NA,0.502164502164502,0.268398268398268,0.745428603170691,0.166687101819476
"34",2009-02-20,0.988399071925754,0.907266435986159,NA,0.489177489177489,0.233766233766234,0.76307945960043,0.136276046783832
"35",2009-02-23,0.964733178654292,0.888062283737024,NA,0.186147186147186,0.168831168831169,0.375822712098493,0.304876057690657
"36",2009-02-24,0.99953596287703,0.909861591695502,NA,0.917748917748918,0.891774891774892,0.784268702068535,0.621386936863339
"37",2009-02-25,1.07285382830626,0.898442906574395,"DHR",0.991341991341991,0.272727272727273,0.999332335302383,0.0342973140842539
"38",2009-02-26,1.04315545243619,0.890138408304498,"DHR",0.142857142857143,0.32034632034632,0.117767207195723,0.673803006186079
"39",2009-02-27,1.03341067285383,0.878200692041523,"DHR",0.372294372294372,0.255411255411255,0.586311709347602,0.245575277160161
"40",2009-03-02,1.02088167053364,0.845155709342561,"DHR",0.316017316017316,0.0779220779220779,0.777700983948197,0.0437995208337186
"41",2009-03-03,0.994431554524362,0.860034602076125,"DHR",0.168831168831169,0.835497835497836,0.0268157857633842,0.973885257987486
"42",2009-03-04,1.00649651972158,0.899134948096886,"DHR",0.692640692640693,0.956709956709957,0.166837949112695,0.982501362169779
"43",2009-03-05,0.998143851508121,0.859861591695502,"DHR",0.38961038961039,0.0476190476190476,0.871689399635308,0.0139389653256314
"44",2009-03-06,0.997215777262181,0.853114186851211,"DHR",0.502164502164502,0.337662337662338,0.678567816803587,0.252433348674498
"45",2009-03-09,1.00742459396752,0.830968858131488,"DHR",0.662337662337662,0.12987012987013,0.931371083830946,0.028010903055058
