"","X1","KRNY","TR","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,0.969453376205788,0.994955374466434,NA,0.0952380952380952,0.398268398268398,0.070564390502256,0.663006519699401
"3",2009-01-06,0.979903536977492,0.999611951882033,NA,0.696969696969697,0.61038961038961,0.69075160957437,0.530491122928089
"4",2009-01-07,0.940514469453376,0.970896391152503,NA,0.0606060606060606,0.112554112554113,0.116938150873301,0.337138693083907
"5",2009-01-08,0.964630225080386,0.974388824214203,NA,0.865800865800866,0.593073593073593,0.895481023525201,0.36043410880503
"6",2009-01-09,0.932475884244373,0.928599146294141,NA,0.0735930735930736,0.0476190476190476,0.281176684721058,0.131452194021207
"7",2009-01-12,0.941318327974277,0.947613504074505,NA,0.683982683982684,0.813852813852814,0.526642267145196,0.800212569613381
"8",2009-01-13,0.959807073954984,0.948001552192472,NA,0.813852813852814,0.515151515151515,0.863088546770779,0.332291734063035
"9",2009-01-14,0.934083601286174,0.924330616996508,NA,0.121212121212121,0.138528138528139,0.213782177659321,0.267215411654563
"10",2009-01-15,0.957395498392283,0.937136204889406,NA,0.852813852813853,0.757575757575758,0.813651591364732,0.582387647042505
"11",2009-01-16,0.953376205787781,0.948001552192472,NA,0.402597402597403,0.727272727272727,0.278102594088101,0.810801137349249
"12",2009-01-20,0.87379421221865,0.922002328288708,NA,0.0216450216450216,0.125541125541126,0.028489274351454,0.549537287661909
"13",2009-01-21,0.872186495176849,0.925494761350408,NA,0.445887445887446,0.593073593073593,0.395631026894512,0.646765095595737
"14",2009-01-22,0.844051446945338,0.921226232052775,NA,0.0822510822510823,0.406926406926407,0.0568397665600757,0.689266809358941
"15",2009-01-23,0.853697749196141,0.913465269693442,NA,0.701298701298701,0.329004329004329,0.810358893400582,0.219469635733879
"16",2009-01-26,0.877009646302251,0.932479627473807,NA,0.87012987012987,0.822510822510823,0.794606056124433,0.660379380907966
"17",2009-01-27,0.89951768488746,0.951882033372138,NA,0.865800865800866,0.822510822510823,0.787330082445133,0.666394425568755
"18",2009-01-28,0.934083601286174,0.965851765618937,NA,0.922077922077922,0.766233766233766,0.910538983793874,0.476074743056777
"19",2009-01-29,0.897106109324759,0.944121071012806,NA,0.0606060606060606,0.155844155844156,0.0869969527584892,0.423761177992586
"20",2009-01-30,0.867363344051447,0.926270857586341,NA,0.0735930735930736,0.181818181818182,0.0966921886296792,0.433026283916445
"21",2009-02-02,0.934083601286174,0.93209157935584,NA,0.991341991341991,0.645021645021645,0.997692107649407,0.107618842678635
"22",2009-02-03,0.929260450160772,0.944121071012806,NA,0.385281385281385,0.74025974025974,0.254291590511798,0.828999082889582
"23",2009-02-04,0.914790996784566,0.932479627473807,NA,0.194805194805195,0.268398268398268,0.235106976522185,0.392771723077058
"24",2009-02-05,0.909967845659164,0.93325572370974,NA,0.380952380952381,0.523809523809524,0.3529029348195,0.597034199361167
"25",2009-02-06,0.923633440514469,0.950329840900272,NA,0.761904761904762,0.796536796536797,0.65044301293391,0.729155350647968
"26",2009-02-09,0.926848874598071,0.935972060535506,NA,0.575757575757576,0.233766233766234,0.729094139724799,0.17119292791088
"27",2009-02-10,0.887459807073955,0.913853317811409,NA,0.0476190476190476,0.147186147186147,0.0677393618224889,0.45201634783829
"28",2009-02-11,0.894694533762058,0.921614280170741,NA,0.653679653679654,0.688311688311688,0.590364824541891,0.655905566627237
"29",2009-02-12,0.894694533762058,0.922778424524641,NA,0.515151515151515,0.541125541125541,0.505469436794291,0.550450056817531
"30",2009-02-13,0.918810289389068,0.902987970508343,NA,0.87012987012987,0.164502164502165,0.964284441622738,0.0496457041204482
"31",2009-02-17,0.881028938906752,0.875824602250679,NA,0.0562770562770563,0.0995670995670996,0.119997253348384,0.320542004413308
"32",2009-02-18,0.880225080385852,0.859526581296081,NA,0.463203463203463,0.186147186147186,0.642245968393294,0.152501763940645
"33",2009-02-19,0.87459807073955,0.856810244470314,NA,0.363636363636364,0.428571428571429,0.376287935859598,0.490614805811263
"34",2009-02-20,0.803054662379421,0.843616608459449,NA,0.0216450216450216,0.233766233766234,0.0150947183185047,0.686813324045287
"35",2009-02-23,0.782958199356913,0.813348855258052,NA,0.125541125541126,0.0735930735930736,0.329299070366259,0.133016092770641
"36",2009-02-24,0.831189710610932,0.826154443150951,NA,0.965367965367965,0.770562770562771,0.968443226868348,0.345524371166511
"37",2009-02-25,0.786977491961415,0.808692277842452,NA,0.025974025974026,0.164502164502165,0.0273717395246929,0.581860898819611
"38",2009-02-26,0.786173633440514,0.815677143965852,NA,0.463203463203463,0.692640692640693,0.361250411574726,0.752317396326946
"39",2009-02-27,0.795016077170418,0.831199068684517,NA,0.701298701298701,0.805194805194805,0.558209496338556,0.779794986937335
"40",2009-03-02,0.757234726688103,0.804811796662786,NA,0.0303030303030303,0.0995670995670996,0.0566690733588189,0.437384513601144
"41",2009-03-03,0.72508038585209,0.774932091579356,NA,0.0476190476190476,0.0606060606060606,0.156779695282322,0.239548145117427
"42",2009-03-04,0.754823151125402,0.805199844780753,NA,0.930735930735931,0.943722943722944,0.749910901819656,0.820519544099502
"43",2009-03-05,0.658360128617363,0.767171129220023,"KRNY",0,0.0432900432900433,1e-10,0.999576135302184
"44",2009-03-06,0.647909967845659,0.757081878152891,"KRNY",0.19047619047619,0.251082251082251,0.238653054319761,0.371937249275655
"45",2009-03-09,0.627009646302251,0.755141637563058,"KRNY",0.0822510822510823,0.441558441558442,0.0529438414557299,0.720660418719634
