,ARUN,MCRS
2008-02-01,1.0,1.0
2008-02-04,0.9087591240875913,1.0154211150652432
2008-02-05,0.85492700729927,0.9696026097271649
2008-02-06,0.7381386861313868,0.49110320284697506
2008-02-07,0.7080291970802919,0.49525504151838673
2008-02-08,0.44890510948905105,0.49955516014234874
2008-02-11,0.4406934306569343,0.5140865954922895
2008-02-12,0.4333941605839416,0.5198695136417557
2008-02-13,0.4279197080291971,0.5278766310794781
2008-02-14,0.4516423357664233,0.5118623962040333
2008-02-15,0.47627737226277367,0.5091933570581259
2008-02-19,0.48357664233576636,0.4982206405693951
2008-02-20,0.47810218978102187,0.5041518386714117
2008-02-21,0.4708029197080292,0.4942170818505338
2008-02-22,0.4698905109489051,0.4848754448398577
2008-02-25,0.45985401459854014,0.5004448398576513
2008-02-26,0.46532846715328463,0.5088967971530249
2008-02-27,0.4580291970802919,0.4967378410438909
2008-02-28,0.48448905109489043,0.49184460260972723
2008-02-29,0.5118613138686131,0.4750889679715303
2008-03-03,0.4917883211678831,0.474644128113879
2008-03-04,0.48448905109489043,0.47642348754448405
2008-03-05,0.492691605839416,0.47419928825622776
2008-03-06,0.468978102189781,0.47405100830367736
2008-03-07,0.4744525547445255,0.4756820877817319
2008-03-10,0.47354014598540145,0.4829478054567023
2008-03-11,0.46715328467153283,0.508600237247924
2008-03-12,0.4635036496350365,0.5069691577698695
2008-03-13,0.48357664233576636,0.5137900355871886
2008-03-14,0.4726277372262773,0.505338078291815
2008-03-17,0.47171532846715325,0.4922894424673785
2008-03-18,0.48996350364963503,0.521055753262159
2008-03-19,0.46624087591240876,0.5127520759193357
2008-03-20,0.47992700729927,0.5309905100830368
2008-03-24,0.5145985401459854,0.5418149466192171
2008-03-25,0.5428832116788321,0.5336595492289443
2008-03-26,0.5538321167883211,0.5252075919335706
2008-03-27,0.48357664233576636,0.5118623962040333
2008-03-28,0.4808394160583941,0.5040035587188613
2008-03-31,0.4753649635036496,0.4991103202846975
2008-04-01,0.4927007299270073,0.5209074733096086
2008-04-02,0.48448905109489043,0.5093416370106761
2008-04-03,0.5018248175182481,0.5056346381969158
2008-04-04,0.47992700729927,0.49925860023724794
2008-04-07,0.4397810218978102,0.4862099644128114
2008-04-08,0.4333941605839416,0.48443060498220647
2008-04-09,0.4279197080291971,0.47820284697508897
2008-04-10,0.4771897810218978,0.4850237247924081
2008-04-11,0.46624087591240876,0.4661921708185054
2008-04-14,0.45529197080291967,0.4661921708185054
2008-04-15,0.4461678832116788,0.48443060498220647
2008-04-16,0.45620437956204374,0.5016310794780545
2008-04-17,0.45620437956204374,0.5
2008-04-18,0.47627737226277367,0.5207591933570581
2008-04-21,0.5127737226277372,0.5129003558718862
2008-04-22,0.5392335766423357,0.5136417556346382
2008-04-23,0.5857664233576642,0.5255041518386714
2008-04-24,0.5538321167883211,0.5315836298932385
2008-04-25,0.5355839416058393,0.5344009489916963
2008-04-28,0.5447080291970803,0.53929418742586
2008-04-29,0.5474452554744526,0.5268386714116252
2008-04-30,0.5437956204379562,0.5286180308422301
2008-05-01,0.5328467153284671,0.44350533807829184
2008-05-02,0.5556569343065693,0.43757413997627526
2008-05-05,0.5538321167883211,0.43386714116251485
2008-05-06,0.5793795620437956,0.44083629893238435
2008-05-07,0.5748175182481752,0.44483985765124556
2008-05-08,0.6167883211678832,0.4567022538552788
2008-05-09,0.6003649635036495,0.46337485172004744
2008-05-12,0.6213503649635036,0.47553380782918153
2008-05-13,0.6113138686131386,0.4756820877817319
2008-05-14,0.6213503649635036,0.4784994068801899
2008-05-15,0.6286496350364963,0.48339264531435355
2008-05-16,0.6332116788321168,0.4862099644128114
2008-05-19,0.6386861313868613,0.4820581257413997
2008-05-20,0.6313868613138686,0.4779062870699881
2008-05-21,0.5994525547445255,0.4777580071174377
2008-05-22,0.572992700729927,0.4814650059311981
2008-05-23,0.552919708029197,0.481761565836299
2008-05-27,0.5383211678832117,0.48932384341637014
2008-05-28,0.5410583941605839,0.48665480427046265
2008-05-29,0.5720802919708028,0.48917556346381974
2008-05-30,0.572992700729927,0.4888790035587189
2008-06-02,0.5574817518248175,0.46886120996441283
2008-06-03,0.5501824817518248,0.47434756820877816
2008-06-04,0.5392335766423357,0.47835112692763937
2008-06-05,0.5337591240875912,0.4916963226571767
2008-06-06,0.5255474452554744,0.4706405693950178
2008-06-09,0.5164233576642335,0.46337485172004744
2008-06-10,0.4981751824817518,0.46144721233689207
2008-06-11,0.4808394160583941,0.4559608540925267
2008-06-12,0.510948905109489,0.45922301304863583
2008-06-13,0.5611313868613138,0.4661921708185054
2008-06-16,0.5593065693430657,0.46886120996441283
2008-06-17,0.5483576642335766,0.46189205219454327
2008-06-18,0.5437956204379562,0.4491399762752076
2008-06-19,0.552919708029197,0.4623368920521946
2008-06-20,0.5428832116788321,0.44973309608540923
2008-06-23,0.5291970802919708,0.4501779359430605
2008-06-24,0.5127737226277372,0.4424673784104389
2008-06-25,0.5191605839416058,0.4620403321470937
2008-06-26,0.5118613138686131,0.4525504151838671
2008-06-27,0.49452554744525545,0.45848161328588377
2008-06-30,0.4771897810218978,0.45210557532621587
2008-07-01,0.46532846715328463,0.4540332147093713
2008-07-02,0.4498175182481751,0.4424673784104389
2008-07-03,0.43521897810218974,0.43238434163701067
2008-07-07,0.4333941605839416,0.41725978647686834
2008-07-08,0.4333941605839416,0.4479537366548043
2008-07-09,0.4151459854014598,0.45877817319098463
2008-07-10,0.41149635036496346,0.4538849347568209
2008-07-11,0.4105839416058394,0.44632265717674974
