,DK,TSO
2008-02-01,1.0,1.0
2008-02-04,0.9988038277511962,0.9806838945445053
2008-02-05,0.9946172248803827,0.9490994518402505
2008-02-06,0.9760765550239235,0.9284782041242495
2008-02-07,0.9754784688995215,0.9517097363612633
2008-02-08,1.0047846889952154,0.9900809188201514
2008-02-11,1.006578947368421,0.9673714434873402
2008-02-12,0.9856459330143542,0.9551031062385801
2008-02-13,0.9958133971291866,0.975724353954581
2008-02-14,0.9700956937799043,0.985121378230227
2008-02-15,0.9533492822966507,0.968154528843644
2008-02-19,0.9994019138755982,1.016966849386583
2008-02-20,1.0155502392344498,1.0498564343513441
2008-02-21,0.9659090909090909,1.0114852518924562
2008-02-22,0.9383971291866029,1.0313234142521535
2008-02-25,0.9994019138755982,1.0362829548420778
2008-02-26,0.9988038277511962,1.0910989297833462
2008-02-27,1.0275119617224882,1.0642129992169147
2008-02-28,0.9826555023923446,0.998172800835291
2008-02-29,0.9437799043062202,0.9694596711041503
2008-03-03,0.944976076555024,0.9759853824066823
2008-03-04,0.9078947368421053,0.9339598016183763
2008-03-05,0.8977272727272728,0.9370921430435917
2008-03-06,0.8415071770334929,0.8799269120334116
2008-03-07,0.8438995215311005,0.856956408248499
2008-03-10,0.8295454545454546,0.868180631688854
2008-03-11,0.8947368421052633,0.9266510049595406
2008-03-12,0.8462918660287082,0.836335160532498
2008-03-13,0.8462918660287082,0.8454711563560428
2008-03-14,0.8086124401913876,0.7864761158966327
2008-03-17,0.7703349282296652,0.7089532759070738
2008-03-18,0.8014354066985647,0.7716001044113807
2008-03-19,0.7805023923444977,0.7909162098668755
2008-03-20,0.8056220095693781,0.7810649960845731
2008-03-24,0.8008373205741628,0.7935264943878882
2008-03-25,0.7763157894736843,0.7799530148786217
2008-03-26,0.7984449760765551,0.8021404333072305
2008-03-27,0.7805023923444977,0.7535891412163925
2008-03-28,0.7607655502392345,0.7629861654920386
2008-03-31,0.7577751196172249,0.783085356303837
2008-04-01,0.7691387559808612,0.8392064735056121
2008-04-02,0.7876794258373206,0.8556512659879927
2008-04-03,0.7583732057416268,0.8206734534064213
2008-04-04,0.736842105263158,0.815713912816497
2008-04-07,0.7655502392344499,0.7619420516836335
2008-04-08,0.7685406698564594,0.7616810232315322
2008-04-09,0.7613636363636365,0.7248760114852518
2008-04-10,0.7517942583732058,0.7253980683894544
2008-04-11,0.7194976076555024,0.7019055077003393
2008-04-14,0.7141148325358851,0.6888540850952753
2008-04-15,0.7009569377990431,0.6781519185591229
2008-04-16,0.7171052631578948,0.7306186374314799
2008-04-17,0.7356459330143542,0.7350561211172018
2008-04-18,0.7284688995215312,0.7308796658835812
2008-04-21,0.7045454545454546,0.7400156617071261
2008-04-22,0.6710526315789475,0.7000783085356304
2008-04-23,0.6477272727272728,0.6912033411641869
2008-04-24,0.6746411483253588,0.6925084834246933
2008-04-25,0.6614832535885168,0.6898981989036804
2008-04-28,0.6584928229665072,0.6637953536935526
2008-04-29,0.6638755980861244,0.6825894022448447
2008-04-30,0.659688995215311,0.6562255285826155
2008-05-01,0.6566985645933016,0.6760636909423127
2008-05-02,0.6602870813397129,0.665100495954059
2008-05-05,0.6764354066985647,0.6609240407204385
2008-05-06,0.6698564593301436,0.6525711302531976
2008-05-07,0.6543062200956938,0.6442182197859566
2008-05-08,0.6190191387559809,0.6063690942312712
2008-05-09,0.6070574162679426,0.5732184808144087
2008-05-12,0.6363636363636365,0.6303837118245889
2008-05-13,0.6734449760765551,0.6416079352649438
2008-05-14,0.7206937799043063,0.6525711302531976
2008-05-15,0.7470095693779905,0.6528321587052989
2008-05-16,0.7470095693779905,0.6523101018010963
2008-05-19,0.7511961722488039,0.6695379796397807
2008-05-20,0.7523923444976077,0.6700600365439833
2008-05-21,0.8175837320574163,0.6335160532498042
2008-05-22,0.8223684210526316,0.6356042808666145
2008-05-23,0.785287081339713,0.6173322892195249
2008-05-27,0.7751196172248805,0.6134168624380057
2008-05-28,0.7613636363636365,0.6327329678935003
2008-05-29,0.7649521531100478,0.6071521795875751
2008-05-30,0.7793062200956938,0.6486557034716784
2008-06-02,0.7745215311004785,0.7193944139911249
2008-06-03,0.7882775119617226,0.7295745236230748
2008-06-04,0.7876794258373206,0.6956408248499085
2008-06-05,0.7954545454545455,0.6925084834246933
2008-06-06,0.7404306220095694,0.6460454189506656
2008-06-09,0.7033492822966507,0.6186374314800313
2008-06-10,0.6746411483253588,0.5993213260245367
2008-06-11,0.6656698564593302,0.5870529887757765
2008-06-12,0.68122009569378,0.5758287653354215
2008-06-13,0.7033492822966507,0.6147220046985121
2008-06-16,0.6543062200956938,0.5951448707909162
2008-06-17,0.6584928229665072,0.5886191594883842
2008-06-18,0.6220095693779905,0.5544244322631166
2008-06-19,0.6519138755980862,0.5536413469068129
2008-06-20,0.6297846889952153,0.5311929000261029
2008-06-23,0.6022727272727273,0.5411119812059514
2008-06-24,0.5968899521531101,0.5552075176194204
2008-06-25,0.6040669856459331,0.5570347167841294
2008-06-26,0.5604066985645932,0.5231010180109631
2008-06-27,0.5388755980861244,0.4975202297050378
2008-06-30,0.5508373205741628,0.5160532498042286
2008-07-01,0.5430622009569378,0.5056121117201775
2008-07-02,0.5502392344497608,0.5032628556512659
2008-07-03,0.5203349282296651,0.4954320020882276
2008-07-07,0.5574162679425838,0.5069172539806839
2008-07-08,0.5478468899521531,0.5147481075437222
2008-07-09,0.5334928229665072,0.45288436439571916
2008-07-10,0.5149521531100478,0.4395719133385539
2008-07-11,0.48564593301435405,0.41868963717045155
