"","X1","PFG","M","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,0.977966101694915,1.06193078324226,"PFG",0.316017316017316,0.917748917748918,0.0839028909010768,0.983470221088449
"3",2009-01-06,1.03728813559322,1.06466302367942,"PFG",0.904761904761905,0.562770562770563,0.967391424634072,0.186224647217274
"4",2009-01-07,0.925,1.03005464480874,"PFG",0.0692640692640693,0.281385281385281,0.0361401841712851,0.735103178581756
"5",2009-01-08,0.927966101694915,0.995446265938069,"PFG",0.54978354978355,0.272727272727273,0.776530462993897,0.145023562856851
"6",2009-01-09,0.88728813559322,0.938069216757741,"PFG",0.181818181818182,0.125541125541126,0.446701513855166,0.191531045272732
"7",2009-01-12,0.786016949152542,0.904371584699453,"PFG",0.0562770562770563,0.251082251082251,0.0300622557631978,0.73386133041248
"8",2009-01-13,0.809322033898305,0.915300546448087,"PFG",0.787878787878788,0.623376623376623,0.83448408456082,0.366569024102708
"9",2009-01-14,0.717796610169492,0.86247723132969,"PFG",0.0562770562770563,0.125541125541126,0.0898269529289578,0.53677828962561
"10",2009-01-15,0.694915254237288,0.887067395264117,"PFG",0.251082251082251,0.727272727272727,0.0810228216580868,0.911532698011705
"11",2009-01-16,0.686016949152542,0.888888888888889,"PFG",0.38961038961039,0.554112554112554,0.277997596033516,0.692862967003725
"12",2009-01-20,0.591101694915254,0.795081967213115,"PFG",0.038961038961039,0.0346320346320346,0.286919084413316,0.220034739641092
"13",2009-01-21,0.690254237288136,0.843351548269581,"PFG",0.961038961038961,0.913419913419913,0.913171851806637,0.487296088554065
"14",2009-01-22,0.631779661016949,0.855191256830601,"PFG",0.0865800865800866,0.645021645021645,0.0183385607195429,0.904051444961321
"15",2009-01-23,0.665254237288135,0.878870673952641,"PFG",0.878787878787879,0.727272727272727,0.899082157900427,0.37364824119445
"16",2009-01-26,0.65593220338983,0.88615664845173,"PFG",0.376623376623377,0.597402597402597,0.230116603518588,0.757280359029844
"17",2009-01-27,0.698728813559322,0.871584699453552,"PFG",0.909090909090909,0.406926406926407,0.978926443947153,0.114071571407005
"18",2009-01-28,0.867796610169492,0.914389799635701,"PFG",0.987012987012987,0.844155844155844,0.99483340708666,0.206618349852196
"19",2009-01-29,0.75593220338983,0.857012750455373,"PFG",0.051948051948052,0.121212121212121,0.0829911651894123,0.545725958841916
"20",2009-01-30,0.702966101694915,0.81511839708561,"PFG",0.116883116883117,0.164502164502165,0.195762851147302,0.427110552894273
"21",2009-02-02,0.721610169491525,0.782331511839709,"PFG",0.774891774891775,0.203463203463203,0.938091730485609,0.0551022473950875
"22",2009-02-03,0.705084745762712,0.804189435336976,"PFG",0.307359307359307,0.727272727272727,0.112419316895323,0.900342090892574
"23",2009-02-04,0.686016949152542,0.757741347905282,"PFG",0.277056277056277,0.125541125541126,0.624459406980406,0.104728415849967
"24",2009-02-05,0.704237288135593,0.796903460837887,"PFG",0.774891774891775,0.861471861471861,0.490616835061204,0.832340384429019
"25",2009-02-06,0.713135593220339,0.883424408014572,"PFG",0.662337662337662,0.978354978354978,0.154223173323333,0.995960199751117
"26",2009-02-09,0.721610169491525,0.861566484517304,"PFG",0.658008658008658,0.354978354978355,0.83236202745911,0.17327509350605
"27",2009-02-10,0.508050847457627,0.799635701275045,"PFG",0,0.0735930735930736,1e-10,0.894573146096433
"28",2009-02-11,0.494067796610169,0.774134790528233,"PFG",0.277056277056277,0.285714285714286,0.363996508612919,0.391728409202416
"29",2009-02-12,0.510169491525424,0.793260473588343,"PFG",0.805194805194805,0.714285714285714,0.788617422913522,0.483764239378867
"30",2009-02-13,0.493220338983051,0.785974499089253,"PFG",0.238095238095238,0.458874458874459,0.150880565946478,0.70820355182688
"31",2009-02-17,0.458474576271186,0.735883424408015,"PFG",0.116883116883117,0.112554112554113,0.303886145978414,0.278809221812264
"32",2009-02-18,0.447033898305085,0.718579234972678,"PFG",0.285714285714286,0.354978354978355,0.298590384208098,0.504144135764746
"33",2009-02-19,0.445338983050847,0.697632058287796,"PFG",0.497835497835498,0.311688311688312,0.687629838944273,0.217181202319091
"34",2009-02-20,0.445762711864407,0.715846994535519,"PFG",0.523809523809524,0.718614718614719,0.311729817692477,0.807059432339017
"35",2009-02-23,0.395762711864407,0.673952641165756,"PFG",0.0606060606060606,0.125541125541126,0.101517973670676,0.517195432916597
"36",2009-02-24,0.469067796610169,0.755009107468124,"PFG",0.96969696969697,0.982683982683983,0.588506954095107,0.882136852836124
"37",2009-02-25,0.43771186440678,0.737704918032787,"PFG",0.116883116883117,0.359307359307359,0.0619539686743799,0.734072888131487
"38",2009-02-26,0.448728813559322,0.714025500910747,"PFG",0.761904761904762,0.281385281385281,0.924228458762897,0.0905649144157564
"39",2009-02-27,0.338559322033898,0.716757741347905,"PFG",0.00432900432900433,0.58008658008658,0.000253177084495142,0.898842475657764
"40",2009-03-02,0.309322033898305,0.671220400728597,"PFG",0.0865800865800866,0.116883116883117,0.195196692789919,0.385736118032516
"41",2009-03-03,0.290677966101695,0.65391621129326,"PFG",0.116883116883117,0.337662337662338,0.0681550800731165,0.712907651835798
"42",2009-03-04,0.309745762711864,0.669398907103825,"PFG",0.909090909090909,0.70995670995671,0.944555414170367,0.295808871405174
"43",2009-03-05,0.270338983050847,0.599271402550091,"PFG",0.051948051948052,0.0346320346320346,0.379509400893809,0.152622111860266
"44",2009-03-06,0.257627118644068,0.632058287795993,"PFG",0.168831168831169,0.878787878787879,0.0424839979308883,0.972133504006193
