,ESS,EQR
2008-02-01,1.0,1.0
2008-02-04,0.9843202361187973,0.983225806451613
2008-02-05,0.926950747094632,0.9421935483870967
2008-02-06,0.9390333886736765,0.967483870967742
2008-02-07,0.9827522597306769,0.9953548387096774
2008-02-08,0.9513927319682716,0.9651612903225806
2008-02-11,0.9477956096661133,0.943741935483871
2008-02-12,0.9849658734550821,0.9958709677419356
2008-02-13,0.9895775687142594,1.0025806451612904
2008-02-14,0.975650249031544,0.9842580645161291
2008-02-15,0.9753735473159934,0.9961290322580646
2008-02-19,0.9688249400479617,0.9873548387096773
2008-02-20,0.9867183176535694,1.0291612903225806
2008-02-21,0.9801697103855377,1.0129032258064516
2008-02-22,1.0106991330012913,1.0345806451612904
2008-02-25,1.0168788046485888,1.0637419354838709
2008-02-26,1.0056262682161963,1.0428387096774192
2008-02-27,0.9976941523704114,1.0332903225806451
2008-02-28,0.9795240730492529,1.0018064516129033
2008-02-29,0.9688249400479617,0.9852903225806452
2008-03-03,0.9835823648773289,1.0103225806451612
2008-03-04,0.9882862940416898,1.0015483870967743
2008-03-05,0.9900387382401771,0.999741935483871
2008-03-06,0.9556354916067146,0.9473548387096774
2008-03-07,0.9569267662792843,0.960258064516129
2008-03-10,0.9367275410440878,0.9352258064516129
2008-03-11,1.0007378712414683,1.0010322580645161
2008-03-12,0.9965873455082088,0.9868387096774194
2008-03-13,0.9973252167496771,0.9971612903225806
2008-03-14,0.986810551558753,0.9966451612903225
2008-03-17,0.9880095923261392,0.9873548387096773
2008-03-18,1.0353255856852979,1.047483870967742
2008-03-19,1.0410440878066778,1.0420645161290323
2008-03-20,1.0422431285740639,1.0898064516129031
2008-03-24,1.074893931009039,1.1228387096774193
2008-03-25,1.0735104224312857,1.1233548387096775
2008-03-26,1.033665375391994,1.0730322580645162
2008-03-27,1.0413207895222285,1.0583225806451613
2008-03-28,1.0322818668142408,1.0412903225806451
2008-03-31,1.0512820512820513,1.070709677419355
2008-04-01,1.1204574801697105,1.1421935483870966
2008-04-02,1.085224128389596,1.1163870967741936
2008-04-03,1.0991514480723115,1.1290322580645162
2008-04-04,1.074248293672754,1.1171612903225807
2008-04-07,1.0788599889319312,1.1169032258064517
2008-04-08,1.068990961077292,1.0867096774193548
2008-04-09,1.0380926028408042,1.0575483870967741
2008-04-10,1.021306032097399,1.0547096774193547
2008-04-11,1.0197380557092788,1.0412903225806451
2008-04-14,1.0239808153477217,1.0369032258064517
2008-04-15,1.033665375391994,1.046967741935484
2008-04-16,1.082364877328906,1.0913548387096774
2008-04-17,1.0922339051835455,1.0939354838709678
2008-04-18,1.080151263604501,1.0939354838709678
2008-04-21,1.0795978601733998,1.0828387096774195
2008-04-22,1.0665006456373363,1.0663225806451613
2008-04-23,1.0865154030621655,1.0929032258064517
2008-04-24,1.1091127098321343,1.1184516129032258
2008-04-25,1.1271905552481092,1.1303225806451611
2008-04-28,1.1100350488839696,1.1081290322580644
2008-04-29,1.0979524073049254,1.094967741935484
2008-04-30,1.097583471684191,1.0714838709677421
2008-05-01,1.1171370595831027,1.1094193548387097
2008-05-02,1.114646744143147,1.1259354838709679
2008-05-05,1.0935251798561152,1.119483870967742
2008-05-06,1.1104962184098874,1.1349677419354838
2008-05-07,1.088083379450286,1.0910967741935484
2008-05-08,1.0705589374654123,1.08
2008-05-09,1.079136690647482,1.0748387096774192
2008-05-12,1.113078767755027,1.1218064516129032
2008-05-13,1.1101272827891533,1.1176774193548387
2008-05-14,1.1092971776425014,1.1318709677419354
2008-05-15,1.1141855746172293,1.1419354838709677
2008-05-16,1.1157535510053496,1.1372903225806452
2008-05-19,1.1127098321342925,1.1470967741935485
2008-05-20,1.0986902785463937,1.1163870967741936
2008-05-21,1.0745249953883047,1.0820645161290323
2008-05-22,1.066961815163254,1.0771612903225807
2008-05-23,1.0795056262682163,1.0572903225806451
2008-05-27,1.0885445489762036,1.072516129032258
2008-05-28,1.0999815532189634,1.0776774193548386
2008-05-29,1.1077292012543811,1.0990967741935485
2008-05-30,1.1019184652278178,1.0913548387096774
2008-06-02,1.0790444567422983,1.0779354838709678
2008-06-03,1.0937096476664823,1.1073548387096774
2008-06-04,1.10431654676259,1.126967741935484
2008-06-05,1.146744143147021,1.1396129032258064
2008-06-06,1.1087437742114001,1.098064516129032
2008-06-09,1.0546947057738425,1.0670967741935484
2008-06-10,1.0665006456373363,1.0781935483870968
2008-06-11,1.0514665190924184,1.0665806451612903
2008-06-12,1.0612433130418741,1.0748387096774192
2008-06-13,1.0839328537170263,1.0996129032258064
2008-06-16,1.1060689909610772,1.1174193548387097
2008-06-17,1.0707434052757794,1.071225806451613
2008-06-18,1.0546947057738425,1.0513548387096774
2008-06-19,1.0726803172846338,1.0738064516129031
2008-06-20,1.0472237594539753,1.0412903225806451
2008-06-23,1.0119904076738608,1.0131612903225806
2008-06-24,1.0189079505626268,1.0216774193548388
2008-06-25,1.0249031543995573,1.0371612903225806
2008-06-26,0.9928057553956835,0.9904516129032259
2008-06-27,0.9846891717395315,0.9870967741935484
2008-06-30,0.9822910902047592,0.9876129032258065
2008-07-01,1.0021213798192217,0.9855483870967742
2008-07-02,0.9938203283527024,0.9623225806451613
2008-07-03,0.9925290536801328,0.976258064516129
2008-07-07,0.9850581073602656,0.9752258064516128
2008-07-08,1.0643792658181148,1.0611612903225807
2008-07-09,0.9699317469101641,0.983225806451613
2008-07-10,0.9770337576092972,1.0069677419354839
2008-07-11,0.9714074893931008,1.0134193548387098
2008-07-14,0.9614462276332779,0.992
