"","X1","NTRS","VNO","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,0.990229237128899,0.985760850917825,NA,0.38961038961039,0.329004329004329,0.570029318375344,0.322709842035252
"3",2009-01-06,1.01785043216836,1.05935838051124,NA,0.787878787878788,0.935064935064935,0.182620498147327,0.966258891087397
"4",2009-01-07,0.981961668545659,1.00772002058672,NA,0.147186147186147,0.12987012987013,0.425298027011554,0.294409669562353
"5",2009-01-08,0.984028560691469,0.991250643335049,NA,0.536796536796537,0.316017316017316,0.822059500403865,0.137130341412073
"6",2009-01-09,0.94250281848929,0.94493051981472,NA,0.112554112554113,0.147186147186147,0.227281826746427,0.49659655758965
"7",2009-01-12,0.911123637730177,0.89174815577286,NA,0.16017316017316,0.0995670995670996,0.597479398078475,0.1519554022821
"8",2009-01-13,0.906614054866592,0.929490478641276,NA,0.454545454545455,0.857142857142857,0.0718600481603498,0.975888639464351
"9",2009-01-14,0.887636226982338,0.868931206038772,NA,0.272727272727273,0.0865800865800866,0.832578419740047,0.036429651185655
"10",2009-01-15,0.90717775272454,0.879224566821067,NA,0.753246753246753,0.653679653679654,0.782040547750083,0.360953904483161
"11",2009-01-16,0.959789552799699,0.917653113741637,NA,0.9004329004329,0.865800865800866,0.787319644648758,0.49565818531328
"12",2009-01-20,0.825441563322059,0.816778178075142,NA,0.00865800865800866,0.0346320346320346,0.0217083901648984,0.789259002386187
"13",2009-01-21,1.08060879368658,0.917138445702522,"VNO",1,0.978354978354978,0.9999999999,0.0393608438141574
"14",2009-01-22,1.02367531003382,0.866357865843198,"VNO",0.0865800865800866,0.0995670995670996,0.274618307154482,0.41052493345745
"15",2009-01-23,1.06257046223224,0.878366786755876,"VNO",0.848484848484849,0.67965367965368,0.913595269224295,0.226763926208302
"16",2009-01-26,1.03739195791056,0.874764110482072,"VNO",0.246753246753247,0.441558441558442,0.124679643646866,0.787137240967131
"17",2009-01-27,1.05449079293499,0.887459255446903,"VNO",0.714285714285714,0.688311688311688,0.637544770394164,0.520016303649881
"18",2009-01-28,1.15031942878617,0.98130039457883,"VNO",0.956709956709957,0.96969696969697,0.517378925445839,0.821723363446702
"19",2009-01-29,1.06783164223976,0.911477097272259,"VNO",0.0649350649350649,0.0779220779220779,0.250283155770403,0.420607196831129
"20",2009-01-30,1.08079669297257,0.871676102247384,"VNO",0.662337662337662,0.147186147186147,0.956907279291578,0.0179953270262996
"21",2009-02-02,1.13378429161969,0.885743695316521,"VNO",0.891774891774892,0.70995670995671,0.948589685376578,0.187929663345331
"22",2009-02-03,1.10747839158211,0.853662720878367,"VNO",0.251082251082251,0.173160173160173,0.601343871197467,0.19618339672132
"23",2009-02-04,1.09827132656896,0.847315148395951,"VNO",0.415584415584416,0.411255411255411,0.474377469828768,0.457079552350386
"24",2009-02-05,1.13378429161969,0.837708011665809,"VNO",0.805194805194805,0.359307359307359,0.968726208458666,0.0565657117387404
"25",2009-02-06,1.15783540022548,0.907702864985418,"VNO",0.753246753246753,0.939393939393939,0.142678856693818,0.978606976399217
"26",2009-02-09,1.17098835024427,0.922799794132784,"VNO",0.653679653679654,0.70995670995671,0.448127085498036,0.690443198703019
"27",2009-02-10,1.08925216084179,0.82381197460971,"VNO",0.0649350649350649,0.038961038961039,0.560459862065794,0.134884819244262
"28",2009-02-11,1.14637354378053,0.85040315663064,"VNO",0.891774891774892,0.831168831168831,0.837501775380812,0.410850719395813
"29",2009-02-12,1.12795941375423,0.820380854348945,"VNO",0.333333333333333,0.173160173160173,0.75360363790741,0.106602048579673
"30",2009-02-13,1.08211198797445,0.734088179790702,"VNO",0.121212121212121,0.038961038961039,0.775533226176057,0.0371947683845204
"31",2009-02-17,1.04077414505825,0.65448618974095,"VNO",0.134199134199134,0.0346320346320346,0.817638869425147,0.0234949454799153
"32",2009-02-18,1.07140172867343,0.668725338823126,"VNO",0.792207792207792,0.770562770562771,0.668578667025292,0.550865425253522
"33",2009-02-19,1.0347613679068,0.642820380854349,"VNO",0.151515151515152,0.164502164502165,0.321971857985993,0.411029520563033
"34",2009-02-20,1.06144306651635,0.695488076857094,"VNO",0.783549783549784,0.939393939393939,0.167890297369047,0.972009019867127
"35",2009-02-23,1.02743329575348,0.6260078915766,"VNO",0.168831168831169,0.0476190476190476,0.815550222073679,0.0283544618790188
"36",2009-02-24,1.14223975948891,0.647967061245497,"VNO",0.978354978354978,0.848484848484849,0.99278659563517,0.117786369696988
"37",2009-02-25,1.0924464487035,0.642820380854349,"VNO",0.112554112554113,0.402597402597403,0.0277750499258014,0.887638790075698
"38",2009-02-26,1.06801954152574,0.597529593412249,"VNO",0.25974025974026,0.0779220779220779,0.83642838251455,0.0323499725647617
"39",2009-02-27,1.04378053363397,0.561502830674215,"VNO",0.25974025974026,0.0952380952380952,0.803518928123936,0.049565355551612
"40",2009-03-02,1.0206689214581,0.516898267284268,"VNO",0.264069264069264,0.0692640692640693,0.854878059761748,0.024484397827083
"41",2009-03-03,1.02048102217212,0.54331789329216,"VNO",0.519480519480519,0.891774891774892,0.078843125886627,0.981807561596312
"42",2009-03-04,0.997181510710259,0.539200548979242,"VNO",0.255411255411255,0.411255411255411,0.160393897441315,0.735384418871847
"43",2009-03-05,0.913942127019917,0.496654657745754,"VNO",0.0562770562770563,0.0692640692640693,0.237716733475447,0.428270123247685
"44",2009-03-06,0.890266816986096,0.502830674215131,"VNO",0.216450216450216,0.666666666666667,0.034994068935254,0.94685250765735
