"","X1","GRT","PEI","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,0.963503649635036,1.0407876230661,NA,0.186147186147186,0.857142857142857,0.0281351782772282,0.979862089767906
"3",2009-01-06,1.25912408759124,1.13080168776371,"PEI",0.995670995670996,0.948051948051948,0.997200996301315,0.135626696414227
"4",2009-01-07,1.28102189781022,1.09423347398031,"PEI",0.727272727272727,0.216450216450216,0.948691197348644,0.0397872282102021
"5",2009-01-08,1.25912408759124,1.07735583684951,"PEI",0.363636363636364,0.359307359307359,0.445025461166133,0.428721260784416
"6",2009-01-09,1.23357664233577,1.05907172995781,"PEI",0.324675324675325,0.337662337662338,0.398058183648132,0.448729406643076
"7",2009-01-12,1.22992700729927,0.940928270042194,"PEI",0.515151515151515,0.0476190476190476,0.925381596638502,0.00509650192241814
"8",2009-01-13,1.28467153284672,0.978902953586498,"PEI",0.878787878787879,0.857142857142857,0.735840626220194,0.582739932124596
"9",2009-01-14,1.10583941605839,0.850914205344585,"PEI",0.0346320346320346,0.025974025974026,0.419121576830088,0.192924458549853
"10",2009-01-15,1.14233576642336,0.832630098452883,"PEI",0.822510822510823,0.303030303030303,0.969372879478556,0.0556202413640582
"11",2009-01-16,1.15693430656934,0.883263009845288,"PEI",0.683982683982684,0.913419913419913,0.172247904846006,0.969382531482804
"12",2009-01-20,0.948905109489051,0.760900140646976,"PEI",0.0303030303030303,0.0216450216450216,0.43722949783082,0.176839244511464
"13",2009-01-21,0.937956204379562,0.859353023909986,"PEI",0.41991341991342,0.956709956709957,0.0636166220489603,0.996003321183816
"14",2009-01-22,0.861313868613139,0.793248945147679,"PEI",0.0822510822510823,0.0995670995670996,0.241802257612735,0.408611681166807
"15",2009-01-23,0.905109489051095,0.781997187060478,"PEI",0.891774891774892,0.385281385281385,0.984010999254736,0.067204766846084
"16",2009-01-26,0.835766423357664,0.738396624472574,"PEI",0.0865800865800866,0.151515151515152,0.128152701205651,0.586639290674843
"17",2009-01-27,0.795620437956204,0.70604781997187,"PEI",0.155844155844156,0.181818181818182,0.279401609771289,0.431445754638838
"18",2009-01-28,0.799270072992701,0.772151898734177,"PEI",0.606060606060606,0.948051948051948,0.102820814477628,0.991801170290632
"19",2009-01-29,0.718978102189781,0.675105485232067,"PEI",0.0562770562770563,0.025974025974026,0.61164212437393,0.0795111078844849
"20",2009-01-30,0.675182481751825,0.623066104078762,"PEI",0.121212121212121,0.0995670995670996,0.421408550301252,0.24479567087115
"21",2009-02-02,0.602189781021898,0.632911392405063,NA,0.051948051948052,0.714285714285714,0.00500563605478262,0.954354157326762
"22",2009-02-03,0.547445255474453,0.606188466947961,NA,0.0692640692640693,0.186147186147186,0.0544619557585239,0.72805958161039
"23",2009-02-04,0.565693430656934,0.548523206751055,NA,0.826839826839827,0.0692640692640693,0.971287625655588,0.00832811890775392
"24",2009-02-05,0.583941605839416,0.565400843881856,NA,0.818181818181818,0.826839826839827,0.618279252593292,0.667559174956795
"25",2009-02-06,0.583941605839416,0.679324894514768,"GRT",0.567099567099567,0.978354978354978,0.0770862345154552,0.998295785194389
"26",2009-02-09,0.594890510948905,0.751054852320675,"GRT",0.753246753246753,0.952380952380952,0.156961980763689,0.984928312261447
"27",2009-02-10,0.554744525547445,0.690576652601969,"GRT",0.103896103896104,0.0952380952380952,0.364863517656643,0.28701348451117
"28",2009-02-11,0.572992700729927,0.656821378340366,"GRT",0.822510822510823,0.164502164502165,0.973474633001707,0.0241219603783729
"29",2009-02-12,0.565693430656934,0.655414908579465,"GRT",0.38961038961039,0.489177489177489,0.305350579101532,0.64262322968716
"30",2009-02-13,0.551094890510949,0.658227848101266,"GRT",0.268398268398268,0.562770562770563,0.0974074369093626,0.852921200696871
"31",2009-02-17,0.478102189781022,0.544303797468354,"GRT",0.0346320346320346,0.0173160173160173,0.575088888232483,0.091881924199177
"32",2009-02-18,0.423357664233577,0.59915611814346,"GRT",0.0476190476190476,0.952380952380952,0.0110511660716975,0.988948833928302
"33",2009-02-19,0.551094890510949,0.561181434599156,"GRT",0.995670995670996,0.134199134199134,0.999705790813998,0.0448462913112173
"34",2009-02-20,0.492700729927007,0.582278481012658,"GRT",0.0562770562770563,0.852813852813853,0.00695190449371048,0.973722614667994
"35",2009-02-23,0.430656934306569,0.516174402250352,"GRT",0.038961038961039,0.0432900432900433,0.260464329882268,0.346680843882127
"36",2009-02-24,0.532846715328467,0.616033755274262,"GRT",0.982683982683983,0.974025974025974,0.843828478335341,0.536812259791767
"37",2009-02-25,0.481751824817518,0.555555555555556,"GRT",0.0606060606060606,0.0692640692640693,0.25687069001671,0.369836104610209
"38",2009-02-26,0.507299270072993,0.49929676511955,NA,0.891774891774892,0.0692640692640693,0.981053924575641,0.0101555044757395
"39",2009-02-27,0.507299270072993,0.428973277074543,NA,0.567099567099567,0.0216450216450216,0.937595683914832,0.00141180859163758
"40",2009-03-02,0.467153284671533,0.368495077355837,"PEI",0.0865800865800866,0.0216450216450216,0.766135506907355,0.0234048159203438
"41",2009-03-03,0.408759124087591,0.423347398030942,NA,0.0432900432900433,0.961038961038961,0.0114674852042762,0.990178307429848
"42",2009-03-04,0.434306569343066,0.436005625879044,NA,0.922077922077922,0.826839826839827,0.919983315214935,0.325391317026306
"43",2009-03-05,0.412408759124088,0.372714486638537,NA,0.147186147186147,0.0216450216450216,0.842955689452321,0.00853746533872611
"44",2009-03-06,0.394160583941606,0.347398030942335,NA,0.168831168831169,0.121212121212121,0.504821452429732,0.201174834268523
