,MLM,STNR
2008-02-01,1.0,1.0
2008-02-04,0.9861412589747871,0.9973269179363808
2008-02-05,0.8851227249958257,0.9649826249665866
2008-02-06,0.8863750208715979,0.9679230152365679
2008-02-07,0.888128235097679,0.9828922747928364
2008-02-08,0.8862080480881617,0.9719326383319968
2008-02-11,0.8922190682918685,0.9251537022186582
2008-02-12,0.8820337285022541,0.934509489441326
2008-02-13,0.9052429453998999,0.9537556802993853
2008-02-14,0.8912172315912507,0.922213311948677
2008-02-15,0.8934713641676406,0.9353114140604117
2008-02-19,0.898647520454166,0.9182036888532479
2008-02-20,0.9149273668392053,0.934509489441326
2008-02-21,0.9089998330272165,0.913659449345095
2008-02-22,0.9118383703456336,0.8791766907244053
2008-02-25,0.9293705126064451,0.8970863405506551
2008-02-26,0.9573384538320254,0.8786420743116814
2008-02-27,0.937635665386542,0.8519112536754879
2008-02-28,0.9245283018867924,0.9101844426623897
2008-02-29,0.8983135748872934,0.8773055332798718
2008-03-03,0.8723493070629487,0.8968190323442929
2008-03-04,0.8579061612957088,0.8992248062015504
2008-03-05,0.861329103356153,0.909649826249666
2008-03-06,0.8269327099682752,0.893344025661588
2008-03-07,0.8288528969777926,0.8861267040898156
2008-03-10,0.7987143095675405,0.8642074311681369
2008-03-11,0.831858407079646,0.9061748195669608
2008-03-12,0.8704291200534313,0.8938786420743117
2008-03-13,0.9084154282851895,0.9104517508687519
2008-03-14,0.8863750208715979,0.8714247527399093
2008-03-17,0.8861245616964435,0.8537824111200215
2008-03-18,0.9169310402404408,0.905105586741513
2008-03-19,0.900818166638838,0.8960171077252074
2008-03-20,0.9073301051928536,0.9361133386794976
2008-03-24,0.939889797962932,0.9836941994119219
2008-03-25,0.9262815161128736,0.9446672012830796
2008-03-26,0.9064117548839539,0.9254210104250201
2008-03-27,0.9006511938554015,0.8831863138198344
2008-03-28,0.8877942895308065,0.8521785618818498
2008-03-31,0.8863750208715979,0.8821170809943866
2008-04-01,0.9361329103356153,0.913124832932371
2008-04-02,0.9150108532309233,0.9093825180433041
2008-04-03,0.9045750542661546,0.9085805934242183
2008-04-04,0.9028218400400735,0.9141940657578189
2008-04-07,0.9160126899315412,0.9085805934242183
2008-04-08,0.9005677074636834,0.9141940657578189
2008-04-09,0.8862080480881617,0.9088479016305802
2008-04-10,0.889213558190015,0.8981555733761027
2008-04-11,0.8832025379863083,0.8687516706762899
2008-04-14,0.8781098680915012,0.8580593424218125
2008-04-15,0.9017365169477376,0.8759689922480621
2008-04-16,0.9255301385874103,0.9160652232023525
2008-04-17,0.937635665386542,0.9000267308206363
2008-04-18,0.9534980798129904,0.9355787222667736
2008-04-21,0.9423943897144765,0.8920074846297782
2008-04-22,0.9208549006511938,0.8487035551991446
2008-04-23,0.8856236433461345,0.8516439454691259
2008-04-24,0.8874603439639338,0.8896017107725208
2008-04-25,0.8934713641676406,0.8869286287089014
2008-04-28,0.9218567373518116,0.8861267040898156
2008-04-29,0.9113374519953247,0.8682170542635659
2008-04-30,0.9131741526131241,0.8845228548516442
2008-05-01,0.9293705126064451,0.9890403635391607
2008-05-02,0.9350475872432793,0.9278267842822776
2008-05-05,0.9347136416764067,0.9211440791232292
2008-05-06,0.9350475872432793,0.963111467522053
2008-05-07,0.9024878944732008,0.9149959903769046
2008-05-08,0.9095007513775254,0.9203421545041434
2008-05-09,0.9105025880781433,0.9422614274258221
2008-05-12,0.9517448655869093,0.9922480620155039
2008-05-13,0.9652696610452497,0.9855653568564555
2008-05-14,0.9705293037234931,0.9794172681101311
2008-05-15,0.9939889797962932,0.9724672547447208
2008-05-16,1.0015862414426449,0.9746057203956162
2008-05-19,1.0177826014359659,0.9489441325848704
2008-05-20,1.0192853564868927,0.9623095429029672
2008-05-21,1.0047587243279346,0.9705960973001873
2008-05-22,0.9833862080480882,0.9885057471264368
2008-05-23,0.9688595758891301,0.9746057203956162
2008-05-27,0.9863917181499416,1.0117615610799253
2008-05-28,0.9832192352646518,1.0061480887463246
2008-05-29,0.9800467523793621,1.0286019780807272
2008-05-30,0.9742027049590917,1.033413525795242
2008-06-02,0.9681916847553849,1.016840417000802
2008-06-03,0.9726164635164468,0.9788826516974072
2008-06-04,0.9594256136249791,0.9668537824111202
2008-06-05,0.9628485556854233,0.9812884255546647
2008-06-06,0.942143930539322,0.9556268377439189
2008-06-09,0.9484888963099015,0.9497460572039563
2008-06-10,0.9577558857906161,0.9331729484095161
2008-06-11,0.9354650192018701,0.8837209302325583
2008-06-12,0.9310402404408081,0.8650093557872227
2008-06-13,0.9470696276506929,0.8936113338679498
2008-06-16,0.9471531140424111,0.9029671210906176
2008-06-17,0.9332943730171982,0.8896017107725208
2008-06-18,0.9291200534312908,0.8885324779470731
2008-06-19,0.9155117715812322,0.8968190323442929
2008-06-20,0.881950242110536,0.8660785886126704
2008-06-23,0.867507096343296,0.8508420208500401
2008-06-24,0.8806979462347637,0.8460304731355253
2008-06-25,0.8766905994322925,0.8532477947072976
2008-06-26,0.8766071130405744,0.8323977546110667
2008-06-27,0.884120888295208,0.8043303929430634
2008-06-30,0.8648355318083153,0.7578187650360867
2008-07-01,0.8245116046084489,0.7506014434643143
2008-07-02,0.7924528301886793,0.7201283079390538
2008-07-03,0.7997996326598764,0.731622560812617
2008-07-07,0.7713307730839873,0.7444533547179899
2008-07-08,0.7816830856570378,0.760491847099706
2008-07-09,0.8053097345132743,0.7615610799251538
2008-07-10,0.7948739355485055,0.7594226142742583
2008-07-11,0.7659876440140257,0.7685110932905641
2008-07-14,0.7787610619469026,0.7492649024325048
