,ISCA,TMK
2008-02-01,1.0,1.0
2008-02-04,0.9981114258734656,0.9871216999356085
2008-02-05,0.9619924457034938,0.9660334835801674
2008-02-06,0.969310670443815,0.9687701223438506
2008-02-07,0.9907932011331445,0.9905022537025113
2008-02-08,0.9867799811142587,0.9626529298132647
2008-02-11,0.9872521246458924,0.9528332260141661
2008-02-12,0.9948064211520302,0.9694140373470702
2008-02-13,0.9966949952785646,0.9781068898905344
2008-02-14,0.9919735599622286,0.9665164198325821
2008-02-15,0.9931539187913125,0.9826142949130715
2008-02-19,0.983947119924457,0.9776239536381197
2008-02-20,0.9896128423040604,0.9829362524146813
2008-02-21,0.9723796033994334,0.9830972311654862
2008-02-22,0.9775731822474032,0.9933998712169995
2008-02-25,0.9804060434372049,0.9995170637475854
2008-02-26,0.990084985835694,1.009014810045074
2008-02-27,0.9775731822474032,1.0169027688345138
2008-02-28,0.9636449480642115,1.0009658725048294
2008-02-29,0.9405099150141644,0.9700579523502898
2008-03-03,0.9369688385269122,0.9698969735994849
2008-03-04,0.9447592067988669,0.9781068898905344
2008-03-05,0.9490084985835695,0.966838377334192
2008-03-06,0.9360245514636449,0.9418866709594333
2008-03-07,0.9362606232294617,0.9509014810045074
2008-03-10,0.9140698772426817,0.9481648422408242
2008-03-11,0.915014164305949,0.9750482936252415
2008-03-12,0.9228045325779037,0.9415647134578237
2008-03-13,0.9246931067044382,0.9521893110109466
2008-03-14,0.9194995278564685,0.9409207984546041
2008-03-17,0.9140698772426817,0.9438184159690921
2008-03-18,0.9192634560906515,0.975853187379266
2008-03-19,0.9324834749763928,0.9581455247907277
2008-03-20,0.9423984891406988,0.9806825499034129
2008-03-24,0.9589235127478754,0.9827752736638764
2008-03-25,0.9931539187913125,0.9885705086928526
2008-03-26,0.9827667610953731,0.9669993560849969
2008-03-27,0.9747403210576016,0.9645846748229234
2008-03-28,0.9660056657223797,0.9599162910495815
2008-03-31,0.9726156751652503,0.9676432710882164
2008-04-01,0.9919735599622286,1.0207662588538313
2008-04-02,0.9910292728989613,1.0041854475209273
2008-04-03,1.003541076487252,1.0247907276239536
2008-04-04,1.0042492917847026,1.0138441725692209
2008-04-07,0.9985835694050991,1.0191564713457824
2008-04-08,1.004957507082153,1.0027366387636831
2008-04-09,1.0066100094428707,1.0
2008-04-10,1.0016525023607177,0.9972633612363169
2008-04-11,0.9924457034938621,0.987926593689633
2008-04-14,0.9860717658168084,0.9785898261429492
2008-04-15,0.978989612842304,0.9937218287186091
2008-04-16,1.0021246458923514,1.0154539600772698
2008-04-17,1.006137865911237,1.0235028976175145
2008-04-18,1.0167610953729933,1.0267224726336124
2008-04-21,1.0002360717658167,1.0160978750804894
2008-04-22,0.9891406987724268,1.0078879587894398
2008-04-23,0.9855996222851747,1.0019317450096588
2008-04-24,1.0004721435316337,1.013683193818416
2008-04-25,0.9933899905571293,1.0160978750804894
2008-04-28,0.9969310670443814,1.0133612363168063
2008-04-29,0.9992917847025495,1.0492594977462977
2008-04-30,1.001416430594901,1.0421764327108822
2008-05-01,1.0127478753541077,1.0507083065035414
2008-05-02,0.993862134088763,1.0495814552479075
2008-05-05,1.0004721435316337,1.033483580167418
2008-05-06,0.9966949952785646,1.0487765614938829
2008-05-07,0.9974032105760151,1.0247907276239536
2008-05-08,1.0040132200188858,1.0170637475853188
2008-05-09,1.0009442870632672,1.0143271088216355
2008-05-12,1.0278564683663833,1.0318737926593688
2008-05-13,1.0380075542965062,1.025756600128783
2008-05-14,1.0278564683663833,1.0354153251770766
2008-05-15,1.0285646836638338,1.0341274951706374
2008-05-16,1.0288007554296505,1.0231809401159049
2008-05-19,1.035882908404155,1.0284932388924664
2008-05-20,1.0457979225684608,1.021410173857051
2008-05-21,1.0273843248347498,1.0180296200901482
2008-05-22,1.0377714825306894,1.0330006439150032
2008-05-23,1.0250236071765817,1.0189954925949776
2008-05-27,1.029508970727101,1.0346104314230522
2008-05-28,1.0288007554296505,1.0239858338699293
2008-05-29,1.0491029272898962,1.0281712813908563
2008-05-30,1.0476864966949953,1.0207662588538313
2008-06-02,1.0221907459867798,1.0125563425627817
2008-06-03,1.0165250236071766,1.0067611075338057
2008-06-04,1.0212464589235126,0.9975853187379267
2008-06-05,1.0361189801699717,1.0067611075338057
2008-06-06,1.023371104815864,0.9806825499034129
2008-06-09,1.0188857412653447,0.9837411461687058
2008-06-10,1.0066100094428707,0.9914681262073407
2008-06-11,1.0108593012275733,0.9774629748873149
2008-06-12,1.0212464589235126,0.9884095299420477
2008-06-13,1.0351746931067045,0.9980682549903414
2008-06-16,1.0533522190745985,0.9979072762395365
2008-06-17,1.0512275731822474,0.9798776561493883
2008-06-18,1.0368271954674222,0.9737604636188024
2008-06-19,1.040840415486308,0.9814874436574372
2008-06-20,1.0271482530689329,0.966838377334192
2008-06-23,1.0217186024551463,0.9615260785576304
2008-06-24,0.985363550519358,0.9631358660656794
2008-06-25,0.9792256846081208,0.9612041210560207
2008-06-26,0.954438149197356,0.9488087572440438
2008-06-27,0.9431067044381493,0.9491307147456536
2008-06-30,0.9213881019830029,0.9441403734707019
2008-07-01,0.9256373937677054,0.956052801030264
2008-07-02,0.9324834749763928,0.9476819059884095
2008-07-03,0.9294145420207742,0.9428525434642627
2008-07-07,0.9232766761095373,0.9344816484224082
2008-07-08,0.9294145420207742,0.9537990985189956
2008-07-09,0.8984891406987725,0.941081777205409
2008-07-10,0.8562322946175638,0.9470379909851899
2008-07-11,0.8607176581680831,0.9354475209272376
2008-07-14,0.854815864022663,0.9195106245975532
