,ISLE,AKRX
2008-02-01,1.0,1.0
2008-02-04,0.9844425237683665,0.9946236559139785
2008-02-05,0.9490060501296457,0.9637096774193548
2008-02-06,0.9291270527225584,0.9274193548387096
2008-02-07,0.9386343993085565,0.8924731182795698
2008-02-08,0.9170267934312878,0.8897849462365591
2008-02-11,0.9334485738980122,0.8897849462365591
2008-02-12,0.9170267934312878,0.8978494623655913
2008-02-13,0.9438202247191011,0.9408602150537634
2008-02-14,0.9265341400172861,0.9274193548387096
2008-02-15,0.8928262748487468,0.907258064516129
2008-02-19,0.9066551426101987,0.9166666666666666
2008-02-20,0.8936905790838374,0.8723118279569892
2008-02-21,0.8746758859118409,0.868279569892473
2008-02-22,0.8712186689714779,0.8803763440860214
2008-02-25,0.8668971477960241,0.907258064516129
2008-02-26,0.8902333621434746,0.9193548387096774
2008-02-27,0.8694900605012965,0.8844086021505376
2008-02-28,0.8124459809853068,0.8749999999999999
2008-02-29,0.7821953327571306,0.8548387096774194
2008-03-03,0.7554019014693172,0.831989247311828
2008-03-04,0.6983578219533275,0.8131720430107526
2008-03-05,0.7303370786516853,0.8091397849462365
2008-03-06,0.6888504753673292,0.8024193548387096
2008-03-07,0.6784788245462402,0.7204301075268817
2008-03-10,0.648228176318064,0.6693548387096775
2008-03-11,0.6577355229040622,0.6989247311827956
2008-03-12,0.6568712186689715,0.6384408602150538
2008-03-13,0.6577355229040622,0.6384408602150538
2008-03-14,0.6292134831460674,0.6518817204301074
2008-03-17,0.6024200518582541,0.6169354838709676
2008-03-18,0.6300777873811582,0.6438172043010753
2008-03-19,0.6257562662057045,0.6303763440860215
2008-03-20,0.6257562662057045,0.6397849462365591
2008-03-24,0.6439066551426103,0.6424731182795699
2008-03-25,0.6404494382022472,0.6451612903225806
2008-03-26,0.6231633535004322,0.6370967741935484
2008-03-27,0.6257562662057045,0.657258064516129
2008-03-28,0.6067415730337078,0.6370967741935484
2008-03-31,0.6179775280898877,0.635752688172043
2008-04-01,0.6508210890233362,0.6344086021505375
2008-04-02,0.6845289541918755,0.6330645161290323
2008-04-03,0.6707000864304234,0.6115591397849461
2008-04-04,0.6750216076058773,0.6129032258064515
2008-04-07,0.6983578219533275,0.6102150537634409
2008-04-08,0.6966292134831461,0.6102150537634409
2008-04-09,0.6646499567847882,0.5913978494623656
2008-04-10,0.6784788245462402,0.5846774193548386
2008-04-11,0.658599827139153,0.5846774193548386
2008-04-14,0.6231633535004322,0.5913978494623656
2008-04-15,0.5721694036300777,0.618279569892473
2008-04-16,0.5955056179775281,0.6545698924731183
2008-04-17,0.6050129645635264,0.6451612903225806
2008-04-18,0.6041486603284356,0.6760752688172043
2008-04-21,0.5955056179775281,0.668010752688172
2008-04-22,0.5894554883318929,0.6236559139784945
2008-04-23,0.5738980121002593,0.625
2008-04-24,0.5851339671564391,0.6559139784946236
2008-04-25,0.5972342264477096,0.6478494623655914
2008-04-28,0.6041486603284356,0.6397849462365591
2008-04-29,0.5877268798617112,0.6223118279569892
2008-04-30,0.5825410544511668,0.6048387096774194
2008-05-01,0.5955056179775281,0.6303763440860215
2008-05-02,0.6015557476231633,0.6209677419354839
2008-05-05,0.5808124459809852,0.6223118279569892
2008-05-06,0.5704407951598962,0.6236559139784945
2008-05-07,0.547104580812446,0.5833333333333333
2008-05-08,0.5315471045808124,0.5860215053763441
2008-05-09,0.5462402765773552,0.5873655913978495
2008-05-12,0.5548833189282627,0.5981182795698925
2008-05-13,0.5592048401037165,0.5658602150537634
2008-05-14,0.5877268798617112,0.5631720430107527
2008-05-15,0.6024200518582541,0.5873655913978495
2008-05-16,0.5998271391529819,0.5725806451612903
2008-05-19,0.6119273984442524,0.5591397849462365
2008-05-20,0.6119273984442524,0.5443548387096774
2008-05-21,0.592048401037165,0.5389784946236559
2008-05-22,0.5937770095073466,0.5833333333333333
2008-05-23,0.5704407951598962,0.5900537634408601
2008-05-27,0.5661192739844425,0.6088709677419355
2008-05-28,0.5626620570440795,0.603494623655914
2008-05-29,0.5937770095073466,0.6599462365591398
2008-05-30,0.592048401037165,0.6384408602150538
2008-06-02,0.5738980121002593,0.6155913978494624
2008-06-03,0.5859982713915298,0.5900537634408601
2008-06-04,0.5911840968020743,0.5967741935483871
2008-06-05,0.6145203111495247,0.6196236559139785
2008-06-06,0.6006914433880726,0.603494623655914
2008-06-09,0.592048401037165,0.5712365591397849
2008-06-10,0.6101987899740708,0.553763440860215
2008-06-11,0.5851339671564391,0.5295698924731183
2008-06-12,0.598962834917891,0.5349462365591398
2008-06-13,0.6084701815038893,0.5376344086021505
2008-06-16,0.6439066551426103,0.5510752688172043
2008-06-17,0.6231633535004322,0.5497311827956989
2008-06-18,0.6006914433880726,0.5188172043010753
2008-06-19,0.5929127052722558,0.5161290322580645
2008-06-20,0.5566119273984442,0.4543010752688172
2008-06-23,0.5410544511668107,0.4704301075268817
2008-06-24,0.5125324114088159,0.47715053763440857
2008-06-25,0.5194468452895419,0.5067204301075269
2008-06-26,0.5004321521175453,0.489247311827957
2008-06-27,0.4468452895419187,0.4744623655913978
2008-06-30,0.4140017286084702,0.44489247311827956
2008-07-01,0.38461538461538464,0.43951612903225806
2008-07-02,0.36300777873811585,0.4327956989247312
2008-07-03,0.3656006914433881,0.4543010752688172
2008-07-07,0.4088159031979257,0.44892473118279563
2008-07-08,0.40103716508210885,0.48655913978494625
2008-07-09,0.4079515989628349,0.5067204301075269
2008-07-10,0.3837510803802939,0.5067204301075269
2008-07-11,0.3923941227312014,0.5174731182795699
