,MRO,OKE
2008-02-01,1.0,1.0
2008-02-04,0.99674068038297,1.0221803724628584
2008-02-05,0.9570177225504175,0.9878635697844738
2008-02-06,0.9346099001833367,0.9686126804770873
2008-02-07,0.9427581992259115,0.9750993931784893
2008-02-08,1.0059075168058667,0.98200460347353
2008-02-11,1.002240782236708,0.9897468089558484
2008-02-12,1.0052963943776736,0.9805398618957941
2008-02-13,1.0309635363617844,0.9897468089558484
2008-02-14,1.0332043185984925,0.984515589035363
2008-02-15,1.0358525157873293,0.9832600962544465
2008-02-19,1.0700753717661438,0.9953965264699728
2008-02-20,1.0747606437156243,1.0077422054823184
2008-02-21,1.0348339784070073,0.9874450721908349
2008-02-22,1.0501120391118353,0.9970705168445282
2008-02-25,1.0680382970055,1.0228081188533167
2008-02-26,1.0884090446119372,1.0167399037455536
2008-02-27,1.1073538398859237,1.0054404687173049
2008-02-28,1.103075982888572,1.0096254446536932
2008-02-29,1.082908942758199,0.974471646788031
2008-03-03,1.0961499287023833,0.9901653065494873
2008-03-04,1.076797718476268,0.9897468089558484
2008-03-05,1.092686901609289,1.0027202343586525
2008-03-06,1.0582603381544102,0.9912115505335845
2008-03-07,1.048278671827256,0.9889098137685708
2008-03-10,1.0574455082501526,0.9654739485247961
2008-03-11,1.1071501324098594,0.974471646788031
2008-03-12,1.0562232633937665,0.9987445072190835
2008-03-13,1.0670197596251783,1.0102531910441515
2008-03-14,1.0321857812181707,0.9853525842226408
2008-03-17,0.9513139132206152,0.9545930110901862
2008-03-18,0.9889997962925238,0.9776103787403222
2008-03-19,0.9213689142391525,0.94245658087466
2008-03-20,0.9476471786514565,0.9288554090813979
2008-03-24,0.9623141169280912,0.9363883657668969
2008-03-25,0.9594622122631901,0.9426658296714794
2008-03-26,0.9712772458749236,0.9453860640301318
2008-03-27,0.9574251375025463,0.9395270977191881
2008-03-28,0.9464249337950702,0.9204854572086211
2008-03-31,0.9289060908535343,0.933877380205064
2008-04-01,0.9454063964147483,0.9545930110901862
2008-04-02,0.9669993888775718,0.9585687382297552
2008-04-03,0.9737217355876959,0.9617074701820465
2008-04-04,0.9940924831941331,0.9627537141661435
2008-04-07,0.9896109187207169,0.9684034316802679
2008-04-08,0.9839071093909145,0.9807491106926135
2008-04-09,0.9612955795477693,0.9966520192508894
2008-04-10,0.9317579955184355,0.9776103787403222
2008-04-11,0.915053982481157,0.962962962962963
2008-04-14,0.9433693216541047,0.9840970914417243
2008-04-15,0.9344061927072722,0.9979075120318058
2008-04-16,0.9710735383988592,1.0253191044151497
2008-04-17,0.9910368710531675,1.0217618748692194
2008-04-18,0.9938887757180688,1.0246913580246912
2008-04-21,1.0024444897127724,1.0186231429169283
2008-04-22,0.9859441841515583,1.0167399037455536
2008-04-23,0.9786107150132409,1.033479807491107
2008-04-24,0.9466286412711346,1.0249006068215107
2008-04-25,0.945202688938684,1.0265745971960663
2008-04-28,0.9454063964147483,1.0190416405105671
2008-04-29,0.9346099001833367,1.0073237078886796
2008-04-30,0.9282949684253412,1.0069052102950409
2008-05-01,0.975962517824404,0.9945595312826951
2008-05-02,1.0348339784070073,0.9991630048127224
2008-05-05,1.0523528213485434,1.0236451140405942
2008-05-06,1.0757791810959463,1.024063611634233
2008-05-07,1.0605011203911183,1.0318058171165516
2008-05-08,1.0778162558565898,1.0265745971960663
2008-05-09,1.0706864941943368,1.021971123666039
2008-05-12,1.0865756773273578,1.0322243147101904
2008-05-13,1.0898349969443877,1.0414312617702448
2008-05-14,1.0643715624363412,1.0441514961288973
2008-05-15,1.0837237726624567,1.040594266582967
2008-05-16,1.1214096557343654,1.056078677547604
2008-05-19,1.0886127520880016,1.051056706423938
2008-05-20,1.082908942758199,1.059426658296715
2008-05-21,1.1022611529843145,1.0521029504080353
2008-05-22,1.076797718476268,1.051056706423938
2008-05-23,1.0550010185373802,1.0391295250052313
2008-05-27,1.037889590547973,1.0531491943921323
2008-05-28,1.0423711550213892,1.051475204017577
2008-05-29,1.0321857812181707,1.056497175141243
2008-05-30,1.0468527194948054,1.047499476878008
2008-06-02,1.0513342839682216,1.0487549696589245
2008-06-03,1.0547973110613158,1.0445699937225361
2008-06-04,1.0171114279894071,1.0357815442561205
2008-06-05,1.0389081279282948,1.048545720862105
2008-06-06,1.008759421470768,1.0431052521448003
2008-06-09,1.0311672438378487,1.0502197112366605
2008-06-10,1.0354451008352006,1.0433145009416196
2008-06-11,1.0382970055001017,1.0451977401129944
2008-06-12,1.042778569973518,1.0343168026783847
2008-06-13,1.0468527194948054,1.0257376020087885
2008-06-16,1.0488897942554491,1.0276208411801633
2008-06-17,1.0810755754736199,1.0408035153797865
2008-06-18,1.0867793848034222,1.0374555346306757
2008-06-19,1.0621307801996334,1.0196693869010254
2008-06-20,1.0336117335506212,1.015065913370998
2008-06-23,1.0698716642900794,1.0292948315547186
2008-06-24,1.0784273782847829,1.0173676501360116
2008-06-25,1.069667956814015,1.0228081188533167
2008-06-26,1.036667345691587,1.006486712701402
2008-06-27,1.043389692401711,0.9987445072190835
2008-06-30,1.0566306783458952,1.0217618748692194
2008-07-01,1.075168058667753,1.0313873195229128
2008-07-02,1.0503157465878998,1.0376647834274955
2008-07-03,1.04379710735384,0.9966520192508894
2008-07-07,1.0154817681808923,0.9815861058798911
2008-07-08,0.9959258504787125,0.9650554509311571
2008-07-09,0.9745365654919536,0.9709144172421008
2008-07-10,0.9570177225504175,0.985980330613099
2008-07-11,0.9488694235078426,0.9958150240636118
2008-07-14,0.9301283357099204,0.9863988282067379
