,PEP,CL
2008-02-01,1.0,1.0
2008-02-04,1.005666133953218,0.9901882789710953
2008-02-05,0.9872148772337644,0.9927075046406789
2008-02-06,0.9694900479442105,0.9872712808273666
2008-02-07,1.0229551067848321,1.0026518164942986
2008-02-08,1.0142379776260353,0.9854150092813576
2008-02-11,1.0309458085137295,1.0025192256695836
2008-02-12,1.0454743571117244,1.0172368072129407
2008-02-13,1.0406799360743861,1.0224078493768232
2008-02-14,1.0398082231585064,1.0104746751524794
2008-02-15,1.0421327909341858,0.9986740917528506
2008-02-19,1.0335609472613687,0.9933704587642536
2008-02-20,1.0332703762894089,1.0079554494828957
2008-02-21,1.032689234345489,0.9966852293821268
2008-02-22,1.0370477989248874,1.0100769026783347
2008-02-25,1.0400987941304665,1.0226730310262528
2008-02-26,1.0363213714949877,1.020684168655529
2008-02-27,1.0344326601772484,1.0273137098912755
2008-02-28,1.0323986633735291,1.0238663484486874
2008-02-29,1.0106058404765363,1.0088835852559004
2008-03-03,1.0194682551213134,1.0188278971095202
2008-03-04,1.0175795438035742,1.0201538053566692
2008-03-05,1.0210663954670929,1.0160434897905064
2008-03-06,1.0187418276914137,1.003712543092018
2008-03-07,1.0110416969344764,0.9929726862901087
2008-03-10,1.002760424233619,0.9969504110315566
2008-03-11,1.0162719744297546,1.0132590824714929
2008-03-12,1.0106058404765363,1.013391673296208
2008-03-13,1.0059567049251779,1.0225404402015381
2008-03-14,0.9944791515327619,1.011402810925484
2008-03-17,1.0046491355513585,1.0164412622646513
2008-03-18,1.0172889728316141,1.0290373906125696
2008-03-19,1.0196135406072935,1.0246618933969769
2008-03-20,1.0342873746912684,1.0275788915407054
2008-03-24,1.0380647973267472,1.0291699814372846
2008-03-25,1.0393723667005668,1.0354017501988864
2008-03-26,1.0338515182333285,1.028374436488995
2008-03-27,1.0342873746912684,1.030230708035004
2008-03-28,1.0396629376725266,1.035799522673031
2008-03-31,1.0489612087752433,1.0330151153540175
2008-04-01,1.0479442103733836,1.039379474940334
2008-04-02,1.0376289408688073,1.0310262529832936
2008-04-03,1.0373383698968475,1.0328825245293025
2008-04-04,1.0392270812145867,1.0460090161760807
2008-04-07,1.044021502251925,1.0388491116414744
2008-04-08,1.035594944065088,1.0395120657650492
2008-04-09,1.0310910939997093,1.0426942455582073
2008-04-10,1.041696934476246,1.0438875629806417
2008-04-11,1.0373383698968475,1.0342084327764518
2008-04-14,1.0308005230277495,1.0397772474144789
2008-04-15,1.0347232311492083,1.0383187483426146
2008-04-16,1.0331250908034288,1.038053566693185
2008-04-17,1.0281853842801103,1.030230708035004
2008-04-18,1.0257155310184511,1.026385574118271
2008-04-21,1.0155455469998549,1.0270485282418456
2008-04-22,1.0039227081214586,1.0148501723680723
2008-04-23,1.0052302774952782,1.013126491646778
2008-04-24,0.9879413046636641,1.013126491646778
2008-04-25,0.982420456196426,1.0090161760806151
2008-04-28,0.9902658724393433,1.0080880403076107
2008-04-29,0.9908470143832632,1.0047732696897376
2008-04-30,0.9956414354206016,0.9374171307345532
2008-05-01,0.9952055789626617,0.9647308406258287
2008-05-02,1.0039227081214586,0.9769291964996023
2008-05-05,0.9962225773645212,0.9709626093874304
2008-05-06,0.9962225773645212,0.9728188809334395
2008-05-07,0.9880865901496442,0.952797666401485
2008-05-08,0.9812581723085865,0.9505436223813312
2008-05-09,0.9808223158506466,0.9441792627950145
2008-05-12,0.9784977480749673,0.941527446300716
2008-05-13,0.9770448932151679,0.9388756298064174
2008-05-14,0.9748656109254685,0.9493503049588967
2008-05-15,0.9889583030655237,0.9586316626889418
2008-05-16,0.9860525933459249,0.9612834791832405
2008-05-19,0.988377161121604,0.9557146645452135
2008-05-20,0.9800958884207467,0.9517369398037656
2008-05-21,0.9773354641871277,0.9484221691858923
2008-05-22,0.9934621531309021,0.956642800318218
2008-05-23,0.9917187272991429,0.9565102094935031
2008-05-27,1.0026151387476392,0.9606205250596659
2008-05-28,0.9869243062618046,0.9659241580482629
2008-05-29,1.0,0.9745425616547335
2008-05-30,0.9922998692430626,0.9859453725802174
2008-06-02,0.9814034577945663,0.9700344736144259
2008-06-03,0.9741391834955688,0.9725536992840095
2008-06-04,0.9686183350283307,0.9876690533015114
2008-06-05,0.9776260351590877,0.9949615486608328
2008-06-06,0.9519105041406363,0.9638027048528242
2008-06-09,0.9497312218509372,0.9665871121718378
2008-06-10,0.9818393142525061,0.9855476001060726
2008-06-11,0.9805317448786866,0.9785202863961813
2008-06-12,0.9872148772337644,0.9725536992840095
2008-06-13,0.9812581723085865,0.9718907451604348
2008-06-16,0.9594653494115939,0.9657915672235482
2008-06-17,0.9569954961499347,0.9598249801113763
2008-06-18,0.9452273717855587,0.950808804030761
2008-06-19,0.9572860671218946,0.9488199416600371
2008-06-20,0.9455179427575185,0.9229647308406258
2008-06-23,0.9389800958884207,0.9127552373375762
2008-06-24,0.9301176812436437,0.907451604348979
2008-06-25,0.9519105041406363,0.9238928666136305
2008-06-26,0.94101409269214,0.9176610978520285
2008-06-27,0.9288101118698242,0.9044020153805356
2008-06-30,0.923870405346506,0.9162025987801643
2008-07-01,0.935638529710882,0.9201803235216124
2008-07-02,0.9553973558041553,0.9152744630071599
2008-07-03,0.9700711898881301,0.9327764518695305
2008-07-07,0.967891907598431,0.9223017767170512
2008-07-08,0.9564143542060148,0.9265446831079288
2008-07-09,0.9494406508789771,0.9322460885706709
2008-07-10,0.952927502542496,0.9264120922832141
2008-07-11,0.9394159523463605,0.9173959162025987
2008-07-14,0.9430480894958594,0.9143463272341553
