"","X1","CCK","PX","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,0.99896694214876,1.02306583373378,NA,0.480519480519481,0.83982683982684,0.14712776583828,0.927644436218175
"3",2009-01-06,0.992252066115703,1.06375140156976,NA,0.398268398268398,0.913419913419913,0.0572433614907699,0.981536291933694
"4",2009-01-07,0.973140495867769,1.00240269101394,NA,0.220779220779221,0.0346320346320346,0.864336805851684,0.0161263876459475
"5",2009-01-08,0.992252066115703,1.01201345506968,NA,0.787878787878788,0.67965367965368,0.760397843679294,0.441405196214388
"6",2009-01-09,0.971074380165289,0.997276950184206,NA,0.199134199134199,0.285714285714286,0.232984223971235,0.530632354944074
"7",2009-01-12,0.958677685950413,0.975332372256928,NA,0.324675324675325,0.207792207792208,0.582455787316588,0.208258439836927
"8",2009-01-13,0.970557851239669,0.98334134230338,NA,0.701298701298701,0.653679653679654,0.642477250560628,0.509517068438099
"9",2009-01-14,0.9375,0.962838378984463,NA,0.121212121212121,0.212121212121212,0.163268061761946,0.560484024942981
"10",2009-01-15,0.955061983471074,0.976293448662502,NA,0.779220779220779,0.748917748917749,0.673695305031966,0.576375281630975
"11",2009-01-16,0.974690082644628,0.998558385391639,NA,0.792207792207792,0.83982683982684,0.566214048730838,0.741092340271693
"12",2009-01-20,0.924070247933884,0.948422232900849,NA,0.0649350649350649,0.0606060606060606,0.319556865628457,0.276144857106573
"13",2009-01-21,0.954028925619835,0.975332372256928,NA,0.904761904761905,0.861471861471861,0.799899936400571,0.58498813854596
"14",2009-01-22,0.923037190082645,0.960756046772385,NA,0.125541125541126,0.281385281385281,0.111251265384762,0.675098451546176
"15",2009-01-23,0.941632231404959,0.961717123177959,NA,0.787878787878788,0.567099567099567,0.840285041430581,0.280778281713963
"16",2009-01-26,0.942148760330578,0.958994073362166,NA,0.497835497835498,0.471861471861472,0.513580946038646,0.445755191551102
"17",2009-01-27,0.955578512396694,0.950824923914785,NA,0.718614718614719,0.363636363636364,0.877164785242757,0.131372575774337
"18",2009-01-28,0.979338842975207,1.02514816594586,NA,0.83982683982684,0.974025974025974,0.258463588531607,0.974794681500045
"19",2009-01-29,0.973140495867769,1.01057184046132,NA,0.411255411255411,0.29004329004329,0.594888089290435,0.256412418962839
"20",2009-01-30,0.96849173553719,0.997276950184206,NA,0.441558441558442,0.303030303030303,0.622633788908175,0.248417558031359
