,YUM,TWC
2008-02-01,1.0,1.0
2008-02-04,1.0161748013620886,0.9883495145631068
2008-02-05,0.9863791146424516,0.9475728155339805
2008-02-06,0.9699205448354142,0.9184466019417475
2008-02-07,0.9750283768444948,0.9452427184466019
2008-02-08,0.9690692395005674,0.9359223300970875
2008-02-11,0.9767309875141884,0.949126213592233
2008-02-12,0.9895005675368898,0.9576699029126213
2008-02-13,1.0133371169125993,0.9530097087378641
2008-02-14,0.988933030646992,0.9805825242718447
2008-02-15,1.0005675368898976,1.043495145631068
2008-02-19,0.9940408626560726,1.0322330097087378
2008-02-20,0.9917707150964813,1.036116504854369
2008-02-21,0.9807037457434733,1.0135922330097087
2008-02-22,0.988933030646992,1.0609708737864079
2008-02-25,1.0309307604994324,1.0633009708737864
2008-02-26,1.043416572077185,1.06873786407767
2008-02-27,1.0278093076049943,1.0877669902912621
2008-02-28,1.0014188422247445,1.0831067961165048
2008-02-29,0.9775822928490352,1.0601941747572816
2008-03-03,0.9824063564131668,1.0683495145631068
2008-03-04,0.9937570942111238,1.072621359223301
2008-03-05,1.0272417707150965,1.0784466019417476
2008-03-06,1.0173098751418843,1.065242718446602
2008-03-07,0.9968785471055619,1.035728155339806
2008-03-10,0.9982973893303064,1.010485436893204
2008-03-11,1.0280930760499432,1.0097087378640777
2008-03-12,1.028660612939841,1.0015533980582525
2008-03-13,1.0419977298524403,0.9976699029126214
2008-03-14,1.0224177071509648,0.9860194174757282
2008-03-17,1.0343359818388196,0.9875728155339806
2008-03-18,1.0695232690124856,0.9961165048543689
2008-03-19,1.0272417707150965,0.989126213592233
2008-03-20,1.061293984108967,0.9918446601941747
2008-03-24,1.0757661748013618,1.0139805825242718
2008-03-25,1.0837116912599318,1.0201941747572816
2008-03-26,1.0757661748013618,0.992621359223301
2008-03-27,1.0621452894438137,0.9968932038834952
2008-03-28,1.0456867196367763,0.9700970873786408
2008-03-31,1.0559023836549375,0.9700970873786408
2008-04-01,1.0970488081725311,1.0170873786407768
2008-04-02,1.1064131668558457,1.0819417475728155
2008-04-03,1.094494892167991,1.054368932038835
2008-04-04,1.1032917139614076,1.0609708737864079
2008-04-07,1.0993189557321226,1.0450485436893204
2008-04-08,1.093643586833144,1.0508737864077669
2008-04-09,1.0664018161180475,1.0209708737864078
2008-04-10,1.072077185017026,1.0260194174757282
2008-04-11,1.0632803632236094,1.0302912621359224
2008-04-14,1.0664018161180475,1.0248543689320389
2008-04-15,1.0800227014755959,1.029126213592233
2008-04-16,1.0893870601589102,1.021359223300971
2008-04-17,1.097616345062429,1.0407766990291263
2008-04-18,1.127128263337117,1.061747572815534
2008-04-21,1.1086833144154369,1.0574757281553397
2008-04-22,1.0922247446083995,1.0337864077669903
2008-04-23,1.1435868331441543,1.0112621359223302
2008-04-24,1.1535187287173665,1.0120388349514562
2008-04-25,1.1648694665153234,1.0349514563106796
2008-04-28,1.1563564131668558,1.0442718446601942
2008-04-29,1.1600454029511917,1.072621359223301
2008-04-30,1.1543700340522134,1.087378640776699
2008-05-01,1.1574914869466515,1.1689320388349516
2008-05-02,1.1492622020431327,1.1433009708737865
2008-05-05,1.147559591373439,1.1320388349514563
2008-05-06,1.1512485811577753,1.142135922330097
2008-05-07,1.1291146424517593,1.1398058252427186
2008-05-08,1.1359250851305334,1.1607766990291262
2008-05-09,1.1276958002270148,1.1522330097087379
2008-05-12,1.152099886492622,1.1495145631067962
2008-05-13,1.1617480136208853,1.166990291262136
2008-05-14,1.1603291713961408,1.1980582524271846
2008-05-15,1.1730987514188422,1.1836893203883496
2008-05-16,1.1586265607264472,1.184854368932039
2008-05-19,1.1574914869466515,1.1968932038834952
2008-05-20,1.127128263337117,1.1735922330097086
2008-05-21,1.0925085130533485,1.214368932038835
2008-05-22,1.108967082860386,1.2240776699029126
2008-05-23,1.0922247446083995,1.1774757281553399
2008-05-27,1.1055618615209988,1.163883495145631
2008-05-28,1.119182746878547,1.145631067961165
2008-05-29,1.1376276958002272,1.1650485436893203
2008-05-30,1.126560726447219,1.1611650485436893
2008-06-02,1.104143019296254,1.1549514563106795
2008-06-03,1.1137911464245176,1.1716504854368932
2008-06-04,1.1064131668558457,1.1809708737864077
2008-06-05,1.1203178206583426,1.1766990291262136
2008-06-06,1.0751986379114642,1.1289320388349515
2008-06-09,1.0791713961407492,1.1483495145631069
2008-06-10,1.0715096481271282,1.1238834951456311
2008-06-11,1.0465380249716232,1.1246601941747574
2008-06-12,1.0530646992054482,1.1176699029126214
2008-06-13,1.0746311010215663,1.1471844660194175
2008-06-16,1.0709421112372304,1.1141747572815535
2008-06-17,1.0610102156640182,1.0963106796116504
2008-06-18,1.0465380249716232,1.0601941747572816
2008-06-19,1.0593076049943244,1.0714563106796116
2008-06-20,1.0366061293984108,1.0345631067961165
2008-06-23,1.0269580022701474,1.0159223300970874
2008-06-24,1.0229852440408624,1.0302912621359224
2008-06-25,1.0297956867196367,1.0419417475728154
2008-06-26,0.9968785471055619,1.0233009708737864
2008-06-27,0.9934733257661746,1.0166990291262137
2008-06-30,0.9957434733257662,1.0283495145631067
2008-07-01,1.0056753688989784,1.021359223300971
2008-07-02,0.9974460839954596,1.018252427184466
2008-07-03,1.0048240635641315,0.9914563106796117
2008-07-07,1.0090805902383655,0.9949514563106796
2008-07-08,1.0266742338251986,1.0299029126213592
2008-07-09,1.0042565266742338,1.0190291262135922
2008-07-10,0.9897843359818388,0.9984466019417476
2008-07-11,1.0124858115777524,1.0027184466019416
2008-07-14,1.0136208853575481,0.9883495145631068
