,XEL,DTE
2008-02-01,1.0,1.0
2008-02-04,1.0080226521944313,1.0071117228722184
2008-02-05,0.9834827748938177,0.9738472126634549
2008-02-06,0.9721566776781501,0.9777471897224133
2008-02-07,0.973100519112789,0.958247304427621
2008-02-08,0.9726285983954694,0.9603119981647166
2008-02-11,0.9726285983954694,0.9610002294104152
2008-02-12,0.9858423784804152,0.9676531314521678
2008-02-13,0.9891458235016517,0.9573296627666895
2008-02-14,0.9768758848513449,0.9497591190640055
2008-02-15,0.9778197262859838,0.958247304427621
2008-02-19,0.9764039641340255,0.9727001605872906
2008-02-20,0.9759320434167059,0.9727001605872906
2008-02-21,0.9561113732892874,0.9770589584767149
2008-02-22,0.9617744218971211,0.9564120211057581
2008-02-25,0.973100519112789,0.9587061252580866
2008-02-26,0.9768758848513449,0.9646707960541407
2008-02-27,0.9603586597451628,0.9451709107593484
2008-02-28,0.9551675318546483,0.9497591190640055
2008-02-29,0.9353468617272298,0.9132828630419821
2008-03-03,0.9400660689004248,0.9220004588208304
2008-03-04,0.9551675318546483,0.9339298004129387
2008-03-05,0.9546956111373289,0.9327827483367743
2008-03-06,0.9287399716847569,0.9073181922459278
2008-03-07,0.9306276545540348,0.9066299610002294
2008-03-10,0.9273242095327984,0.9050240880935995
2008-03-11,0.9608305804624823,0.9350768524891029
2008-03-12,0.9386503067484663,0.9190181234228034
2008-03-13,0.9400660689004248,0.9130534526267491
2008-03-14,0.9381783860311467,0.9008947006194081
2008-03-17,0.9358187824445492,0.8898830006882311
2008-03-18,0.9603586597451628,0.9061711401697636
2008-03-19,0.9377064653138273,0.8905712319339297
2008-03-20,0.9509202453987728,0.899518238128011
2008-03-24,0.9495044832468146,0.8949300298233539
2008-03-25,0.9410099103350638,0.8912594631796283
2008-03-26,0.9447852760736195,0.8917182840100939
2008-03-27,0.9414818310523831,0.8976829548061482
2008-03-28,0.9377064653138273,0.8880477173663683
2008-03-31,0.9414818310523831,0.8921771048405597
2008-04-01,0.9636621047663992,0.9123652213810507
2008-04-02,0.9693251533742331,0.9220004588208304
2008-04-03,0.9674374705049551,0.9226886900665289
2008-04-04,0.973100519112789,0.9311768754301445
2008-04-07,0.9721566776781501,0.9284239504473503
2008-04-08,0.9792354884379424,0.9174122505161734
2008-04-09,0.9768758848513449,0.9222298692360633
2008-04-10,0.9674374705049551,0.9277357192016517
2008-04-11,0.9716847569608306,0.9327827483367743
2008-04-14,0.9669655497876355,0.9424179857765541
2008-04-15,0.9721566776781501,0.9532002752924982
2008-04-16,0.9910335063709296,0.9717825189263591
2008-04-17,0.9872581406323738,0.970406056434962
2008-04-18,0.9938650306748466,0.9766001376462491
2008-04-21,0.9839546956111374,0.961229639825648
2008-04-22,0.9735724398301084,0.9509061711401697
2008-04-23,0.9787635677206228,0.9518238128011012
2008-04-24,0.9749882019820669,0.9424179857765541
2008-04-25,0.973100519112789,0.9415003441156228
2008-04-28,0.9782916470033034,0.9387474191328286
2008-04-29,0.9801793298725813,0.930488644184446
2008-04-30,0.9815950920245399,0.9247533838036247
2008-05-01,1.0023596035865974,0.9506767607249368
2008-05-02,1.0122699386503067,0.9486120669878412
2008-05-05,1.0070788107597923,0.9571002523514567
2008-05-06,1.0066068900424727,0.9651296168846065
2008-05-07,1.001887682869278,0.9667354897912365
2008-05-08,1.0033034450212364,0.9727001605872906
2008-05-09,0.9981123171307219,0.9747648543243863
2008-05-12,1.0061349693251533,0.983023629272769
2008-05-13,1.0066068900424727,0.984400091764166
2008-05-14,1.0108541764983483,1.0016058729066297
2008-05-15,1.0094384143463897,1.0041293874741912
2008-05-16,1.0132137800849457,1.0055058499655882
2008-05-19,1.0151014629542237,1.0162881394815324
2008-05-20,1.0127418593676263,1.0052764395503555
2008-05-21,1.0051911278905143,1.0016058729066297
2008-05-22,1.002831524303917,1.0126175728378068
2008-05-23,0.9910335063709296,0.9979353062629043
2008-05-27,0.9905615856536101,1.0034411562284928
2008-05-28,0.9957527135441246,1.0149116769901354
2008-05-29,1.002831524303917,1.0213351686166552
2008-05-30,1.0056630486078337,1.0149116769901354
2008-06-02,0.9919773478055686,0.9990823583390684
2008-06-03,0.9778197262859838,1.0064234916265198
2008-06-04,0.9924492685228882,1.0211057582014222
2008-06-05,0.9938650306748466,1.0220233998623536
2008-06-06,0.9721566776781501,0.9988529479238356
2008-06-09,0.9905615856536101,1.0176646019729294
2008-06-10,0.9815950920245399,1.0190410644643266
2008-06-11,0.974044360547428,1.0066529020417527
2008-06-12,0.9697970740915526,0.9986235375086029
2008-06-13,0.9773478055686644,1.0119293415921082
2008-06-16,0.973100519112789,1.0027529249827942
2008-06-17,0.9764039641340255,1.0103234686854783
2008-06-18,0.9787635677206228,1.0043587978894242
2008-06-19,0.9825389334591789,1.0059646707960541
2008-06-20,0.9650778669183576,0.9862353750860289
2008-06-23,0.9674374705049551,0.9915118146363844
2008-06-24,0.947144879660217,0.9871530167469602
2008-06-25,0.9594148183105237,1.0022941041523283
2008-06-26,0.942425672487022,0.9701766460197292
2008-06-27,0.9325153374233129,0.9509061711401697
2008-06-30,0.947144879660217,0.9736178022482219
2008-07-01,0.9584709768758848,0.9823353980270704
2008-07-02,0.9528079282680509,0.9910529938059188
2008-07-03,0.9457291175082585,0.979811883459509
2008-07-07,0.9377064653138273,0.9837118605184675
2008-07-08,0.9523360075507314,1.0036705666437256
2008-07-09,0.9622463426144408,1.0192704748795594
2008-07-10,0.9636621047663992,1.0181234228033953
2008-07-11,0.9584709768758848,1.0027529249827942
