,IVZ,BBY
2008-02-01,1.0,1.0
2008-02-04,0.9710554182845041,0.9997936868165876
2008-02-05,0.952347334980586,0.9525479678151434
2008-02-06,0.9378750441228381,0.9548174128326801
2008-02-07,0.9276385457112603,0.9742108520734475
2008-02-08,0.9050476526650195,0.9634825665360017
2008-02-11,0.8898693963995765,0.9773055498246338
2008-02-12,0.8983409812919168,0.96760883020425
2008-02-13,0.9036357218496295,0.9610068083350526
2008-02-14,0.8768090363572185,0.9442954404786467
2008-02-15,0.8881044828803389,0.9205694243862182
2008-02-19,0.8845746558418638,0.9079843201980606
2008-02-20,0.9022237910342393,0.9193315452857438
2008-02-21,0.9092834451111896,0.9026201774293378
2008-02-22,0.9071655488881045,0.9123168970497215
2008-02-25,0.9248146840804801,0.9312977099236641
2008-02-26,0.9555241793152136,0.9593563028677533
2008-02-27,0.9601129544652313,0.9610068083350526
2008-02-28,0.9534062830921286,0.9246956880544667
2008-02-29,0.9039887045534769,0.8873530018568186
2008-03-03,0.8651606071302507,0.892923457808954
2008-03-04,0.8573949876456054,0.8788941613369095
2008-03-05,0.8588069184609954,0.8830204250051578
2008-03-06,0.8033886339569362,0.8425830410563235
2008-03-07,0.7875044122837981,0.8225706622653187
2008-03-10,0.7564419343452171,0.8203012172477822
2008-03-11,0.8009177550300036,0.8537239529605942
2008-03-12,0.8090363572184964,0.832473695069115
2008-03-13,0.8097423226261914,0.8378378378378378
2008-03-14,0.7811507236145429,0.8254590468330926
2008-03-17,0.7589128132721497,0.8134928821951722
2008-03-18,0.8055065301800213,0.8481534970084589
2008-03-19,0.7980938933992234,0.834949453270064
2008-03-20,0.8665725379456407,0.8749742108520734
2008-03-24,0.8648076244264031,0.8927171446255416
2008-03-25,0.8828097423226263,0.8828141118217454
2008-03-26,0.8718672785033533,0.872292139467712
2008-03-27,0.8464525238263326,0.8720858262842996
2008-03-28,0.8372749735262972,0.8368062719207758
2008-03-31,0.8598658665725379,0.8553744584278936
2008-04-01,0.9209318743381575,0.89684340829379
2008-04-02,0.8972820331803742,0.9065401279141737
2008-04-03,0.9117543240381222,0.8774499690530225
2008-04-04,0.8944581715495942,0.8848772436558696
2008-04-07,0.8768090363572185,0.8774499690530225
2008-04-08,0.8655135898340982,0.8704353208170001
2008-04-09,0.8196258383339217,0.8514545079430577
2008-04-10,0.8118602188492764,0.868372188982876
2008-04-11,0.7938581009530533,0.8495976892923458
2008-04-14,0.7875044122837981,0.8465029915411595
2008-04-15,0.8168019767031416,0.8615638539302661
2008-04-16,0.8291563713378044,0.8828141118217454
2008-04-17,0.828803388633957,0.8766247163193729
2008-04-18,0.846099541122485,0.904270682896637
2008-04-21,0.8344511118955172,0.9030328037961627
2008-04-22,0.8146840804800565,0.8741489581184237
2008-04-23,0.7935051182492059,0.8976686610274396
2008-04-24,0.8542181433109778,0.9067464410975862
2008-04-25,0.8641016590187082,0.9302661440066021
2008-04-28,0.9117543240381222,0.9350113472250877
2008-04-29,0.9103423932227321,0.9156179079843203
2008-04-30,0.905400635368867,0.8875593150402311
2008-05-01,0.9495234733498059,0.9242830616876418
2008-05-02,0.9802329685845395,0.926758819888591
2008-05-05,0.9777620896576068,0.9048896224468743
2008-05-06,0.9904694669961172,0.9168557870847946
2008-05-07,0.9735262972114367,0.8964307819269652
2008-05-08,0.9678785739498765,0.8675469362492263
2008-05-09,0.9707024355806566,0.8650711780482773
2008-05-12,0.9883515707730322,0.9009696719620385
2008-05-13,1.000705965407695,0.9001444192283887
2008-05-14,0.9989410518884575,0.9259335671549412
2008-05-15,1.0074126367807978,0.9337734681246131
2008-05-16,1.0116484292269678,0.9288219517227152
2008-05-19,0.9932933286268973,0.9094285124819476
2008-05-20,0.9678785739498765,0.8941613369094286
2008-05-21,0.9477585598305684,0.8793067877037343
2008-05-22,0.9615248852806213,0.8832267381885703
2008-05-23,0.9604659371690788,0.8933360841757788
2008-05-27,0.9452876809036358,0.8923045182587167
2008-05-28,0.9618778679844688,0.9077780070146483
2008-05-29,0.9869396399576421,0.9515164018980813
2008-05-30,0.9823508648076245,0.9632762533525892
2008-06-02,0.9742322626191318,0.9504848359810192
2008-06-03,0.9763501588422168,0.9457396327625336
2008-06-04,0.9788210377691494,0.9591499896843408
2008-06-05,1.0165901870808332,0.9804002475758202
2008-06-06,0.9643487469114014,0.9156179079843203
2008-06-09,0.9512883868690435,0.9114916443160718
2008-06-10,0.9583480409459937,0.9298535176397772
2008-06-11,0.9110483586304271,0.8966370951103776
2008-06-12,0.9481115425344159,0.911079017949247
2008-06-13,0.9731733145075891,0.9428512481947597
2008-06-16,0.968937522061419,0.9465648854961832
2008-06-17,0.9410518884574657,0.8966370951103776
2008-06-18,0.918460995411225,0.8817825459046834
2008-06-19,0.9325803035651254,0.8976686610274396
2008-06-20,0.918460995411225,0.8679595626160512
2008-06-23,0.9174020472996823,0.8493913761089334
2008-06-24,0.9015178256265444,0.8462966783577471
2008-06-25,0.9046946699611719,0.8592944089127296
2008-06-26,0.889516413695729,0.8271095523003921
2008-06-27,0.8623367454994706,0.8262842995667423
2008-06-30,0.8464525238263326,0.8170002063131835
2008-07-01,0.828097423226262,0.8240148545492056
2008-07-02,0.8337451464878222,0.8180317722302455
2008-07-03,0.831627250264737,0.8167938931297711
2008-07-07,0.8030356512530886,0.8097792448937488
2008-07-08,0.8348040945993647,0.8417577883226738
2008-07-09,0.7959759971761384,0.822158035898494
2008-07-10,0.7924461701376633,0.7955436352382917
2008-07-11,0.7730321214260502,0.7759438828141119
