"","X1","GLT","BEN","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,0.987460815047022,1.00375375375375,NA,0.294372294372294,0.58008658008658,0.184851153530633,0.76212741843079
"3",2009-01-06,1.00104493207941,1.0512012012012,NA,0.735930735930736,0.865800865800866,0.439132378947263,0.855414919013121
"4",2009-01-07,0.962382445141066,0.969219219219219,NA,0.112554112554113,0.051948051948052,0.518061274959115,0.100060548397672
"5",2009-01-08,0.966562173458725,0.972372372372373,NA,0.597402597402597,0.571428571428571,0.585295464260223,0.526568297803696
"6",2009-01-09,0.924764890282132,0.932432432432433,NA,0.0909090909090909,0.155844155844156,0.148360300959611,0.462472207474549
"7",2009-01-12,0.909090909090909,0.893993993993994,NA,0.277056277056277,0.155844155844156,0.533110547668879,0.164271218239508
"8",2009-01-13,0.926854754440961,0.910510510510511,NA,0.779220779220779,0.714285714285714,0.732478591687376,0.549777305161314
"9",2009-01-14,0.905956112852665,0.832732732732733,NA,0.19047619047619,0.038961038961039,0.740363042833273,0.0286309193153559
"10",2009-01-15,0.958202716823406,0.795345345345345,"BEN",0.948051948051948,0.134199134199134,0.998013196115659,0.00560564835042332
"11",2009-01-16,0.962382445141066,0.822822822822823,"BEN",0.597402597402597,0.818181818181818,0.329355889444423,0.866868072448315
"12",2009-01-20,0.886102403343783,0.756906906906907,"BEN",0.0346320346320346,0.0476190476190476,0.180818512716846,0.360854232815647
"13",2009-01-21,0.914315569487983,0.81021021021021,"BEN",0.865800865800866,0.952380952380952,0.404943848318627,0.923975795806902
"14",2009-01-22,0.898641588296761,0.774774774774775,"BEN",0.272727272727273,0.142857142857143,0.550683810294228,0.146554652206351
"15",2009-01-23,0.905956112852665,0.785885885885886,"BEN",0.653679653679654,0.705627705627706,0.544030360849701,0.673151714728387
"16",2009-01-26,0.928944618599791,0.763513513513514,"BEN",0.813852813852814,0.229437229437229,0.960244367600149,0.0520732922657983
"17",2009-01-27,0.961337513061651,0.792792792792793,"BEN",0.874458874458874,0.826839826839827,0.784232700452415,0.590392223591166
"18",2009-01-28,1.0208986415883,0.816816816816817,"BEN",0.956709956709957,0.805194805194805,0.963178590447186,0.267473822177116
"19",2009-01-29,0.962382445141066,0.74009009009009,"BEN",0.0649350649350649,0.0216450216450216,0.599784607293806,0.0578692595626191
"20",2009-01-30,0.910135841170324,0.727027027027027,"BEN",0.0692640692640693,0.311688311688312,0.0375040514024456,0.764074281641008
"21",2009-02-02,0.917450365726228,0.744294294294294,"BEN",0.653679653679654,0.744588744588745,0.500173858553818,0.731317106485167
"22",2009-02-03,0.908045977011494,0.764114114114114,"BEN",0.329004329004329,0.792207792207792,0.112824943451502,0.929190137432883
"23",2009-02-04,0.90073145245559,0.778828828828829,"BEN",0.354978354978355,0.722943722943723,0.169949639787239,0.86856773015556
"24",2009-02-05,0.895506792058516,0.807207207207207,"BEN",0.415584415584416,0.822510822510823,0.15284986526921,0.929892636469391
"25",2009-02-06,0.905956112852665,0.848048048048048,"BEN",0.683982683982684,0.87012987012987,0.35421433539906,0.89175842416319
"26",2009-02-09,0.908045977011494,0.839039039039039,"BEN",0.562770562770563,0.402597402597403,0.665673185949664,0.323480895133813
"27",2009-02-10,0.864158829676071,0.778378378378379,"BEN",0.0735930735930736,0.051948051948052,0.375855259555422,0.177262684957645
"28",2009-02-11,0.855799373040752,0.806306306306306,"BEN",0.333333333333333,0.818181818181818,0.102026107045598,0.944168185544735
"29",2009-02-12,0.761755485893417,0.817417417417417,NA,0.00865800865800866,0.696969696969697,0.000256834160703767,0.9922116829856
"30",2009-02-13,0.732497387669801,0.830630630630631,"GLT",0.112554112554113,0.70995670995671,0.0228209104547449,0.948092781649419
"31",2009-02-17,0.693834900731452,0.759009009009009,"GLT",0.0692640692640693,0.038961038961039,0.446226843701002,0.129222991426052
"32",2009-02-18,0.698014629049112,0.760960960960961,"GLT",0.627705627705628,0.562770562770563,0.635163941214993,0.487948454151248
"33",2009-02-19,0.681295715778474,0.748798798798799,"GLT",0.186147186147186,0.346320346320346,0.167154013544261,0.587356697138306
"34",2009-02-20,0.668756530825496,0.762462462462463,"GLT",0.264069264069264,0.714285714285714,0.102603737509409,0.89608226274497
"35",2009-02-23,0.653082549634274,0.69954954954955,"GLT",0.19047619047619,0.0432900432900433,0.719772492686999,0.0342497985020446
"36",2009-02-24,0.713688610240334,0.765765765765766,"GLT",0.987012987012987,0.978354978354978,0.856795942611921,0.605768030755211
"37",2009-02-25,0.657262277951933,0.753603603603604,"GLT",0.0346320346320346,0.350649350649351,0.00951210473939512,0.879755622954755
"38",2009-02-26,0.669801462904911,0.735885885885886,"GLT",0.774891774891775,0.25974025974026,0.935303810287548,0.0786975304157138
"39",2009-02-27,0.649947753396029,0.687687687687688,"GLT",0.173160173160173,0.0649350649350649,0.596652504436838,0.0769706860455399
"40",2009-03-02,0.593521421107628,0.647597597597598,"GLT",0.0173160173160173,0.0779220779220779,0.0298563071775976,0.700072613365391
"41",2009-03-03,0.569487983281087,0.655555555555556,"GLT",0.108225108225108,0.683982683982684,0.0233765389496043,0.940206785912127
"42",2009-03-04,0.565308254963427,0.668018018018018,"GLT",0.376623376623377,0.714285714285714,0.194717889562786,0.851845944684124
"43",2009-03-05,0.515151515151515,0.591741741741742,"GLT",0.0173160173160173,0.012987012987013,0.347091396956342,0.185418815380649
"44",2009-03-06,0.500522466039707,0.580480480480481,"GLT",0.173160173160173,0.303030303030303,0.174005479390866,0.543935467980532
